cell,cluster
cell_5881,ETC
cell_5882,TAM
cell_5883,ETC
cell_5884,ETC
cell_5885,ETC
cell_5886,ETC
cell_5887,ETC
cell_5888,CAF
cell_5889,ETC
cell_5890,ETC
cell_5891,ETC
cell_5892,ETC
cell_5893,ETC
cell_5894,ETC
cell_5895,ETC
cell_5896,ETC
cell_5897,ETC
cell_5898,ETC
cell_5899,ETC
cell_5900,ETC
cell_5901,ETC
cell_5902,ETC
cell_5903,ETC
cell_5904,CAF
cell_5905,ETC
cell_5906,ETC
cell_5907,ETC
cell_5908,ETC
cell_5909,ETC
cell_5910,ETC
cell_5911,ETC
cell_5912,ETC
cell_5913,ETC
cell_5914,ETC
cell_5915,ETC
cell_5916,ETC
cell_5917,ETC
cell_5918,ETC
cell_5919,ETC
cell_5920,ETC
cell_5921,ETC
cell_5922,TAM
cell_5923,ETC
cell_5924,ETC
cell_5925,ETC
cell_5926,ETC
cell_5927,ETC
cell_5928,ETC
cell_5929,CAF
cell_5930,ETC
cell_5931,ETC
cell_5932,ETC
cell_5933,ETC
cell_5934,TAM
cell_5935,ETC
cell_5936,ETC
cell_5937,ETC
cell_5938,ETC
cell_5939,ETC
cell_5940,ETC
cell_5941,ETC
cell_5942,ETC
cell_5943,ETC
cell_5944,ETC
cell_5945,CAF
cell_5946,ETC
cell_5947,ETC
cell_5948,ETC
cell_5949,CAF
cell_5950,ETC
cell_5951,ETC
cell_5952,ETC
cell_5953,CAF
cell_5954,ETC
cell_5955,ETC
cell_5956,ETC
cell_5957,ETC
cell_5958,ETC
cell_5959,ETC
cell_5960,TAM
cell_5961,ETC
cell_5962,ETC
cell_5963,ETC
cell_5964,ETC
cell_5965,DC
cell_5966,ETC
cell_5967,ETC
cell_5968,ETC
cell_5969,ETC
cell_5970,CAF
cell_5971,ETC
cell_5972,ETC
cell_5973,TAM
cell_5974,ETC
cell_5975,ETC
cell_5976,ETC
cell_5977,ETC
cell_5978,ETC
cell_5979,ETC
cell_5980,ETC
cell_5981,ETC
cell_5982,ETC
cell_5983,ETC
cell_5984,ETC
cell_5985,ETC
cell_5986,ETC
cell_5987,ETC
cell_5988,ETC
cell_5989,ETC
cell_5990,ETC
cell_5991,ETC
cell_5992,ETC
cell_5993,ETC
cell_5994,CAF
cell_5995,ETC
cell_5996,ETC
cell_5997,ETC
cell_5998,ETC
cell_5999,ETC
cell_6000,TAM
cell_6001,ETC
cell_6002,ETC
cell_6003,CAF
cell_6004,ETC
cell_6005,ETC
cell_6006,ETC
cell_6007,ETC
cell_6008,ETC
cell_6009,ETC
cell_6010,ETC
cell_6011,ETC
cell_6012,ETC
cell_6013,ETC
cell_6014,ETC
cell_6015,ETC
cell_6016,CAF
cell_6017,DC
cell_6018,ETC
cell_6019,ETC
cell_6020,CAF
cell_6021,ETC
cell_6022,ETC
cell_6023,ETC
cell_6024,ETC
cell_6025,ETC
cell_6026,ETC
cell_6027,ETC
cell_6028,ETC
cell_6029,ETC
cell_6030,ETC
cell_6031,DC
cell_6032,ETC
cell_6033,ETC
cell_6034,ETC
cell_6035,TAM
cell_6036,ETC
cell_6037,ETC
cell_6038,ETC
cell_6039,ETC
cell_6040,ETC
cell_6041,ETC
cell_6042,ETC
cell_6043,ETC
cell_6044,ETC
cell_6045,ETC
cell_6046,CAF
cell_6047,ETC
cell_6048,ETC
cell_6049,ETC
cell_6050,ETC
cell_6051,TAM
cell_6052,ETC
cell_6053,ETC
cell_6054,ETC
cell_6055,ETC
cell_6056,CAF
cell_6057,ETC
cell_6058,ETC
cell_6059,ETC
cell_6060,ETC
cell_6061,ETC
cell_6062,ETC
cell_6063,ETC
cell_6064,ETC
cell_6065,DC
cell_6066,TAM
cell_6067,ETC
cell_6068,ETC
cell_6069,ETC
cell_6070,DC
cell_6071,ETC
cell_6072,CAF
cell_6073,ETC
cell_6074,ETC
cell_6075,ETC
cell_6076,ETC
cell_6077,ETC
cell_6078,ETC
cell_6079,DC
cell_6080,ETC
cell_6081,CAF
cell_6082,CAF
cell_6083,ETC
cell_6084,ETC
cell_6085,ETC
cell_6086,ETC
cell_6087,ETC
cell_6088,ETC
cell_6089,ETC
cell_6090,ETC
cell_6091,CAF
cell_6092,ETC
cell_6093,ETC
cell_6094,ETC
cell_6095,ETC
cell_6096,ETC
cell_6097,ETC
cell_6098,ETC
cell_6099,CAF
cell_6100,ETC
cell_6101,CAF
cell_6102,ETC
cell_6103,CAF
cell_6104,ETC
cell_6105,ETC
cell_6106,ETC
cell_6107,ETC
cell_6108,ETC
cell_6109,ETC
cell_6110,ETC
cell_6111,TAM
cell_6112,ETC
cell_6113,ETC
cell_6114,ETC
cell_6115,ETC
cell_6116,ETC
cell_6117,ETC
cell_6118,ETC
cell_6119,ETC
cell_6120,ETC
cell_6121,ETC
cell_6122,ETC
cell_6123,ETC
cell_6124,ETC
cell_6125,CAF
cell_6126,ETC
cell_6127,ETC
cell_6128,CAF
cell_6129,ETC
cell_6130,ETC
cell_6131,CAF
cell_6132,ETC
cell_6133,ETC
cell_6134,ETC
cell_6135,ETC
cell_6136,ETC
cell_6137,ETC
cell_6138,ETC
cell_6139,ETC
cell_6140,ETC
cell_6141,ETC
cell_6142,ETC
cell_6143,ETC
cell_6144,ETC
cell_6145,ETC
cell_6146,CAF
cell_6147,ETC
cell_6148,CAF
cell_6149,TAM
cell_6150,ETC
cell_6151,ETC
cell_6152,ETC
cell_6153,ETC
cell_6154,CAF
cell_6155,ETC
cell_6156,ETC
cell_6157,ETC
cell_6158,ETC
cell_6159,ETC
cell_6160,ETC
cell_6161,ETC
cell_6162,ETC
cell_6163,ETC
cell_6164,ETC
cell_6165,CAF
cell_6166,ETC
cell_6167,CAF
cell_6168,ETC
cell_6169,ETC
cell_6170,ETC
cell_6171,ETC
cell_6172,ETC
cell_6173,ETC
cell_6174,ETC
cell_6175,ETC
cell_6176,ETC
cell_6177,ETC
cell_6178,CAF
cell_6179,ETC
cell_6180,ETC
cell_6181,ETC
cell_6182,ETC
cell_6183,ETC
cell_6184,ETC
cell_6185,ETC
cell_6186,ETC
cell_6187,ETC
cell_6188,ETC
cell_6189,ETC
cell_6190,ETC
cell_6191,ETC
cell_6192,ETC
cell_6193,ETC
