Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Ligand-expressing cells,Ligand detection rate,Ligand average expression value,Ligand total expression value,Ligand derived specificity of average expression value,Ligand derived specificity of total expression value,Receptor-expressing cells,Receptor detection rate,Receptor average expression value,Receptor total expression value,Receptor derived specificity of average expression value,Receptor derived specificity of total expression value,Edge average expression weight,Edge average expression derived specificity,Edge total expression weight,Edge total expression derived specificity
CAF,A2M,LRP1,CAF,76,0.5547445255474452,0.9962122089946681,136.4810726322696,0.6869245044236778,0.7106617878886118,101,0.7372262773722628,1.331136073520694,182.3656420723351,0.5821898254530764,0.3851914748217094,1.326094008274539,0.399920457329862,24889.45844130484,0.2737408621762472
CAF,A2M,LRP1,DC,76,0.5547445255474452,0.9962122089946681,136.4810726322696,0.6869245044236778,0.7106617878886118,1,0.03225806451612903,0.06158440971527451,1.90911670117351,0.02693474953911917,0.004032423374135876,0.06135114084208632,0.01850213947893532,260.5582951563406,0.00286568920458723
CAF,A2M,LRP1,ETC,76,0.5547445255474452,0.9962122089946681,136.4810726322696,0.6869245044236778,0.7106617878886118,160,0.1197604790419162,0.1818061984981744,242.8930811935609,0.07951532610035156,0.5130371220464124,0.1811175546147895,0.05462102597557113,33150.30825625413,0.3645958784067314
CAF,A2M,LRP1,TAM,76,0.5547445255474452,0.9962122089946681,136.4810726322696,0.6869245044236778,0.7106617878886118,25,0.3846153846153846,0.7119029591218559,46.27369234292063,0.311360098907453,0.09773897975774232,0.709206419496625,0.2138808816393094,6315.483165617447,0.06945935810104599
ETC,A2M,LRP1,CAF,17,0.01272455089820359,0.0204990809729371,27.38677217984397,0.01413486093759671,0.1426038944921381,101,0.7372262773722628,1.331136073520694,182.3656420723351,0.5821898254530764,0.3851914748217094,0.02728706615709826,0.008229172222062936,4994.40629286601,0.05492980443474613
ETC,A2M,LRP1,DC,17,0.01272455089820359,0.0204990809729371,27.38677217984397,0.01413486093759671,0.1426038944921381,1,0.03225806451612903,0.06158440971527451,1.90911670117351,0.02693474953911917,0.004032423374135876,0.001262423801423947,0.0003807189391244465,52.28454415977417,0.0005750392773929041
ETC,A2M,LRP1,ETC,17,0.01272455089820359,0.0204990809729371,27.38677217984397,0.01413486093759671,0.1426038944921381,160,0.1197604790419162,0.1818061984981744,242.8930811935609,0.07951532610035156,0.5130371220464124,0.003726859984395953,0.001123938076836123,6652.057478708395,0.07316109162285678
ETC,A2M,LRP1,TAM,17,0.01272455089820359,0.0204990809729371,27.38677217984397,0.01413486093759671,0.1426038944921381,25,0.3846153846153846,0.7119029591218559,46.27369234292063,0.311360098907453,0.09773897975774232,0.01459335640391246,0.004401031699573205,1267.287070115758,0.01393795915714231
TAM,A2M,LRP1,CAF,15,0.2307692307692308,0.4335386320823869,28.18001108535515,0.2989406346387256,0.1467343176192502,101,0.7372262773722628,1.331136073520694,182.3656420723351,0.5821898254530764,0.3851914748217094,0.5770989124296813,0.1740401959011515,5139.065815186313,0.0565208082107161
TAM,A2M,LRP1,DC,15,0.2307692307692308,0.4335386320823869,28.18001108535515,0.2989406346387256,0.1467343176192502,1,0.03225806451612903,0.06158440971527451,1.90911670117351,0.02693474953911917,0.004032423374135876,0.02669922074556137,0.008051891121059406,53.79892980230617,0.000591694892155742
TAM,A2M,LRP1,ETC,15,0.2307692307692308,0.4335386320823869,28.18001108535515,0.2989406346387256,0.1467343176192502,160,0.1197604790419162,0.1818061984981744,242.8930811935609,0.07951532610035156,0.5130371220464124,0.07882001060099744,0.02377036204794431,6844.729720590615,0.07528015201682428
TAM,A2M,LRP1,TAM,15,0.2307692307692308,0.4335386320823869,28.18001108535515,0.2989406346387256,0.1467343176192502,25,0.3846153846153846,0.7119029591218559,46.27369234292063,0.311360098907453,0.09773897975774232,0.3086374350730928,0.09307818556857035,1303.993163183817,0.01434166249955402
CAF,ACE,BDKRB2,CAF,2,0.0145985401459854,0.02638485089526015,3.61472457265064,0.1390319284600435,0.03289052183027044,1,0.0072992700729927,0.009632224857149123,1.31961480542943,0.09940079890288615,0.01119140619369695,0.0002541448166454981,0.01381988476193723,4.770044063619354,0.0003680911897252134
CAF,ACE,BDKRB2,ETC,2,0.0145985401459854,0.02638485089526015,3.61472457265064,0.1390319284600435,0.03289052183027044,78,0.05838323353293413,0.08727066690491543,116.593610984967,0.9005992010971138,0.9888085938063031,0.002302623533816108,0.1252120436981062,421.4537906414299,0.03252243064054523
ETC,ACE,BDKRB2,CAF,67,0.0501497005988024,0.0752687600148062,100.5590633797811,0.3966200491030495,0.9149908942851842,1,0.0072992700729927,0.009632224857149123,1.31961480542943,0.09940079890288615,0.01119140619369695,0.0007250056211814082,0.03942434974174505,132.6992288560755,0.01024003476147952
ETC,ACE,BDKRB2,ETC,67,0.0501497005988024,0.0752687600148062,100.5590633797811,0.3966200491030495,0.9149908942851842,78,0.05838323353293413,0.08727066690491543,116.593610984967,0.9005992010971138,0.9888085938063031,0.00656875488359817,0.3571956993613044,11724.54431671484,0.9047508595237048
TAM,ACE,BDKRB2,CAF,3,0.04615384615384616,0.08812186863269862,5.72792146112541,0.464348022436907,0.05211858388454539,1,0.0072992700729927,0.009632224857149123,1.31961480542943,0.09940079890288615,0.01119140619369695,0.0008488096535023092,0.04615656439920386,7.558649964438064,0.0005832802424922154
TAM,ACE,BDKRB2,ETC,3,0.04615384615384616,0.08812186863269862,5.72792146112541,0.464348022436907,0.05211858388454539,78,0.05838323353293413,0.08727066690491543,116.593610984967,0.9005992010971138,0.9888085938063031,0.007690454244482957,0.4181914580377031,667.8390465909,0.05153530364205318
CAF,ADAM10,EPHA3,CAF,34,0.2481751824817518,0.4279198221057531,58.62501562848817,0.2045882665232332,0.05220955145415759,27,0.1970802919708029,0.3521619052210349,48.24618101528179,0.9251377907476345,0.9137373107747511,0.1506970598346083,0.1892723369041922,2828.433116035764,0.04770581514247794
CAF,ADAM10,EPHA3,ETC,34,0.2481751824817518,0.4279198221057531,58.62501562848817,0.2045882665232332,0.05220955145415759,2,0.001497005988023952,0.00212623735413116,2.84065310511923,0.005585676642598148,0.053799299229372,0.0009098591103344132,0.001142763901668468,166.5333326827283,0.002808837281313518
CAF,ADAM10,EPHA3,TAM,34,0.2481751824817518,0.4279198221057531,58.62501562848817,0.2045882665232332,0.05220955145415759,1,0.01538461538461539,0.026370726560902,1.71409722645863,0.0692765326097674,0.03246338999587697,0.01128455661874064,0.01417316571737255,100.4889766898854,0.001694899030366123
DC,ADAM10,EPHA3,CAF,1,0.03225806451612903,0.06123949898463807,1.89842446852378,0.02927857578170824,0.001690675710848933,27,0.1970802919708029,0.3521619052210349,48.24618101528179,0.9251377907476345,0.9137373107747511,0.02156621863721177,0.02708671691492676,91.59173055223843,0.001544833477423295
DC,ADAM10,EPHA3,ETC,1,0.03225806451612903,0.06123949898463807,1.89842446852378,0.02927857578170824,0.001690675710848933,2,0.001497005988023952,0.00212623735413116,2.84065310511923,0.005585676642598148,0.053799299229372,0.0001302097102894147,0.0001635406568724275,5.3927653613464,9.095716846779297e-05
DC,ADAM10,EPHA3,TAM,1,0.03225806451612903,0.06123949898463807,1.89842446852378,0.02927857578170824,0.001690675710848933,1,0.01538461538461539,0.026370726560902,1.71409722645863,0.0692765326097674,0.03246338999587697,0.001614930082450526,0.002028318209909057,3.25408411613781,5.488506495784544e-05
ETC,ADAM10,EPHA3,CAF,659,0.4932634730538922,0.7538914947050229,1007.19903692591,0.3604351705170432,0.8969790349600858,27,0.1970802919708029,0.3521619052210349,48.24618101528179,0.9251377907476345,0.9137373107747511,0.2654918651052546,0.3334521973598842,48593.50705394495,0.8196032112257602
ETC,ADAM10,EPHA3,ETC,659,0.4932634730538922,0.7538914947050229,1007.19903692591,0.3604351705170432,0.8969790349600858,2,0.001497005988023952,0.00212623735413116,2.84065310511923,0.005585676642598148,0.053799299229372,0.001602952257003593,0.002013274313127928,2861.103071716685,0.04825684350429098
ETC,ADAM10,EPHA3,TAM,659,0.4932634730538922,0.7538914947050229,1007.19903692591,0.3604351705170432,0.8969790349600858,1,0.01538461538461539,0.026370726560902,1.71409722645863,0.0692765326097674,0.03246338999587697,0.01988066646345586,0.02496969884403101,1726.437075686506,0.02911898023003463
TAM,ADAM10,EPHA3,CAF,29,0.4461538461538462,0.8485638665996692,55.1566513289785,0.4056979871780154,0.04912073787490766,27,0.1970802919708029,0.3521619052210349,48.24618101528179,0.9251377907476345,0.9137373107747511,0.2988318679634676,0.3753265395686313,2661.097784214679,0.04488345092908958
TAM,ADAM10,EPHA3,ETC,29,0.4461538461538462,0.8485638665996692,55.1566513289785,0.4056979871780154,0.04912073787490766,2,0.001497005988023952,0.00212623735413116,2.84065310511923,0.005585676642598148,0.053799299229372,0.001804248190530187,0.002266097770929323,156.6809128656415,0.002642661275299703
TAM,ADAM10,EPHA3,TAM,29,0.4461538461538462,0.8485638665996692,55.1566513289785,0.4056979871780154,0.04912073787490766,1,0.01538461538461539,0.026370726560902,1.71409722645863,0.0692765326097674,0.03246338999587697,0.0223772456955616,0.02810534983845478,94.54386306374775,0.001594625670518372
CAF,ADAM11,ITGA4,DC,1,0.0072992700729927,0.01354248099432102,1.85531989622198,0.9351562668725384,0.5965905419778845,2,0.06451612903225806,0.1352801304146581,4.1936840428544,0.7786852919520875,0.295443087162844,0.001832028595049776,0.7281924306904668,7.780625443176399,0.1762585514941005
