cell,cluster
cell_2768,TAM
cell_2769,CAF
cell_2770,TAM
cell_2771,TAM
cell_2772,TAM
cell_2773,TAM
cell_2774,TIL
cell_2775,TAM
cell_2776,TAM
cell_2777,ETC
cell_2778,ETC
cell_2779,TIL
cell_2780,TAM
cell_2781,ETC
cell_2782,TIL
cell_2783,TAM
cell_2784,TAM
cell_2785,CAF
cell_2786,ETC
cell_2787,TAM
cell_2788,CAF
cell_2789,TIL
cell_2790,TIL
cell_2791,TAM
cell_2792,DC
cell_2793,TAM
cell_2794,TAM
cell_2795,CAF
cell_2796,CAF
cell_2797,ETC
cell_2798,TAM
cell_2799,TAM
cell_2800,CAF
cell_2801,TAM
cell_2802,CAF
cell_2803,CAF
cell_2804,TAM
cell_2805,ETC
cell_2806,CAF
cell_2807,TAM
cell_2808,TAM
cell_2809,ETC
cell_2810,ETC
cell_2811,TAM
cell_2812,ETC
cell_2813,TAM
cell_2814,TAM
cell_2815,TAM
cell_2816,TAM
cell_2817,CAF
cell_2818,TAM
cell_2819,ETC
cell_2820,TAM
cell_2821,TAM
cell_2822,TAM
cell_2823,CAF
cell_2824,CAF
cell_2825,Endo
cell_2826,TAM
cell_2827,TAM
cell_2828,TAM
cell_2829,TAM
cell_2830,TAM
cell_2831,TAM
cell_2832,ETC
cell_2833,TAM
cell_2834,TAM
cell_2835,TAM
cell_2836,TAM
cell_2837,CAF
cell_2838,ETC
cell_2839,CAF
cell_2840,TAM
cell_2841,CAF
cell_2842,TAM
cell_2843,TAM
cell_2844,ETC
cell_2845,DC
cell_2846,TAM
cell_2847,TAM
cell_2848,CAF
cell_2849,TAM
cell_2850,CAF
cell_2851,CAF
cell_2852,ETC
cell_2853,DC
cell_2854,TAM
cell_2855,TAM
cell_2856,ETC
cell_2857,ETC
cell_2858,TAM
cell_2859,TAM
cell_2860,CAF
cell_2861,TAM
cell_2862,TAM
cell_2863,TAM
cell_2864,Endo
cell_2865,TIL
cell_2866,TAM
cell_2867,TAM
cell_2868,TAM
cell_2869,DC
cell_2870,TAM
cell_2871,TIL
cell_2872,TAM
cell_2873,TIL
cell_2874,DC
cell_2875,TAM
cell_2876,ETC
cell_2877,TAM
cell_2878,TIL
cell_2879,TAM
cell_2880,TAM
cell_2881,DC
cell_2882,TAM
cell_2883,TAM
cell_2884,ETC
cell_2885,TAM
cell_2886,CAF
cell_2887,ETC
cell_2888,TAM
cell_2889,TAM
cell_2890,TAM
cell_2891,TAM
cell_2892,TAM
cell_2893,TAM
cell_2894,TAM
cell_2895,TAM
cell_2896,TIL
cell_2897,CAF
cell_2898,CAF
cell_2899,TAM
cell_2900,Endo
cell_2901,TIL
cell_2902,ETC
cell_2903,TAM
cell_2904,TAM
cell_2905,TIL
cell_2906,CAF
cell_2907,CAF
cell_2908,ETC
cell_2909,TAM
cell_2910,TAM
cell_2911,TAM
cell_2912,ETC
cell_2913,CAF
cell_2914,CAF
cell_2915,TAM
cell_2916,TAM
cell_2917,CAF
cell_2918,TAM
cell_2919,CAF
cell_2920,CAF
cell_2921,ETC
cell_2922,TAM
cell_2923,TAM
cell_2924,TAM
cell_2925,CAF
cell_2926,TAM
cell_2927,ETC
cell_2928,ETC
cell_2929,TIL
cell_2930,TAM
cell_2931,TAM
cell_2932,TAM
cell_2933,TAM
cell_2934,ETC
cell_2935,CAF
cell_2936,TIL
cell_2937,TAM
cell_2938,CAF
cell_2939,CAF
cell_2940,TAM
cell_2941,TAM
cell_2942,TAM
cell_2943,ETC
cell_2944,TAM
cell_2945,CAF
cell_2946,TAM
cell_2947,TAM
cell_2948,CAF
cell_2949,DC
cell_2950,ETC
cell_2951,TAM
cell_2952,ETC
cell_2953,TAM
cell_2954,TAM
cell_2955,ETC
cell_2956,TIL
cell_2957,CAF
cell_2958,TIL
cell_2959,TAM
cell_2960,ETC
cell_2961,TAM
cell_2962,TAM
cell_2963,Endo
cell_2964,ETC
cell_2965,TAM
cell_2966,TAM
cell_2967,TAM
cell_2968,CAF
cell_2969,TAM
cell_2970,TIL
cell_2971,ETC
cell_2972,DC
cell_2973,ETC
cell_2974,TAM
cell_2975,TAM
cell_2976,DC
cell_2977,TAM
cell_2978,TAM
cell_2979,CAF
cell_2980,DC
cell_2981,TIL
cell_2982,CAF
cell_2983,TAM
cell_2984,ETC
cell_2985,TAM
cell_2986,ETC
cell_2987,ETC
cell_2988,TAM
cell_2989,CAF
cell_2990,TAM
cell_2991,TAM
cell_2992,TAM
cell_2993,TAM
cell_2994,CAF
cell_2995,TAM
cell_2996,TAM
cell_2997,TIL
cell_2998,TIL
cell_2999,TAM
cell_3000,TAM
cell_3001,TIL
cell_3002,ETC
cell_3003,CAF
cell_3004,TAM
cell_3005,TIL
cell_3006,ETC
cell_3007,ETC
cell_3008,ETC
cell_3009,TAM
cell_3010,TAM
cell_3011,ETC
cell_3012,CAF
cell_3013,TAM
cell_3014,TAM
cell_3015,DC
cell_3016,ETC
cell_3017,ETC
cell_3018,TIL
cell_3019,TAM
cell_3020,DC
cell_3021,TAM
cell_3022,TAM
cell_3023,TAM
cell_3024,TAM
cell_3025,TAM
cell_3026,CAF
cell_3027,TAM
cell_3028,TAM
cell_3029,TAM
cell_3030,ETC
cell_3031,TAM
cell_3032,ETC
cell_3033,ETC
cell_3034,TAM
cell_3035,TAM
cell_3036,TAM
cell_3037,CAF
cell_3038,CAF
cell_3039,TIL
cell_3040,ETC
cell_3041,DC
cell_3042,ETC
cell_3043,TAM
cell_3044,TAM
cell_3045,TAM
cell_3046,Endo
cell_3047,Endo
cell_3048,TAM
cell_3049,ETC
cell_3050,TAM
cell_3051,TIL
cell_3052,CAF
cell_3053,TAM
cell_3054,ETC
cell_3055,TAM
cell_3056,TAM
cell_3057,CAF
cell_3058,TAM
cell_3059,TAM
cell_3060,TAM
cell_3061,CAF
cell_3062,TAM
cell_3063,TIL
cell_3064,CAF
cell_3065,TAM
cell_3066,TAM
cell_3067,ETC
cell_3068,ETC
cell_3069,CAF
cell_3070,CAF
cell_3071,CAF
cell_3072,TAM
cell_3073,TAM
cell_3074,CAF
cell_3075,ETC
cell_3076,ETC
cell_3077,TAM
cell_3078,TAM
cell_3079,TAM
cell_3080,TAM
cell_3081,ETC
cell_3082,TAM
cell_3083,TAM
cell_3084,TAM
cell_3085,TAM
cell_3086,ETC
cell_3087,TAM
cell_3088,TAM
cell_3089,TAM
cell_3090,TAM
cell_3091,TAM
cell_3092,ETC
cell_3093,TAM
cell_3094,TAM
cell_3095,Endo
cell_3096,TAM
cell_3097,TIL
cell_3098,TIL
cell_3099,ETC
cell_3100,TAM
cell_3101,TAM
cell_3102,TAM
cell_3103,CAF
cell_3104,TAM
cell_3105,TAM
cell_3106,TAM
cell_3107,TAM
cell_3108,TIL
cell_3109,TAM
cell_3110,ETC
cell_3111,TAM
cell_3112,TAM
cell_3113,ETC
cell_3114,TAM
cell_3115,TAM
cell_3116,DC
cell_3117,TAM
cell_3118,ETC
cell_3119,TAM
cell_3120,TAM
cell_3121,TAM
cell_3122,TAM
cell_3123,TAM
cell_3124,TAM
cell_3125,ETC
cell_3126,TAM
cell_3127,TAM
cell_3128,TAM
cell_3129,ETC
cell_3130,CAF
cell_3131,ETC
cell_3132,TAM
cell_3133,TIL
cell_3134,TAM
cell_3135,TIL
cell_3136,TAM
cell_3137,ETC
cell_3138,TAM
cell_3139,TIL
cell_3140,ETC
cell_3141,ETC
cell_3142,CAF
cell_3143,CAF
cell_3144,ETC
cell_3145,TAM
cell_3146,CAF
cell_3147,DC
cell_3148,TAM
cell_3149,TAM
cell_3150,TAM
cell_3151,CAF
cell_3152,TAM
cell_3153,TAM
cell_3154,CAF
cell_3155,CAF
cell_3156,ETC
cell_3157,TAM
cell_3158,ETC
cell_3159,TAM
cell_3160,DC
cell_3161,TAM
cell_3162,TAM
cell_3163,TAM
cell_3164,TIL
cell_3165,TAM
cell_3166,CAF
