Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand expressing cells,Delta ligand detection rate,Delta ligand expression,Delta ligand specificity,Delta receptor expressing cells,Delta receptor detection rate,Delta receptor expression,Delta receptor specificity,Delta edge expression weight,Delta edge specificity weight
ETC,HLA-A,APLP2,EMT,395.0,0.8758314855875832,1.6361536236801542,0.1359146520084578,844.0,0.8542510121457491,1.338679765379097,0.1974745083550537,2.1902857490723084,0.02683967908361841
CAF,COL1A1,ITGB1,EMT,338.0,0.9740634005763688,1.7490833148741238,0.2546739453737101,789.0,0.7985829959514169,1.250511680663727,0.1570458706942354,2.187249115704124,0.039995491494350464
TAM,LGALS1,ITGB1,EMT,590.0,0.9949409780775716,1.729313707003699,0.1561713521474746,789.0,0.7985829959514169,1.250511680663727,0.1570458706942354,2.162526990140016,0.024526065975496208
CAF,HLA-A,APLP2,EMT,323.0,0.930835734870317,1.6143356861050058,0.13410224432854903,844.0,0.8542510121457491,1.338679765379097,0.1974745083550537,2.161078517518153,0.0264817747680895
DC,LGALS1,ITGB1,EMT,57.0,0.890625,1.7159015817123031,0.15496012613715301,789.0,0.7985829959514169,1.250511680663727,0.1570458706942354,2.1457549708006,0.02433584793209773
EMT,HLA-A,APLP2,TAM,944.0,0.9554655870445344,1.527939291210369,0.1269253290456933,486.0,0.8195615514333895,1.401299098057854,0.20671176005188302,2.141099950660247,0.02623695816219964
EMT,FN1,CD44,DC,971.0,0.9827935222672064,1.583268091918657,0.2137248785403858,45.0,0.703125,1.351989963275176,0.1701624352938857,2.140562569447863,0.03636794581532197
EMT,APP,CD74,TIL,719.0,0.7277327935222672,1.097808375729356,0.1839124006684468,102.0,0.9807692307692308,1.8853305238837919,0.1934697731058448,2.069731640137841,0.035581490428675616
EMT,TGM2,ITGB1,CAF,840.0,0.8502024291497976,1.32327996844886,0.2635739495536606,308.0,0.8876080691642652,1.549443807201967,0.1945873481682883,2.0503479523075,0.05128815588988901
EMT,HLA-A,APLP2,EMT,944.0,0.9554655870445344,1.527939291210369,0.1269253290456933,844.0,0.8542510121457491,1.338679765379097,0.1974745083550537,2.045421411871001,0.0250645169511017
CAF,FN1,ITGB1,EMT,322.0,0.9279538904899136,1.633837970819193,0.2205512911239434,789.0,0.7985829959514169,1.250511680663727,0.1570458706942354,2.0431334668213235,0.03463666954729749
EMT,FN1,CD44,TIL,971.0,0.9827935222672064,1.583268091918657,0.2137248785403858,70.0,0.6730769230769231,1.288969801734865,0.1622306721509586,2.04078475853353,0.03467273070098878
TAM,HBEGF,CD44,EMT,471.0,0.7942664418212478,1.3578427232927743,0.3621801784841212,930.0,0.9412955465587044,1.497820524807171,0.1885167753146101,2.033804700407981,0.06827703933069644
EMT,LGALS3BP,ITGB1,CAF,831.0,0.8410931174089069,1.310658938653179,0.1879619659272615,308.0,0.8876080691642652,1.549443807201967,0.1945873481682883,2.030792375850071,0.036575020506283966
TIL,LGALS1,ITGB1,EMT,88.0,0.8461538461538461,1.620293488909472,0.1463259234076031,789.0,0.7985829959514169,1.250511680663727,0.1570458706942354,2.026195933984678,0.02297988204668503
Endo,LGALS1,ITGB1,EMT,54.0,0.9818181818181818,1.6193296002628583,0.1462388762786457,789.0,0.7985829959514169,1.250511680663727,0.1570458706942354,2.024990579973228,0.022966211654526492
EMT,LGALS1,ITGB1,EMT,984.0,0.9959514170040484,1.6149491868810757,0.1458432886660412,789.0,0.7985829959514169,1.250511680663727,0.1570458706942354,2.019512821873174,0.02290408625346916
EMT,FN1,PLAUR,DC,971.0,0.9827935222672064,1.583268091918657,0.2137248785403858,42.0,0.65625,1.253848141338427,0.1906396280239175,1.985177754292647,0.040744431344396086
TAM,HLA-B,CANX,EMT,593.0,1.0,1.738308627245481,0.1489510768939349,741.0,0.75,1.139109161334403,0.1743152611185877,1.9801232825219568,0.02596444586266111
EMT,FN1,ITGB1,EMT,971.0,0.9827935222672064,1.583268091918657,0.2137248785403858,789.0,0.7985829959514169,1.250511680663727,0.1570458706942354,1.9798952425664533,0.0335646096393946
EMT,FN1,ITGB1,ETC,971.0,0.9827935222672064,1.583268091918657,0.2137248785403858,309.0,0.6851441241685144,1.239740618484833,0.1556931837386939,1.9628417635025381,0.03327550678411832
CAF,FN1,PLAUR,EMT,322.0,0.9279538904899136,1.633837970819193,0.2205512911239434,771.0,0.7803643724696356,1.196952746800717,0.1819890454746105,1.9556268469993419,0.0401379189498394
EMT,ANXA1,FPR3,TAM,924.0,0.9352226720647774,1.48674481995477,0.1694299147922071,453.0,0.7639123102866779,1.303418018269138,0.7435595229508087,1.9378499868973529,0.1259812266164897
EMT,APP,CD74,DC,719.0,0.7277327935222672,1.097808375729356,0.1839124006684468,59.0,0.921875,1.7617691470567352,0.1807900910890644,1.9340849257404467,0.03324953966925701
EMT,APP,CD74,TAM,719.0,0.7277327935222672,1.097808375729356,0.1839124006684468,593.0,1.0,1.738308627245481,0.1783826079515834,1.9083297705926883,0.03280677366587408
EMT,HLA-A,APLP2,ETC,944.0,0.9554655870445344,1.527939291210369,0.1269253290456933,316.0,0.7006651884700665,1.243275762198738,0.18340104649331399,1.899649886872971,0.02327823817348837
TAM,SPP1,CD44,EMT,437.0,0.7369308600337268,1.26821501736358,0.2884086817201509,930.0,0.9412955465587044,1.497820524807171,0.1885167753146101,1.899558482875853,0.05436987465062057
TAM,LGALS9,CD44,EMT,448.0,0.7554806070826307,1.266333542083324,0.3031888214739449,930.0,0.9412955465587044,1.497820524807171,0.1885167753146101,1.896740370584169,0.05715617893570508
EMT,FN1,PLAUR,EMT,971.0,0.9827935222672064,1.583268091918657,0.2137248785403858,771.0,0.7803643724696356,1.196952746800717,0.1819890454746105,1.8950970915439669,0.038895586639741866
TAM,GRN,TNFRSF1A,EMT,591.0,0.9966273187183812,1.7311879361730342,0.2022713101765671,715.0,0.7236842105263158,1.0861407924711541,0.210124956089608,1.88031383691148,0.042502250169038636
Endo,COL4A1,ITGB1,EMT,50.0,0.9090909090909092,1.5006310689502158,0.5086862171498847,789.0,0.7985829959514169,1.250511680663727,0.1570458706942354,1.876556680089141,0.07988706988246055
CAF,HLA-B,CANX,EMT,327.0,0.9423631123919308,1.642604464078182,0.1407504398243307,741.0,0.75,1.139109161334403,0.1743152611185877,1.8711057934802442,0.02453494967053428
Endo,FN1,ITGB1,EMT,50.0,0.9090909090909092,1.484343052152558,0.2003710174877128,789.0,0.7985829959514169,1.250511680663727,0.1570458706942354,1.8561883248288218,0.03146744090324773
EMT,FN1,ITGB1,Endo,971.0,0.9827935222672064,1.583268091918657,0.2137248785403858,42.0,0.7636363636363637,1.171465771099528,0.1471188673049199,1.8547443761567681,0.031442962045743136
TAM,FN1,CD44,EMT,427.0,0.7200674536256324,1.236078288667072,0.1668578325175712,930.0,0.9412955465587044,1.497820524807171,0.1885167753146101,1.851423431034064,0.03145550052219781
Endo,HLA-B,CANX,EMT,54.0,0.9818181818181818,1.616982038898087,0.1385549218573878,741.0,0.75,1.139109161334403,0.1743152611185877,1.841919054221993,0.02415223738283607
EMT,COL1A1,CD44,EMT,775.0,0.7844129554655871,1.220560562185866,0.1777187920644013,930.0,0.9412955465587044,1.497820524807171,0.1885167753146101,1.828180661812169,0.033502973592788636
Endo,HSPG2,ITGB1,EMT,49.0,0.8909090909090909,1.4534623212733628,0.37709607328370004,789.0,0.7985829959514169,1.250511680663727,0.1570458706942354,1.8175716101569552,0.059221381164215874
CAF,LGALS3BP,ITGB1,EMT,293.0,0.8443804034582133,1.4477549090787207,0.2076229374904435,789.0,0.7985829959514169,1.250511680663727,0.1570458706942354,1.8104344245411932,0.03260632499428152
TAM,CD14,ITGB1,EMT,495.0,0.8347386172006745,1.4371093526726884,0.5477690499477679,789.0,0.7985829959514169,1.250511680663727,0.1570458706942354,1.7971220319082841,0.08602486738840134
Endo,CALR,ITGA3,EMT,53.0,0.9636363636363636,1.5875812439182633,0.1576790563153045,718.0,0.7267206477732794,1.1307193987790471,0.358238222144802,1.795108909636151,0.056486664803864814
CAF,FN1,NT5E,EMT,322.0,0.9279538904899136,1.633837970819193,0.2205512911239434,719.0,0.7277327935222672,1.097720838291336,0.5007129186726198,1.793497986959859,0.1104328806956844
Endo,FN1,PLAUR,EMT,50.0,0.9090909090909092,1.484343052152558,0.2003710174877128,771.0,0.7803643724696356,1.196952746800717,0.1819890454746105,1.7766884934685638,0.036465330213365336
EMT,FN1,ITGB1,TIL,971.0,0.9827935222672064,1.583268091918657,0.2137248785403858,62.0,0.5961538461538461,1.1220162914008291,0.1409087401107962,1.7764525927878392,0.030115703365458713
DC,CALR,ITGA3,EMT,52.0,0.8125,1.546076375063397,0.1535567800043463,718.0,0.7267206477732794,1.1307193987790471,0.358238222144802,1.7481785492781732,0.055009907867037515
TAM,CALR,ITGA3,EMT,533.0,0.8988195615514334,1.5454871391477434,0.1534982569123891,718.0,0.7267206477732794,1.1307193987790471,0.358238222144802,1.747512288797886,0.05498894265862034
EMT,HLA-A,APLP2,Endo,944.0,0.9554655870445344,1.527939291210369,0.1269253290456933,40.0,0.7272727272727273,1.142481982626511,0.1685325151379928,1.745643110754969,0.021391044938788017
EMT,FN1,NT5E,EMT,971.0,0.9827935222672064,1.583268091918657,0.2137248785403858,719.0,0.7277327935222672,1.097720838291336,0.5007129186726198,1.737986377100873,0.1070148077269077
CAF,VCAN,CD44,EMT,234.0,0.6743515850144092,1.158118865661523,0.3921778348504349,930.0,0.9412955465587044,1.497820524807171,0.1885167753146101,1.7346542071542281,0.07393210077586969
CAF,CALR,ITGA3,EMT,304.0,0.8760806916426513,1.5203248419606807,0.1509991298344016,718.0,0.7267206477732794,1.1307193987790471,0.358238222144802,1.7190607912506308,0.054093659817288184
EMT,FN1,ITGB1,TAM,971.0,0.9827935222672064,1.583268091918657,0.2137248785403858,378.0,0.6374367622259697,1.072474393807762,0.1346870065887084,1.6980144871156342,0.02878596412413985
EMT,FN1,ITGA5,Endo,971.0,0.9827935222672064,1.583268091918657,0.2137248785403858,37.0,0.6727272727272727,1.05955833805485,0.3534313614644389,1.677564908168607,0.07553707480135037
EMT,FN1,SDC2,CAF,971.0,0.9827935222672064,1.583268091918657,0.2137248785403858,224.0,0.6455331412103746,1.053797040871239,0.4503345577753847,1.6684432301697352,0.09624769866308244
CAF,TIMP2,ITGB1,EMT,268.0,0.7723342939481268,1.331055007517045,0.2281095301741871,789.0,0.7985829959514169,1.250511680663727,0.1570458706942354,1.66449983450601,0.035823659779858186
ETC,HLA-B,CANX,EMT,364.0,0.8070953436807096,1.4602045993504182,0.1251210769766298,741.0,0.75,1.139109161334403,0.1743152611185877,1.6633324365426931,0.02181051320462015
EMT,TGM2,ITGB1,EMT,840.0,0.8502024291497976,1.32327996844886,0.2635739495536606,789.0,0.7985829959514169,1.250511680663727,0.1570458706942354,1.6547770573336282,0.041393200399973115
EMT,TGM2,ITGB1,ETC,840.0,0.8502024291497976,1.32327996844886,0.2635739495536606,309.0,0.6851441241685144,1.239740618484833,0.1556931837386939,1.6405239265133797,0.0410366673565913
EMT,LGALS3BP,ITGB1,EMT,831.0,0.8410931174089069,1.310658938653179,0.1879619659272615,789.0,0.7985829959514169,1.250511680663727,0.1570458706942354,1.638994312152124,0.029518650596446986
Endo,FN1,NT5E,EMT,50.0,0.9090909090909092,1.484343052152558,0.2003710174877128,719.0,0.7277327935222672,1.097720838291336,0.5007129186726198,1.6293942995208262,0.1003283569836752
CAF,COL1A1,ITGA5,EMT,338.0,0.9740634005763688,1.7490833148741238,0.2546739453737101,613.0,0.6204453441295547,0.9290864307372022,0.3099105262447445,1.625049574078393,0.07892613643159181
EMT,LGALS3BP,ITGB1,ETC,831.0,0.8410931174089069,1.310658938653179,0.1879619659272615,309.0,0.6851441241685144,1.239740618484833,0.1556931837386939,1.624877123228567,0.029264396896999237
TIL,LTB,TNFRSF1A,EMT,79.0,0.7596153846153846,1.489056656063015,0.5726436647679453,715.0,0.7236842105263158,1.0861407924711541,0.210124956089608,1.617325176450729,0.1203267249143567
