cell,cluster
cell_3844,ETC
cell_3845,ETC
cell_3846,CAF
cell_3847,CAF
cell_3848,ETC
cell_3849,ETC
cell_3850,CAF
cell_3851,CAF
cell_3852,ETC
cell_3853,ETC
cell_3854,CAF
cell_3855,ETC
cell_3856,CAF
cell_3857,DC
cell_3858,ETC
cell_3859,ETC
cell_3860,TAM
cell_3861,ETC
cell_3862,ETC
cell_3863,ETC
cell_3864,ETC
cell_3865,ETC
cell_3866,ETC
cell_3867,ETC
cell_3868,ETC
cell_3869,ETC
cell_3870,ETC
cell_3871,ETC
cell_3872,ETC
cell_3873,CAF
cell_3874,CAF
cell_3875,ETC
cell_3876,ETC
cell_3877,CAF
cell_3878,ETC
cell_3879,ETC
cell_3880,TAM
cell_3881,ETC
cell_3882,ETC
cell_3883,ETC
cell_3884,ETC
cell_3885,ETC
cell_3886,ETC
cell_3887,ETC
cell_3888,ETC
cell_3889,ETC
cell_3890,ETC
cell_3891,TAM
cell_3892,ETC
cell_3893,CAF
cell_3894,ETC
cell_3895,TAM
cell_3896,ETC
cell_3897,ETC
cell_3898,ETC
cell_3899,ETC
cell_3900,ETC
cell_3901,ETC
cell_3902,ETC
cell_3903,ETC
cell_3904,CAF
cell_3905,CAF
cell_3906,ETC
cell_3907,ETC
cell_3908,TAM
cell_3909,ETC
cell_3910,ETC
cell_3911,ETC
cell_3912,ETC
cell_3913,ETC
cell_3914,ETC
cell_3915,CAF
cell_3916,ETC
cell_3917,ETC
cell_3918,ETC
cell_3919,ETC
cell_3920,ETC
cell_3921,ETC
cell_3922,ETC
cell_3923,ETC
cell_3924,ETC
cell_3925,CAF
cell_3926,DC
cell_3927,ETC
cell_3928,ETC
cell_3929,ETC
cell_3930,ETC
cell_3931,ETC
cell_3932,ETC
cell_3933,Endo
cell_3934,ETC
cell_3935,ETC
cell_3936,ETC
cell_3937,ETC
cell_3938,ETC
cell_3939,ETC
cell_3940,CAF
cell_3941,ETC
cell_3942,ETC
cell_3943,ETC
cell_3944,ETC
cell_3945,TAM
cell_3946,TAM
cell_3947,ETC
cell_3948,TAM
cell_3949,CAF
cell_3950,ETC
cell_3951,TAM
cell_3952,CAF
cell_3953,CAF
cell_3954,ETC
cell_3955,ETC
cell_3956,ETC
cell_3957,ETC
cell_3958,CAF
cell_3959,ETC
cell_3960,CAF
cell_3961,ETC
cell_3962,ETC
cell_3963,ETC
cell_3964,ETC
cell_3965,ETC
cell_3966,ETC
cell_3967,ETC
cell_3968,ETC
cell_3969,ETC
cell_3970,ETC
cell_3971,ETC
cell_3972,ETC
cell_3973,ETC
cell_3974,ETC
cell_3975,ETC
cell_3976,TAM
cell_3977,ETC
cell_3978,ETC
cell_3979,ETC
cell_3980,ETC
cell_3981,CAF
cell_3982,DC
cell_3983,ETC
cell_3984,ETC
cell_3985,CAF
cell_3986,CAF
cell_3987,ETC
cell_3988,CAF
cell_3989,ETC
cell_3990,CAF
cell_3991,ETC
cell_3992,ETC
cell_3993,ETC
cell_3994,ETC
cell_3995,ETC
cell_3996,ETC
cell_3997,ETC
cell_3998,ETC
cell_3999,ETC
cell_4000,ETC
cell_4001,ETC
cell_4002,ETC
cell_4003,CAF
cell_4004,ETC
cell_4005,ETC
cell_4006,CAF
cell_4007,ETC
cell_4008,ETC
cell_4009,CAF
cell_4010,CAF
cell_4011,TAM
cell_4012,ETC
cell_4013,TAM
cell_4014,ETC
cell_4015,ETC
cell_4016,CAF
cell_4017,TAM
cell_4018,ETC
cell_4019,CAF
cell_4020,TAM
cell_4021,ETC
cell_4022,Endo
cell_4023,ETC
cell_4024,CAF
cell_4025,ETC
cell_4026,ETC
cell_4027,ETC
cell_4028,ETC
cell_4029,ETC
cell_4030,ETC
cell_4031,ETC
cell_4032,CAF
cell_4033,ETC
cell_4034,ETC
cell_4035,ETC
cell_4036,ETC
cell_4037,TAM
cell_4038,ETC
cell_4039,ETC
cell_4040,ETC
cell_4041,ETC
cell_4042,ETC
cell_4043,ETC
cell_4044,ETC
cell_4045,TAM
cell_4046,ETC
cell_4047,ETC
cell_4048,CAF
cell_4049,ETC
cell_4050,ETC
cell_4051,ETC
cell_4052,ETC
cell_4053,CAF
