"","ligandreceptor_pair"
"1","A2M->LRP1"
"2","AANAT->MTNR1A"
"3","AANAT->MTNR1B"
"4","ACE->BDKRB2"
"5","ADAM10->EPHA3"
"6","ADAM11->ITGA4"
"7","ADAM12->ITGA9"
"8","ADAM12->ITGB1"
"9","ADAM12->SDC4"
"10","ADAM15->ITGA5"
"11","ADAM15->ITGA9"
"12","ADAM15->ITGAV"
"13","ADAM15->ITGB1"
"14","ADAM15->ITGB3"
"15","ADAM17->ITGA5"
"16","ADAM17->ITGB1"
"17","ADAM17->NOTCH1"
"18","ADAM2->ITGA6"
"19","ADAM2->ITGA9"
"20","ADAM2->ITGB1"
"21","ADAM2->ITGB7"
"22","ADAM23->ITGA4"
"23","ADAM23->ITGA5"
"24","ADAM23->ITGB3"
"25","ADAM28->ITGA4"
"26","ADAM29->ITGA4"
"27","ADAM7->ITGA4"
"28","ADAM7->ITGB7"
"29","ADAM9->ITGA3"
"30","ADAM9->ITGA6"
"31","ADAM9->ITGAV"
"32","ADAM9->ITGB1"
"33","ADAM9->ITGB5"
"34","ADCYAP1->ADCYAP1R1"
"35","ADCYAP1->SCTR"
"36","ADCYAP1->VIPR1"
"37","ADCYAP1->VIPR2"
"38","ADGRB1->RTN4R"
"39","ADGRB1->RTN4RL1"
"40","ADGRB1->RTN4RL2"
"41","ADGRE5->CD55"
"42","ADIPOQ->ADIPOR1"
"43","ADIPOQ->ADIPOR2"
"44","ADM->CALCR"
"45","ADM->CALCRL"
"46","ADM->MRGPRX2"
"47","ADM->RAMP2"
"48","ADM->RAMP3"
"49","ADM2->CALCR"
"50","ADM2->CALCRL"
"51","ADM2->RAMP1"
"52","ADM2->RAMP2"
"53","ADM2->RAMP3"
"54","AFDN->EPHA7"
"55","AFDN->EPHB2"
"56","AFDN->EPHB3"
"57","AFDN->EPHB6"
"58","AFDN->F11R"
"59","AFDN->NECTIN1"
"60","AFDN->NECTIN2"
"61","AFDN->NECTIN3"
"62","AFDN->NECTIN4"
"63","AGRN->ATP1A3"
"64","AGRN->DAG1"
"65","AGRN->LRP4"
"66","AGRN->MUSK"
"67","AGRP->MC3R"
"68","AGRP->MC4R"
"69","AGRP->MC5R"
"70","AGRP->SDC3"
"71","AGT->AGTR1"
"72","AGT->AGTR2"
"73","AGT->LRP2"
"74","AGT->MAS1"
"75","AHSG->INSR"
"76","ALB->LRP2"
"77","ALCAM->CD6"
"78","ALCAM->CHL1"
"79","ALCAM->L1CAM"
"80","ALCAM->NRP1"
"81","ALKAL1->ALK"
"82","ALKAL1->LTK"
"83","ALKAL2->ALK"
"84","ALKAL2->LTK"
"85","AMBN->CD63"
"86","AMELX->CD63"
"87","AMELX->LAMP1"
"88","AMELX->LAMP2"
"89","AMELY->CD63"
"90","AMELY->LAMP1"
"91","AMELY->LAMP2"
"92","AMH->ACVR1"
"93","AMH->AMHR2"
"94","AMH->EGFR"
"95","ANG->PLXNB2"
"96","ANGPT1->ITGA5"
"97","ANGPT1->ITGB1"
"98","ANGPT1->TEK"
"99","ANGPT1->TIE1"
"100","ANGPT2->TEK"
"101","ANGPT2->TIE1"
"102","ANGPT4->TEK"
"103","ANGPTL1->TEK"
"104","ANGPTL2->ITGA5"
"105","ANGPTL2->ITGB1"
"106","ANGPTL2->LILRB2"
"107","ANGPTL3->ITGA5"
"108","ANGPTL3->ITGAV"
"109","ANGPTL3->ITGB3"
"110","ANOS1->FGFR1"
"111","ANOS1->SDC2"
"112","ANPEP->SELE"
"113","ANXA1->DYSF"
"114","ANXA1->EGFR"
"115","ANXA1->FPR1"
"116","ANXA1->FPR2"
"117","ANXA1->FPR3"
"118","ANXA2->ROBO4"
"119","ANXA2->TLR2"
"120","APELA->APLNR"
"121","APLN->APLNR"
"122","APOB->ENO1"
"123","APOB->LDLR"
"124","APOB->LRP2"
"125","APOB->LSR"
"126","APOB->OLR1"
"127","APOD->LEPR"
"128","APOE->LDLR"
"129","APOE->LRP1"
"130","APOE->LRP2"
"131","APOE->LRP5"
"132","APOE->LRP8"
"133","APOE->SCARB1"
"134","APOE->SORL1"
"135","APOE->VLDLR"
"136","APP->CAV1"
"137","APP->CD74"
"138","APP->FPR2"
"139","APP->GPC1"
"140","APP->LRP1"
"141","APP->NCSTN"
"142","APP->TNFRSF21"
"143","AREG->EGFR"
"144","AREG->ERBB3"
"145","ARF1->CHRM3"
"146","ARF1->INSR"
"147","ARF1->PLD2"
"148","ARTN->GFRA1"
"149","ARTN->GFRA3"
"150","ARTN->RET"
"151","ASIP->ATRN"
"152","ASIP->F11R"
"153","ASIP->MC1R"
"154","ASIP->MC2R"
"155","ASIP->MC3R"
"156","ASIP->MC4R"
"157","ASIP->MC5R"
"158","AVP->AVPR1A"
"159","AVP->AVPR1B"
"160","AVP->AVPR2"
"161","AVP->OXTR"
"162","AZGP1->ITGAV"
"163","B2M->CD1A"
"164","B2M->CD1B"
"165","B2M->HLA-F"
"166","B2M->LILRB1"
"167","BAG6->NCR3"
"168","BDNF->NGFR"
"169","BDNF->NTRK2"
"170","BDNF->SORT1"
"171","BGN->FGFR3"
"172","BGN->TLR2"
"173","BGN->TLR4"
"174","BMP10->ACVR2A"
"175","BMP10->ACVRL1"
"176","BMP10->BMPR1A"
"177","BMP10->BMPR1B"
"178","BMP10->BMPR2"
"179","BMP10->ENG"
"180","BMP15->ACVR2A"
"181","BMP15->BMPR1A"
"182","BMP15->BMPR1B"
"183","BMP15->BMPR2"
"184","BMP2->ACVR2A"
"185","BMP2->ACVR2B"
"186","BMP2->BMPR1A"
"187","BMP2->BMPR1B"
"188","BMP2->BMPR2"
"189","BMP2->ENG"
"190","BMP2->HJV"
"191","BMP2->RGMB"
"192","BMP3->ACVR2B"
"193","BMP4->BMPR1A"
"194","BMP4->BMPR1B"
"195","BMP4->BMPR2"
"196","BMP4->CFC1"
"197","BMP4->RGMB"
"198","BMP5->HJV"
"199","BMP6->ACVR1"
"200","BMP6->ACVR2A"
"201","BMP6->BMPR1A"
"202","BMP6->BMPR1B"
"203","BMP6->BMPR2"
"204","BMP6->HJV"
"205","BMP7->ACVR1"
"206","BMP7->ACVR2A"
"207","BMP7->ACVR2B"
"208","BMP7->BMPR1A"
"209","BMP7->BMPR1B"
"210","BMP7->BMPR2"
"211","BMP7->ENG"
"212","BMP7->HJV"
"213","BMP8A->ACVR2A"
"214","BMP8A->ACVR2B"
"215","BMP8A->BMPR1A"
"216","BMP8A->BMPR2"
"217","BMP8A->TGFBR1"
"218","BMP8A->TGFBR2"
"219","BSG->SELE"
"220","BSG->SLC16A1"
"221","BSG->SLC16A7"
"222","BST2->LILRA4"
"223","BTC->EGFR"
"224","BTC->ERBB2"
"225","BTC->ERBB3"
"226","BTC->ERBB4"
"227","BTLA->CD79A"
"228","BTLA->TNFRSF14"
"229","BTLA->VTCN1"
"230","C1QA->CD33"
"231","C1QA->CD93"
"232","C1QA->CSPG4"
"233","C1QB->CD33"
"234","C1QB->LRP1"
"235","C1QTNF1->AVPR2"
"236","C3->C3AR1"
"237","C3->C5AR2"
"238","C3->CD19"
"239","C3->CD46"
"240","C3->CR1"
"241","C3->CR2"
"242","C3->ITGAM"
"243","C3->ITGAX"
"244","C3->ITGB2"
"245","C3->LRP1"
