cell,cluster
cell_5302,ETC
cell_5303,ETC
cell_5304,ETC
cell_5305,TAM
cell_5306,CAF
cell_5307,CAF
cell_5308,TAM
cell_5309,TAM
cell_5310,CAF
cell_5311,TAM
cell_5312,TAM
cell_5313,ETC
cell_5314,ETC
cell_5315,ETC
cell_5316,TAM
cell_5317,TAM
cell_5318,CAF
cell_5319,TAM
cell_5320,ETC
cell_5321,Endo
cell_5322,TAM
cell_5323,TAM
cell_5324,CAF
cell_5325,ETC
cell_5326,ETC
cell_5327,TAM
cell_5328,ETC
cell_5329,CAF
cell_5330,TAM
cell_5331,DC
cell_5332,TAM
cell_5333,TAM
cell_5334,ETC
cell_5335,ETC
cell_5336,TAM
cell_5337,CAF
cell_5338,ETC
cell_5339,TAM
cell_5340,CAF
cell_5341,CAF
cell_5342,TAM
cell_5343,TAM
cell_5344,ETC
cell_5345,CAF
cell_5346,ETC
cell_5347,CAF
cell_5348,TAM
cell_5349,ETC
cell_5350,TAM
cell_5351,ETC
cell_5352,CAF
cell_5353,TAM
cell_5354,ETC
cell_5355,CAF
cell_5356,ETC
cell_5357,CAF
cell_5358,DC
cell_5359,ETC
cell_5360,Endo
cell_5361,ETC
cell_5362,TAM
cell_5363,CAF
cell_5364,ETC
cell_5365,CAF
cell_5366,ETC
cell_5367,TAM
cell_5368,CAF
cell_5369,CAF
cell_5370,CAF
cell_5371,TAM
cell_5372,Endo
cell_5373,ETC
cell_5374,CAF
cell_5375,CAF
cell_5376,ETC
cell_5377,TAM
cell_5378,TAM
cell_5379,ETC
cell_5380,Endo
cell_5381,TAM
cell_5382,CAF
cell_5383,CAF
cell_5384,ETC
cell_5385,CAF
cell_5386,ETC
cell_5387,CAF
cell_5388,TAM
cell_5389,ETC
cell_5390,ETC
cell_5391,CAF
cell_5392,ETC
cell_5393,CAF
cell_5394,ETC
cell_5395,CAF
cell_5396,CAF
cell_5397,TAM
cell_5398,ETC
cell_5399,ETC
cell_5400,ETC
cell_5401,CAF
cell_5402,TAM
cell_5403,ETC
cell_5404,TAM
cell_5405,ETC
cell_5406,ETC
cell_5407,CAF
cell_5408,TAM
cell_5409,CAF
cell_5410,ETC
cell_5411,ETC
cell_5412,CAF
cell_5413,TAM
cell_5414,TAM
cell_5415,ETC
cell_5416,TAM
cell_5417,ETC
cell_5418,CAF
cell_5419,ETC
cell_5420,ETC
cell_5421,ETC
cell_5422,CAF
cell_5423,ETC
cell_5424,CAF
cell_5425,TAM
cell_5426,CAF
cell_5427,TAM
cell_5428,TAM
cell_5429,CAF
cell_5430,TAM
cell_5431,ETC
cell_5432,ETC
cell_5433,TAM
cell_5434,ETC
cell_5435,ETC
cell_5436,TAM
cell_5437,CAF
cell_5438,TAM
cell_5439,TAM
cell_5440,ETC
cell_5441,ETC
cell_5442,TAM
cell_5443,CAF
cell_5444,TAM
cell_5445,CAF
cell_5446,ETC
cell_5447,TAM
cell_5448,ETC
cell_5449,TAM
cell_5450,CAF
cell_5451,TAM
cell_5452,ETC
cell_5453,TAM
cell_5454,CAF
cell_5455,CAF
cell_5456,CAF
cell_5457,Endo
cell_5458,TAM
cell_5459,ETC
cell_5460,TAM
cell_5461,ETC
cell_5462,CAF
cell_5463,ETC
cell_5464,ETC
cell_5465,TAM
cell_5466,TAM
cell_5467,CAF
cell_5468,ETC
cell_5469,Endo
cell_5470,ETC
cell_5471,Endo
cell_5472,TAM
cell_5473,CAF
cell_5474,ETC
cell_5475,ETC
cell_5476,ETC
cell_5477,TAM
cell_5478,CAF
cell_5479,ETC
cell_5480,ETC
cell_5481,TAM
cell_5482,ETC
cell_5483,ETC
cell_5484,ETC
cell_5485,CAF
cell_5486,Endo
cell_5487,CAF
cell_5488,CAF
cell_5489,ETC
cell_5490,DC
cell_5491,CAF
cell_5492,ETC
cell_5493,TAM
cell_5494,ETC
cell_5495,TAM
cell_5496,TAM
cell_5497,CAF
cell_5498,Endo
cell_5499,TAM
cell_5500,ETC
cell_5501,ETC
cell_5502,ETC
cell_5503,ETC
cell_5504,ETC
cell_5505,ETC
cell_5506,TAM
cell_5507,ETC
cell_5508,ETC
cell_5509,CAF
cell_5510,ETC
cell_5511,TAM
cell_5512,CAF
cell_5513,ETC
cell_5514,TAM
cell_5515,CAF
cell_5516,TAM
cell_5517,CAF
cell_5518,ETC
cell_5519,ETC
cell_5520,ETC
cell_5521,CAF
cell_5522,TAM
cell_5523,TAM
cell_5524,ETC
cell_5525,TAM
cell_5526,TAM
cell_5527,TAM
cell_5528,ETC
cell_5529,ETC
cell_5530,CAF
cell_5531,ETC
cell_5532,TAM
cell_5533,TAM
cell_5534,CAF
cell_5535,ETC
cell_5536,ETC
cell_5537,TAM
cell_5538,CAF
cell_5539,ETC
cell_5540,ETC
cell_5541,CAF
cell_5542,TAM
cell_5543,ETC
cell_5544,TAM
cell_5545,TAM
cell_5546,CAF
cell_5547,CAF
cell_5548,ETC
cell_5549,TAM
cell_5550,CAF
cell_5551,CAF
cell_5552,CAF
cell_5553,ETC
cell_5554,ETC
cell_5555,TAM
cell_5556,TAM
cell_5557,ETC
cell_5558,TAM
cell_5559,CAF
cell_5560,ETC
cell_5561,CAF
cell_5562,ETC
cell_5563,CAF
cell_5564,CAF
cell_5565,TAM
cell_5566,CAF
cell_5567,CAF
cell_5568,ETC
cell_5569,ETC
cell_5570,CAF
cell_5571,ETC
cell_5572,TAM
cell_5573,ETC
cell_5574,ETC
cell_5575,CAF
cell_5576,TAM
cell_5577,TAM
cell_5578,CAF
cell_5579,DC
cell_5580,ETC
cell_5581,ETC
cell_5582,TAM
cell_5583,ETC
cell_5584,CAF
cell_5585,TAM
cell_5586,ETC
cell_5587,DC
cell_5588,CAF
cell_5589,TAM
cell_5590,ETC
cell_5591,ETC
cell_5592,TAM
cell_5593,CAF
cell_5594,TAM
cell_5595,ETC
cell_5596,CAF
cell_5597,TAM
cell_5598,TAM
cell_5599,ETC
cell_5600,ETC
cell_5601,ETC
cell_5602,TAM
cell_5603,TAM
cell_5604,TAM
cell_5605,ETC
cell_5606,Endo
cell_5607,Endo
cell_5608,CAF
cell_5609,TAM
cell_5610,ETC
cell_5611,TAM
cell_5612,ETC
cell_5613,CAF
cell_5614,TAM
cell_5615,CAF
cell_5616,ETC
cell_5617,TAM
cell_5618,CAF
cell_5619,CAF
cell_5620,CAF
cell_5621,TAM
cell_5622,ETC
cell_5623,TAM
cell_5624,CAF
cell_5625,CAF
cell_5626,Endo
cell_5627,CAF
cell_5628,ETC
cell_5629,ETC
cell_5630,ETC
cell_5631,TAM
cell_5632,ETC
cell_5633,ETC
cell_5634,TAM
cell_5635,ETC
cell_5636,CAF
cell_5637,TAM
cell_5638,TAM
cell_5639,Endo
cell_5640,TAM
cell_5641,CAF
cell_5642,CAF
cell_5643,TAM
cell_5644,ETC
cell_5645,ETC
cell_5646,TAM
cell_5647,CAF
cell_5648,ETC
cell_5649,TAM
cell_5650,CAF
cell_5651,TAM
cell_5652,ETC
cell_5653,CAF
cell_5654,ETC
cell_5655,ETC
cell_5656,ETC
cell_5657,CAF
cell_5658,ETC
cell_5659,CAF
cell_5660,CAF
cell_5661,TAM
cell_5662,CAF
cell_5663,CAF
cell_5664,TAM
cell_5665,TAM
cell_5666,ETC
cell_5667,CAF
cell_5668,TAM
cell_5669,CAF
cell_5670,ETC
cell_5671,ETC
cell_5672,ETC
cell_5673,TAM
cell_5674,Endo
cell_5675,ETC
cell_5676,CAF
cell_5677,TAM
cell_5678,TAM
cell_5679,ETC
cell_5680,ETC
cell_5681,ETC
cell_5682,TAM
cell_5683,ETC
cell_5684,TAM
cell_5685,CAF
cell_5686,TAM
cell_5687,TAM
cell_5688,TAM
cell_5689,ETC
cell_5690,TAM
cell_5691,CAF
cell_5692,CAF
cell_5693,CAF
cell_5694,TAM
cell_5695,ETC
cell_5696,CAF
cell_5697,TAM
cell_5698,ETC
cell_5699,CAF
cell_5700,TAM
cell_5701,CAF
cell_5702,ETC
cell_5703,ETC
cell_5704,TAM
cell_5705,TAM
cell_5706,CAF
cell_5707,DC
cell_5708,CAF
cell_5709,TAM
cell_5710,ETC
cell_5711,TAM
cell_5712,ETC
cell_5713,CAF
cell_5714,CAF
cell_5715,ETC
cell_5716,TAM
cell_5717,ETC
cell_5718,CAF
cell_5719,TAM
cell_5720,TAM
cell_5721,ETC
cell_5722,ETC
cell_5723,CAF
cell_5724,ETC
cell_5725,CAF
cell_5726,ETC
cell_5727,TAM
cell_5728,ETC
cell_5729,TAM
cell_5730,ETC
cell_5731,Endo
cell_5732,TAM
cell_5733,CAF
cell_5734,CAF
cell_5735,Endo
cell_5736,CAF
cell_5737,TAM
cell_5738,ETC
cell_5739,ETC
cell_5740,ETC
cell_5741,CAF
cell_5742,Endo
cell_5743,CAF
cell_5744,DC
cell_5745,TAM
cell_5746,TAM
cell_5747,TAM
cell_5748,CAF
cell_5749,TAM
cell_5750,TAM
cell_5751,TAM
cell_5752,ETC
cell_5753,ETC
cell_5754,ETC
cell_5755,TAM
cell_5756,ETC
cell_5757,Endo
cell_5758,ETC
cell_5759,TAM
cell_5760,ETC
cell_5761,TAM
cell_5762,ETC
cell_5763,ETC
cell_5764,TAM
cell_5765,DC
cell_5766,TAM
cell_5767,ETC
cell_5768,TAM
cell_5769,ETC
cell_5770,ETC
cell_5771,ETC
cell_5772,CAF
cell_5773,CAF
cell_5774,CAF
cell_5775,CAF
cell_5776,ETC
cell_5777,ETC
cell_5778,TAM
cell_5779,TAM
cell_5780,TAM
cell_5781,ETC
cell_5782,CAF
cell_5783,ETC
cell_5784,TIL
cell_5785,ETC
cell_5786,TAM
cell_5787,DC
cell_5788,TAM
cell_5789,CAF
cell_5790,TAM
cell_5791,TAM
cell_5792,ETC
cell_5793,TAM
cell_5794,CAF
cell_5795,TAM
cell_5796,Endo
cell_5797,CAF
cell_5798,ETC
cell_5799,CAF
cell_5800,ETC
cell_5801,TAM
cell_5802,TAM
cell_5803,ETC
cell_5804,TAM
cell_5805,CAF
cell_5806,TAM
cell_5807,CAF
cell_5808,ETC
cell_5809,CAF
cell_5810,CAF
cell_5811,TAM
cell_5812,Endo
cell_5813,CAF
cell_5814,TAM
cell_5815,TAM
cell_5816,ETC
cell_5817,DC
cell_5818,CAF
cell_5819,TAM
cell_5820,TAM
cell_5821,TAM
cell_5822,ETC
cell_5823,ETC
cell_5824,CAF
cell_5825,CAF
cell_5826,CAF
cell_5827,CAF
cell_5828,ETC
cell_5829,CAF
cell_5830,TAM
cell_5831,ETC
cell_5832,ETC
cell_5833,TAM
cell_5834,CAF
cell_5835,CAF
cell_5836,TAM
cell_5837,ETC
cell_5838,CAF
cell_5839,CAF
cell_5840,ETC
cell_5841,ETC
cell_5842,CAF
cell_5843,ETC
cell_5844,CAF
cell_5845,DC
cell_5846,ETC
cell_5847,TAM
cell_5848,TAM
cell_5849,CAF
cell_5850,ETC
cell_5851,ETC
cell_5852,ETC
cell_5853,ETC
cell_5854,ETC
cell_5855,CAF
cell_5856,TAM
cell_5857,CAF
cell_5858,ETC
cell_5859,ETC
cell_5860,ETC
cell_5861,ETC
cell_5862,ETC
cell_5863,TAM
cell_5864,ETC
cell_5865,ETC
cell_5866,CAF
cell_5867,TAM
cell_5868,ETC
cell_5869,CAF
cell_5870,ETC
cell_5871,TAM
cell_5872,ETC
cell_5873,TAM
cell_5874,CAF
cell_5875,ETC
cell_5876,ETC
cell_5877,ETC
cell_5878,ETC
cell_5879,TAM
cell_5880,ETC
