Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Ligand-expressing cells,Ligand detection rate,Ligand average expression value,Ligand total expression value,Ligand derived specificity of average expression value,Ligand derived specificity of total expression value,Receptor-expressing cells,Receptor detection rate,Receptor average expression value,Receptor total expression value,Receptor derived specificity of average expression value,Receptor derived specificity of total expression value,Edge average expression weight,Edge average expression derived specificity,Edge total expression weight,Edge total expression derived specificity
CAF,A2M,LRP1,DC,4,1.0,2.034207476238995,8.13682990495598,0.7433395812004208,0.4559245825770529,2,0.2222222222222222,0.2914256327872466,2.62283069508522,0.1841911089383029,0.05492308053669549,0.5928202009834971,0.1369165417790391,21.34152723540589,0.02504078256753875
CAF,A2M,LRP1,ETC,4,1.0,2.034207476238995,8.13682990495598,0.7433395812004208,0.4559245825770529,22,0.2972972972972973,0.4781063640491845,35.37987093963965,0.3021798067055035,0.740868064658891,0.9725675401862937,0.2246222109636931,287.8799918951429,0.3377799631242739
CAF,A2M,LRP1,TAM,4,1.0,2.034207476238995,8.13682990495598,0.7433395812004208,0.4559245825770529,5,0.4166666666666667,0.8126596435041634,9.751915722049961,0.5136290843561935,0.2042088548044136,1.653118322453885,0.3818008284576884,79.34967947778651,0.0931038368852403
DC,A2M,LRP1,DC,1,0.1111111111111111,0.15758343134731,1.41825088212579,0.05758409760562318,0.07946773485198425,2,0.2222222222222222,0.2914256327872466,2.62283069508522,0.1841911089383029,0.05492308053669549,0.04592385119717546,0.01060647879519121,3.719831946971213,0.004364612801344293
DC,A2M,LRP1,ETC,1,0.1111111111111111,0.15758343134731,1.41825088212579,0.05758409760562318,0.07946773485198425,22,0.2972972972972973,0.4781063640491845,35.37987093963965,0.3021798067055035,0.740868064658891,0.07534164139585667,0.01740075148377806,50.17753316964055,0.05887510692261547
DC,A2M,LRP1,TAM,1,0.1111111111111111,0.15758343134731,1.41825088212579,0.05758409760562318,0.07946773485198425,5,0.4166666666666667,0.8126596435041634,9.751915722049961,0.5136290843561935,0.2042088548044136,0.1280616951408678,0.02957686732665391,13.83066307521372,0.01622801512802449
ETC,A2M,LRP1,DC,2,0.02702702702702703,0.02829579353404258,2.093888721519151,0.01033984171281141,0.1173252178640181,2,0.2222222222222222,0.2914256327872466,2.62283069508522,0.1841911089383029,0.05492308053669549,0.00824611953587564,0.001904506911329255,5.491915610893177,0.006443862389730809
ETC,A2M,LRP1,ETC,2,0.02702702702702703,0.02829579353404258,2.093888721519151,0.01033984171281141,0.1173252178640181,22,0.2972972972972973,0.4781063640491845,35.37987093963965,0.3021798067055035,0.740868064658891,0.01352839896444752,0.003124491370142855,74.08151272931462,0.08692250709459783
ETC,A2M,LRP1,TAM,2,0.02702702702702703,0.02829579353404258,2.093888721519151,0.01033984171281141,0.1173252178640181,5,0.4166666666666667,0.8126596435041634,9.751915722049961,0.5136290843561935,0.2042088548044136,0.02299484948604246,0.0053108434313393,20.4194263436057,0.02395884837968947
TAM,A2M,LRP1,DC,4,0.3333333333333333,0.5164922833512566,6.19790740021508,0.1887364794811447,0.3472824647069447,2,0.2222222222222222,0.2914256327872466,2.62283069508522,0.1841911089383029,0.05492308053669549,0.1505190905053699,0.03476358145274329,16.25606177457995,0.01907382277808163
TAM,A2M,LRP1,ETC,4,0.3333333333333333,0.5164922833512566,6.19790740021508,0.1887364794811447,0.3472824647069447,22,0.2972972972972973,0.4781063640491845,35.37987093963965,0.3021798067055035,0.740868064658891,0.2469382476525304,0.05703235288788954,219.2811639154471,0.2572904875174037
TAM,A2M,LRP1,TAM,4,0.3333333333333333,0.5164922833512566,6.19790740021508,0.1887364794811447,0.3472824647069447,5,0.4166666666666667,0.8126596435041634,9.751915722049961,0.5136290843561935,0.2042088548044136,0.4197324348608836,0.09694054514051184,60.44147061996724,0.07091815441145938
