cell,cluster
cell_7858,ETC
cell_7859,ETC
cell_7860,TIL
cell_7861,ETC
cell_7862,TIL
cell_7863,TIL
cell_7864,ETC
cell_7865,TIL
cell_7866,TIL
cell_7867,ETC
cell_7868,ETC
cell_7869,TAM
cell_7870,ETC
cell_7871,TAM
cell_7872,CAF
cell_7873,TIL
cell_7874,ETC
cell_7875,ETC
cell_7876,TIL
cell_7877,ETC
cell_7878,ETC
cell_7879,TIL
cell_7880,ETC
cell_7881,ETC
cell_7882,ETC
cell_7883,TIL
cell_7884,ETC
cell_7885,CAF
cell_7886,ETC
cell_7887,TIL
cell_7888,TIL
cell_7889,TIL
cell_7890,ETC
cell_7891,TIL
cell_7892,TIL
cell_7893,ETC
cell_7894,ETC
cell_7895,ETC
cell_7896,TIL
cell_7897,ETC
cell_7898,ETC
cell_7899,ETC
cell_7900,TIL
cell_7901,TIL
cell_7902,DC
cell_7903,TIL
cell_7904,TIL
cell_7905,TIL
cell_7906,TIL
cell_7907,TIL
cell_7908,ETC
cell_7909,TIL
cell_7910,ETC
cell_7911,TAM
cell_7912,ETC
cell_7913,TIL
cell_7914,TIL
cell_7915,ETC
cell_7916,TIL
cell_7917,TAM
cell_7918,ETC
cell_7919,ETC
cell_7920,TAM
cell_7921,ETC
cell_7922,ETC
cell_7923,TIL
cell_7924,ETC
cell_7925,ETC
cell_7926,ETC
cell_7927,ETC
cell_7928,TAM
cell_7929,TIL
cell_7930,ETC
cell_7931,ETC
cell_7932,ETC
cell_7933,ETC
cell_7934,ETC
cell_7935,ETC
cell_7936,CAF
cell_7937,DC
cell_7938,ETC
cell_7939,ETC
cell_7940,TIL
cell_7941,CAF
cell_7942,ETC
cell_7943,ETC
cell_7944,TIL
cell_7945,DC
cell_7946,TIL
cell_7947,TIL
cell_7948,TIL
cell_7949,ETC
cell_7950,TAM
cell_7951,ETC
cell_7952,ETC
cell_7953,ETC
cell_7954,ETC
cell_7955,TIL
cell_7956,ETC
cell_7957,DC
cell_7958,TAM
cell_7959,ETC
cell_7960,ETC
cell_7961,ETC
cell_7962,ETC
cell_7963,ETC
cell_7964,ETC
cell_7965,ETC
cell_7966,DC
cell_7967,ETC
cell_7968,TIL
cell_7969,DC
cell_7970,TIL
cell_7971,ETC
cell_7972,DC
cell_7973,ETC
cell_7974,EMT
cell_7975,DC
cell_7976,ETC
cell_7977,ETC
cell_7978,TAM
cell_7979,ETC
cell_7980,ETC
cell_7981,TIL
cell_7982,TAM
cell_7983,TIL
cell_7984,ETC
cell_7985,TIL
cell_7986,TIL
cell_7987,ETC
cell_7988,ETC
cell_7989,ETC
cell_7990,ETC
cell_7991,TAM
cell_7992,DC
cell_7993,TIL
cell_7994,TIL
cell_7995,ETC
cell_7996,TIL
cell_7997,TAM
cell_7998,ETC
cell_7999,ETC
cell_8000,ETC
