From,To,NATMI_LR_ALL,HRL,HRH,Patient,NormHRL,NormHRH,N_cell_sending,Composition.x,N_cell_receiving,Composition.y
ETC,DC,85,2,0,P03,0.023529411764705882,0,14,0.016867469879518072,1,0.0012048192771084338
ETC,EMT,657,36,29,P03,0.0547945205479452,0.0441400304414003,14,0.016867469879518072,681,0.8204819277108434
ETC,Endo,515,30,21,P03,0.05825242718446602,0.040776699029126215,14,0.016867469879518072,31,0.03734939759036145
ETC,ETC,327,22,9,P03,0.0672782874617737,0.027522935779816515,14,0.016867469879518072,14,0.016867469879518072
ETC,TAM,409,28,16,P03,0.06845965770171149,0.039119804400977995,14,0.016867469879518072,13,0.01566265060240964
ETC,TIL,129,15,3,P03,0.11627906976744186,0.023255813953488372,14,0.016867469879518072,1,0.0012048192771084338
TAM,CAF,500,27,24,P03,0.054,0.048,13,0.01566265060240964,89,0.10722891566265061
TAM,DC,87,2,2,P03,0.022988505747126436,0.022988505747126436,13,0.01566265060240964,1,0.0012048192771084338
TAM,EMT,648,31,31,P03,0.047839506172839504,0.047839506172839504,13,0.01566265060240964,681,0.8204819277108434
TAM,Endo,496,27,23,P03,0.05443548387096774,0.046370967741935484,13,0.01566265060240964,31,0.03734939759036145
TAM,ETC,307,20,10,P03,0.06514657980456026,0.03257328990228013,13,0.01566265060240964,14,0.016867469879518072
TAM,TAM,429,27,17,P03,0.06293706293706294,0.039627039627039624,13,0.01566265060240964,13,0.01566265060240964
TAM,TIL,131,14,4,P03,0.10687022900763359,0.030534351145038167,13,0.01566265060240964,1,0.0012048192771084338
TIL,CAF,163,13,8,P03,0.07975460122699386,0.049079754601226995,1,0.0012048192771084338,89,0.10722891566265061
TIL,DC,28,2,0,P03,0.07142857142857142,0,1,0.0012048192771084338,1,0.0012048192771084338
TIL,EMT,208,17,10,P03,0.08173076923076923,0.04807692307692308,1,0.0012048192771084338,681,0.8204819277108434
TIL,Endo,163,13,7,P03,0.07975460122699386,0.04294478527607362,1,0.0012048192771084338,31,0.03734939759036145
TIL,ETC,107,11,1,P03,0.102803738317757,0.009345794392523364,1,0.0012048192771084338,14,0.016867469879518072
TIL,TAM,147,16,8,P03,0.10884353741496598,0.05442176870748299,1,0.0012048192771084338,13,0.01566265060240964
TIL,TIL,55,8,0,P03,0.14545454545454545,0,1,0.0012048192771084338,1,0.0012048192771084338
CAF,CAF,532,23,30,P04,0.043233082706766915,0.05639097744360902,71,0.24567474048442905,71,0.24567474048442905
CAF,EMT,226,18,2,P04,0.07964601769911504,0.008849557522123894,71,0.24567474048442905,8,0.02768166089965398
CAF,ETC,636,21,33,P04,0.0330188679245283,0.05188679245283019,71,0.24567474048442905,210,0.726643598615917
EMT,CAF,242,20,7,P04,0.08264462809917356,0.028925619834710745,8,0.02768166089965398,71,0.24567474048442905
EMT,EMT,117,15,0,P04,0.1282051282051282,0,8,0.02768166089965398,8,0.02768166089965398
EMT,ETC,280,19,10,P04,0.06785714285714285,0.03571428571428571,8,0.02768166089965398,210,0.726643598615917
ETC,CAF,587,30,25,P04,0.05110732538330494,0.04258943781942078,210,0.726643598615917,71,0.24567474048442905
ETC,EMT,250,22,2,P04,0.088,0.008,210,0.726643598615917,8,0.02768166089965398
ETC,ETC,705,30,31,P04,0.0425531914893617,0.04397163120567376,210,0.726643598615917,210,0.726643598615917
CAF,CAF,1285,38,69,P05,0.029571984435797664,0.053696498054474705,602,0.6833144154370034,602,0.6833144154370034
CAF,DC,587,16,13,P05,0.027257240204429302,0.022146507666098807,602,0.6833144154370034,16,0.018161180476730987
CAF,Endo,708,29,28,P05,0.04096045197740113,0.03954802259887006,602,0.6833144154370034,20,0.022701475595913734
CAF,ETC,1009,34,49,P05,0.03369672943508424,0.048562933597621406,602,0.6833144154370034,156,0.17707150964812712
CAF,TAM,869,21,37,P05,0.024165707710011506,0.04257767548906789,602,0.6833144154370034,71,0.08059023836549375
CAF,TIL,336,9,22,P05,0.026785714285714284,0.06547619047619048,602,0.6833144154370034,16,0.018161180476730987
DC,CAF,567,20,19,P05,0.03527336860670194,0.03350970017636684,16,0.018161180476730987,602,0.6833144154370034
DC,DC,292,12,4,P05,0.0410958904109589,0.0136986301369863,16,0.018161180476730987,16,0.018161180476730987
DC,Endo,337,17,7,P05,0.050445103857566766,0.020771513353115726,16,0.018161180476730987,20,0.022701475595913734
DC,ETC,439,17,16,P05,0.0387243735763098,0.03644646924829157,16,0.018161180476730987,156,0.17707150964812712
DC,TAM,424,13,12,P05,0.030660377358490566,0.02830188679245283,16,0.018161180476730987,71,0.08059023836549375
DC,TIL,184,6,13,P05,0.03260869565217391,0.07065217391304347,16,0.018161180476730987,16,0.018161180476730987
Endo,CAF,721,24,32,P05,0.033287101248266296,0.044382801664355064,20,0.022701475595913734,602,0.6833144154370034
Endo,DC,375,13,4,P05,0.034666666666666665,0.010666666666666666,20,0.022701475595913734,16,0.018161180476730987
Endo,Endo,437,22,11,P05,0.05034324942791762,0.02517162471395881,20,0.022701475595913734,20,0.022701475595913734
Endo,ETC,566,20,24,P05,0.0353356890459364,0.04240282685512368,20,0.022701475595913734,156,0.17707150964812712
Endo,TAM,534,15,17,P05,0.028089887640449437,0.031835205992509365,20,0.022701475595913734,71,0.08059023836549375
Endo,TIL,211,7,16,P05,0.03317535545023697,0.07582938388625593,20,0.022701475595913734,16,0.018161180476730987
ETC,CAF,1036,35,46,P05,0.033783783783783786,0.0444015444015444,156,0.17707150964812712,602,0.6833144154370034
ETC,DC,493,15,7,P05,0.030425963488843813,0.014198782961460446,156,0.17707150964812712,16,0.018161180476730987
ETC,Endo,596,27,17,P05,0.04530201342281879,0.028523489932885907,156,0.17707150964812712,20,0.022701475595913734
ETC,ETC,822,29,37,P05,0.03527980535279805,0.045012165450121655,156,0.17707150964812712,156,0.17707150964812712
ETC,TAM,721,19,29,P05,0.026352288488210817,0.04022191400832178,156,0.17707150964812712,71,0.08059023836549375
ETC,TIL,287,9,18,P05,0.0313588850174216,0.0627177700348432,156,0.17707150964812712,16,0.018161180476730987
TAM,CAF,828,24,34,P05,0.028985507246376812,0.04106280193236715,71,0.08059023836549375,602,0.6833144154370034
TAM,DC,424,14,6,P05,0.0330188679245283,0.014150943396226415,71,0.08059023836549375,16,0.018161180476730987
TAM,Endo,476,22,11,P05,0.046218487394957986,0.023109243697478993,71,0.08059023836549375,20,0.022701475595913734
TAM,ETC,663,21,30,P05,0.03167420814479638,0.04524886877828054,71,0.08059023836549375,156,0.17707150964812712
TAM,TAM,625,17,26,P05,0.0272,0.0416,71,0.08059023836549375,71,0.08059023836549375
TAM,TIL,254,7,18,P05,0.027559055118110236,0.07086614173228346,71,0.08059023836549375,16,0.018161180476730987
TIL,CAF,395,12,15,P05,0.030379746835443037,0.0379746835443038,16,0.018161180476730987,602,0.6833144154370034
TIL,DC,204,6,5,P05,0.029411764705882353,0.024509803921568627,16,0.018161180476730987,16,0.018161180476730987
TIL,Endo,225,10,7,P05,0.044444444444444446,0.03111111111111111,16,0.018161180476730987,20,0.022701475595913734
TIL,ETC,306,8,15,P05,0.026143790849673203,0.049019607843137254,16,0.018161180476730987,156,0.17707150964812712
TIL,TAM,309,7,12,P05,0.022653721682847898,0.038834951456310676,16,0.018161180476730987,71,0.08059023836549375
TIL,TIL,133,2,9,P05,0.015037593984962405,0.06766917293233082,16,0.018161180476730987,16,0.018161180476730987
CAF,CAF,1321,42,76,P06,0.03179409538228615,0.05753217259651779,256,0.33376792698826596,256,0.33376792698826596
CAF,DC,908,31,47,P06,0.034140969162995596,0.051762114537444934,256,0.33376792698826596,29,0.03780964797913951
CAF,Endo,1014,30,64,P06,0.029585798816568046,0.0631163708086785,256,0.33376792698826596,24,0.03129074315514994
CAF,ETC,1288,38,76,P06,0.029503105590062112,0.059006211180124224,256,0.33376792698826596,423,0.5514993481095176
CAF,TAM,841,22,35,P06,0.026159334126040427,0.041617122473246136,256,0.33376792698826596,32,0.041720990873533245
CAF,TIL,162,0,8,P06,0,0.04938271604938271,256,0.33376792698826596,3,0.003911342894393742
DC,CAF,775,34,27,P06,0.04387096774193548,0.03483870967741935,29,0.03780964797913951,256,0.33376792698826596
DC,DC,587,26,22,P06,0.044293015332197615,0.03747870528109029,29,0.03780964797913951,29,0.03780964797913951
DC,Endo,585,24,22,P06,0.041025641025641026,0.037606837606837605,29,0.03780964797913951,24,0.03129074315514994
DC,ETC,760,29,31,P06,0.038157894736842106,0.04078947368421053,29,0.03780964797913951,423,0.5514993481095176
DC,TAM,534,18,19,P06,0.033707865168539325,0.035580524344569285,29,0.03780964797913951,32,0.041720990873533245
DC,TIL,121,0,6,P06,0,0.049586776859504134,29,0.03780964797913951,3,0.003911342894393742
Endo,CAF,994,31,54,P06,0.03118712273641851,0.05432595573440644,24,0.03129074315514994,256,0.33376792698826596
Endo,DC,695,27,34,P06,0.03884892086330935,0.04892086330935252,24,0.03129074315514994,29,0.03780964797913951
Endo,Endo,768,25,45,P06,0.032552083333333336,0.05859375,24,0.03129074315514994,24,0.03129074315514994
Endo,ETC,966,28,56,P06,0.028985507246376812,0.057971014492753624,24,0.03129074315514994,423,0.5514993481095176
Endo,TAM,661,20,27,P06,0.030257186081694403,0.04084720121028744,24,0.03129074315514994,32,0.041720990873533245
Endo,TIL,123,0,6,P06,0,0.04878048780487805,24,0.03129074315514994,3,0.003911342894393742
ETC,CAF,1253,50,71,P06,0.03990422984836393,0.05666400638467677,423,0.5514993481095176,256,0.33376792698826596
ETC,DC,878,35,48,P06,0.03986332574031891,0.05466970387243736,423,0.5514993481095176,29,0.03780964797913951
ETC,Endo,964,34,59,P06,0.035269709543568464,0.061203319502074686,423,0.5514993481095176,24,0.03129074315514994
ETC,ETC,1241,44,74,P06,0.035455278001611606,0.05962933118452861,423,0.5514993481095176,423,0.5514993481095176
ETC,TAM,814,25,37,P06,0.030712530712530713,0.045454545454545456,423,0.5514993481095176,32,0.041720990873533245
ETC,TIL,160,0,8,P06,0,0.05,423,0.5514993481095176,3,0.003911342894393742
TAM,CAF,782,31,31,P06,0.03964194373401535,0.03964194373401535,32,0.041720990873533245,256,0.33376792698826596
TAM,DC,606,26,25,P06,0.0429042904290429,0.041254125412541254,32,0.041720990873533245,29,0.03780964797913951
TAM,Endo,588,23,27,P06,0.0391156462585034,0.04591836734693878,32,0.041720990873533245,24,0.03129074315514994
TAM,ETC,765,28,33,P06,0.036601307189542485,0.043137254901960784,32,0.041720990873533245,423,0.5514993481095176
TAM,TAM,559,19,24,P06,0.03398926654740608,0.04293381037567084,32,0.041720990873533245,32,0.041720990873533245
TAM,TIL,119,0,6,P06,0,0.05042016806722689,32,0.041720990873533245,3,0.003911342894393742
TIL,CAF,200,8,12,P06,0.04,0.06,3,0.003911342894393742,256,0.33376792698826596
TIL,DC,165,6,11,P06,0.03636363636363636,0.06666666666666667,3,0.003911342894393742,29,0.03780964797913951
TIL,Endo,153,5,10,P06,0.032679738562091505,0.06535947712418301,3,0.003911342894393742,24,0.03129074315514994
TIL,ETC,205,8,14,P06,0.03902439024390244,0.06829268292682927,3,0.003911342894393742,423,0.5514993481095176
TIL,TAM,153,5,9,P06,0.032679738562091505,0.058823529411764705,3,0.003911342894393742,32,0.041720990873533245
TIL,TIL,36,0,2,P06,0,0.05555555555555555,3,0.003911342894393742,3,0.003911342894393742
CAF,CAF,1123,37,62,P07,0.03294746215494212,0.05520926090828139,152,0.1412639405204461,152,0.1412639405204461
CAF,DC,811,26,35,P07,0.032059186189889025,0.04315659679408138,152,0.1412639405204461,48,0.04460966542750929
CAF,Endo,635,21,30,P07,0.03307086614173228,0.047244094488188976,152,0.1412639405204461,11,0.010223048327137546
CAF,ETC,1143,37,50,P07,0.03237095363079615,0.04374453193350831,152,0.1412639405204461,189,0.17565055762081785
CAF,TAM,1175,40,56,P07,0.03404255319148936,0.04765957446808511,152,0.1412639405204461,578,0.5371747211895911
CAF,TIL,834,25,36,P07,0.02997601918465228,0.04316546762589928,152,0.1412639405204461,98,0.09107806691449814
DC,CAF,755,24,27,P07,0.031788079470198675,0.03576158940397351,48,0.04460966542750929,152,0.1412639405204461
DC,DC,596,20,19,P07,0.03355704697986577,0.031879194630872486,48,0.04460966542750929,48,0.04460966542750929
DC,Endo,449,16,17,P07,0.035634743875278395,0.0378619153674833,48,0.04460966542750929,11,0.010223048327137546
DC,ETC,787,25,27,P07,0.03176620076238882,0.03430749682337993,48,0.04460966542750929,189,0.17565055762081785
DC,TAM,821,28,27,P07,0.0341047503045067,0.03288672350791717,48,0.04460966542750929,578,0.5371747211895911
DC,TIL,605,19,22,P07,0.03140495867768595,0.03636363636363636,48,0.04460966542750929,98,0.09107806691449814
Endo,CAF,646,19,24,P07,0.029411764705882353,0.03715170278637771,11,0.010223048327137546,152,0.1412639405204461
Endo,DC,493,19,17,P07,0.038539553752535496,0.034482758620689655,11,0.010223048327137546,48,0.04460966542750929
Endo,Endo,408,15,15,P07,0.03676470588235294,0.03676470588235294,11,0.010223048327137546,11,0.010223048327137546
Endo,ETC,675,22,21,P07,0.03259259259259259,0.03111111111111111,11,0.010223048327137546,189,0.17565055762081785
Endo,TAM,698,25,21,P07,0.03581661891117478,0.03008595988538682,11,0.010223048327137546,578,0.5371747211895911
Endo,TIL,509,18,17,P07,0.03536345776031434,0.03339882121807466,11,0.010223048327137546,98,0.09107806691449814
ETC,CAF,1158,38,64,P07,0.03281519861830743,0.055267702936096716,189,0.17565055762081785,152,0.1412639405204461
ETC,DC,863,29,38,P07,0.03360370799536501,0.0440324449594438,189,0.17565055762081785,48,0.04460966542750929
ETC,Endo,670,23,28,P07,0.034328358208955224,0.041791044776119404,189,0.17565055762081785,11,0.010223048327137546
ETC,ETC,1188,41,59,P07,0.034511784511784514,0.049663299663299666,189,0.17565055762081785,189,0.17565055762081785
ETC,TAM,1223,43,57,P07,0.03515944399018806,0.04660670482420278,189,0.17565055762081785,578,0.5371747211895911
ETC,TIL,886,27,33,P07,0.030474040632054177,0.03724604966139955,189,0.17565055762081785,98,0.09107806691449814
TAM,CAF,1131,32,59,P07,0.028293545534924844,0.052166224580017684,578,0.5371747211895911,152,0.1412639405204461
TAM,DC,853,25,34,P07,0.029308323563892145,0.03985932004689332,578,0.5371747211895911,48,0.04460966542750929
TAM,Endo,648,19,29,P07,0.029320987654320986,0.044753086419753084,578,0.5371747211895911,11,0.010223048327137546
TAM,ETC,1166,34,51,P07,0.029159519725557463,0.04373927958833619,578,0.5371747211895911,189,0.17565055762081785
TAM,TAM,1201,37,55,P07,0.030807660283097418,0.04579517069109076,578,0.5371747211895911,578,0.5371747211895911
TAM,TIL,871,22,33,P07,0.02525832376578645,0.03788748564867968,578,0.5371747211895911,98,0.09107806691449814
TIL,CAF,812,27,36,P07,0.0332512315270936,0.04433497536945813,98,0.09107806691449814,152,0.1412639405204461
TIL,DC,639,21,24,P07,0.03286384976525822,0.03755868544600939,98,0.09107806691449814,48,0.04460966542750929
TIL,Endo,478,18,18,P07,0.03765690376569038,0.03765690376569038,98,0.09107806691449814,11,0.010223048327137546
