Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
ETC,CEACAM5,CD8A,TIL,0.4026548672566372,0.6069987769723241,0.6544282045734212,0.2028985507246377,0.4686096913137564,0.8421216425356693,0.2844455095048284,0.5511081545570385
ETC,ALCAM,CD6,TIL,0.2531605562579014,0.3644422746766677,0.198640837129328,0.2898550724637681,0.6645937588903623,0.7993349438680649,0.2422060612259205,0.1587805623966768
ETC,CXCL14,CXCR4,TIL,0.2152338811630847,0.3192763546916192,0.1450889046076974,0.9420289855072465,2.320384533047703,0.3679872555105378,0.7408439151942857,0.0533908678116168
ETC,LAMB2,RPSA,TIL,0.218078381795196,0.3158383085802855,0.147332837538943,0.9855072463768116,2.442419140795159,0.1893464600152523,0.7714095302728573,0.02789695123200114
ETC,ICAM3,ITGB2,TIL,0.20227560050568905,0.2832457569284964,0.1166060085630912,0.2608695652173913,0.6183089085736447,0.1597135087665241,0.1751333748245745,0.01862355477087066
