Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
TIL,CD48,CD2,TIL,-0.050167224080267636,0.1614145142970771,0.15408453844317133,-0.08305462653288742,0.20517413504498985,0.2004225541472754,0.5372798470780564,0.21146788885584586
TIL,CD2,CD48,TIL,-0.08305462653288742,0.20517413504498985,0.2004225541472754,-0.050167224080267636,0.1614145142970771,0.15408453844317133,0.5372798470780564,0.21146788885584586
TIL,VIM,CD44,TIL,-0.1839464882943146,0.03288803459782685,-0.009022949546371395,0.05156075808249716,0.46494188998946,0.0859334752480615,0.8824049476334852,0.011662997320516264
TIL,B2M,HLA-F,TIL,0.0,0.5467352163785222,0.02527438717102659,-0.13754180602006683,-0.05970851927628262,0.03646568972890152,0.39983254235012056,0.011388741710774121
TIL,MIF,CXCR4,TIL,-0.1467391304347826,-0.021162677400505148,-0.01425240079413939,0.04779821627647718,0.5842345915796774,0.05814435177894368,0.6323278399670671,0.002110916464499811
