cell,cluster
cell_2001,ETC
cell_2002,ETC
cell_2003,ETC
cell_2004,DC
cell_2005,ETC
cell_2006,ETC
cell_2007,ETC
cell_2008,ETC
cell_2009,ETC
cell_2010,ETC
cell_2011,ETC
cell_2012,CAF
cell_2013,ETC
cell_2014,CAF
cell_2015,ETC
cell_2016,ETC
cell_2017,CAF
cell_2018,ETC
cell_2019,CAF
cell_2020,ETC
cell_2021,CAF
cell_2022,ETC
cell_2023,CAF
cell_2024,CAF
cell_2025,TAM
cell_2026,ETC
cell_2027,Endo
cell_2028,ETC
cell_2029,Endo
cell_2030,ETC
cell_2031,ETC
cell_2032,ETC
cell_2033,ETC
cell_2034,ETC
cell_2035,ETC
cell_2036,ETC
cell_2037,ETC
cell_2038,ETC
cell_2039,Endo
cell_2040,ETC
cell_2041,ETC
cell_2042,ETC
cell_2043,TAM
cell_2044,CAF
cell_2045,ETC
cell_2046,TAM
cell_2047,ETC
cell_2048,CAF
cell_2049,CAF
cell_2050,ETC
cell_2051,CAF
cell_2052,TAM
cell_2053,TAM
cell_2054,ETC
cell_2055,ETC
cell_2056,ETC
cell_2057,ETC
cell_2058,Endo
cell_2059,ETC
cell_2060,CAF
cell_2061,ETC
cell_2062,ETC
cell_2063,ETC
cell_2064,DC
cell_2065,ETC
cell_2066,CAF
cell_2067,Endo
cell_2068,CAF
cell_2069,ETC
cell_2070,CAF
cell_2071,ETC
cell_2072,ETC
cell_2073,CAF
cell_2074,ETC
cell_2075,ETC
cell_2076,CAF
cell_2077,ETC
cell_2078,ETC
cell_2079,ETC
cell_2080,ETC
cell_2081,ETC
cell_2082,CAF
cell_2083,ETC
cell_2084,DC
cell_2085,CAF
cell_2086,CAF
cell_2087,ETC
cell_2088,DC
cell_2089,CAF
cell_2090,ETC
cell_2091,ETC
cell_2092,CAF
cell_2093,ETC
cell_2094,DC
cell_2095,ETC
cell_2096,CAF
cell_2097,ETC
cell_2098,ETC
cell_2099,CAF
cell_2100,CAF
cell_2101,ETC
cell_2102,CAF
cell_2103,Endo
cell_2104,CAF
cell_2105,ETC
cell_2106,CAF
cell_2107,ETC
