LR,Pval_PAAD-US,Pval_PACA-AU,Pval_PACA-CA,HR_PAAD-US,HR_PACA-AU,HR_PACA-CA,meta_Pval,adjPval,annot,HR_geometric_mean,HR_mean
ICOSLG->CTLA4,1.76194962649312e-4,0.0903920076028778,0.0012503799178182895,3.1815796323565597,1.591192749495606,1.8077471047809957,1.290150873742121e-4,0.004378880297591773,"1 HR>1, q<0.1",2.0917081466240655,2.193506495544387
ICAM4->ITGAL,2.2873388973643216e-4,0.4766673290729704,0.3118497288174733,2.848684265405544,0.8477814886343631,1.2302358859395843,0.08178241201296445,0.18982081641901263,2 The others,1.437602698018893,1.6422338799931637
ICOSLG->CD28,2.53420855117481e-4,0.05566003035286382,0.005986328998197399,3.1172918377509706,1.645819171162849,1.6520169781969851,3.952902208606002e-5,0.002226908838712128,"1 HR>1, q<0.1",2.038878573320213,2.1383759957036017
SHH->SMO,2.819635565262102e-4,0.07933385649118707,0.002378124517908531,3.2929096224423624,1.905621003387309,1.6668969085239709,9.187430979964996e-5,0.003790785045769184,"1 HR>1, q<0.1",2.1869643036425948,2.2884758447845477
CSF2->CSF2RB,3.8049029721998195e-4,0.3923244646831452,0.9806849373249067,2.828025183993732,0.8419532070668071,1.073801371086733,0.40571894427557215,0.3615527100047982,2 The others,1.3674088743429405,1.5812599207157572
TNFSF13->TNFRSF17,5.325274869196761e-4,0.6120368436443192,0.269474941379666,3.5849750116993695,1.2024619457250012,1.267879765925717,0.11437206474882809,0.21349858404256322,2 The others,1.761483238595117,2.0184389077833624
ICAM5->ITGAL,5.866221607705446e-4,0.2609553480248089,0.3345171423692619,2.5849809773346504,0.7746050750025342,1.1942948911612479,0.035295289237307674,0.1328075277720009,2 The others,1.3372617462899279,1.5179603144994775
ICOS->ICOSLG,6.467525804163543e-4,0.0903920076028778,0.22000217197058902,3.0403192945843145,1.591192749495606,1.221587727096644,0.005015351593303744,0.049596277438711686,"1 HR>1, q<0.1",1.8079602698278332,1.9510332570588549
ICOSLG->ICOS,6.467525804163543e-4,0.0903920076028778,0.22000217197058902,3.0403192945843145,1.591192749495606,1.221587727096644,0.005015351593303744,0.049596277438711686,"1 HR>1, q<0.1",1.8079602698278332,1.9510332570588549
NXPH3->NRXN2,6.667249153795574e-4,0.7152729565325522,0.46991535961322084,2.729196951501557,1.07674102371353,0.8547842700097718,0.2747252944331926,0.3068795834435197,2 The others,1.35935916512904,1.5535740817416197
TNFSF13->TNFRSF13B,6.851302845860552e-4,0.8088556000918157,0.2528793017817905,3.5309432900025954,1.0787959414487969,1.2732773591881674,0.1997437447196184,0.26436252211519795,2 The others,1.692716994219534,1.9610055302131866
ALKAL1->LTK,7.126675774107305e-4,0.5701980989757932,0.2669101379925751,3.731762837758608,1.1823119109243458,1.253064690058308,0.0980172077511334,0.20398565187796838,2 The others,1.768234517737294,2.0557131462470877
ALKAL2->LTK,7.126675774107305e-4,0.4283209420679328,0.019987114671902062,3.731762837758608,0.8089930563129016,1.393199743003559,0.015088563951297472,0.09117422707836992,2 The others,1.6142002308198602,1.9779852123583563
