LR,pval,hr,median_day_low,median_day_high,diff_day
FGF21->FGFR4,0.01239074510814453,1.5400180214381516,386,631,245
FGF23->FGFR4,0.01239074510814453,1.5400180214381516,386,631,245
FGF5->FGFR4,0.01239074510814453,1.5400180214381516,386,631,245
C4BPA->LRP1,0.012399332423551734,1.4646856957108771,456,631,175
LIPC->LRP1,0.012399332423551734,1.4646856957108771,456,631,175
PDGFB->LRP1,0.012399332423551734,1.4646856957108771,456,631,175
HBEGF->CD9,0.012422794756301037,0.6543388538184348,629,455,-174
FGF2->FGFR4,0.012471445598302044,1.5905557251009108,416.5,627,210.5
DSC3->DSG4,0.012581460033656455,0.5522169477220962,642,456,-186
SLURP1->CHRNA7,0.01265702690032311,1.7003033109243875,437,690,253
ST6GAL1->CD22,0.013136551153787424,1.7541801899044278,449.5,663,213.5
DKK4->KREMEN1,0.013370202514724983,1.578947842032249,456,653,197
FGF1->FGFR4,0.013569785392893552,1.5369050399618212,386,631,245
PLAU->LRP2,0.013597507510233253,0.6533145073511057,630,389,-241
COL9A1->MAG,0.01362379713556261,1.6344975330971212,418.5,608,189.5
BDNF->SORT1,0.014043375545758519,1.4507370324409785,381,633,252
CEL->CXCR4,0.014057960097492606,1.66187796859087,437,633,196
FGA->ITGA5,0.014100032966708587,0.6485709487825696,627.5,446,-181.5
SOSTDC1->LRP5,0.014291366042097464,1.4994327332476358,444,610.5,166.5
HAS2->HMMR,0.014339296512348998,0.678276894262476,600,437,-163
HMGB1->SDC1,0.014393401860452015,0.653998104186477,627,422,-205
THBS1->ITGB1,0.014473898684259856,0.590671564691576,632,446,-186
TGM2->ITGB1,0.014481096710497576,0.5895488938941924,658,456,-202
F2->F2RL2,0.014540854681819093,1.575967720391055,437,608,171
SEMA3A->NRP2,0.01454338178665504,0.6410781766460342,629.5,455,-174.5
FGF16->FGFR3,0.014667492599879761,1.6313816473309535,450.5,631,180.5
FGF17->FGFR3,0.014667492599879761,1.6313816473309535,450.5,631,180.5
FGF23->FGFR3,0.014667492599879761,1.6313816473309535,450.5,631,180.5
FGF5->FGFR3,0.014667492599879761,1.6313816473309535,450.5,631,180.5
NGF->SORT1,0.014698003070492738,1.4457675213017833,381,633,252
LGALS3BP->ITGB1,0.015400572378485022,0.639334019817477,627.5,446,-181.5
SEMA3A->NRP1,0.015482032397933998,0.6671434773378844,642,446,-196
OXT->OXTR,0.015534488333733387,0.6188747258583713,663,446,-217
CLCF1->CRLF1,0.015560893485736083,0.6415263930194774,709.5,437,-272.5
SEMA3A->PLXNA1,0.015775626474287097,0.606548172700306,616.5,455,-161.5
ADM->CALCR,0.0162726240267288,0.5870250336190856,627.5,437,-190.5
DKK1->KREMEN2,0.01633482710975931,0.6402904977209791,658,455,-203
NCR3LG1->NCR3,0.016615322074724048,1.620862717640924,459.5,633,173.5
IL1B->IL1RAP,0.016673665418663997,0.6379843739265324,616.5,446,-170.5
LRPAP1->LRP1,0.01679101980604525,1.3796372482246766,456,631,175
SERPINE2->LRP1,0.016838937282965927,1.4271555721847327,456,592,136
DSC3->DSG1,0.017497183583347287,0.5886900317541296,642,456,-186
DSG1->DSC3,0.017497183583347287,0.5886900317541296,642,456,-186
IHH->PTCH1,0.01758177155864704,1.5051595333914796,445,631,186
WNT3A->FZD8,0.01771661588776241,1.3976313133563527,413,608,195
SDC2->PTPRJ,0.018716620229184855,1.552192332174968,444,616.5,172.5
EFNB2->EPHB2,0.018979481672302567,0.6827275767364245,607.5,456,-151.5
MMP13->LRP1,0.019125031970359196,1.5187264116713104,459.5,592,132.5
C1QB->LRP1,0.01920028976747734,1.4826903605779709,459.5,592,132.5
FGF10->FGFR2,0.019472036340155152,1.609168006001162,437,633,196
FGF16->FGFR2,0.019472036340155152,1.609168006001162,437,633,196
FGF17->FGFR2,0.019472036340155152,1.609168006001162,437,633,196
FGF18->FGFR2,0.019472036340155152,1.609168006001162,437,633,196
FGF22->FGFR2,0.019472036340155152,1.609168006001162,437,633,196
FGF23->FGFR2,0.019472036340155152,1.609168006001162,437,633,196
FGF5->FGFR2,0.019472036340155152,1.609168006001162,437,633,196
FGF7->FGFR2,0.019472036340155152,1.609168006001162,437,633,196
FGF9->FGFR2,0.019472036340155152,1.609168006001162,437,633,196
PF4->FGFR2,0.019472036340155152,1.609168006001162,437,633,196
DKK1->KREMEN1,0.01983977075773835,0.7101548834016446,617.5,456,-161.5
SEMA6A->PLXNA4,0.020386741520517004,1.4392690223858362,440.5,627,186.5
DEFB1->CCR6,0.020879253164914235,0.6880811850246317,600,446,-154
EFNA2->EPHA3,0.02158366104342324,1.3803578555303586,455.5,592,136.5
FGG->ITGA5,0.02160348817468427,0.668148492536572,626,446,-180
NRTN->GFRA1,0.022113957801334627,1.3917802918460194,437,608.5,171.5
THBS1->ITGA6,0.022366741630941323,0.6145956854430893,581,455,-126
PROC->TEK,0.022659801568481575,1.473404704986685,512.5,539,26.5
LAMA1->ITGA2,0.023475898155524866,0.6447738159768317,642,400,-242
FGF1->FGFR3,0.02356520800973938,1.6062719218361554,455.5,627,171.5
SHH->GAS1,0.023572767436117026,1.4148305330597002,459,628,169
AREG->EGFR,0.023747644251129962,0.6965481503908659,616.5,455,-161.5
ANGPT1->ITGA5,0.02438350231930242,0.6837215365212979,608.5,446,-162.5
RGMA->NEO1,0.024452712420701017,1.4089033047437742,437,631,194
FGF20->FGFR3,0.02464773553017463,1.6067004306966088,455.5,628,172.5
FGF2->FGFR3,0.02480919808826254,1.570582803612196,450.5,628,177.5
F8->LRP1,0.02485898138946452,1.4198032313424775,459.5,592,132.5
SERPINC1->LRP1,0.02485898138946452,1.4198032313424775,459.5,592,132.5
WNT3A->LRP1,0.02485898138946452,1.4198032313424775,459.5,592,132.5
THBS1->SDC1,0.024913567666686398,0.6699241372411533,626,437,-189
LPL->LRP1,0.025132858614875908,1.4193317503222525,459.5,592,132.5
WNT5A->LRP5,0.02528310692234592,1.424402097174961,444,599,155
PODXL->SELL,0.025334792807331086,0.6338153830471928,630.5,446,-184.5
FGF18->FGFR3,0.025505642371432824,1.6071306452313967,456,627,171
FGF1->FGFR2,0.025667338983059285,1.5847679510746435,437,633,196
EDA->EDAR,0.026646620928708398,1.4115623285436887,418.5,592,173.5
RGMB->NEO1,0.026736107980206425,1.411725847572823,440.5,631,190.5
