LR,pval,hr,median_day_high,median_day_low,diff_day
IL34->PTPRZ1,0.01702342789682121,2.2261915119950086,465,360,105
RSPO3->FZD8,0.017593840249923054,1.8844838461579818,455,380.5,74.5
DCN->ERBB4,0.017815173980516574,1.8897677099430434,427,360,67
CNTN2->CNTN1,0.017825561279009694,1.9241127724994627,451,353.5,97.5
RSPO1->LGR5,0.01793354882906717,2.044011747123516,499,373.5,125.5
GDF9->TGFBR1,0.01813624041637596,1.8672064103880803,465,373.5,91.5
GNAI2->ADRA2A,0.018362597321822327,1.9653595510652024,451,360,91
SAA1->FPR2,0.01850831795405239,0.5277056754167289,348,487.5,-139.5
SELPLG->SELL,0.018513346644670747,2.1910975917984317,540,360,180
EFNB2->EPHB3,0.018859734508534287,1.9394968281097291,555,371.5,183.5
FGF1->FGFR4,0.019473110879727362,2.3686976671716145,414,373.5,40.5
PDGFA->PDGFRA,0.020008560804539832,1.780731231678715,423,400.5,22.5
LRPAP1->SORT1,0.020136013725178814,2.090755747440802,427,360,67
TGFB3->TGFBR1,0.020278714908235407,1.8340629673073288,427,394,33
IHH->HHIP,0.020425435439832662,2.1767134328958453,465,356,109
IL15->IL2RA,0.020448621891501984,0.4820677223055308,272,546,-274
FGB->ITGA2B,0.02062327813960263,0.44911251773017064,337,518,-181
CALR->LRP1,0.0206403720608479,1.9379139895311235,429,349.5,79.5
LRPAP1->LRP1,0.02064291813028485,2.1693137345949576,429,349.5,79.5
EDN3->EDNRA,0.02070298741121701,1.6326478823887824,429,400,29
CALR->ITGA3,0.02075347081723189,0.5025485683258295,343,502.5,-159.5
PSAP->LRP1,0.02098615755056432,2.03283065583947,537,355,182
WNT2->FZD4,0.021280037951328712,2.2531447562108986,423,400,23
PDGFB->PDGFRA,0.021925162935937714,1.7138798078648672,423,400.5,22.5
NXPH3->NRXN3,0.022185615328236596,1.8087132004774205,414,400,14
EREG->EGFR,0.022587709651996746,0.4607452488300421,332,458,-126
VEGFA->NRP1,0.022775763716990527,0.45384947725758595,337,546,-209
NCAM1->GFRA1,0.02327870579901925,1.8465964175016265,455,374.5,80.5
EFNB1->EPHB3,0.023296012569310576,2.049067574751959,499,396,103
COL3A1->DDR2,0.0235090722710678,1.8857550956165217,427,360,67
COL3A1->MAG,0.0235090722710678,1.8857550956165217,427,360,67
APOE->LDLR,0.023679030913955068,2.0458533461437978,540,349.5,190.5
L1CAM->EGFR,0.023841652986590134,0.48805378944383093,332,470.5,-138.5
NLGN1->NRXN3,0.02404282569764893,2.2496298797974785,414,406,8
TAC3->TACR2,0.02419695625203311,1.8472718427866137,537,349.5,187.5
NLGN4X->NRXN1,0.024291033145715013,1.7242459221240476,451,380.5,70.5
SEMA3D->NRP1,0.02430911214931053,0.5466874355126933,287,538.5,-251.5
EDN2->EDNRA,0.02439032583454548,1.6524037896243553,427,400,27
IGF2->IGF1R,0.025058588799080295,0.4859498157332198,359,470.5,-111.5
LGI4->ADAM22,0.025602627938524636,1.993011704472685,427,412.5,14.5
LGI2->ADAM22,0.025602627938524636,1.993011704472685,427,412.5,14.5
ADAM12->ITGA9,0.025846061805038345,2.11790037800131,451,360,91
GDF3->TDGF1,0.02588763456379861,2.1796275138455057,455,345.5,109.5
ASIP->MC2R,0.025976414273978787,2.0023313873386677,537,340,197
CADM3->CADM3,0.02611205376755199,1.8391439729645458,451,380.5,70.5
TG->ASGR1,0.026297888511681022,0.5397821306905202,359,518,-159
SERPINF1->PLXDC2,0.026772515338538305,1.7017490823742358,423,374.5,48.5
SHH->PTCH1,0.027489966556391465,2.070678309211665,423,374.5,48.5
VEGFA->FLT1,0.02768978248541265,0.48464833885472147,337,553.5,-216.5
ACE->BDKRB2,0.027936154948175695,1.7832312347795005,455,349.5,105.5
SPON2->ITGA4,0.02807776655065075,1.7200707950243124,423,387,36
NGF->NGFR,0.028420988576931094,1.8434805113657065,413,413,0
NTF3->NGFR,0.028420988576931094,1.8434805113657065,413,413,0
SEMA6D->PLXNA1,0.028511886826636856,0.4845668847084796,348,460,-112
GAS6->MERTK,0.028928127411332438,1.898982462408681,423,400.5,22.5
TFF3->ACKR3,0.02913571519943281,2.0029412147557517,465,360,105
DSC3->DSG1,0.029281704836838895,0.423907819514166,388,446,-58
DSG1->DSC3,0.029281704836838895,0.423907819514166,388,446,-58
DSC3->DSG4,0.029281704836838895,0.423907819514166,388,446,-58
NPPA->NPR2,0.029352293168223964,1.63927950418556,451,360,91
NPPB->NPR2,0.029352293168223964,1.63927950418556,451,360,91
NPPC->NPR2,0.029352293168223964,1.63927950418556,451,360,91
WNT4->FZD6,0.029388558633661632,0.5000809651689628,287,547.5,-260.5
ANXA1->EGFR,0.030322563132984315,0.5134171336948304,337,470.5,-133.5
FGA->ITGAM,0.030374474724894185,0.48640216963755556,337,538.5,-201.5
PF4->SDC2,0.030841354694558065,2.4977064197677543,423,412.5,10.5
EFNA4->EPHA7,0.03121076288228153,1.6508721103358206,537,337.5,199.5
CDH1->EGFR,0.03147117153192314,0.5825553486838371,351,460,-109
PLAT->LRP1,0.031822382120484605,1.7161625384548136,429,345.5,83.5
CRTAM->CADM1,0.03222511474078049,1.6371155947771057,465,373.5,91.5
CADM1->CRTAM,0.03222511474078049,1.6371155947771057,465,373.5,91.5
NTF4->NTRK1,0.03232370336774071,0.5011524313942423,348,487.5,-139.5
PODXL2->SELL,0.032549655712198144,1.9614051501544028,423,373.5,49.5
BSG->SELE,0.03280448356697552,2.1187909692711173,540,345.5,194.5
ICAM3->ITGAD,0.03302199252773008,1.8430871289107111,465,347,118
WNT3->FZD8,0.034175502772798017,2.2312112709938408,423,412.5,10.5
RGMB->NEO1,0.03471300287911705,2.2265111136635674,412,418.5,-6.5
KISS1->KISS1R,0.03490881176211735,0.3863958565518829,413,413,0
GRN->SORT1,0.03514434575487324,2.186917934978789,465,360,105
WNT5B->FZD8,0.035189108783216794,1.8644881566766003,429,360,69
WNT2->FZD1,0.035191114735110496,1.633749391899907,429,360,69
CALCA->RAMP2,0.03573492901154862,2.0882218972722275,427,373.5,53.5
TGM2->ITGB3,0.0358626926503961,0.48377681203441686,348,518,-170
RGMA->NEO1,0.03596077900407724,2.2044114321663466,413,387.5,25.5
SEMA3F->PLXNA3,0.036242342306630704,0.4845670811818532,359,546,-187
VEGFA->GPC1,0.03630604803000792,0.47631716022565823,348,547.5,-199.5
RARRES2->CCRL2,0.036352356078130366,1.627403256995406,451,345.5,105.5
CADM3->CADM1,0.03655753228672498,1.683551575277562,451,400,51
CADM1->CADM3,0.03655753228672498,1.683551575277562,451,400,51
FGF19->FGFR3,0.03657711276277853,0.5811117247731009,351,518,-167
SEMA6A->PLXNA4,0.0368397657466214,2.005589561456626,400,418.5,-18.5
IHH->PTCH2,0.03738827204572004,2.376775846983162,499,368,131
BMP4->BMPR1A,0.037406109875038895,1.6314434119708774,427,406,21
SLIT3->ROBO2,0.037702027757927525,1.9050479855387898,451,355,96
DAG1->LAMA4,0.03824168324980304,1.7630914631365402,429,360,69
BMP8A->BMPR1A,0.03825783362456103,1.6742674627401124,413,413,0
LAMA2->DAG1,0.03835763560789407,1.6705866426857172,423,374.5,48.5
WNT2->FZD3,0.03843444851876987,1.8022355719353036,427,373.5,53.5
LGALS3->LAG3,0.038471554435041244,1.9337081987993159,499,349.5,149.5
CCL24->CCR3,0.038863720528571566,2.362351857691897,413,407,6
FGB->ITGAM,0.03892147306014049,0.6349812096339383,348,470.5,-122.5
THBS1->ITGB1,0.038922271838369715,0.5361549838012396,332,470.5,-138.5
THBS2->NOTCH3,0.03894583928338502,1.638346804219917,427,353.5,73.5
IL19->IL20RB,0.03927941964195092,0.4966097979452466,337.5,499,-161.5
SELPLG->SELP,0.03946693744818941,1.7427055732213281,540,349.5,190.5
GDF11->ACVR2B,0.04008344436006972,0.5001384016471826,337,546,-209
TGFB1->VASN,0.040985719801552634,0.40116970385082945,388,445,-57
EDIL3->ITGB3,0.04212559553830808,1.4472346873803494,423,380.5,42.5
ARTN->RET,0.04314322723156094,1.7561466136606771,423,385.5,37.5
FGL1->EGFR,0.04330789845064853,0.6335060987357186,287,470.5,-183.5
CCL7->CXCR3,0.04420679066663569,1.8731303466883096,455,334.5,120.5
MMP9->LRP1,0.04488028987175663,1.9715906581120164,429,349.5,79.5
F13A1->ITGB1,0.04492812280601732,0.5630311527988053,332,487.5,-155.5
SPON2->ITGB1,0.04492812280601732,0.5630311527988053,332,487.5,-155.5
VTN->ITGA8,0.045137361687337396,2.092436830746162,400,413.5,-13.5
CLCF1->CNTFR,0.04516873416149947,0.5841152259323863,361,425,-64
LTB->LTBR,0.04657012129457694,0.5214448234207416,351,470.5,-119.5
THBS2->ITGA4,0.04710504229060519,1.7002767862624084,423,353.5,69.5
RSPO3->LGR5,0.04723202472795385,1.6832852594630725,465,373.5,91.5
DHH->PTCH1,0.0474000307891449,1.570176003023292,423,368,55
CXCL6->CXCR2,0.047498391617582625,0.5599697493706063,337,519.5,-182.5
BMP6->BMPR1A,0.047789914688863955,1.7575710954249268,413,413,0
FGF9->FGFR4,0.048054025561074076,2.1827781272100295,414,373.5,40.5
NRTN->GFRA1,0.0481338627647121,1.7880350815674462,423,400,23
CXCL16->CXCR6,0.048156995989253604,1.8443641329621734,552,337.5,214.5
NTNG2->LRRC4,0.04818944587049323,1.5703444825009503,429,353.5,75.5
WNT10B->FZD7,0.04850019604578859,1.7398497723852762,451,360,91
GDF5->BMPR1A,0.048886612431949805,1.6487605520168815,413,413,0
GDF9->BMPR1A,0.048886612431949805,1.6487605520168815,413,413,0
DHH->HHIP,0.049073600037686016,1.8844679262167876,427,394,33
MICA->KLRK1,0.049488260476342916,0.6030193819486711,348,463.5,-115.5
ARF1->CHRM3,0.05011473806402933,2.0043315180897046,552,349.5,202.5
TGM2->SDC4,0.0506805257594698,0.5046070971403211,348,518,-170
NRTN->RET,0.05070124706697876,1.6960699168088436,423,412.5,10.5
FGA->ITGB1,0.05098670901380298,0.5725503676521404,332,470.5,-138.5
FGB->ITGB1,0.05098670901380298,0.5725503676521404,332,470.5,-138.5
ASIP->ATRN,0.05126311386086013,1.9907966010116553,423,412.5,10.5
INHBB->ACVR1C,0.052553699479768956,0.5296214270761566,348,508,-160
PDGFC->PDGFRB,0.053524676681955596,1.7320513577653154,423,412.5,10.5
UCN->CRHR1,0.054741225012524874,0.622647585997021,332,538.5,-206.5
FGF1->NRP1,0.05564771340385788,0.573579628673081,337,538.5,-201.5
ICOSLG->CD28,0.05566003035286382,1.645819171162849,414,400,14
EFNA5->EPHA2,0.05624090849487806,0.5279669678636872,361,441,-80
ARF1->PLD2,0.0563051136972299,1.9824611589058352,552,349.5,202.5
COL1A2->CD44,0.056531005053687244,1.7097417661887102,429,353.5,75.5
COL1A2->CD93,0.056531005053687244,1.7097417661887102,429,353.5,75.5
COL1A2->ITGA11,0.056531005053687244,1.7097417661887102,429,353.5,75.5
COL1A2->ITGB3,0.056531005053687244,1.7097417661887102,429,353.5,75.5
COL1A2->GP6,0.056531005053687244,1.7097417661887102,429,353.5,75.5
CSF2->SDC2,0.05653432084728305,2.189745511784355,423,412.5,10.5
PDGFD->PDGFRB,0.0568171952402976,1.7175520639625035,413,413,0
WNT10A->FZD1,0.05706650686092518,1.4615206974693216,429,360,69
NTF4->NGFR,0.057327434733038585,1.7645312629106031,392,420.5,-28.5
PDPN->CLEC1B,0.05796226177050978,1.8122678226042956,413,387.5,25.5
TGFA->EGFR,0.05903740665077861,0.5264883262966975,348,460,-112
ANXA1->FPR3,0.06030380081246556,0.5440500327854466,348,470.5,-122.5
ANXA1->FPR1,0.06030380081246556,0.5440500327854466,348,470.5,-122.5
ANXA1->DYSF,0.06030380081246556,0.5440500327854466,348,470.5,-122.5
ANXA1->FPR2,0.06030380081246556,0.5440500327854466,348,470.5,-122.5
WNT7B->FZD10,0.06067551108214364,0.6100496771017787,361,470.5,-109.5
PDGFC->PDGFRA,0.06085042621596204,1.7341658642830435,412,413.5,-1.5
EFNA3->EPHB1,0.06118147048509459,1.8972736992217827,455,373.5,81.5
ZG16B->TLR5,0.06190274284044406,2.2707303139369954,429,374.5,54.5
C4B->CR1,0.062205736205142914,1.8581066883232031,412,418.5,-6.5
FGF7->NRP1,0.062489481460552665,0.6121569299616002,287,538.5,-251.5
CCL11->CCR3,0.06322921893959776,1.8385252832864152,423,386.5,36.5
TGFB3->TGFBR3,0.0632426138557095,1.73169493931872,423,386.5,36.5
LGI3->ADAM23,0.06418074737248192,1.6210691547095057,413,413,0
NODAL->TDGF1,0.06423979742308883,1.983403290432138,429,390,39
CEACAM6->CEACAM8,0.06444650471823843,1.704582399889076,499,373.5,125.5
L1CAM->CNTN1,0.06449303905836912,1.691855537899038,413,387.5,25.5
LRPAP1->LRP2,0.0646408714973814,1.8493017622027197,427,360,67
GDF6->BMPR1A,0.06464930594795282,1.623569010476986,413,413,0
CCL21->ACKR4,0.06501950031889225,2.029997036313977,423,394,29
SHH->LRP2,0.06516553786784274,1.9515019577708044,423,394,29
HMGB1->SDC1,0.06533858285281324,1.5367836817093152,451,360,91
WNT7A->FZD1,0.06559194236140264,1.3824932458866488,427,360,67
GDNF->GFRA1,0.06611550117471898,1.6400996372497227,429,400,29
COL3A1->DDR1,0.06636130385223116,1.5564950615430913,427,360,67
ANGPTL2->ITGB1,0.0665393507745694,0.5836693028011948,332,470.5,-138.5
CD80->CD274,0.06657011945115743,0.5757434206330353,348,463.5,-115.5
CD274->CD80,0.06657011945115743,0.5757434206330353,348,463.5,-115.5
SHH->BOC,0.06669208205830357,1.683718117478291,427,374.5,52.5
INHBA->ACVR1B,0.06677729017636469,1.6387217080400192,400,420.5,-20.5
IHH->PTCH1,0.0670735237616733,1.6431534190649975,427,374.5,52.5
SAA1->CD36,0.06845248611022103,0.5953978977303088,351,487.5,-136.5
LAMA2->ITGB1,0.06851021583697037,0.5912664861815563,332,470.5,-138.5
CCL2->ACKR4,0.06937023821754162,2.335562143803224,392,420.5,-28.5
FGF2->FGFR3,0.06983682694633442,0.5314848750303751,392,475,-83
PPBP->CXCR2,0.07000919351866697,0.6257651020230708,348,458,-110
WNT6->FZD7,0.07048092805109629,1.6488363299634534,451,360,91
WNT3A->FZD7,0.07048092805109629,1.6488363299634534,451,360,91
LAMA2->ITGA7,0.07110483592155648,1.5039278357299675,412,418.5,-6.5
ADAM12->ITGB1,0.071765287926429,0.5889061874140357,332,470.5,-138.5
ADAM17->ITGB1,0.071765287926429,0.5889061874140357,332,470.5,-138.5
ANGPT1->ITGB1,0.071765287926429,0.5889061874140357,332,470.5,-138.5
CLEC11A->ITGB1,0.071765287926429,0.5889061874140357,332,470.5,-138.5
COL2A1->ITGB1,0.071765287926429,0.5889061874140357,332,470.5,-138.5
CXCL12->ITGB1,0.071765287926429,0.5889061874140357,332,470.5,-138.5
FGG->ITGB1,0.071765287926429,0.5889061874140357,332,470.5,-138.5
ICAM4->ITGB1,0.071765287926429,0.5889061874140357,332,470.5,-138.5
PLA2G2A->ITGB1,0.071765287926429,0.5889061874140357,332,470.5,-138.5
LAMA1->ITGB1,0.071765287926429,0.5889061874140357,332,470.5,-138.5
MATN1->ITGB1,0.071765287926429,0.5889061874140357,332,470.5,-138.5
RELN->ITGB1,0.071765287926429,0.5889061874140357,332,470.5,-138.5
PLG->ITGB1,0.071765287926429,0.5889061874140357,332,470.5,-138.5
LRPAP1->LRP8,0.07184558396590823,1.9364062184800348,413,387.5,25.5
SHH->PTCH2,0.07337255045704372,1.88279312986192,427,374.5,52.5
GDF7->BMPR1A,0.07366042310331666,1.5799950621878278,413,413,0
PSAP->CD1B,0.07397337280201155,1.6937108519042248,413,386.5,26.5
PSAP->GPR37L1,0.07397337280201155,1.6937108519042248,413,386.5,26.5
PGF->NRP1,0.0747089955828486,0.595020768337006,343,538.5,-195.5
FGB->ITGA5,0.0747451928802807,0.611248168850537,348,446,-98
WNT3A->FZD6,0.07521743585542073,0.5634587669913687,332,508,-176
GRP->GRPR,0.07532304856119143,1.8944116102791744,429,412.5,16.5
ADAM28->ITGA4,0.07536964368819976,1.839599681651705,465,373.5,91.5
DLL4->NOTCH4,0.07568111670659317,0.5902429047089678,351,519.5,-168.5
LAMC2->ITGB4,0.07598108433147455,0.5509971350641795,361,428,-67
CORT->SSTR1,0.07666394807516208,1.838082504628211,465,349.5,115.5
WNT5A->FZD1,0.07670754117415113,1.540223285192722,412,418.5,-6.5
DLL1->NOTCH4,0.07701330058497069,0.5177292962743422,351,525.5,-174.5
OXT->AVPR2,0.07720078029991351,1.4421915227418864,476,340,136
RARRES2->CMKLR1,0.07754304769623077,1.4961759061151867,423,412.5,10.5
SELPLG->SELE,0.077858670283526,1.622263353999693,465,349.5,115.5
C5->C5AR2,0.07826718954873202,0.5872479379290619,351,518,-167
SHH->SMO,0.07933385649118707,1.905621003387309,423,374.5,48.5
DKK2->LRP5,0.08008202136451203,1.8080340271627438,465,345.5,119.5
FGF19->FGFR4,0.08028376218406408,1.8370979601026558,413,407.5,5.5
EFNA4->EPHA3,0.08073203231524306,1.6112961520656721,400,421.5,-21.5
HBEGF->EGFR,0.08081731066932174,0.601093740790713,348,453,-105
GZMB->IGF2R,0.08136124621324425,1.4276666212118185,429,355,74
IL17A->IL17RC,0.08154117675312289,1.5581742748066627,455,356,99
CD14->ITGB1,0.08308470117416544,0.5979937068247315,332,460,-128
SEMA7A->ITGB1,0.08308470117416544,0.5979937068247315,332,460,-128
SERPINC1->SDC2,0.0832061317779379,2.11886297284164,392,413.5,-21.5
PSPN->GFRA1,0.08358997378036404,1.57573832981517,451,394,57
CX3CL1->ITGB3,0.08460318233431474,0.6279826219148205,388,439,-51
WNT3A->FZD2,0.0847252473921235,1.6076676940549068,427,360,67
NDP->FZD4,0.08514727807979927,1.673731537313678,413,413,0
GPC3->CD81,0.08532583117573156,1.766699015848331,423,355,68
LTBP3->ITGB5,0.0854221497494414,1.5368378143125874,429,349.5,79.5
ICAM4->ITGA2B,0.08543772511273018,0.5887839770245167,388,461,-73
IL22->IL22RA2,0.08571375456929231,0.5498543753634594,351,434.5,-83.5
YBX1->NOTCH1,0.08795841418424477,1.7767275479098035,476,373.5,102.5
EFNA4->EPHA8,0.08890751242066475,1.5462843726005855,499,353.5,145.5
WNT7A->FZD5,0.0891801902925694,1.5479645389567094,537,345.5,191.5
WNT7A->FZD9,0.08988195706945268,0.5240247197863374,359,441,-82
HLA-G->KLRC1,0.08994570427096549,0.6094246903027761,400,440,-40
NLGN1->NRXN1,0.09017737826380812,1.908561936437039,413,413,0
ICOSLG->CTLA4,0.0903920076028778,1.591192749495606,413,417.5,-4.5
ICOS->ICOSLG,0.0903920076028778,1.591192749495606,413,417.5,-4.5
ICOSLG->ICOS,0.0903920076028778,1.591192749495606,413,417.5,-4.5
TDGF1->ACVR1B,0.09098008453639517,1.851570683712303,427,373.5,53.5
EFNA2->EPHA1,0.0913827701108233,1.8375974755191784,465,356,109
WNT5A->LRP5,0.0916019126148424,1.5424962754633644,427,345.5,81.5
DLK1->NOTCH4,0.09193039812198589,0.6128292566871698,351,519.5,-168.5
MYL9->CD69,0.09199074344339564,1.5182590176454502,427,386.5,40.5
CADM1->CADM1,0.09223306322860025,1.5267401773843141,451,400,51
VEGFA->NRP2,0.0922856751879162,0.5949552531235359,348,508,-160
HLA-C->LILRB2,0.09260589792717977,1.7567368266285819,465,360,105
HLA-C->KIR2DL3,0.09260589792717977,1.7567368266285819,465,360,105
DKK1->LRP4,0.09299423901471437,0.6097875323556889,351,460,-109
APOE->SORL1,0.09331721969187545,1.6846728574536514,540,349.5,190.5
ANGPTL2->ITGA5,0.09761376182371961,0.6236134567693269,348,446,-98
ZG16B->CXCR4,0.09769484710424048,1.7130568229407295,412,421.5,-9.5
THBS2->CD47,0.098345561737755,1.6213297709961407,423,386.5,36.5
FGF16->FGFR4,0.09896760219448131,1.8930173251086024,413,407.5,5.5
FGF17->FGFR4,0.09896760219448131,1.8930173251086024,413,407.5,5.5
FGF18->FGFR4,0.09896760219448131,1.8930173251086024,413,407.5,5.5
FGF20->FGFR4,0.09896760219448131,1.8930173251086024,413,407.5,5.5
FGF21->FGFR4,0.09896760219448131,1.8930173251086024,413,407.5,5.5
FGF23->FGFR4,0.09896760219448131,1.8930173251086024,413,407.5,5.5
TGM2->ITGB1,0.09901464019932582,0.5952501438121868,337,487.5,-150.5
NLGN3->NRXN1,0.09904843649358153,1.5838914667873338,400,418.5,-18.5
EFNA1->EPHA1,0.09919787950970438,1.6169108139177257,465,373.5,91.5
SLIT3->ROBO4,0.09935082258390493,1.7335190765297117,455,349.5,105.5
TF->TFR2,0.09953198751799563,0.7403424653595149,359,470.5,-111.5
WNT3->FZD7,0.10004600842718636,1.5151211400295799,427,360,67
L1CAM->ERBB3,0.10004628321796205,1.8049395869385543,429,356,73
SERPINE1->LRP1,0.10038881965024515,1.4579211958978382,413,387.5,25.5
WNT11->FZD7,0.10041898122124815,1.4265975340029735,427,348,79
LAMC2->ITGA3,0.10093397888350153,0.5550211230418611,348,460,-112
WNT5A->FZD5,0.10211633494441508,1.666672564577203,413,401,12
JAG2->NOTCH4,0.10353614116657939,0.544397848841274,361,470.5,-109.5
SERPINF1->PLXDC1,0.10373480061289375,1.4310630368902506,413,401,12
CCL7->ACKR4,0.10430613171532777,1.767903075588188,427,369.5,57.5
EFNB3->EPHA4,0.10430816885021355,1.518592452626344,499,351,148
