LR,pval_PAAD-US,pval_PACA-AU,pval_PACA-CA,hr_PAAD-US,hr_PACA-AU,hr_PACA-CA,median_day_low_PAAD-US,median_day_low_PACA-AU,median_day_low_PACA-CA,median_day_high_PAAD-US,median_day_high_PACA-AU,median_day_high_PACA-CA,diff_day_PAAD-US,diff_day_PACA-AU,diff_day_PACA-CA,meta_pval,meta_qval_BH,meta_qval_holm,meta_qval_storey
IL24->IL20RB,0.002342005459372354,0.011509410011466215,0.004345923961698972,0.39345926109190626,0.4442972193910244,0.6484980666596487,173,519.5,629.5,188,332,444,15,-187.5,-185.5,1.0043207545624974e-6,4.5043785842128006e-4,0.0017987384714214327,2.333387911074979e-4
CCL21->CCR7,0.002480475357360956,0.3348193799567024,0.3970944757863275,2.235917543559073,1.2743481941115267,1.1892721051267758,182,413.5,512.5,194,412,539,12,-1.5,26.5,0.06601409853411912,0.32715274245914283,1,0.16947382198394845
TNFSF13->TNFRSF14,0.002504927842269411,0.7190451880042847,0.7733110551224838,2.5176792051876573,1.2179288994217026,1.1034384377046411,172.5,426,575,239,412,507.5,66.5,-14,-67.5,0.49614592346143016,0.7491613266022855,1,0.3880854928725241
ANGPT1->TIE1,0.0027457436581026506,0.12029849853127172,0.34562562676828223,2.3029467189083843,1.5622528923734553,1.178182479182256,181,413,440.5,194,413,579,13,0,138.5,0.01715733574090304,0.1707016549364547,1,0.08842799746567624
RELN->LRP8,0.0027599376884970273,0.1863005427401334,0.049751367361283716,2.895138600015584,1.4825827835591674,1.3358097173063765,195.5,406,445,181,414,587,-14.5,8,142,0.0022699503414769116,0.056559596008466384,1,0.029299375066739543
MMRN2->CLEC14A,0.002874232506110741,0.402875341033718,0.3734932725880127,1.9780480073356497,1.1125577315714448,0.9059292508952881,172.5,385.5,582.5,216,423,480,43.5,37.5,-102.5,0.07886189729972018,0.3501936726626188,1,0.18140963665661966
CCL26->CCR2,0.002909229920840195,0.6211920472221415,0.7308989884782624,2.161623550387987,1.1292874941409108,1.182904823766548,182,421.5,574,194,400,512,12,-21.5,-62,0.39226640196458995,0.6747132551528997,1,0.3495194117416676
CXCL16->CXCR6,0.003141628796545559,0.048156995989253604,0.3069605574630012,2.8253586332665406,1.8443641329621734,1.1394570947577751,162.5,337.5,518.5,247,552,539,84.5,214.5,20.5,0.007663739610839495,0.11496705623203324,1,0.05955599294515919
CD34->SELP,0.003178844273641346,0.33274419977512437,0.3971366443886619,2.2343409674719497,1.409996915100447,1.1570322007328295,191,400,475,179,423,547,-12,23,72,0.06565484244286368,0.32715274245914283,1,0.16947382198394845
SEMA6B->PLXNA2,0.003201635008905024,0.8777020512814385,0.3030912932106915,2.823088318697311,1.1031029424275014,1.230464707320844,202,428,465,179,392,590,-23,-36,125,0.27351490129401934,0.5793219987266478,1,0.30010420375995023
LAMA1->ITGA7,0.0032117110285131423,0.9645246659483782,0.30567903825891973,2.7186470666541305,1.090924819562763,1.1745373886034691,181,428,459.5,188,388,590,7,-40,130.5,0.3339392223112916,0.6326215431738458,1,0.32771478540927895
CSF2->CSF2RA,0.003297268086556837,0.2681631094472836,0.36323538422828694,2.0876736630702224,0.6903885110840473,1.1254158139421686,181,487.5,467,194,348,547,13,-139.5,80,0.04261333698499427,0.259146869664677,1,0.1342449711016371
GDF3->TDGF1,0.003437375667842968,0.02588763456379861,0.011097935229609557,2.2876323013464632,2.1796275138455057,1.6342537159888397,185.5,345.5,450.5,181,455,628,-4.5,109.5,177.5,1.1008613302547303e-5,0.002468681533096233,0.01967239197165203,0.0012788426944862362
DSC3->DSG3,0.00344095406464473,0.3000750788750749,0.04276793232692688,0.46685840971270154,0.7156449872668846,0.6530539703418144,203.5,420.5,617.5,181,361,456,-22.5,-59.5,-161.5,0.006920634213489077,0.10987272370795934,1,0.056916993202035346
CCL4L1->CCR5,0.003474069207266006,0.45977981939228796,0.0012243381170573553,2.226796743913751,1.3488050142336594,2.0097906666770804,192.5,420.5,440.5,181,400,627,-11.5,-20.5,186.5,0.016701090559735437,0.1707016549364547,1,0.08842799746567624
IL16->CD4,0.0035659836304200443,0.28626057211748634,0.4755476826585875,2.3300942626598578,1.3107994037873476,1.1679951447590562,185.5,400.5,469,181,423,547,-4.5,22.5,78,0.07472574791525802,0.3456867642508567,1,0.17907493822758747
WNT3A->FZD8,0.003636482573472044,0.01657528615431836,0.01771661588776241,2.3548140275850993,2.342515411518009,1.3976313133563527,174,385.5,413,188,427,608,14,41.5,195,9.093724411048582e-6,0.002468681533096233,0.016268672971365913,0.0012788426944862362
ICAM3->ITGAL,0.003688403038140331,0.8642123121496575,0.7286804528396853,2.256333950956753,1.0947764305023293,1.1472888591431707,181,400.5,493,194,423,539,13,22.5,46,0.5721355754860376,0.7883342722134803,1,0.40837812059496365
DHH->PTCH1,0.0040558651106400445,0.0474000307891449,0.07028737653555228,2.4239625571226076,1.570176003023292,1.4104056390096587,180,368,456,194,423,592,14,55,136,3.007347844285918e-4,0.01254693495964869,0.5268873423188928,0.006499646024092977
CSF2->CSF3R,0.004105775746884643,0.18764016138959116,0.7204938856279157,2.3577034173835623,0.7755622731691963,1.008484129849864,188.5,458,578.5,181,361,512,-7.5,-97,-66.5,0.12652484980179293,0.42666462508348973,1,0.2210236239339422
PNOC->OPRL1,0.004448694249813534,0.37015479082372504,0.14274683532070886,2.095796718491651,1.2452017587678295,0.8176111086804533,184.5,412.5,578.5,183,427,456,-1.5,14.5,-122.5,0.023078252292013015,0.1978596069649815,1,0.10249653894552023
APLN->APLNR,0.004870004907936654,0.2338257982587072,0.6035960591959957,1.775050105391457,1.427607810867449,1.1209694445003333,191,355,512.5,181,427,539,-10,72,26.5,0.09959477715382209,0.38841963089990617,1,0.2012116997320375
SHH->BOC,0.004876827860276989,0.06669208205830357,0.0024129510264595533,2.0352988334053492,1.683718117478291,1.7303688989824981,182,374.5,440.5,194,427,625,12,52.5,184.5,6.748768077379515e-5,0.005264039100356022,0.119588170331165,0.002726912263380138
CSF3->CSF3R,0.0049132356887260364,0.8743367385548394,0.9355753823310327,2.0884827743263763,1.1318418979071396,1.1635324500043829,194,426,576.5,181,392,512,-13,-34,-64.5,0.725717711819007,0.8633538295777843,1,0.4472402466297483
ANGPTL1->TEK,0.005276880516633553,0.0023156490088658277,0.4624752766223106,2.0118148390630597,2.802687886405358,1.2348051029175107,182,355,556,194,465,512,12,110,-44,0.01731132360286423,0.1707016549364547,1,0.08842799746567624
FGF7->FGFR2,0.005323952337377813,0.23703984828753355,0.019472036340155152,2.6619291317887694,1.5378559335518531,1.609168006001162,191,400,437,181,414,633,-10,14,196,0.002991823792629096,0.06626335659230367,1,0.034326181143309355
SELPLG->SIGLEC5,0.005526436980074156,0.0010816058740380496,0.6359121953490197,2.0359251039450803,2.376103480742662,1.027876746540025,164,309.5,509,202,555,573,38,245.5,64,0.04420884663078465,0.2632381116676366,1,0.13636434327529215
DLL4->NOTCH4,0.005628614223523454,0.07568111670659317,0.5361767540041891,2.0252889369521436,0.5902429047089678,1.0564308082373912,187.5,519.5,483,183,351,539,-4.5,-168.5,56,0.039240191596052396,0.2525107740946405,1,0.13080729709392103
CCL21->CXCR3,0.005750460959138781,0.31385125986647566,0.9733435170943688,1.9983021812265214,1.3487430440478632,1.111861820431865,182,400.5,581,194,423,494,12,22.5,-87,0.34766785656117816,0.6381058223985303,1,0.33055578791486095
IHH->PTCH2,0.005767337810301698,0.03738827204572004,0.1383610987649857,2.461846706880947,2.376775846983162,1.2761847990599346,162.5,368,456,240,499,590,77.5,131,134,9.967782976213735e-4,0.031372285367241126,1,0.016251678239321044
SEMA4B->DCBLD2,0.005879323481788212,7.267549034982723e-4,5.830407880634825e-4,0.5069181557671725,0.2978483986487667,0.4992883678015507,231,547.5,643,181,332,383,-50,-215.5,-260,6.19263949711289e-8,1.1109595257820523e-4,1.1109595257820523e-4,5.755065829144712e-5
CCL21->CCR10,0.0059101427601099266,0.16367491077799168,0.4734404139184947,2.0634104911570827,1.6016063032067052,0.8450585856619113,185.5,394,575.5,181,423,503,-4.5,29,-72.5,0.044313216122422665,0.2632381116676366,1,0.13636434327529215
CCL21->ACKR4,0.0059101427601099266,0.06501950031889225,0.9454552167112189,2.0634104911570827,2.029997036313977,1.1212236154427273,185.5,394,575,181,423,471,-4.5,29,-104,0.1749918621306359,0.48443818045025394,1,0.2509518622363602
CCL21->ACKR2,0.0059101427601099266,0.12218946909127137,0.8701092600866014,2.0634104911570827,1.5050916176600375,1.0080434044982738,185.5,374.5,509,181,427,575,-4.5,52.5,66,0.16577270574782713,0.477089695152312,1,0.2471451514019229
NTN1->NEO1,0.005921319113206369,0.016675685346983493,0.036292226009309037,2.4401400529558286,2.3386647556930593,1.3903136577392823,159,360,440.5,248,429,631,89,69,190.5,3.403740070069672e-5,0.004041718345820927,0.06062061064794085,0.0020937176020600157
IL12B->IL23R,0.005957368177181288,0.917994516416737,0.30670087084463393,2.1371149697755887,1.0806769915715169,0.8767453149694642,181,421,575,194,392,480,13,-29,-95,0.3045030956589418,0.6163781220739467,1,0.3193002612478671
DLL3->NOTCH1,0.0060519620393348905,0.8773740644001857,0.36270588162549156,2.7253375687747567,1.0145785376160972,1.2064578888771076,184.5,425,459.5,183,388,579,-1.5,-37,119.5,0.31505277995347175,0.621618817633468,1,0.322015080936219
SHH->PTCH2,0.006406630921387935,0.07337255045704372,0.012167905639278942,2.532036245750295,1.88279312986192,1.4668775675432155,182,374.5,450.5,194,427,633,12,52.5,182.5,1.295575343576439e-4,0.007385926259669626,0.2285394906068838,0.0038261062484418705
CSF2->IL3RA,0.006461395947836013,0.8719278456618961,0.5154387911238671,2.451535379998501,0.9812507594020404,1.220244294658085,181,413,497.5,188,413,547,7,0,49.5,0.42076996524414373,0.7020214618566434,1,0.3636657891396475
DEFB4A->CCR6,0.006479741217012891,0.2945912600124593,0.9379821679994464,2.029356920963187,1.3896838909926068,0.9839397452974518,181,406.5,530.5,202,414,515,21,7.5,-15.5,0.3102127827184341,0.6170552784283017,1,0.3196510462499753
SEMA3C->NRP1,0.006657002496848863,0.4099460084483596,0.027793037354029826,0.4307676575899459,0.682209853646552,0.7457224093480576,236,487.5,643,179,348,437,-57,-139.5,-206,0.014627136520757648,0.1606930725696265,1,0.083243285598071
SEMA4A->LILRB2,0.00670093905942426,0.7338180718265769,0.864598739265676,2.113787193512483,1.2270405005195089,0.9272944473511134,185.5,419.5,557,181,413,515,-4.5,-6.5,-42,0.5784511379619561,0.7921750927199628,1,0.4103677677728998
CCL17->CCR8,0.007193864482339829,0.8973162341224457,0.514987386405601,1.9166726520023682,1.0330905975511826,1.1704579909750061,231,439,467,161,361,560,-70,-78,93,0.43979701676439387,0.7108070703381284,1,0.3682169680068025
APOE->LRP1,0.007229722494163204,0.014977890912271086,0.0058315206549302,1.8670415933980045,2.198143397279447,1.5435322329342136,159.5,349.5,456,219,429,631,59.5,79.5,175,3.6740286693569757e-6,0.001318241486565283,0.0065765113181489865,6.828841517473173e-4
CCL24->CCR2,0.007231338005910248,0.16888984721582712,0.09390240906335323,2.0815207783438927,1.6973571198044153,1.3153665865927044,191,420.5,449.5,181,412,627,-10,-8.5,177.5,0.0032813600868469303,0.06845069762562085,1,0.03545928197600336
GRN->SORT1,0.007254205406138414,0.03514434575487324,0.7332755370974254,2.0416109101793327,2.186917934978789,0.9265342769915754,158,360,465,202,465,547,44,105,82,0.07778334242588378,0.349830837120522,1,0.18122167819535615
HGF->MET,0.007296467019084041,0.23461343821702108,0.4837728731813137,0.4171745571166944,0.6702173094128191,0.907109218783602,160.5,434.5,543,239,400,463,78.5,-34.5,-80,0.0636926325817697,0.32187206437097143,1,0.16673829028232723
CCL22->CCR4,0.007301337152127885,0.9276466349688695,0.3250349445237879,1.9034462553605564,0.9131930915448856,1.1753236114567196,192.5,449.5,485,179,392,547,-13.5,-57.5,62,0.3245961715548929,0.626156485773632,1,0.32436571372269
RPH3A->NRXN1,0.007386689814580905,0.25634238073185633,0.7999836049903329,2.3109708576648784,1.310743982660525,0.886530714031342,181,425,459.5,194,400,573,13,-25,113.5,0.20046644721911128,0.5054635923614743,1,0.26184358482623377
CCL3L1->CCR5,0.007840655875721803,0.45977981939228796,0.0012243381170573553,1.9590161777371964,1.3488050142336594,2.0097906666770804,210.5,420.5,440.5,179,400,627,-31.5,-20.5,186.5,0.01717655631197679,0.1707016549364547,1,0.08842799746567624
NCAM1->GFRA1,0.0078754409870887,0.02327870579901925,0.7932666234733605,2.1406205268835428,1.8465964175016265,1.0750094798695171,180,374.5,575,202,455,503,22,80.5,-72,0.09338895674321165,0.3825109324139765,1,0.19815083676071055
CCL7->CCR5,0.008368996323390276,0.7256662962024324,0.009595395517341343,2.013888254050721,1.00504353920911,1.6999257835795927,192.5,440,459.5,181,361,625,-11.5,-79,165.5,0.06853630099750686,0.3332090081017,1,0.1726111286673012
ZG16B->CXCR4,0.008434379138963388,0.09769484710424048,0.006275976130017069,2.1910048625347485,1.7130568229407295,1.4995882693878948,188.5,421.5,365,181,412,608,-7.5,-9.5,243,2.3670530162174435e-4,0.011795814197483594,0.4163646255526483,0.006110545491483159
DSC3->DSG4,0.008501736237178537,0.029281704836838895,0.012581460033656455,0.43514261573909735,0.423907819514166,0.5522169477220962,247.5,446,642,164,388,456,-83.5,-58,-186,2.129279663632039e-5,0.0034726615605053437,0.03798634919919557,0.001798931051874286
EDN3->EDNRB,0.008573989036163798,0.28254952650790677,0.039662224673809865,2.0031846242339397,1.4135033468815623,1.4281586693144477,174,421.5,422,202,392,590,28,-29.5,168,0.006032385504683492,0.09928531738901088,1,0.051432435132058946
SHH->GPC5,0.008775632559003266,0.213735449987155,0.05291267120373433,2.5200694272085196,1.6907514868302853,1.3655112626570118,171.5,394,455.5,240,423,633,68.5,29,177.5,0.0034821937251787705,0.07098926753375812,1,0.03677432870760516
HSPG2->COL13A1,0.008775758162483105,0.3583268072300212,0.5309254937053589,2.2015818847006967,1.3251183554028982,1.1198949542807524,159.5,355,530.5,219,429,515,59.5,74,-15.5,0.12070311250455053,0.4167106722410472,1,0.21586721161296835
EDN2->EDNRB,0.009165757490323112,0.32369816220816505,0.7268905427222605,2.0485040183979843,1.3465835311554268,0.9406588684510805,191,440,530.5,179,392,515,-12,-48,-15.5,0.19825807608953486,0.5052201541258885,1,0.2617174773453928
SHH->LRP2,0.009182305759992349,0.06516553786784274,0.04444362334220975,2.612733135161099,1.9515019577708044,1.3443928368122766,171.5,394,450.5,194,423,628,22.5,29,177.5,2.7938590112182e-4,0.01254693495964869,0.49060164236991594,0.006499646024092977
NODAL->TDGF1,0.009593844972336396,0.06423979742308883,0.3807453691194843,2.29514237208,1.983403290432138,1.1426982922221565,171.5,390,483,202,429,579,30.5,39,96,0.015655858570456812,0.16521535456117364,1,0.08558594795032803
GDNF->GFRA1,0.010009521174265568,0.06611550117471898,0.19648070391942907,1.9069556288039609,1.6400996372497227,1.3348480415006214,181,400,487,202,429,579,21,29,92,0.003376398295481553,0.06962366140337822,1,0.03606690841058872
PSPN->GFRA1,0.010009521174265568,0.08358997378036404,0.3277578700508147,1.9069556288039609,1.57573832981517,1.2392310338877692,181,394,491.5,202,451,573,21,57,81.5,0.01246810692263991,0.14813101867030462,1,0.07673580756110383
TAC3->TACR1,0.01004888522076286,0.8187849528954637,0.5742372236876052,2.0409924017908296,1.054538443561695,1.0801422143329737,195.5,412.5,459.5,160,414,587,-35.5,1.5,127.5,0.427606852555404,0.7054396617867995,1,0.3654365076184668
ZP3->EGFR,0.010478173433792315,0.1279061246071138,0.7809310460636513,0.4847052246066275,0.7291863549326069,1.0351876203744221,183.5,458,574,183,332,467,-0.5,-126,-107,0.12949180253159265,0.4297504999183503,1,0.22262218917443757
FGF18->FGFR4,0.011005699982087669,0.09896760219448131,0.009763184690589122,2.361463792221813,1.8930173251086024,1.549162641424302,181,407.5,386,216,413,631,35,5.5,245,2.8610686874412026e-4,0.01254693495964869,0.5021175546459311,0.006499646024092977
PSAP->CD1B,0.011361871944893354,0.07397337280201155,0.9697145506559256,1.8514457927915537,1.6937108519042248,0.9109891556771986,154,386.5,467,219,413,578,65,26.5,111,0.1956511952541837,0.5014260632657223,1,0.2597520373671323
PSAP->GPR37L1,0.011361871944893354,0.07397337280201155,0.9697145506559256,1.8514457927915537,1.6937108519042248,0.9109891556771986,154,386.5,467,219,413,578,65,26.5,111,0.1956511952541837,0.5014260632657223,1,0.2597520373671323
EDN1->EDNRB,0.011472114067412664,0.5976102738296105,0.058727044781636706,1.7751136649591288,0.9820379868260521,1.3787532184900317,181,440,461.5,194,400,579,13,-40,117.5,0.049637099605492986,0.28002816569891326,1,0.14506203783413513
CD34->SELE,0.011745677503233853,0.2991911125029668,0.20224175512208786,1.977966498499449,1.5848443792293438,1.2211382941765996,195.5,413,440.5,179,413,573,-16.5,0,132.5,0.02252445144918197,0.1978596069649815,1,0.10249653894552023
NLGN1->NRXN1,0.01262657062254724,0.09017737826380812,0.4978687308522405,2.129504950743939,1.908561936437039,1.1190411163682497,191,413,503,179,413,530.5,-12,0,27.5,0.036121218153087505,0.24453383157222258,1,0.12667502870191974
MFNG->NOTCH1,0.012652536271478443,0.8753212660139709,0.15621655027185577,2.160122290021477,0.9128475570338965,1.3156801021198001,181,428,456,194,361,587,13,-67,131,0.18970947178907174,0.49467847731045744,1,0.25625660837452113
IL10->IL10RA,0.012695952524089726,0.8997627762469869,0.9819943367596663,1.9648297393572678,1.1624900832740308,1.06009762575756,192.5,420.5,482.5,181,392,547,-11.5,-28.5,64.5,0.7753817248272535,0.8899085238230815,1,0.4609962845328318
IL22->IL10RA,0.012695952524089726,0.8997627762469869,0.7967596200971561,1.9648297393572678,1.1624900832740308,1.159024760556194,192.5,420.5,482.5,181,392,547,-11.5,-28.5,64.5,0.6538611043197929,0.8325159826643566,1,0.4312654217241396
FGF5->FGFR4,0.012787256563848493,0.18238235860277485,0.01239074510814453,2.3195928373487775,1.7540557529918699,1.5400180214381516,181,407.5,386,216,413,631,35,5.5,245,0.0014903284674091112,0.04312337533116041,1,0.0223390553882726
FGF9->FGFR4,0.012787256563848493,0.048054025561074076,0.002723439994980148,2.3195928373487775,2.1827781272100295,1.706516052461674,181,373.5,381,216,414,633,35,40.5,252,4.2805266761760096e-5,0.004041718345820927,0.07603608959338472,0.0020937176020600157
NRTN->GFRA1,0.013276224591164731,0.0481338627647121,0.022113957801334627,1.8517291232134057,1.7880350815674462,1.3917802918460194,181,400,437,194,423,608.5,13,23,171.5,9.711432773124768e-5,0.00670088861345609,0.17179524575657715,0.003471238527529536
DLL1->NOTCH1,0.013577341731754622,0.8773740644001857,0.14714608255561956,2.597284274414877,1.0145785376160972,1.344139451609394,184.5,425,456,183,388,587,-1.5,-37,131,0.1864226885308019,0.4919952597334704,1,0.2548666303032131
WNT3->FZD8,0.013865624131243814,0.034175502772798017,0.00513759140095682,2.0779171680417554,2.2312112709938408,1.4366330389298216,174,412.5,384,188,423,627,14,10.5,243,2.5064690560250326e-5,0.0037471712387574236,0.04469034326892633,0.0019411343664339188
CCL19->CCR7,0.014026589420673807,0.32741211734349207,0.7328680310407819,1.9263231845307396,1.2391493824063295,1.1022487447104512,195.5,407,547.5,179,413,515,-16.5,6,-32.5,0.2064440198757225,0.5115477509075224,1,0.2649953407754716
TFF2->CXCR4,0.014193950638784258,0.16808822698058523,0.5963594323637196,2.1382033699953182,1.6311592676270494,0.8554751468737103,194,360,539,181,451,517,-13,91,-22,0.078679496976241,0.3501936726626188,1,0.18140963665661966
BMP8A->ACVR2A,0.014214775203468921,0.1460667699133963,0.18826219658917498,1.709336901473778,1.4029016096623876,1.1873500172255995,158,400,547.5,233,423,515,75,23,-32.5,0.007057008118554936,0.11105502249725925,1,0.057529455420886146
DSC3->DSG1,0.014697813458813047,0.029281704836838895,0.017497183583347287,0.4854230868562686,0.423907819514166,0.5886900317541296,249,446,642,160,388,456,-89,-58,-186,3.872401952998986e-5,0.004041718345820927,0.06892875476338195,0.0020937176020600157
DSG1->DSC3,0.014697813458813047,0.029281704836838895,0.017497183583347287,0.4854230868562686,0.423907819514166,0.5886900317541296,249,446,642,160,388,456,-89,-58,-186,3.872401952998986e-5,0.004041718345820927,0.06892875476338195,0.0020937176020600157
CCL3L3->CCR5,0.014934673764928963,0.45977981939228796,0.0870486387782663,1.9595329246585687,1.3488050142336594,1.3982057095272233,199.5,420.5,467,179,400,576,-20.5,-20.5,109,0.029546663751887955,0.2249661915349199,1,0.11653847071557805
WNT3A->FZD5,0.01518366059919296,0.28446547109931153,0.3849410021134453,2.256435355614046,1.3270366244549336,1.0174178168177979,171.5,356,534.5,197,451,515,25.5,95,-19.5,0.053473751960822186,0.2892103029823345,1,0.14981862916730135
PTGS2->CAV1,0.015372192113071614,0.111746272483907,0.16897071347806158,0.5674372310989612,0.5926064434985063,0.7502349095414893,218.5,434.5,628,181,351,456,-37.5,-83.5,-172,0.004326297223566799,0.07847314115274935,1,0.04065117429331406
CNTF->IL6R,0.015557951370791079,0.7480845433194432,0.006009321014472047,1.8830063905830352,0.9999707352839038,1.590561831684985,173,425,440.5,216,400,663,43,-25,222.5,0.07598566076639518,0.3468658407504146,1,0.17968573121464765
CRH->CRHR1,0.015586279656621849,0.3794880774035505,0.4736697491888715,1.7901937974131368,0.6343096657084101,0.9141797326475162,173,453,518.5,188,388,539,15,-65,20.5,0.10927589279186803,0.39622986750132233,1,0.20525761002302717
CTF1->LIFR,0.01568945647160702,0.35634680961962273,0.9972696949355581,2.0880309407900253,0.7833247979256898,0.9809218089980252,195.5,487.5,577,164,351,463,-31.5,-136.5,-114,0.4027235960932212,0.6855396291210133,1,0.3551277614098135
