cell_type_pair,mean_NormHRL,mean_NormHRH,adjusted_mean_NormHRL,adjusted_mean_NormHRH
CAF->CAF,0.03745304336127876,0.05305491562645039,1.2722854729891115,0.914795363377281
CAF->DC,0.036431428584022145,0.03511036588277092,1.2375810665258866,0.6053878238574745
CAF->EMT,0.040989035846894284,0.025852109355514328,1.3924036654855432,0.44575303706932284
CAF->Endo,0.03638756831426447,0.05053408005151255,1.2360911266159096,0.8713300469488074
CAF->ETC,0.03753701617359367,0.049776599964274706,1.2751380419567042,0.858269253929464
CAF->TAM,0.03569909547096254,0.046635346059095986,1.2127036013718022,0.8041064214432004
CAF->TIL,0.03950966422805465,0.035493855539723604,1.3421491907918266,0.6120001152152342
DC->CAF,0.04619564754022305,0.03417908567698552,1.5692730418141443,0.5893302954607504
DC->DC,0.04562779211586156,0.02662114833602896,1.5499829082940433,0.45901313343031747
DC->EMT,0.03354154229942294,0.03378906344792106,1.1394111981117403,0.5826053667232449
DC->Endo,0.04498225091871327,0.036751741941213195,1.5280537774774836,0.6336891261984942
DC->ETC,0.04454162727444713,0.03768452148352928,1.51308572651704,0.6497725067917625
DC->TAM,0.043108676324275445,0.04274509664153047,1.4644081688664317,0.737029090576692
DC->TIL,0.0362119965456767,0.03382466583878303,1.2301269274322413,0.5832192382505317
EMT->CAF,0.04067505783458553,0.032509809879626546,1.381737785545025,0.5605479339850759
EMT->DC,0.02082862136321579,0.014427195778074775,0.7075513764578976,0.2487598302340772
EMT->EMT,0.05162011599260577,0.02577860049275181,1.7535430447637421,0.4444855660719933
EMT->Endo,0.04007372789850182,0.04763421176946957,1.3613105178655245,0.8213292877826723
EMT->ETC,0.038592209907356484,0.03452848047717755,1.3109831305842292,0.5953547088337583
EMT->TAM,0.02333931300245831,0.03352069629924922,0.7928399461730613,0.5779780664931153
EMT->TIL,0.04582732330517206,0.022652654715296382,1.5567610125756957,0.3905866828182922
Endo->CAF,0.03607765431503715,0.044165142485626474,1.2255633018063365,0.7615141234642868
Endo->DC,0.037982030675204656,0.026142830676620592,1.2902552509965044,0.4507657774241551
Endo->EMT,0.0422098980000304,0.03878203016929056,1.433876535045809,0.6686962171614039
Endo->Endo,0.04079855530326632,0.04192891694622113,1.3859330129885692,0.7229561740121159
Endo->ETC,0.038123270071328076,0.04021335959080017,1.2950531743633238,0.6933758062777363
Endo->TAM,0.036584954282277725,0.041289276267404675,1.2427963574099121,0.7119272180652503
Endo->TIL,0.04077559325459488,0.033480811815567973,1.3851529887680292,0.5772903613047933
ETC->CAF,0.04417561703205395,0.048664741424578356,1.5006523039545492,0.8390981172904571
ETC->DC,0.0388545379785372,0.033777199785730065,1.3198944543156814,0.582400808426679
ETC->EMT,0.06732316707313797,0.0250746676670073,2.286978033708388,0.43234805765233797
ETC->Endo,0.04258946412370839,0.04778335167581564,1.4467704529188103,0.8239008213193667
ETC->ETC,0.04232283432530152,0.04985062436077377,1.4377129988714368,0.8595456139781901
ETC->TAM,0.03740387041860169,0.044068467847136125,1.2706150607871258,0.7598472183339532
ETC->TIL,0.045923442593065696,0.035565823352856914,1.5600261991316047,0.6132410147810783
TAM->CAF,0.04493126482093759,0.0377055023428538,1.5263217721261784,0.6501342676692066
TAM->DC,0.03731924679460481,0.029677151916118853,1.2677403836495607,0.5117060436445948
TAM->EMT,0.06980311096009363,0.026649865971986257,2.371222097689151,0.4595082950927327
TAM->Endo,0.04259986379567218,0.04072903181475379,1.4471237313276104,0.7022672455331791
TAM->ETC,0.04191013622624322,0.04129870269366501,1.423693582849695,0.7120897525059209
TAM->TAM,0.03867630181228181,0.04439802392371693,1.313839745145573,0.7655295640180283
TAM->TIL,0.04086862421899587,0.03931008932040071,1.3883132645139493,0.6778012370699396
TIL->CAF,0.05051858073236068,0.03395407094920804,1.7161237275649688,0.5854504960636174
TIL->DC,0.046945474693946686,0.028798312826612146,1.5947447821406366,0.4965527272224943
TIL->EMT,0.049665114407266876,0.030973324134759114,1.6871313491184987,0.5340551949296344
TIL->Endo,0.04943089229518001,0.04411281954453116,1.6791747890123836,0.76061194911631
TIL->ETC,0.04908027109581749,0.038640623676398346,1.6672641345385164,0.6662580264203231
TIL->TAM,0.046590369479066404,0.043589308736349607,1.582681804990375,0.7515853536661493
TIL->TIL,0.05160146111765176,0.031591999948779516,1.7529093358772447,0.5447226657835014
