cell,cluster
cell_7451,EMT
cell_7452,EMT
cell_7453,EMT
cell_7454,EMT
cell_7455,ETC
cell_7456,EMT
cell_7457,EMT
cell_7458,ETC
cell_7459,CAF
cell_7460,EMT
cell_7461,EMT
cell_7462,EMT
cell_7463,EMT
cell_7464,EMT
cell_7465,EMT
cell_7466,EMT
cell_7467,EMT
cell_7468,EMT
cell_7469,EMT
cell_7470,EMT
cell_7471,EMT
cell_7472,EMT
cell_7473,EMT
cell_7474,EMT
cell_7475,EMT
cell_7476,EMT
cell_7477,DC
cell_7478,EMT
cell_7479,EMT
cell_7480,DC
cell_7481,EMT
cell_7482,EMT
cell_7483,CAF
cell_7484,EMT
cell_7485,EMT
cell_7486,ETC
cell_7487,CAF
cell_7488,EMT
cell_7489,EMT
cell_7490,DC
cell_7491,EMT
cell_7492,EMT
cell_7493,EMT
cell_7494,EMT
cell_7495,CAF
cell_7496,EMT
cell_7497,EMT
cell_7498,EMT
cell_7499,EMT
cell_7500,EMT
cell_7501,EMT
cell_7502,EMT
cell_7503,EMT
cell_7504,EMT
cell_7505,ETC
cell_7506,EMT
cell_7507,EMT
cell_7508,EMT
cell_7509,ETC
cell_7510,EMT
cell_7511,EMT
cell_7512,EMT
cell_7513,EMT
cell_7514,Endo
cell_7515,EMT
cell_7516,EMT
cell_7517,EMT
cell_7518,EMT
cell_7519,EMT
cell_7520,EMT
cell_7521,EMT
cell_7522,EMT
cell_7523,EMT
cell_7524,EMT
cell_7525,EMT
cell_7526,ETC
cell_7527,EMT
cell_7528,EMT
cell_7529,DC
cell_7530,EMT
cell_7531,EMT
cell_7532,EMT
cell_7533,CAF
cell_7534,DC
cell_7535,EMT
cell_7536,EMT
cell_7537,EMT
cell_7538,EMT
cell_7539,EMT
cell_7540,EMT
cell_7541,EMT
cell_7542,EMT
cell_7543,DC
cell_7544,EMT
cell_7545,EMT
cell_7546,EMT
cell_7547,EMT
cell_7548,EMT
cell_7549,EMT
cell_7550,EMT
cell_7551,EMT
cell_7552,ETC
cell_7553,EMT
cell_7554,EMT
cell_7555,ETC
cell_7556,EMT
cell_7557,EMT
cell_7558,CAF
cell_7559,CAF
cell_7560,EMT
cell_7561,DC
cell_7562,DC
cell_7563,EMT
cell_7564,DC
