LR,cell_type_pair,Edge_average_expression_weight,Patient
ZG16B->CXCR4,EMT->EMT,0.008633932168246644,P01
ZG16B->CXCR4,EMT->ETC,0.01711675239315297,P01
ZG16B->CXCR4,EMT->Endo,0.04501975979121486,P01
ZG16B->CXCR4,EMT->TIL,0.2244595370079616,P01
ZG16B->CXCR4,ETC->CAF,0.3340919658785478,P01
ZG16B->CXCR4,ETC->DC,1.281467242556452,P01
ZG16B->CXCR4,ETC->EMT,0.1238566080126975,P01
ZG16B->CXCR4,ETC->ETC,0.2455454652986554,P01
ZG16B->CXCR4,ETC->Endo,0.6458233204325323,P01
ZG16B->CXCR4,ETC->TIL,3.219946178422709,P01
IHH->PTCH1,ETC->EMT,0.002384431563930677,P01
IHH->PTCH1,ETC->ETC,0.002278393680170303,P01
ANGPT1->TEK,EMT->Endo,0.0121599142842461,P01
ANGPT1->TEK,ETC->Endo,0.009428402918949875,P01
DHH->PTCH1,NA,NA,NA
SHH->LRP2,NA,NA,NA
FGF18->FGFR4,CAF->EMT,1.878827909164597e-4,P01
FGF18->FGFR4,CAF->ETC,0.01250242100388959,P01
FGF18->FGFR4,DC->EMT,6.036442015784748e-4,P01
FGF18->FGFR4,DC->ETC,0.04016873449600071,P01
FGF18->FGFR4,EMT->EMT,6.80852443403929e-4,P01
FGF18->FGFR4,EMT->ETC,0.04530645860347979,P01
FGF18->FGFR4,ETC->EMT,6.414371393272664e-4,P01
FGF18->FGFR4,ETC->ETC,0.0426836173993491,P01
SLIT3->ROBO2,CAF->CAF,0.015152444346571141,P01
SLIT3->ROBO2,EMT->CAF,0.001251857551652567,P01
RGMB->NEO1,EMT->CAF,0.06105753559170985,P01
RGMB->NEO1,EMT->EMT,0.03176675473817771,P01
RGMB->NEO1,EMT->ETC,0.06020097085352668,P01
RGMB->NEO1,ETC->CAF,0.01444301905014644,P01
RGMB->NEO1,ETC->EMT,0.007514352477519997,P01
RGMB->NEO1,ETC->ETC,0.01424040063930866,P01
RGMB->NEO1,Endo->CAF,0.0262983910585225,P01
RGMB->NEO1,Endo->EMT,0.01368241496596203,P01
RGMB->NEO1,Endo->ETC,0.02592945585284511,P01
ANGPT4->TEK,NA,NA,NA
NTNG2->LRRC4,NA,NA,NA
LRPAP1->SORT1,CAF->CAF,0.2231698414020029,P01
LRPAP1->SORT1,CAF->DC,0.155523380396683,P01
LRPAP1->SORT1,CAF->EMT,0.1803136129073395,P01
LRPAP1->SORT1,CAF->ETC,0.4936267862020353,P01
LRPAP1->SORT1,CAF->Endo,0.1763994641943628,P01
LRPAP1->SORT1,DC->CAF,0.1109256982086243,P01
LRPAP1->SORT1,DC->DC,0.0773022889199074,P01
LRPAP1->SORT1,DC->EMT,0.08962417718546958,P01
LRPAP1->SORT1,DC->ETC,0.2453552665089123,P01
LRPAP1->SORT1,DC->Endo,0.08767866485211971,P01
LRPAP1->SORT1,EMT->CAF,0.1521893439578157,P01
LRPAP1->SORT1,EMT->DC,0.1060582428341529,P01
LRPAP1->SORT1,EMT->EMT,0.1229637942234306,P01
LRPAP1->SORT1,EMT->ETC,0.3366258463963693,P01
LRPAP1->SORT1,EMT->Endo,0.1202945638245605,P01
LRPAP1->SORT1,ETC->CAF,0.2743758171139614,P01
LRPAP1->SORT1,ETC->DC,0.1912079800236053,P01
LRPAP1->SORT1,ETC->EMT,0.2216862931273194,P01
LRPAP1->SORT1,ETC->ETC,0.6068886905267417,P01
LRPAP1->SORT1,ETC->Endo,0.2168740490325002,P01
LRPAP1->SORT1,Endo->CAF,0.1934535314417283,P01
LRPAP1->SORT1,Endo->DC,0.1348145742743874,P01
LRPAP1->SORT1,Endo->EMT,0.1563038489645518,P01
LRPAP1->SORT1,Endo->ETC,0.4278976245405787,P01
LRPAP1->SORT1,Endo->Endo,0.1529108909987419,P01
LRPAP1->SORT1,TAM->CAF,0.4770189216166625,P01
LRPAP1->SORT1,TAM->DC,0.3324266161455358,P01
LRPAP1->SORT1,TAM->EMT,0.3854150033961151,P01
LRPAP1->SORT1,TAM->ETC,1.055112625236111,P01
LRPAP1->SORT1,TAM->Endo,0.377048626530936,P01
LRPAP1->SORT1,TIL->CAF,0.2563169608488011,P01
LRPAP1->SORT1,TIL->DC,0.1786230610452548,P01
LRPAP1->SORT1,TIL->EMT,0.2070953537885233,P01
LRPAP1->SORT1,TIL->ETC,0.5669445156120054,P01
LRPAP1->SORT1,TIL->Endo,0.20259984177795,P01
NLGN1->NRXN3,EMT->EMT,8.156150033031559e-5,P01
CORT->SSTR1,NA,NA,NA
FGF16->FGFR4,NA,NA,NA
FGF17->FGFR4,NA,NA,NA
FGF20->FGFR4,NA,NA,NA
FGF21->FGFR4,EMT->EMT,2.603439595747254e-5,P01
FGF21->FGFR4,EMT->ETC,0.00173242571740916,P01
FGF23->FGFR4,NA,NA,NA
FGF4->FGFR4,NA,NA,NA
FGF6->FGFR4,NA,NA,NA
FGF8->FGFR4,NA,NA,NA
IHH->PTCH2,ETC->EMT,1.904213527522899e-4,P01
FGF3->FGFR4,NA,NA,NA
GHRL->MLNR,NA,NA,NA
FGF5->FGFR4,NA,NA,NA
APOE->LRP5,CAF->CAF,0.05934513985135989,P01
APOE->LRP5,CAF->EMT,0.01906916496265849,P01
APOE->LRP5,CAF->ETC,0.3789781260099576,P01
APOE->LRP5,DC->CAF,0.01692986865737954,P01
APOE->LRP5,DC->EMT,0.005440015122254602,P01
APOE->LRP5,DC->ETC,0.1081141591954879,P01
APOE->LRP5,EMT->CAF,0.008395515759456868,P01
APOE->LRP5,EMT->EMT,0.002697701536548212,P01
APOE->LRP5,EMT->ETC,0.05361377254102336,P01
APOE->LRP5,ETC->CAF,0.002106808604344423,P01
APOE->LRP5,ETC->EMT,6.769733953212933e-4,P01
APOE->LRP5,ETC->ETC,0.01345408198103366,P01
PROC->TEK,EMT->Endo,0.009807069660478316,P01
PROC->TEK,ETC->Endo,0.024913502753187,P01
LRPAP1->LRP8,CAF->EMT,0.0203840176711324,P01
LRPAP1->LRP8,DC->EMT,0.01013179638549049,P01
LRPAP1->LRP8,EMT->EMT,0.01390075942656615,P01
LRPAP1->LRP8,ETC->EMT,0.02506109906897208,P01
LRPAP1->LRP8,Endo->EMT,0.01766977194892503,P01
LRPAP1->LRP8,TAM->EMT,0.0435702336239206,P01
LRPAP1->LRP8,TIL->EMT,0.02341162867943869,P01
CALCA->RAMP2,NA,NA,NA
RELN->LRP8,NA,NA,NA
CD226->NECTIN2,NA,NA,NA
NECTIN2->CD226,NA,NA,NA
INHA->TGFBR3,NA,NA,NA
A2M->LRP1,CAF->CAF,0.9609106087926391,P01
A2M->LRP1,CAF->EMT,1.558707986180121,P01
A2M->LRP1,CAF->ETC,0.5026398314139,P01
A2M->LRP1,CAF->Endo,0.4927911987127869,P01
A2M->LRP1,CAF->TAM,1.723300895699479,P01
A2M->LRP1,DC->CAF,0.1637151885529741,P01
A2M->LRP1,DC->EMT,0.2655649438371149,P01
A2M->LRP1,DC->ETC,0.0856372840732364,P01
A2M->LRP1,DC->Endo,0.08395932283012178,P01
A2M->LRP1,DC->TAM,0.2936074682612148,P01
A2M->LRP1,EMT->CAF,0.2667188747005563,P01
A2M->LRP1,EMT->EMT,0.4326488190021082,P01
A2M->LRP1,EMT->ETC,0.1395171715117604,P01
A2M->LRP1,EMT->Endo,0.136783497632688,P01
A2M->LRP1,EMT->TAM,0.478334687395062,P01
A2M->LRP1,ETC->CAF,0.1348549393492756,P01
A2M->LRP1,ETC->EMT,0.2187502864638598,P01
A2M->LRP1,ETC->ETC,0.07054086338480525,P01
A2M->LRP1,ETC->Endo,0.0691586986408332,P01
A2M->LRP1,ETC->TAM,0.241849382912012,P01
A2M->LRP1,Endo->CAF,1.274357948903369,P01
A2M->LRP1,Endo->EMT,2.067155772901293,P01
A2M->LRP1,Endo->ETC,0.666600054923506,P01
A2M->LRP1,Endo->Endo,0.6535388156639428,P01
A2M->LRP1,Endo->TAM,2.285438598233685,P01
TNFSF13->SDC2,NA,NA,NA
LRPAP1->LRP2,NA,NA,NA
LRPAP1->LRP1,CAF->CAF,0.647024558714078,P01
LRPAP1->LRP1,CAF->EMT,1.049548561223073,P01
LRPAP1->LRP1,CAF->ETC,0.3384501244307508,P01
LRPAP1->LRP1,CAF->Endo,0.3318185947451941,P01
LRPAP1->LRP1,CAF->TAM,1.160376408969533,P01
LRPAP1->LRP1,DC->CAF,0.3216010303300867,P01
LRPAP1->LRP1,DC->EMT,0.5216740139534001,P01
LRPAP1->LRP1,DC->ETC,0.1682253127278509,P01
LRPAP1->LRP1,DC->Endo,0.1649291367932338,P01
LRPAP1->LRP1,DC->TAM,0.5767605629019663,P01
LRPAP1->LRP1,EMT->CAF,0.4412345435954906,P01
LRPAP1->LRP1,EMT->EMT,0.715733389336788,P01
LRPAP1->LRP1,EMT->ETC,0.2308040462634608,P01
LRPAP1->LRP1,EMT->Endo,0.2262817140973341,P01
LRPAP1->LRP1,EMT->TAM,0.7913117799241062,P01
LRPAP1->LRP1,ETC->CAF,0.7954833452168335,P01
LRPAP1->LRP1,ETC->EMT,1.290365858922812,P01
LRPAP1->LRP1,ETC->ETC,0.4161069831820732,P01
LRPAP1->LRP1,ETC->Endo,0.4079538592440025,P01
LRPAP1->LRP1,ETC->TAM,1.426622985304154,P01
LRPAP1->LRP1,Endo->CAF,0.5608696274838189,P01
LRPAP1->LRP1,Endo->EMT,0.9097953124519554,P01
LRPAP1->LRP1,Endo->ETC,0.2933836013714777,P01
LRPAP1->LRP1,Endo->Endo,0.2876350968761024,P01
LRPAP1->LRP1,Endo->TAM,1.005865813707626,P01
LRPAP1->LRP1,TAM->CAF,1.382995817527684,P01
LRPAP1->LRP1,TAM->EMT,2.243378942753763,P01
LRPAP1->LRP1,TAM->ETC,0.7234271098762052,P01
LRPAP1->LRP1,TAM->Endo,0.7092524117207547,P01
LRPAP1->LRP1,TAM->TAM,2.480270182560135,P01
LRPAP1->LRP1,TIL->CAF,0.743126255063247,P01
LRPAP1->LRP1,TIL->EMT,1.205436611801597,P01
LRPAP1->LRP1,TIL->ETC,0.3887196708480077,P01
LRPAP1->LRP1,TIL->Endo,0.3811031688865323,P01
LRPAP1->LRP1,TIL->TAM,1.332725572233377,P01
FGF7->FGFR2,CAF->ETC,0.01218498899330104,P01
FGF7->FGFR2,EMT->ETC,0.002497325934028528,P01
NRTN->RET,NA,NA,NA
RGMA->NEO1,CAF->CAF,0.007653595843885438,P01
RGMA->NEO1,CAF->EMT,0.003981980269620581,P01
RGMA->NEO1,CAF->ETC,0.007546224980377025,P01
RGMA->NEO1,EMT->CAF,0.02175316729610318,P01
RGMA->NEO1,EMT->EMT,0.01131764529270787,P01
RGMA->NEO1,EMT->ETC,0.02144799618382247,P01
CCL24->CCR2,NA,NA,NA
LAMA2->DAG1,CAF->CAF,0.04805669728326337,P01
LAMA2->DAG1,CAF->DC,0.02795550981152268,P01
LAMA2->DAG1,CAF->EMT,0.0435228070949206,P01
LAMA2->DAG1,CAF->ETC,0.07061928865584145,P01
LAMA2->DAG1,CAF->Endo,0.0384085261990794,P01
