LR,cell_type_pair,mean_edge_average_ew,Grade
A2M->LRP1,CAF->CAF,1.2386313595332805,2
A2M->LRP1,CAF->DC,0.2709554626430025,2
A2M->LRP1,CAF->Endo,0.37842367706661445,2
A2M->LRP1,CAF->ETC,0.42103256655812327,2
A2M->LRP1,CAF->TAM,0.9620679608879726,2
A2M->LRP1,CAF->TIL,0.1452611629888156,2
A2M->LRP1,DC->CAF,0.27420617292404187,2
A2M->LRP1,DC->ETC,0.07537039669139713,2
A2M->LRP1,DC->TAM,0.17956534384921516,2
A2M->LRP1,DC->TIL,0.03563382689530488,2
A2M->LRP1,Endo->CAF,1.9153498489180372,2
A2M->LRP1,Endo->ETC,0.5664671519160246,2
A2M->LRP1,Endo->TAM,1.363464206717315,2
A2M->LRP1,Endo->TIL,0.3286550086176659,2
A2M->LRP1,ETC->CAF,0.1092547533840198,2
A2M->LRP1,ETC->DC,0.011057539033273294,2
A2M->LRP1,ETC->Endo,0.03417901657878711,2
A2M->LRP1,ETC->ETC,0.028401484772793015,2
A2M->LRP1,ETC->TAM,0.06906410881681589,2
A2M->LRP1,ETC->TIL,0.01947526630116632,2
A2M->LRP1,TAM->CAF,0.8568001106833908,2
A2M->LRP1,TAM->DC,0.13707031674103962,2
A2M->LRP1,TAM->Endo,0.3227905096779421,2
A2M->LRP1,TAM->ETC,0.22704714492312766,2
A2M->LRP1,TAM->TAM,0.5585632934852398,2
A2M->LRP1,TAM->TIL,0.08323506920625133,2
A2M->LRP1,TIL->CAF,0.2198631849976341,2
A2M->LRP1,TIL->ETC,0.03991115624121005,2
A2M->LRP1,TIL->TAM,0.1756358707077824,2
A2M->LRP1,TIL->TIL,0.02754185508506423,2
ACE->BDKRB2,CAF->CAF,7.854052403456589e-4,2
ACE->BDKRB2,CAF->DC,6.774044365455459e-4,2
ACE->BDKRB2,CAF->Endo,0.009598951485993833,2
ACE->BDKRB2,CAF->ETC,0.002760246203987671,2
ACE->BDKRB2,CAF->TAM,3.261121720373528e-4,2
ACE->BDKRB2,DC->CAF,0.001630314416269241,2
ACE->BDKRB2,DC->ETC,0.005579895187100418,2
ACE->BDKRB2,Endo->CAF,0.022963163511799237,2
ACE->BDKRB2,Endo->ETC,0.07343487342030544,2
ACE->BDKRB2,Endo->TAM,0.0113962910547813,2
ACE->BDKRB2,ETC->CAF,0.003957854698504879,2
ACE->BDKRB2,ETC->DC,0.00851163096165834,2
ACE->BDKRB2,ETC->Endo,0.044208429571249604,2
ACE->BDKRB2,ETC->ETC,0.014641339452161051,2
ACE->BDKRB2,ETC->TAM,0.001698931641365462,2
ACE->BDKRB2,TAM->CAF,0.00475886451055357,2
ACE->BDKRB2,TAM->DC,0.006225175130312217,2
ACE->BDKRB2,TAM->Endo,0.05833773493678029,2
ACE->BDKRB2,TAM->ETC,0.01564188370774809,2
ACE->BDKRB2,TAM->TAM,0.001956764746334471,2
AGRP->SDC3,CAF->CAF,0.005000641437910998,2
AGRP->SDC3,CAF->Endo,0.0109326213275318,2
AGRP->SDC3,CAF->ETC,0.006616182231370715,2
AGRP->SDC3,CAF->TAM,0.002785679673923853,2
AGRP->SDC3,ETC->CAF,0.007222178655770123,2
AGRP->SDC3,ETC->Endo,0.01578944329115937,2
AGRP->SDC3,ETC->ETC,0.009555424176553725,2
AGRP->SDC3,ETC->TAM,0.004023219127510578,2
AGRP->SDC3,TAM->CAF,0.04076991922860518,2
AGRP->SDC3,TAM->DC,0.00901882193669146,2
AGRP->SDC3,TAM->Endo,0.09935746885568983,2
AGRP->SDC3,TAM->ETC,0.036951906279430784,2
AGRP->SDC3,TAM->TAM,0.0363792824411105,2
AGT->AGTR1,CAF->CAF,0.01780910940699578,2
AGT->AGTR1,CAF->Endo,0.02165042885739226,2
AGT->AGTR1,CAF->ETC,0.003981953823104204,2
AGT->AGTR1,CAF->TAM,8.457039391093987e-4,2
AGT->AGTR1,Endo->CAF,0.018433627750556934,2
AGT->AGTR1,Endo->ETC,0.003573162340695164,2
AGT->AGTR1,Endo->TAM,3.232230131969327e-4,2
AGT->AGTR1,ETC->CAF,0.0018509155561253854,2
AGT->AGTR1,ETC->Endo,9.241845233314731e-4,2
AGT->AGTR1,ETC->ETC,2.6698577000851395e-4,2
AGT->AGTR1,ETC->TAM,4.020020614388029e-4,2
AGT->AGTR1,TAM->CAF,0.00408676160608115,2
AGT->AGTR1,TAM->ETC,7.541491767200845e-4,2
AGT->AGTR1,TAM->TAM,1.676243921660434e-4,2
ANGPT1->TEK,CAF->CAF,0.004910557224249528,2
ANGPT1->TEK,CAF->Endo,0.09657221285274555,2
ANGPT1->TEK,CAF->ETC,9.994247997473682e-4,2
ANGPT1->TEK,Endo->CAF,0.0029507300866850076,2
ANGPT1->TEK,Endo->ETC,7.92910019329243e-4,2
ANGPT1->TEK,ETC->CAF,1.2364896111042082e-4,2
ANGPT1->TEK,ETC->Endo,0.001002209727712046,2
ANGPT1->TEK,ETC->ETC,6.939941296140652e-6,2
ANGPT1->TEK,TAM->CAF,1.666506178707919e-4,2
ANGPT1->TEK,TAM->Endo,0.00260993111416649,2
ANGPT1->TEK,TAM->ETC,4.023017091207433e-5,2
ANGPT1->TIE1,CAF->CAF,0.002016125898998777,2
ANGPT1->TIE1,CAF->DC,0.01556787989038754,2
ANGPT1->TIE1,CAF->Endo,0.17524440783089779,2
ANGPT1->TIE1,CAF->ETC,0.0016672606978345563,2
ANGPT1->TIE1,CAF->TAM,0.002477446324808987,2
ANGPT1->TIE1,Endo->CAF,0.0017623494066106391,2
ANGPT1->TIE1,Endo->ETC,0.001989713812081622,2
ANGPT1->TIE1,Endo->TAM,0.0018754022882253004,2
ANGPT1->TIE1,ETC->CAF,1.439301137936641e-5,2
ANGPT1->TIE1,ETC->Endo,0.001784378315829172,2
ANGPT1->TIE1,ETC->ETC,4.387920473605378e-6,2
ANGPT1->TIE1,ETC->TAM,2.906584248806316e-5,2
ANGPT1->TIE1,TAM->DC,8.551424045405184e-4,2
ANGPT1->TIE1,TAM->Endo,0.008192231272537659,2
ANGPT1->TIE1,TAM->ETC,1.650758080151215e-4,2
ANGPT1->TIE1,TAM->TAM,4.819253462203443e-5,2
ANGPTL1->TEK,CAF->CAF,0.0023348184539284866,2
ANGPTL1->TEK,CAF->Endo,0.07924520912612712,2
ANGPTL1->TEK,CAF->ETC,8.329176693723628e-4,2
ANGPTL1->TEK,Endo->CAF,0.0013898875449402646,2
ANGPTL1->TEK,Endo->ETC,3.7718195274198457e-4,2
ANGPTL1->TEK,ETC->CAF,2.431328060235708e-4,2
ANGPTL1->TEK,ETC->Endo,0.00803745200373174,2
ANGPTL1->TEK,ETC->ETC,1.5956930650646472e-4,2
APOD->LEPR,CAF->CAF,0.23919788772147685,2
APOD->LEPR,CAF->DC,0.1184637276315151,2
APOD->LEPR,CAF->Endo,0.37213812092888093,2
APOD->LEPR,CAF->ETC,0.09603970644522801,2
APOD->LEPR,CAF->TAM,0.09037376054429148,2
APOD->LEPR,DC->CAF,0.12819773785317096,2
APOD->LEPR,DC->ETC,0.039565337534550896,2
APOD->LEPR,DC->TAM,0.03812051532048605,2
APOD->LEPR,Endo->CAF,0.13552745803877272,2
APOD->LEPR,Endo->ETC,0.03707483314158137,2
APOD->LEPR,Endo->TAM,0.04044355757687172,2
APOD->LEPR,ETC->CAF,0.08383214329643682,2
APOD->LEPR,ETC->DC,0.019550300200236393,2
APOD->LEPR,ETC->Endo,0.1819399124753593,2
APOD->LEPR,ETC->ETC,0.024579468864015717,2
APOD->LEPR,ETC->TAM,0.02532308283195963,2
APOD->LEPR,TAM->CAF,0.09165358878402065,2
APOD->LEPR,TAM->DC,0.020709253853018438,2
APOD->LEPR,TAM->Endo,0.18373956917469483,2
APOD->LEPR,TAM->ETC,0.023861550841541596,2
APOD->LEPR,TAM->TAM,0.02620483057167445,2
APOD->LEPR,TIL->CAF,0.18537568816561958,2
APOD->LEPR,TIL->DC,0.03855902709299337,2
APOD->LEPR,TIL->Endo,0.2582333861262139,2
APOD->LEPR,TIL->ETC,0.04747673014615944,2
APOD->LEPR,TIL->TAM,0.051684058538963996,2
APOE->LRP1,CAF->CAF,0.9155119470556421,2
APOE->LRP1,CAF->DC,0.09120824644962414,2
APOE->LRP1,CAF->Endo,0.25960845601740173,2
