LR,cell_type_pair,Patient
GPC3->CD81,ETC->CAF,P04
GPC3->CD81,ETC->ETC,P04
ICOS->ICOSLG,NA,NA
ICOSLG->ICOS,NA,NA
TDGF1->ACVR1B,NA,NA
NECTIN2->PVRIG,NA,NA
DHH->BOC,NA,NA
APOD->LEPR,CAF->ETC,P04
APOD->LEPR,EMT->ETC,P04
APOD->LEPR,ETC->ETC,P04
EDN3->EDNRB,NA,NA
BMP8A->ACVR2A,NA,NA
ARF1->CHRM3,NA,NA
AGRP->SDC3,NA,NA
SLAMF6->SLAMF6,ETC->ETC,P04
CXCL16->CXCR6,NA,NA
VIP->VIPR1,NA,NA
C1QB->LRP1,CAF->CAF,P04
C1QB->LRP1,CAF->ETC,P04
C1QB->LRP1,ETC->CAF,P04
C1QB->LRP1,ETC->ETC,P04
IL33->IL1RL1,NA,NA
AGRP->MC3R,NA,NA
SLURP1->CHRNA7,NA,NA
OMG->TNFRSF1B,NA,NA
NCR3LG1->NCR3,NA,NA
NECTIN2->TIGIT,NA,NA
TIGIT->NECTIN2,NA,NA
SERPINE2->LRP1,CAF->CAF,P04
SERPINE2->LRP1,CAF->ETC,P04
SERPINE2->LRP1,EMT->CAF,P04
SERPINE2->LRP1,EMT->ETC,P04
SERPINE2->LRP1,ETC->CAF,P04
SERPINE2->LRP1,ETC->ETC,P04
FGF19->FGFR4,CAF->CAF,P04
FGF19->FGFR4,CAF->ETC,P04
PDGFB->LRP1,ETC->CAF,P04
PDGFB->LRP1,ETC->ETC,P04
NXPH3->NRXN3,NA,NA
AGT->AGTR1,CAF->CAF,P04
AGT->AGTR1,CAF->ETC,P04
PSPN->GFRA1,NA,NA
WNT2->FZD8,CAF->CAF,P04
WNT1->ROR2,NA,NA
ARTN->RET,NA,NA
SLAMF1->SLAMF1,NA,NA
CNTN1->NOTCH1,CAF->CAF,P04
CNTN1->NOTCH1,CAF->ETC,P04
ACE->BDKRB2,ETC->CAF,P04
ACE->BDKRB2,ETC->ETC,P04
NTN3->NEO1,NA,NA
GZMB->CHRM3,NA,NA
NODAL->TDGF1,NA,NA
CCL16->CCR5,NA,NA
CCL4L1->CCR5,NA,NA
IHH->HHIP,CAF->CAF,P04
IHH->HHIP,CAF->ETC,P04
IHH->HHIP,ETC->CAF,P04
IHH->HHIP,ETC->ETC,P04
ZG16B->TLR4,NA,NA
GDF5->ROR2,NA,NA
LPL->LRP1,CAF->CAF,P04
LPL->LRP1,CAF->ETC,P04
ANGPT1->TIE1,CAF->ETC,P04
ANGPT1->TIE1,ETC->ETC,P04
ANGPTL1->TEK,NA,NA
CCL3L1->CCR5,NA,NA
CCL11->CCR5,NA,NA
JAM2->JAM3,CAF->CAF,P04
JAM2->JAM3,ETC->CAF,P04
JAM3->JAM2,CAF->CAF,P04
JAM3->JAM2,CAF->ETC,P04
CCN2->FGFR2,NA,NA
THPO->MPL,NA,NA
DHH->PTCH2,NA,NA
CCL2->ACKR1,NA,NA
WNT9B->FZD8,CAF->CAF,P05
WNT9B->FZD8,CAF->Endo,P05
APOE->LRP1,CAF->CAF,P05
APOE->LRP1,CAF->ETC,P05
APOE->LRP1,CAF->TAM,P05
APOE->LRP1,CAF->TIL,P05
APOE->LRP1,DC->CAF,P05
APOE->LRP1,DC->ETC,P05
APOE->LRP1,DC->TAM,P05
APOE->LRP1,DC->TIL,P05
APOE->LRP1,ETC->CAF,P05
APOE->LRP1,ETC->ETC,P05
APOE->LRP1,ETC->TAM,P05
APOE->LRP1,ETC->TIL,P05
APOE->LRP1,Endo->CAF,P05
APOE->LRP1,Endo->ETC,P05
APOE->LRP1,Endo->TAM,P05
APOE->LRP1,Endo->TIL,P05
APOE->LRP1,TAM->CAF,P05
APOE->LRP1,TAM->ETC,P05
APOE->LRP1,TAM->TAM,P05
APOE->LRP1,TAM->TIL,P05
APOE->LRP1,TIL->CAF,P05
APOE->LRP1,TIL->ETC,P05
APOE->LRP1,TIL->TAM,P05
APOE->LRP1,TIL->TIL,P05
RSPO4->LGR5,NA,NA
GDF3->TDGF1,NA,NA
WNT3A->FZD8,NA,NA
NGF->SORT1,CAF->CAF,P05
NGF->SORT1,CAF->DC,P05
NGF->SORT1,CAF->ETC,P05
NGF->SORT1,CAF->Endo,P05
NGF->SORT1,CAF->TAM,P05
WNT3->FZD8,CAF->CAF,P05
WNT3->FZD8,CAF->Endo,P05
WNT8A->FZD8,NA,NA
ICOSLG->CD28,CAF->CAF,P05
ICOSLG->CD28,CAF->TIL,P05
ICOSLG->CD28,DC->CAF,P05
ICOSLG->CD28,DC->TIL,P05
ICOSLG->CD28,Endo->CAF,P05
ICOSLG->CD28,Endo->TIL,P05
ICOSLG->CD28,TAM->CAF,P05
ICOSLG->CD28,TAM->TIL,P05
NTN1->NEO1,CAF->CAF,P05
NTN1->NEO1,CAF->ETC,P05
NTN1->NEO1,CAF->TAM,P05
NTN1->NEO1,CAF->TIL,P05
NTN1->NEO1,ETC->CAF,P05
NTN1->NEO1,ETC->ETC,P05
NTN1->NEO1,ETC->TAM,P05
NTN1->NEO1,ETC->TIL,P05
FGF9->FGFR4,CAF->CAF,P05
FGF9->FGFR4,CAF->ETC,P05
WNT1->FZD8,NA,NA
BDNF->SORT1,CAF->CAF,P05
BDNF->SORT1,CAF->DC,P05
BDNF->SORT1,CAF->ETC,P05
BDNF->SORT1,CAF->Endo,P05
BDNF->SORT1,CAF->TAM,P05
RSPO3->FZD8,CAF->CAF,P05
RSPO3->FZD8,CAF->Endo,P05
RSPO3->FZD8,ETC->CAF,P05
RSPO3->FZD8,ETC->Endo,P05
RSPO3->FZD8,Endo->CAF,P05
RSPO3->FZD8,Endo->Endo,P05
IHH->BOC,NA,NA
SHH->BOC,CAF->CAF,P05
SHH->BOC,CAF->ETC,P05
SHH->BOC,CAF->TAM,P05
SHH->BOC,ETC->CAF,P05
SHH->BOC,ETC->ETC,P05
SHH->BOC,ETC->TAM,P05
SEMA6A->PLXNA4,CAF->CAF,P05
SEMA6A->PLXNA4,ETC->CAF,P05
SEMA6A->PLXNA4,Endo->CAF,P05
SHH->SMO,CAF->CAF,P05
SHH->SMO,CAF->ETC,P05
SHH->SMO,CAF->TAM,P05
SHH->SMO,ETC->CAF,P05
SHH->SMO,ETC->ETC,P05
SHH->SMO,ETC->TAM,P05
NRTN->GFRA1,CAF->CAF,P05
NTS->SORT1,NA,NA
SHH->PTCH1,CAF->CAF,P05
SHH->PTCH1,CAF->DC,P05
SHH->PTCH1,CAF->ETC,P05
SHH->PTCH1,CAF->Endo,P05
SHH->PTCH1,CAF->TAM,P05
SHH->PTCH1,CAF->TIL,P05
SHH->PTCH1,ETC->CAF,P05
SHH->PTCH1,ETC->DC,P05
SHH->PTCH1,ETC->ETC,P05
SHH->PTCH1,ETC->Endo,P05
SHH->PTCH1,ETC->TAM,P05
SHH->PTCH1,ETC->TIL,P05
ICOSLG->CTLA4,CAF->CAF,P05
ICOSLG->CTLA4,CAF->TAM,P05
ICOSLG->CTLA4,CAF->TIL,P05
ICOSLG->CTLA4,DC->CAF,P05
ICOSLG->CTLA4,DC->TAM,P05
ICOSLG->CTLA4,DC->TIL,P05
ICOSLG->CTLA4,Endo->CAF,P05
ICOSLG->CTLA4,Endo->TAM,P05
ICOSLG->CTLA4,Endo->TIL,P05
ICOSLG->CTLA4,TAM->CAF,P05
ICOSLG->CTLA4,TAM->TAM,P05
ICOSLG->CTLA4,TAM->TIL,P05
SHH->PTCH2,CAF->CAF,P05
SHH->PTCH2,CAF->ETC,P05
SHH->PTCH2,ETC->CAF,P05
SHH->PTCH2,ETC->ETC,P05
FGF1->FGFR4,CAF->CAF,P05
FGF1->FGFR4,CAF->ETC,P05
FGF1->FGFR4,ETC->CAF,P05
FGF1->FGFR4,ETC->ETC,P05
FGF1->FGFR4,Endo->CAF,P05
FGF1->FGFR4,Endo->ETC,P05
RSPO2->LGR5,CAF->CAF,P05
RSPO2->LGR5,CAF->ETC,P05
CXCL14->CXCR4,CAF->CAF,P05
CXCL14->CXCR4,CAF->DC,P05
CXCL14->CXCR4,CAF->ETC,P05
CXCL14->CXCR4,CAF->Endo,P05
CXCL14->CXCR4,CAF->TAM,P05
CXCL14->CXCR4,CAF->TIL,P05
CXCL14->CXCR4,DC->CAF,P05
CXCL14->CXCR4,DC->DC,P05
CXCL14->CXCR4,DC->ETC,P05
CXCL14->CXCR4,DC->Endo,P05
CXCL14->CXCR4,DC->TAM,P05
CXCL14->CXCR4,DC->TIL,P05
CXCL14->CXCR4,ETC->CAF,P05
CXCL14->CXCR4,ETC->DC,P05
CXCL14->CXCR4,ETC->ETC,P05
CXCL14->CXCR4,ETC->Endo,P05
CXCL14->CXCR4,ETC->TAM,P05
CXCL14->CXCR4,ETC->TIL,P05
CXCL14->CXCR4,Endo->CAF,P05
CXCL14->CXCR4,Endo->DC,P05
CXCL14->CXCR4,Endo->ETC,P05
CXCL14->CXCR4,Endo->Endo,P05
CXCL14->CXCR4,Endo->TAM,P05
CXCL14->CXCR4,Endo->TIL,P05
CXCL14->CXCR4,TAM->CAF,P05
CXCL14->CXCR4,TAM->DC,P05
CXCL14->CXCR4,TAM->ETC,P05
CXCL14->CXCR4,TAM->Endo,P05
CXCL14->CXCR4,TAM->TAM,P05
CXCL14->CXCR4,TAM->TIL,P05
CXCL14->CXCR4,TIL->CAF,P05
CXCL14->CXCR4,TIL->DC,P05
CXCL14->CXCR4,TIL->ETC,P05
CXCL14->CXCR4,TIL->Endo,P05
CXCL14->CXCR4,TIL->TAM,P05
CXCL14->CXCR4,TIL->TIL,P05
RSPO1->LGR5,CAF->CAF,P05
RSPO1->LGR5,CAF->ETC,P05
ZG16B->CXCR4,CAF->CAF,P05
ZG16B->CXCR4,CAF->DC,P05
ZG16B->CXCR4,CAF->ETC,P05
ZG16B->CXCR4,CAF->Endo,P05
ZG16B->CXCR4,CAF->TAM,P05
ZG16B->CXCR4,CAF->TIL,P05
ZG16B->CXCR4,ETC->CAF,P05
ZG16B->CXCR4,ETC->DC,P05
ZG16B->CXCR4,ETC->ETC,P05
ZG16B->CXCR4,ETC->Endo,P05
ZG16B->CXCR4,ETC->TAM,P05
ZG16B->CXCR4,ETC->TIL,P05
ZG16B->CXCR4,TAM->CAF,P05
ZG16B->CXCR4,TAM->DC,P05
ZG16B->CXCR4,TAM->ETC,P05
ZG16B->CXCR4,TAM->Endo,P05
ZG16B->CXCR4,TAM->TAM,P05
ZG16B->CXCR4,TAM->TIL,P05
IHH->PTCH1,NA,NA
ANGPT1->TEK,CAF->CAF,P05
ANGPT1->TEK,CAF->ETC,P05
ANGPT1->TEK,CAF->Endo,P05
DHH->PTCH1,NA,NA
SHH->LRP2,NA,NA
FGF18->FGFR4,CAF->CAF,P05
FGF18->FGFR4,CAF->ETC,P05
FGF18->FGFR4,ETC->CAF,P05
FGF18->FGFR4,ETC->ETC,P05
FGF18->FGFR4,Endo->CAF,P05
FGF18->FGFR4,Endo->ETC,P05
FGF18->FGFR4,TAM->CAF,P05
FGF18->FGFR4,TAM->ETC,P05
SLIT3->ROBO2,CAF->CAF,P05
SLIT3->ROBO2,ETC->CAF,P05
SLIT3->ROBO2,Endo->CAF,P05
RGMB->NEO1,CAF->CAF,P05
RGMB->NEO1,CAF->ETC,P05
RGMB->NEO1,CAF->TAM,P05
RGMB->NEO1,CAF->TIL,P05
RGMB->NEO1,ETC->CAF,P05
RGMB->NEO1,ETC->ETC,P05
RGMB->NEO1,ETC->TAM,P05
RGMB->NEO1,ETC->TIL,P05
RGMB->NEO1,Endo->CAF,P05
RGMB->NEO1,Endo->ETC,P05
RGMB->NEO1,Endo->TAM,P05
RGMB->NEO1,Endo->TIL,P05
RGMB->NEO1,TAM->CAF,P05
RGMB->NEO1,TAM->ETC,P05
RGMB->NEO1,TAM->TAM,P05
RGMB->NEO1,TAM->TIL,P05
ANGPT4->TEK,NA,NA
NTNG2->LRRC4,CAF->CAF,P05
NTNG2->LRRC4,ETC->CAF,P05
LRPAP1->SORT1,CAF->CAF,P05
LRPAP1->SORT1,CAF->DC,P05
LRPAP1->SORT1,CAF->ETC,P05
LRPAP1->SORT1,CAF->Endo,P05
LRPAP1->SORT1,CAF->TAM,P05
LRPAP1->SORT1,DC->CAF,P05
LRPAP1->SORT1,DC->DC,P05
LRPAP1->SORT1,DC->ETC,P05
LRPAP1->SORT1,DC->Endo,P05
LRPAP1->SORT1,DC->TAM,P05
LRPAP1->SORT1,ETC->CAF,P05
LRPAP1->SORT1,ETC->DC,P05
LRPAP1->SORT1,ETC->ETC,P05
LRPAP1->SORT1,ETC->Endo,P05
LRPAP1->SORT1,ETC->TAM,P05
LRPAP1->SORT1,Endo->CAF,P05
LRPAP1->SORT1,Endo->DC,P05
LRPAP1->SORT1,Endo->ETC,P05
LRPAP1->SORT1,Endo->Endo,P05
LRPAP1->SORT1,Endo->TAM,P05
LRPAP1->SORT1,TAM->CAF,P05
LRPAP1->SORT1,TAM->DC,P05
LRPAP1->SORT1,TAM->ETC,P05
LRPAP1->SORT1,TAM->Endo,P05
LRPAP1->SORT1,TAM->TAM,P05
LRPAP1->SORT1,TIL->CAF,P05
LRPAP1->SORT1,TIL->DC,P05
LRPAP1->SORT1,TIL->ETC,P05
LRPAP1->SORT1,TIL->Endo,P05
LRPAP1->SORT1,TIL->TAM,P05
NLGN1->NRXN3,NA,NA
CORT->SSTR1,NA,NA
FGF16->FGFR4,CAF->CAF,P05
FGF16->FGFR4,CAF->ETC,P05
FGF17->FGFR4,NA,NA
FGF20->FGFR4,ETC->CAF,P05
FGF20->FGFR4,ETC->ETC,P05
FGF21->FGFR4,NA,NA
FGF23->FGFR4,NA,NA
FGF4->FGFR4,NA,NA
FGF6->FGFR4,NA,NA
FGF8->FGFR4,TAM->CAF,P05
FGF8->FGFR4,TAM->ETC,P05
IHH->PTCH2,NA,NA
FGF3->FGFR4,NA,NA
GHRL->MLNR,NA,NA
FGF5->FGFR4,NA,NA
APOE->LRP5,CAF->CAF,P05
APOE->LRP5,CAF->ETC,P05
APOE->LRP5,CAF->Endo,P05
APOE->LRP5,DC->CAF,P05
APOE->LRP5,DC->ETC,P05
APOE->LRP5,DC->Endo,P05
APOE->LRP5,ETC->CAF,P05
APOE->LRP5,ETC->ETC,P05
APOE->LRP5,ETC->Endo,P05
APOE->LRP5,Endo->CAF,P05
APOE->LRP5,Endo->ETC,P05
APOE->LRP5,Endo->Endo,P05
APOE->LRP5,TAM->CAF,P05
APOE->LRP5,TAM->ETC,P05
APOE->LRP5,TAM->Endo,P05
APOE->LRP5,TIL->CAF,P05
APOE->LRP5,TIL->ETC,P05
APOE->LRP5,TIL->Endo,P05
PROC->TEK,ETC->CAF,P05
PROC->TEK,ETC->ETC,P05
PROC->TEK,ETC->Endo,P05
LRPAP1->LRP8,CAF->CAF,P05
LRPAP1->LRP8,CAF->ETC,P05
LRPAP1->LRP8,DC->CAF,P05
LRPAP1->LRP8,DC->ETC,P05
LRPAP1->LRP8,ETC->CAF,P05
LRPAP1->LRP8,ETC->ETC,P05
LRPAP1->LRP8,Endo->CAF,P05
LRPAP1->LRP8,Endo->ETC,P05
LRPAP1->LRP8,TAM->CAF,P05
LRPAP1->LRP8,TAM->ETC,P05
LRPAP1->LRP8,TIL->CAF,P05
LRPAP1->LRP8,TIL->ETC,P05
CALCA->RAMP2,NA,NA
RELN->LRP8,NA,NA
CD226->NECTIN2,NA,NA
NECTIN2->CD226,NA,NA
INHA->TGFBR3,NA,NA
A2M->LRP1,CAF->CAF,P05
A2M->LRP1,CAF->ETC,P05
A2M->LRP1,CAF->TAM,P05
A2M->LRP1,CAF->TIL,P05
A2M->LRP1,DC->CAF,P05
A2M->LRP1,DC->ETC,P05
A2M->LRP1,DC->TAM,P05
A2M->LRP1,DC->TIL,P05
A2M->LRP1,ETC->CAF,P05
A2M->LRP1,ETC->ETC,P05
A2M->LRP1,ETC->TAM,P05
A2M->LRP1,ETC->TIL,P05
A2M->LRP1,Endo->CAF,P05
A2M->LRP1,Endo->ETC,P05
A2M->LRP1,Endo->TAM,P05
A2M->LRP1,Endo->TIL,P05
A2M->LRP1,TAM->CAF,P05
A2M->LRP1,TAM->ETC,P05
A2M->LRP1,TAM->TAM,P05
A2M->LRP1,TAM->TIL,P05
A2M->LRP1,TIL->CAF,P05
A2M->LRP1,TIL->ETC,P05
A2M->LRP1,TIL->TAM,P05
A2M->LRP1,TIL->TIL,P05
TNFSF13->SDC2,NA,NA
LRPAP1->LRP2,NA,NA
LRPAP1->LRP1,CAF->CAF,P05
LRPAP1->LRP1,CAF->ETC,P05
LRPAP1->LRP1,CAF->TAM,P05
LRPAP1->LRP1,CAF->TIL,P05
LRPAP1->LRP1,DC->CAF,P05
LRPAP1->LRP1,DC->ETC,P05
LRPAP1->LRP1,DC->TAM,P05
LRPAP1->LRP1,DC->TIL,P05
LRPAP1->LRP1,ETC->CAF,P05
LRPAP1->LRP1,ETC->ETC,P05
LRPAP1->LRP1,ETC->TAM,P05
LRPAP1->LRP1,ETC->TIL,P05
LRPAP1->LRP1,Endo->CAF,P05
LRPAP1->LRP1,Endo->ETC,P05
LRPAP1->LRP1,Endo->TAM,P05
LRPAP1->LRP1,Endo->TIL,P05
LRPAP1->LRP1,TAM->CAF,P05
LRPAP1->LRP1,TAM->ETC,P05
LRPAP1->LRP1,TAM->TAM,P05
LRPAP1->LRP1,TAM->TIL,P05
LRPAP1->LRP1,TIL->CAF,P05
LRPAP1->LRP1,TIL->ETC,P05
LRPAP1->LRP1,TIL->TAM,P05
LRPAP1->LRP1,TIL->TIL,P05
FGF7->FGFR2,CAF->CAF,P05
FGF7->FGFR2,CAF->ETC,P05
FGF7->FGFR2,CAF->TAM,P05
FGF7->FGFR2,ETC->CAF,P05
FGF7->FGFR2,ETC->ETC,P05
FGF7->FGFR2,ETC->TAM,P05
FGF7->FGFR2,TAM->CAF,P05
FGF7->FGFR2,TAM->ETC,P05
FGF7->FGFR2,TAM->TAM,P05
NRTN->RET,CAF->CAF,P05
NRTN->RET,CAF->ETC,P05
NRTN->RET,CAF->TAM,P05
RGMA->NEO1,CAF->CAF,P05
RGMA->NEO1,CAF->ETC,P05
RGMA->NEO1,CAF->TAM,P05
RGMA->NEO1,CAF->TIL,P05
RGMA->NEO1,Endo->CAF,P05
RGMA->NEO1,Endo->ETC,P05
RGMA->NEO1,Endo->TAM,P05
RGMA->NEO1,Endo->TIL,P05
CCL24->CCR2,NA,NA
LAMA2->DAG1,CAF->CAF,P05
LAMA2->DAG1,CAF->ETC,P05
LAMA2->DAG1,CAF->Endo,P05
LAMA2->DAG1,CAF->TAM,P05
LAMA2->DAG1,ETC->CAF,P05
LAMA2->DAG1,ETC->ETC,P05
LAMA2->DAG1,ETC->Endo,P05
LAMA2->DAG1,ETC->TAM,P05
LAMA2->DAG1,TAM->CAF,P05
LAMA2->DAG1,TAM->ETC,P05
LAMA2->DAG1,TAM->Endo,P05
LAMA2->DAG1,TAM->TAM,P05
GDNF->GFRA1,CAF->CAF,P05
SHH->GPC5,CAF->CAF,P05
SHH->GPC5,ETC->CAF,P05
APELA->APLNR,NA,NA
PSAP->LRP1,CAF->CAF,P05
PSAP->LRP1,CAF->ETC,P05
PSAP->LRP1,CAF->TAM,P05
PSAP->LRP1,CAF->TIL,P05
PSAP->LRP1,DC->CAF,P05
PSAP->LRP1,DC->ETC,P05
PSAP->LRP1,DC->TAM,P05
PSAP->LRP1,DC->TIL,P05
PSAP->LRP1,ETC->CAF,P05
PSAP->LRP1,ETC->ETC,P05
PSAP->LRP1,ETC->TAM,P05
PSAP->LRP1,ETC->TIL,P05
PSAP->LRP1,Endo->CAF,P05
PSAP->LRP1,Endo->ETC,P05
PSAP->LRP1,Endo->TAM,P05
PSAP->LRP1,Endo->TIL,P05
PSAP->LRP1,TAM->CAF,P05
PSAP->LRP1,TAM->ETC,P05
PSAP->LRP1,TAM->TAM,P05
PSAP->LRP1,TAM->TIL,P05
PSAP->LRP1,TIL->CAF,P05
PSAP->LRP1,TIL->ETC,P05
PSAP->LRP1,TIL->TAM,P05
PSAP->LRP1,TIL->TIL,P05
NXPH1->NRXN3,NA,NA
PTN->PTPRB,CAF->CAF,P05
PTN->PTPRB,CAF->ETC,P05
PTN->PTPRB,CAF->Endo,P05
PTN->PTPRB,ETC->CAF,P05
PTN->PTPRB,ETC->ETC,P05
PTN->PTPRB,ETC->Endo,P05
PTN->PTPRB,Endo->CAF,P05
PTN->PTPRB,Endo->ETC,P05
PTN->PTPRB,Endo->Endo,P05
PTN->PTPRB,TAM->CAF,P05
PTN->PTPRB,TAM->ETC,P05
PTN->PTPRB,TAM->Endo,P05
ARTN->GFRA1,NA,NA
MDK->LRP1,CAF->CAF,P05
MDK->LRP1,CAF->ETC,P05
MDK->LRP1,CAF->TAM,P05
MDK->LRP1,CAF->TIL,P05
MDK->LRP1,DC->CAF,P05
MDK->LRP1,DC->ETC,P05
MDK->LRP1,DC->TAM,P05
MDK->LRP1,DC->TIL,P05
MDK->LRP1,ETC->CAF,P05
MDK->LRP1,ETC->ETC,P05
MDK->LRP1,ETC->TAM,P05
MDK->LRP1,ETC->TIL,P05
MDK->LRP1,Endo->CAF,P05
MDK->LRP1,Endo->ETC,P05
MDK->LRP1,Endo->TAM,P05
MDK->LRP1,Endo->TIL,P05
MDK->LRP1,TAM->CAF,P05
MDK->LRP1,TAM->ETC,P05
MDK->LRP1,TAM->TAM,P05
MDK->LRP1,TAM->TIL,P05
C4BPA->LRP1,ETC->CAF,P05
C4BPA->LRP1,ETC->ETC,P05
C4BPA->LRP1,ETC->TAM,P05
C4BPA->LRP1,ETC->TIL,P05
ARF1->PLD2,CAF->CAF,P05
ARF1->PLD2,CAF->DC,P05
ARF1->PLD2,CAF->ETC,P05
ARF1->PLD2,CAF->Endo,P05
ARF1->PLD2,CAF->TAM,P05
ARF1->PLD2,DC->CAF,P05
ARF1->PLD2,DC->DC,P05
ARF1->PLD2,DC->ETC,P05
ARF1->PLD2,DC->Endo,P05
ARF1->PLD2,DC->TAM,P05
ARF1->PLD2,ETC->CAF,P05
ARF1->PLD2,ETC->DC,P05
ARF1->PLD2,ETC->ETC,P05
ARF1->PLD2,ETC->Endo,P05
ARF1->PLD2,ETC->TAM,P05
ARF1->PLD2,Endo->CAF,P05
ARF1->PLD2,Endo->DC,P05
ARF1->PLD2,Endo->ETC,P05
ARF1->PLD2,Endo->Endo,P05
ARF1->PLD2,Endo->TAM,P05
ARF1->PLD2,TAM->CAF,P05
ARF1->PLD2,TAM->DC,P05
ARF1->PLD2,TAM->ETC,P05
ARF1->PLD2,TAM->Endo,P05
ARF1->PLD2,TAM->TAM,P05
ARF1->PLD2,TIL->CAF,P05
ARF1->PLD2,TIL->DC,P05
ARF1->PLD2,TIL->ETC,P05
ARF1->PLD2,TIL->Endo,P05
ARF1->PLD2,TIL->TAM,P05
GPC3->CD81,CAF->CAF,P05
GPC3->CD81,CAF->DC,P05
GPC3->CD81,CAF->ETC,P05
GPC3->CD81,CAF->Endo,P05
GPC3->CD81,CAF->TAM,P05
GPC3->CD81,CAF->TIL,P05
GPC3->CD81,ETC->CAF,P05
GPC3->CD81,ETC->DC,P05
GPC3->CD81,ETC->ETC,P05
GPC3->CD81,ETC->Endo,P05
GPC3->CD81,ETC->TAM,P05
GPC3->CD81,ETC->TIL,P05
GPC3->CD81,TAM->CAF,P05
GPC3->CD81,TAM->DC,P05
GPC3->CD81,TAM->ETC,P05
GPC3->CD81,TAM->Endo,P05
GPC3->CD81,TAM->TAM,P05
GPC3->CD81,TAM->TIL,P05
GPC3->CD81,TIL->CAF,P05
GPC3->CD81,TIL->DC,P05
GPC3->CD81,TIL->ETC,P05
GPC3->CD81,TIL->Endo,P05
GPC3->CD81,TIL->TAM,P05
GPC3->CD81,TIL->TIL,P05
ICOS->ICOSLG,CAF->CAF,P05
ICOS->ICOSLG,CAF->DC,P05
ICOS->ICOSLG,CAF->Endo,P05
ICOS->ICOSLG,CAF->TAM,P05
ICOS->ICOSLG,ETC->CAF,P05
ICOS->ICOSLG,ETC->DC,P05
ICOS->ICOSLG,ETC->Endo,P05
ICOS->ICOSLG,ETC->TAM,P05
ICOS->ICOSLG,TIL->CAF,P05
ICOS->ICOSLG,TIL->DC,P05
ICOS->ICOSLG,TIL->Endo,P05
ICOS->ICOSLG,TIL->TAM,P05
ICOSLG->ICOS,CAF->CAF,P05
ICOSLG->ICOS,CAF->ETC,P05
ICOSLG->ICOS,CAF->TIL,P05
ICOSLG->ICOS,DC->CAF,P05
ICOSLG->ICOS,DC->ETC,P05
ICOSLG->ICOS,DC->TIL,P05
ICOSLG->ICOS,Endo->CAF,P05
ICOSLG->ICOS,Endo->ETC,P05
ICOSLG->ICOS,Endo->TIL,P05
ICOSLG->ICOS,TAM->CAF,P05
ICOSLG->ICOS,TAM->ETC,P05
ICOSLG->ICOS,TAM->TIL,P05
TDGF1->ACVR1B,NA,NA
NECTIN2->PVRIG,NA,NA
DHH->BOC,NA,NA
APOD->LEPR,CAF->CAF,P05
APOD->LEPR,CAF->ETC,P05
APOD->LEPR,CAF->Endo,P05
APOD->LEPR,CAF->TAM,P05
APOD->LEPR,DC->CAF,P05
APOD->LEPR,DC->ETC,P05
APOD->LEPR,DC->Endo,P05
APOD->LEPR,DC->TAM,P05
APOD->LEPR,ETC->CAF,P05
APOD->LEPR,ETC->ETC,P05
APOD->LEPR,ETC->Endo,P05
APOD->LEPR,ETC->TAM,P05
APOD->LEPR,Endo->CAF,P05
APOD->LEPR,Endo->ETC,P05
APOD->LEPR,Endo->Endo,P05
APOD->LEPR,Endo->TAM,P05
APOD->LEPR,TAM->CAF,P05
APOD->LEPR,TAM->ETC,P05
APOD->LEPR,TAM->Endo,P05
APOD->LEPR,TAM->TAM,P05
APOD->LEPR,TIL->CAF,P05
APOD->LEPR,TIL->ETC,P05
APOD->LEPR,TIL->Endo,P05
APOD->LEPR,TIL->TAM,P05
EDN3->EDNRB,CAF->CAF,P05
EDN3->EDNRB,CAF->Endo,P05
EDN3->EDNRB,CAF->TAM,P05
EDN3->EDNRB,ETC->CAF,P05
EDN3->EDNRB,ETC->Endo,P05
EDN3->EDNRB,ETC->TAM,P05
BMP8A->ACVR2A,CAF->CAF,P05
BMP8A->ACVR2A,CAF->DC,P05
BMP8A->ACVR2A,CAF->ETC,P05
BMP8A->ACVR2A,CAF->TAM,P05
ARF1->CHRM3,CAF->ETC,P05
ARF1->CHRM3,DC->ETC,P05
ARF1->CHRM3,ETC->ETC,P05
ARF1->CHRM3,Endo->ETC,P05
ARF1->CHRM3,TAM->ETC,P05
ARF1->CHRM3,TIL->ETC,P05
AGRP->SDC3,TAM->CAF,P05
AGRP->SDC3,TAM->ETC,P05
AGRP->SDC3,TAM->TAM,P05
SLAMF6->SLAMF6,CAF->CAF,P05
SLAMF6->SLAMF6,CAF->ETC,P05
SLAMF6->SLAMF6,CAF->TAM,P05
SLAMF6->SLAMF6,ETC->CAF,P05
SLAMF6->SLAMF6,ETC->ETC,P05
SLAMF6->SLAMF6,ETC->TAM,P05
SLAMF6->SLAMF6,TAM->CAF,P05
SLAMF6->SLAMF6,TAM->ETC,P05
SLAMF6->SLAMF6,TAM->TAM,P05
CXCL16->CXCR6,CAF->CAF,P05
CXCL16->CXCR6,CAF->TIL,P05
CXCL16->CXCR6,DC->CAF,P05
CXCL16->CXCR6,DC->TIL,P05
CXCL16->CXCR6,ETC->CAF,P05
CXCL16->CXCR6,ETC->TIL,P05
CXCL16->CXCR6,Endo->CAF,P05
CXCL16->CXCR6,Endo->TIL,P05
CXCL16->CXCR6,TAM->CAF,P05
CXCL16->CXCR6,TAM->TIL,P05
CXCL16->CXCR6,TIL->CAF,P05
