LR,cell_type_pair,2,3,4
ADAM17->ITGB1,TAM->TIL,0.7699112078561899,0.6152032874687089,0.855987299540236
ANXA1->DYSF,CAF->Endo,0.801034287201379,0.5103632532587571,1.00727131257886
ANXA1->DYSF,ETC->Endo,0.7566245800204148,0.5204161268481475,1.179745357863838
ANXA1->DYSF,TAM->Endo,0.8946137531624403,0.5491980706692244,1.617833442677926
ANXA1->FPR1,CAF->TAM,0.8698552627205206,0.8478970047646486,2.952472266792093
ANXA1->FPR1,DC->TAM,0.8696743232929887,0.8950637401653012,4.384670542118453
ANXA1->FPR1,Endo->TAM,0.8585080869829598,1.049455495495537,2.96239733564954
ANXA1->FPR1,ETC->TAM,0.8076171121733164,0.8645984450648582,3.458021098657067
ANXA1->FPR1,TAM->TAM,1.0042781687057498,0.9124156101945398,4.742126884926435
ANXA1->FPR1,TIL->TAM,1.1936547474640544,0.7453735861083421,2.55184668279716
ANXA1->FPR2,CAF->TAM,0.2748498031224112,0.1261835205859371,1.408243462742755
ANXA1->FPR2,DC->TAM,0.28430943037495227,0.133202845685513,2.091360415699326
ANXA1->FPR2,Endo->TAM,0.2520916101740821,0.1561793335461103,1.412977432132739
ANXA1->FPR2,ETC->TAM,0.2714439207293355,0.1286690188529362,1.649375562636996
ANXA1->FPR2,TAM->TAM,0.377012396600248,0.1357851405122846,2.2618567023663
ANXA1->FPR2,TIL->TAM,0.461131040471124,0.1109260472892251,1.217156702669188
CALR->ITGA3,ETC->CAF,0.1862073178800755,0.17047654687791008,0.2034293613289941
DKK1->KREMEN1,CAF->CAF,0.0030691716470592537,0.003950694517382089,0.007614654207652038
DKK1->KREMEN1,ETC->CAF,0.012740597932786531,0.010754598735734927,0.07411061492867928
DKK1->KREMEN2,CAF->CAF,1.042805046691037e-4,3.682483949443426e-4,0.003074133874164387
DKK1->KREMEN2,ETC->CAF,1.585125214982732e-4,2.68055055948913e-4,0.02991940875771633
DKK1->LRP4,CAF->Endo,0.004028862578949598,0,0.01232448845316056
DKK1->LRP4,ETC->Endo,0.01998935672610124,0,0.1199496908247359
ECM1->ITGB4,CAF->CAF,0.08183707738554315,0.046894716591641725,0.134805929746959
ECM1->ITGB4,CAF->ETC,0.5052561771563318,0.5450153621631806,0.9380670844610983
ECM1->ITGB4,CAF->TAM,0.0580862486552427,0.06232747465750875,1.032938368005608
ECM1->ITGB4,DC->ETC,0.08632466926952112,0,0.1117390281579377
ECM1->ITGB4,DC->TAM,0.01175310805192651,0,0.1230397391614046
ECM1->ITGB4,ETC->TAM,0.030377067969019,0.01070696739309834,0.1289896984096413
FGA->ITGA2B,ETC->DC,0.007254550386045625,0,0.1102864039499206
FGA->ITGB3,ETC->CAF,2.2080531477769309e-4,0,0.02103017141770732
FGB->ITGA2B,ETC->DC,0.001831932587547123,0,0.1484744404478614
FGB->ITGA5,ETC->CAF,0.001270288346940089,0,0.2130376771060539
FGB->ITGA5,ETC->DC,8.048767176364139e-4,0,0.1264423513120852
FGB->ITGA5,ETC->Endo,0.004917257513710622,0,0.6048894590532942
FGB->ITGA5,ETC->ETC,2.822519583209056e-4,0,0.03937393665180424
FGB->ITGB1,ETC->CAF,0.004782177125684916,0,0.4200258214444835
FGB->ITGB1,ETC->DC,0.003302128756613612,0,0.06822030944185893
FGB->ITGB1,ETC->Endo,0.006171983949626649,0,0.1377607756320918
FGB->ITGB1,ETC->ETC,0.003490124795639502,0,0.2312923380022399
FGB->ITGB1,ETC->TIL,0.002119798799280835,0,0.4140262796904109
FGG->ITGA5,ETC->CAF,0.004425830962305121,2.869365989749316e-4,0.133119094384399
FGG->ITGA5,ETC->DC,0.002699217642739539,0,0.07900898811490327
FGG->ITGA5,ETC->Endo,0.011453876606011507,0,0.3779722821130749
FGG->ITGA5,ETC->ETC,0.0010676792524343453,3.089146113678449e-5,0.02460326671149162
HAS2->HMMR,CAF->CAF,0.0017951169375141848,0,0.006158125927901806
HAS2->HMMR,CAF->ETC,0.003965653094913798,0.0016458623717894236,0.0066316896636957
HAS2->HMMR,ETC->CAF,3.9863865802769336e-4,0,0.003563422696182539
HAS2->HMMR,ETC->ETC,0.0017594513327758483,7.536295862369202e-4,0.003837452130457508
L1CAM->EGFR,CAF->ETC,0.002302222504559408,0.002417407833965047,0.005725587109837921
LAMC2->ITGA3,CAF->CAF,0.012928596677054016,0.004786575151635582,0.02240221301534082
LAMC2->ITGA3,CAF->ETC,0.06293220102687769,0.037916426930883124,0.1153379041500995
LAMC2->ITGA3,Endo->CAF,0.014149038061655107,0,0.02055428910590737
LAMC2->ITGA3,Endo->ETC,0.0727407471635784,0,0.1058238587923056
LAMC2->ITGB1,Endo->TIL,0.07192374737264387,0,0.1201343437534536
NAMPT->INSR,TIL->Endo,0.46029113435856917,0.5785761123107664,0.6154957453946739
PODXL->SELL,CAF->DC,0.011624202604755158,0.006498312140770806,0.02895530099257481
PODXL->SELL,CAF->TIL,0.005231135895244432,0.008418029520968475,0.01744213117164003
PTGS2->CAV1,CAF->CAF,0.13749829656437212,0.1123155159656727,0.2721279822802244
PTGS2->CAV1,CAF->DC,0.02039904672045043,0.02120988326756998,0.1366062688274902
PTGS2->CAV1,CAF->Endo,0.21610815660194832,0.1191450856716542,0.3481675512175354
PTGS2->CAV1,CAF->ETC,0.026999738984577748,0.0738429401718397,0.2473802222048282
PTGS2->CAV1,CAF->TAM,0.0045050708968984755,0.003909922031526575,0.2347444351884418
PTGS2->CAV1,DC->CAF,0.559394212952553,0.1882626882649582,0.5826251743847521
