cell_type_pair,NATMI_LR_ALL,HRL,HRH,Patient,NormHRL,NormHRH
CAF->CAF,479,22,20,P01,0.04592901878914405,0.04175365344467641
CAF->DC,252,11,7,P01,0.04365079365079365,0.027777777777777776
CAF->EMT,679,32,27,P01,0.047128129602356406,0.039764359351988215
CAF->Endo,349,16,18,P01,0.045845272206303724,0.05157593123209169
CAF->ETC,476,21,23,P01,0.04411764705882353,0.04831932773109244
CAF->TAM,120,4,9,P01,0.03333333333333333,0.075
CAF->TIL,165,10,4,P01,0.06060606060606061,0.024242424242424242
DC->CAF,269,11,11,P01,0.040892193308550186,0.040892193308550186
DC->DC,167,6,2,P01,0.03592814371257485,0.011976047904191617
DC->EMT,397,17,15,P01,0.042821158690176324,0.037783375314861464
DC->Endo,207,8,10,P01,0.03864734299516908,0.04830917874396135
DC->ETC,281,12,14,P01,0.042704626334519574,0.0498220640569395
DC->TAM,91,4,7,P01,0.04395604395604396,0.07692307692307693
DC->TIL,107,4,2,P01,0.037383177570093455,0.018691588785046728
EMT->CAF,633,27,26,P01,0.04265402843601896,0.04107424960505529
EMT->DC,355,17,5,P01,0.04788732394366197,0.014084507042253521
EMT->EMT,953,38,43,P01,0.03987408184679958,0.04512067156348373
EMT->Endo,478,20,20,P01,0.04184100418410042,0.04184100418410042
EMT->ETC,660,27,30,P01,0.04090909090909091,0.045454545454545456
EMT->TAM,173,4,10,P01,0.023121387283236993,0.057803468208092484
EMT->TIL,230,12,8,P01,0.05217391304347826,0.034782608695652174
Endo->CAF,322,13,10,P01,0.040372670807453416,0.031055900621118012
Endo->DC,172,8,2,P01,0.046511627906976744,0.011627906976744186
Endo->EMT,442,19,13,P01,0.042986425339366516,0.029411764705882353
Endo->Endo,254,10,9,P01,0.03937007874015748,0.03543307086614173
Endo->ETC,315,13,9,P01,0.04126984126984127,0.02857142857142857
Endo->TAM,90,2,6,P01,0.022222222222222223,0.06666666666666667
Endo->TIL,102,7,0,P01,0.06862745098039216,0
ETC->CAF,486,26,22,P01,0.053497942386831275,0.04526748971193416
ETC->DC,279,16,6,P01,0.05734767025089606,0.021505376344086023
ETC->EMT,706,35,34,P01,0.049575070821529746,0.04815864022662889
ETC->Endo,363,19,21,P01,0.05234159779614325,0.05785123966942149
ETC->ETC,497,27,26,P01,0.05432595573440644,0.052313883299798795
ETC->TAM,135,4,8,P01,0.02962962962962963,0.05925925925925926
ETC->TIL,170,11,4,P01,0.06470588235294118,0.023529411764705882
TAM->CAF,158,8,5,P01,0.05063291139240506,0.03164556962025317
TAM->DC,94,4,1,P01,0.0425531914893617,0.010638297872340425
TAM->EMT,218,11,7,P01,0.05045871559633028,0.03211009174311927
TAM->Endo,112,6,5,P01,0.05357142857142857,0.044642857142857144
TAM->ETC,140,7,6,P01,0.05,0.04285714285714286
TAM->TAM,73,3,5,P01,0.0410958904109589,0.0684931506849315
TAM->TIL,69,4,0,P01,0.057971014492753624,0
TIL->CAF,154,9,5,P01,0.05844155844155844,0.032467532467532464
TIL->DC,108,5,1,P01,0.046296296296296294,0.009259259259259259
