cell_type_pair,NATMI_LR_ALL,HRL,HRH,Patient,NormHRL,NormHRH
TIL->EMT,223,15,10,P01,0.06726457399103139,0.04484304932735426
TIL->Endo,113,6,4,P01,0.05309734513274336,0.035398230088495575
TIL->ETC,140,9,5,P01,0.06428571428571428,0.03571428571428571
TIL->TAM,58,2,3,P01,0.034482758620689655,0.05172413793103448
TIL->TIL,69,4,3,P01,0.057971014492753624,0.043478260869565216
CAF->CAF,86,5,4,P02,0.05813953488372093,0.046511627906976744
CAF->DC,143,9,6,P02,0.06293706293706294,0.04195804195804196
CAF->EMT,5,0,0,P02,0,0
CAF->ETC,193,10,10,P02,0.05181347150259067,0.05181347150259067
CAF->TAM,153,7,6,P02,0.0457516339869281,0.0392156862745098
CAF->TIL,109,3,0,P02,0.027522935779816515,0
DC->CAF,80,7,1,P02,0.0875,0.0125
DC->DC,193,8,12,P02,0.04145077720207254,0.06217616580310881
DC->EMT,8,0,0,P02,0,0
DC->ETC,263,16,12,P02,0.060836501901140684,0.045627376425855515
DC->TAM,196,8,9,P02,0.04081632653061224,0.04591836734693878
DC->TIL,144,3,5,P02,0.020833333333333332,0.034722222222222224
EMT->CAF,16,0,0,P02,0,0
EMT->DC,43,0,0,P02,0,0
EMT->EMT,2,0,0,P02,0,0
EMT->ETC,56,0,1,P02,0,0.017857142857142856
EMT->TAM,45,0,0,P02,0,0
EMT->TIL,40,0,0,P02,0,0
ETC->CAF,165,12,5,P02,0.07272727272727272,0.030303030303030304
ETC->DC,332,16,23,P02,0.04819277108433735,0.06927710843373494
ETC->EMT,13,1,0,P02,0.07692307692307693,0
ETC->ETC,544,26,29,P02,0.04779411764705882,0.05330882352941176
ETC->TAM,362,15,12,P02,0.04143646408839779,0.03314917127071823
ETC->TIL,297,9,6,P02,0.030303030303030304,0.020202020202020204
TAM->CAF,109,10,2,P02,0.09174311926605505,0.01834862385321101
TAM->DC,242,10,14,P02,0.04132231404958678,0.05785123966942149
TAM->EMT,9,1,0,P02,0.1111111111111111,0
TAM->ETC,335,18,15,P02,0.05373134328358209,0.04477611940298507
TAM->TAM,255,11,12,P02,0.043137254901960784,0.047058823529411764
TAM->TIL,207,6,9,P02,0.028985507246376812,0.043478260869565216
TIL->CAF,64,4,1,P02,0.0625,0.015625
TIL->DC,175,5,12,P02,0.02857142857142857,0.06857142857142857
TIL->EMT,8,0,0,P02,0,0
TIL->ETC,235,8,13,P02,0.03404255319148936,0.05531914893617021
TIL->TAM,179,5,10,P02,0.027932960893854747,0.055865921787709494
TIL->TIL,164,2,7,P02,0.012195121951219513,0.042682926829268296
CAF->CAF,827,32,45,P03,0.03869407496977025,0.05441354292623942
CAF->DC,111,2,3,P03,0.018018018018018018,0.02702702702702703
CAF->EMT,1022,38,56,P03,0.03718199608610567,0.0547945205479452
CAF->Endo,809,31,40,P03,0.038318912237330034,0.049443757725587144
CAF->ETC,503,26,16,P03,0.05168986083499006,0.03180914512922465
CAF->TAM,600,33,27,P03,0.055,0.045
CAF->TIL,198,17,7,P03,0.08585858585858586,0.03535353535353535
DC->CAF,122,7,5,P03,0.05737704918032787,0.040983606557377046
DC->DC,25,2,0,P03,0.08,0
DC->EMT,173,10,11,P03,0.057803468208092484,0.06358381502890173
DC->Endo,120,7,4,P03,0.058333333333333334,0.03333333333333333
DC->ETC,82,6,1,P03,0.07317073170731707,0.012195121951219513
DC->TAM,114,10,7,P03,0.08771929824561403,0.06140350877192982
DC->TIL,27,2,0,P03,0.07407407407407407,0
EMT->CAF,1016,38,61,P03,0.03740157480314961,0.060039370078740155
EMT->DC,137,2,4,P03,0.014598540145985401,0.029197080291970802
EMT->EMT,1276,49,74,P03,0.0384012539184953,0.05799373040752351
EMT->Endo,992,38,53,P03,0.038306451612903226,0.05342741935483871
EMT->ETC,614,28,24,P03,0.04560260586319218,0.03908794788273615
EMT->TAM,725,34,31,P03,0.04689655172413793,0.04275862068965517
EMT->TIL,211,18,7,P03,0.08530805687203792,0.03317535545023697
Endo->CAF,730,31,39,P03,0.04246575342465753,0.05342465753424658
Endo->DC,103,2,2,P03,0.019417475728155338,0.019417475728155338
Endo->EMT,893,37,43,P03,0.04143337066069429,0.048152295632698766
Endo->Endo,717,30,34,P03,0.04184100418410042,0.04741980474198047
Endo->ETC,434,23,13,P03,0.052995391705069124,0.029953917050691243
Endo->TAM,545,30,23,P03,0.05504587155963303,0.04220183486238532
Endo->TIL,178,15,5,P03,0.08426966292134831,0.028089887640449437
ETC->CAF,515,28,23,P03,0.05436893203883495,0.04466019417475728
ETC->DC,85,2,0,P03,0.023529411764705882,0
ETC->EMT,657,36,29,P03,0.0547945205479452,0.0441400304414003
ETC->Endo,515,30,21,P03,0.05825242718446602,0.040776699029126215
ETC->ETC,327,22,9,P03,0.0672782874617737,0.027522935779816515
ETC->TAM,409,28,16,P03,0.06845965770171149,0.039119804400977995
ETC->TIL,129,15,3,P03,0.11627906976744186,0.023255813953488372
TAM->CAF,500,27,24,P03,0.054,0.048
TAM->DC,87,2,2,P03,0.022988505747126436,0.022988505747126436
TAM->EMT,648,31,31,P03,0.047839506172839504,0.047839506172839504
TAM->Endo,496,27,23,P03,0.05443548387096774,0.046370967741935484
TAM->ETC,307,20,10,P03,0.06514657980456026,0.03257328990228013
TAM->TAM,429,27,17,P03,0.06293706293706294,0.039627039627039624
TAM->TIL,131,14,4,P03,0.10687022900763359,0.030534351145038167
TIL->CAF,163,13,8,P03,0.07975460122699386,0.049079754601226995
TIL->DC,28,2,0,P03,0.07142857142857142,0
TIL->EMT,208,17,10,P03,0.08173076923076923,0.04807692307692308
TIL->Endo,163,13,7,P03,0.07975460122699386,0.04294478527607362
TIL->ETC,107,11,1,P03,0.102803738317757,0.009345794392523364
TIL->TAM,147,16,8,P03,0.10884353741496598,0.05442176870748299
TIL->TIL,55,8,0,P03,0.14545454545454545,0
CAF->CAF,532,23,30,P04,0.043233082706766915,0.05639097744360902
CAF->EMT,226,18,2,P04,0.07964601769911504,0.008849557522123894
CAF->ETC,636,21,33,P04,0.0330188679245283,0.05188679245283019
EMT->CAF,242,20,7,P04,0.08264462809917356,0.028925619834710745
EMT->EMT,117,15,0,P04,0.1282051282051282,0
EMT->ETC,280,19,10,P04,0.06785714285714285,0.03571428571428571
ETC->CAF,587,30,25,P04,0.05110732538330494,0.04258943781942078
ETC->EMT,250,22,2,P04,0.088,0.008
ETC->ETC,705,30,31,P04,0.0425531914893617,0.04397163120567376
CAF->CAF,1285,38,69,P05,0.029571984435797664,0.053696498054474705
CAF->DC,587,16,13,P05,0.027257240204429302,0.022146507666098807
CAF->Endo,708,29,28,P05,0.04096045197740113,0.03954802259887006
CAF->ETC,1009,34,49,P05,0.03369672943508424,0.048562933597621406
CAF->TAM,869,21,37,P05,0.024165707710011506,0.04257767548906789
CAF->TIL,336,9,22,P05,0.026785714285714284,0.06547619047619048
DC->CAF,567,20,19,P05,0.03527336860670194,0.03350970017636684
DC->DC,292,12,4,P05,0.0410958904109589,0.0136986301369863
DC->Endo,337,17,7,P05,0.050445103857566766,0.020771513353115726
DC->ETC,439,17,16,P05,0.0387243735763098,0.03644646924829157
DC->TAM,424,13,12,P05,0.030660377358490566,0.02830188679245283
DC->TIL,184,6,13,P05,0.03260869565217391,0.07065217391304347
Endo->CAF,721,24,32,P05,0.033287101248266296,0.044382801664355064
Endo->DC,375,13,4,P05,0.034666666666666665,0.010666666666666666
Endo->Endo,437,22,11,P05,0.05034324942791762,0.02517162471395881
Endo->ETC,566,20,24,P05,0.0353356890459364,0.04240282685512368
Endo->TAM,534,15,17,P05,0.028089887640449437,0.031835205992509365
Endo->TIL,211,7,16,P05,0.03317535545023697,0.07582938388625593
ETC->CAF,1036,35,46,P05,0.033783783783783786,0.0444015444015444
ETC->DC,493,15,7,P05,0.030425963488843813,0.014198782961460446
ETC->Endo,596,27,17,P05,0.04530201342281879,0.028523489932885907
ETC->ETC,822,29,37,P05,0.03527980535279805,0.045012165450121655
ETC->TAM,721,19,29,P05,0.026352288488210817,0.04022191400832178
ETC->TIL,287,9,18,P05,0.0313588850174216,0.0627177700348432
TAM->CAF,828,24,34,P05,0.028985507246376812,0.04106280193236715
TAM->DC,424,14,6,P05,0.0330188679245283,0.014150943396226415
TAM->Endo,476,22,11,P05,0.046218487394957986,0.023109243697478993
TAM->ETC,663,21,30,P05,0.03167420814479638,0.04524886877828054
TAM->TAM,625,17,26,P05,0.0272,0.0416
TAM->TIL,254,7,18,P05,0.027559055118110236,0.07086614173228346
TIL->CAF,395,12,15,P05,0.030379746835443037,0.0379746835443038
TIL->DC,204,6,5,P05,0.029411764705882353,0.024509803921568627
TIL->Endo,225,10,7,P05,0.044444444444444446,0.03111111111111111
TIL->ETC,306,8,15,P05,0.026143790849673203,0.049019607843137254
TIL->TAM,309,7,12,P05,0.022653721682847898,0.038834951456310676
TIL->TIL,133,2,9,P05,0.015037593984962405,0.06766917293233082
CAF->CAF,1321,42,76,P06,0.03179409538228615,0.05753217259651779
CAF->DC,908,31,47,P06,0.034140969162995596,0.051762114537444934
CAF->Endo,1014,30,64,P06,0.029585798816568046,0.0631163708086785
CAF->ETC,1288,38,76,P06,0.029503105590062112,0.059006211180124224
CAF->TAM,841,22,35,P06,0.026159334126040427,0.041617122473246136
CAF->TIL,162,0,8,P06,0,0.04938271604938271
DC->CAF,775,34,27,P06,0.04387096774193548,0.03483870967741935
DC->DC,587,26,22,P06,0.044293015332197615,0.03747870528109029
DC->Endo,585,24,22,P06,0.041025641025641026,0.037606837606837605
DC->ETC,760,29,31,P06,0.038157894736842106,0.04078947368421053
DC->TAM,534,18,19,P06,0.033707865168539325,0.035580524344569285
DC->TIL,121,0,6,P06,0,0.049586776859504134
Endo->CAF,994,31,54,P06,0.03118712273641851,0.05432595573440644
Endo->DC,695,27,34,P06,0.03884892086330935,0.04892086330935252
Endo->Endo,768,25,45,P06,0.032552083333333336,0.05859375
Endo->ETC,966,28,56,P06,0.028985507246376812,0.057971014492753624
Endo->TAM,661,20,27,P06,0.030257186081694403,0.04084720121028744
Endo->TIL,123,0,6,P06,0,0.04878048780487805
ETC->CAF,1253,50,71,P06,0.03990422984836393,0.05666400638467677
ETC->DC,878,35,48,P06,0.03986332574031891,0.05466970387243736
ETC->Endo,964,34,59,P06,0.035269709543568464,0.061203319502074686
ETC->ETC,1241,44,74,P06,0.035455278001611606,0.05962933118452861
ETC->TAM,814,25,37,P06,0.030712530712530713,0.045454545454545456
ETC->TIL,160,0,8,P06,0,0.05
TAM->CAF,782,31,31,P06,0.03964194373401535,0.03964194373401535
TAM->DC,606,26,25,P06,0.0429042904290429,0.041254125412541254
TAM->Endo,588,23,27,P06,0.0391156462585034,0.04591836734693878
TAM->ETC,765,28,33,P06,0.036601307189542485,0.043137254901960784
TAM->TAM,559,19,24,P06,0.03398926654740608,0.04293381037567084
TAM->TIL,119,0,6,P06,0,0.05042016806722689
TIL->CAF,200,8,12,P06,0.04,0.06
TIL->DC,165,6,11,P06,0.03636363636363636,0.06666666666666667
TIL->Endo,153,5,10,P06,0.032679738562091505,0.06535947712418301
TIL->ETC,205,8,14,P06,0.03902439024390244,0.06829268292682927
TIL->TAM,153,5,9,P06,0.032679738562091505,0.058823529411764705
TIL->TIL,36,0,2,P06,0,0.05555555555555555
CAF->CAF,1123,37,62,P07,0.03294746215494212,0.05520926090828139
CAF->DC,811,26,35,P07,0.032059186189889025,0.04315659679408138
CAF->Endo,635,21,30,P07,0.03307086614173228,0.047244094488188976
CAF->ETC,1143,37,50,P07,0.03237095363079615,0.04374453193350831
CAF->TAM,1175,40,56,P07,0.03404255319148936,0.04765957446808511
CAF->TIL,834,25,36,P07,0.02997601918465228,0.04316546762589928
DC->CAF,755,24,27,P07,0.031788079470198675,0.03576158940397351
DC->DC,596,20,19,P07,0.03355704697986577,0.031879194630872486
DC->Endo,449,16,17,P07,0.035634743875278395,0.0378619153674833
DC->ETC,787,25,27,P07,0.03176620076238882,0.03430749682337993
DC->TAM,821,28,27,P07,0.0341047503045067,0.03288672350791717
DC->TIL,605,19,22,P07,0.03140495867768595,0.03636363636363636
Endo->CAF,646,19,24,P07,0.029411764705882353,0.03715170278637771
Endo->DC,493,19,17,P07,0.038539553752535496,0.034482758620689655
Endo->Endo,408,15,15,P07,0.03676470588235294,0.03676470588235294
Endo->ETC,675,22,21,P07,0.03259259259259259,0.03111111111111111
Endo->TAM,698,25,21,P07,0.03581661891117478,0.03008595988538682
Endo->TIL,509,18,17,P07,0.03536345776031434,0.03339882121807466
ETC->CAF,1158,38,64,P07,0.03281519861830743,0.055267702936096716
ETC->DC,863,29,38,P07,0.03360370799536501,0.0440324449594438
ETC->Endo,670,23,28,P07,0.034328358208955224,0.041791044776119404
ETC->ETC,1188,41,59,P07,0.034511784511784514,0.049663299663299666
ETC->TAM,1223,43,57,P07,0.03515944399018806,0.04660670482420278
ETC->TIL,886,27,33,P07,0.030474040632054177,0.03724604966139955
TAM->CAF,1131,32,59,P07,0.028293545534924844,0.052166224580017684
TAM->DC,853,25,34,P07,0.029308323563892145,0.03985932004689332
TAM->Endo,648,19,29,P07,0.029320987654320986,0.044753086419753084
TAM->ETC,1166,34,51,P07,0.029159519725557463,0.04373927958833619
TAM->TAM,1201,37,55,P07,0.030807660283097418,0.04579517069109076
TAM->TIL,871,22,33,P07,0.02525832376578645,0.03788748564867968
TIL->CAF,812,27,36,P07,0.0332512315270936,0.04433497536945813
TIL->DC,639,21,24,P07,0.03286384976525822,0.03755868544600939
TIL->Endo,478,18,18,P07,0.03765690376569038,0.03765690376569038
TIL->ETC,839,26,35,P07,0.03098927294398093,0.041716328963051254
TIL->TAM,878,31,37,P07,0.03530751708428246,0.04214123006833713
TIL->TIL,649,19,26,P07,0.029275808936825885,0.040061633281972264
CAF->CAF,1142,35,67,P08,0.03064798598949212,0.05866900175131348
CAF->DC,795,31,33,P08,0.0389937106918239,0.04150943396226415
CAF->Endo,856,31,51,P08,0.036214953271028034,0.05957943925233645
CAF->ETC,1278,40,77,P08,0.03129890453834116,0.06025039123630673
CAF->TAM,866,29,33,P08,0.03348729792147806,0.03810623556581986
CAF->TIL,240,11,8,P08,0.04583333333333333,0.03333333333333333
DC->CAF,700,26,32,P08,0.037142857142857144,0.045714285714285714
DC->DC,552,24,22,P08,0.043478260869565216,0.03985507246376811
DC->Endo,530,23,27,P08,0.04339622641509434,0.0509433962264151
DC->ETC,798,28,42,P08,0.03508771929824561,0.05263157894736842
DC->TAM,591,21,22,P08,0.03553299492385787,0.03722504230118443
DC->TIL,195,8,5,P08,0.041025641025641026,0.02564102564102564
Endo->CAF,738,28,32,P08,0.037940379403794036,0.04336043360433604
Endo->DC,542,23,21,P08,0.042435424354243544,0.03874538745387454
Endo->Endo,588,24,31,P08,0.04081632653061224,0.05272108843537415
Endo->ETC,815,31,41,P08,0.03803680981595092,0.05030674846625767
Endo->TAM,602,24,22,P08,0.03986710963455149,0.036544850498338874
Endo->TIL,167,9,3,P08,0.05389221556886228,0.017964071856287425
ETC->CAF,1227,41,75,P08,0.03341483292583537,0.061124694376528114
ETC->DC,873,32,38,P08,0.03665521191294387,0.043528064146620846
ETC->Endo,918,34,58,P08,0.037037037037037035,0.06318082788671024
ETC->ETC,1404,47,89,P08,0.03347578347578348,0.0633903133903134
ETC->TAM,945,31,41,P08,0.0328042328042328,0.04338624338624339
ETC->TIL,268,11,8,P08,0.041044776119402986,0.029850746268656716
TAM->CAF,762,27,23,P08,0.03543307086614173,0.030183727034120734
TAM->DC,632,25,18,P08,0.03955696202531646,0.028481012658227847
TAM->Endo,577,24,26,P08,0.0415944540727903,0.045060658578856154
TAM->ETC,888,29,34,P08,0.03265765765765766,0.038288288288288286
TAM->TAM,661,22,22,P08,0.03328290468986384,0.03328290468986384
TAM->TIL,206,8,7,P08,0.038834951456310676,0.03398058252427184
TIL->CAF,221,10,9,P08,0.04524886877828054,0.04072398190045249
TIL->DC,202,11,9,P08,0.054455445544554455,0.04455445544554455
TIL->Endo,171,9,12,P08,0.05263157894736842,0.07017543859649122
TIL->ETC,271,11,14,P08,0.04059040590405904,0.05166051660516605
TIL->TAM,217,10,11,P08,0.04608294930875576,0.05069124423963134
TIL->TIL,79,4,1,P08,0.05063291139240506,0.012658227848101266
CAF->CAF,1171,35,58,P09,0.029888983774551667,0.04953031596925705
CAF->DC,597,20,13,P09,0.03350083752093802,0.021775544388609715
CAF->Endo,879,27,38,P09,0.030716723549488054,0.04323094425483504
CAF->ETC,1263,41,60,P09,0.03246239113222486,0.047505938242280284
CAF->TAM,1102,38,49,P09,0.034482758620689655,0.04446460980036298
CAF->TIL,132,1,5,P09,0.007575757575757576,0.03787878787878788
DC->CAF,558,23,17,P09,0.04121863799283154,0.03046594982078853
DC->DC,305,15,4,P09,0.04918032786885246,0.013114754098360656
DC->Endo,422,20,12,P09,0.04739336492890995,0.02843601895734597
DC->ETC,608,25,18,P09,0.04111842105263158,0.029605263157894735
DC->TAM,541,25,18,P09,0.04621072088724584,0.033271719038817
DC->TIL,78,1,3,P09,0.01282051282051282,0.038461538461538464
Endo->CAF,792,30,36,P09,0.03787878787878788,0.045454545454545456
Endo->DC,418,19,8,P09,0.045454545454545456,0.019138755980861243
Endo->Endo,615,27,23,P09,0.04390243902439024,0.03739837398373984
Endo->ETC,850,32,35,P09,0.03764705882352941,0.041176470588235294
Endo->TAM,759,34,31,P09,0.04479578392621871,0.04084321475625823
Endo->TIL,99,1,3,P09,0.010101010101010102,0.030303030303030304
ETC->CAF,1201,45,58,P09,0.03746877601998335,0.04829308909242298
ETC->DC,616,27,11,P09,0.04383116883116883,0.017857142857142856
ETC->Endo,899,32,37,P09,0.035595105672969966,0.041156840934371525
ETC->ETC,1297,51,62,P09,0.03932151117964534,0.047802621434078645
ETC->TAM,1131,45,50,P09,0.03978779840848806,0.04420866489832007
ETC->TIL,135,3,6,P09,0.022222222222222223,0.044444444444444446
TAM->CAF,1004,34,41,P09,0.03386454183266932,0.04083665338645418
TAM->DC,532,21,10,P09,0.039473684210526314,0.018796992481203006
TAM->Endo,766,26,27,P09,0.033942558746736295,0.03524804177545692
TAM->ETC,1097,38,45,P09,0.03463992707383774,0.04102096627164995
TAM->TAM,970,36,41,P09,0.03711340206185567,0.042268041237113405
TAM->TIL,121,1,6,P09,0.008264462809917356,0.049586776859504134
TIL->CAF,197,9,5,P09,0.04568527918781726,0.025380710659898477
TIL->DC,124,7,1,P09,0.056451612903225805,0.008064516129032258
TIL->Endo,153,7,4,P09,0.0457516339869281,0.026143790849673203
TIL->ETC,218,10,8,P09,0.045871559633027525,0.03669724770642202
TIL->TAM,201,11,8,P09,0.05472636815920398,0.03980099502487562
TIL->TIL,45,0,1,P09,0,0.022222222222222223
CAF->CAF,950,32,54,P10,0.03368421052631579,0.056842105263157895
CAF->DC,643,24,25,P10,0.03732503888024884,0.038880248833592534
CAF->ETC,1130,40,62,P10,0.035398230088495575,0.05486725663716814
CAF->TAM,803,28,37,P10,0.034869240348692404,0.0460772104607721
CAF->TIL,98,7,3,P10,0.07142857142857142,0.030612244897959183
DC->CAF,516,21,17,P10,0.040697674418604654,0.03294573643410853
DC->DC,408,17,12,P10,0.041666666666666664,0.029411764705882353
DC->ETC,636,25,24,P10,0.03930817610062893,0.03773584905660377
DC->TAM,482,17,16,P10,0.035269709543568464,0.03319502074688797
DC->TIL,66,5,2,P10,0.07575757575757576,0.030303030303030304
ETC->CAF,1102,36,64,P10,0.032667876588021776,0.05807622504537205
ETC->DC,745,27,29,P10,0.036241610738255034,0.038926174496644296
ETC->ETC,1324,44,74,P10,0.03323262839879154,0.055891238670694864
ETC->TAM,929,30,42,P10,0.03229278794402583,0.04520990312163617
ETC->TIL,104,8,3,P10,0.07692307692307693,0.028846153846153848
TAM->CAF,694,29,26,P10,0.04178674351585014,0.037463976945244955
TAM->DC,514,23,17,P10,0.04474708171206226,0.033073929961089495
TAM->ETC,849,37,34,P10,0.043580683156654886,0.04004711425206125
TAM->TAM,623,24,24,P10,0.038523274478330656,0.038523274478330656
TAM->TIL,81,6,3,P10,0.07407407407407407,0.037037037037037035
TIL->CAF,101,6,0,P10,0.0594059405940594,0
TIL->DC,90,6,0,P10,0.06666666666666667,0
TIL->ETC,138,8,0,P10,0.057971014492753624,0
TIL->TAM,106,6,0,P10,0.05660377358490566,0
TIL->TIL,13,2,0,P10,0.15384615384615385,0
