barcode,annotation
cell_355,Endo
cell_356,EMT
cell_357,ETC
cell_358,EMT
cell_359,EMT
cell_360,EMT
cell_361,CAF
cell_362,EMT
cell_363,CAF
cell_364,DC
cell_365,EMT
cell_366,EMT
cell_367,EMT
cell_368,EMT
cell_369,EMT
cell_370,CAF
cell_371,EMT
cell_372,EMT
cell_373,Endo
cell_374,EMT
cell_375,EMT
cell_376,EMT
cell_377,EMT
cell_378,Endo
cell_379,EMT
cell_380,EMT
cell_381,EMT
cell_382,EMT
cell_383,EMT
cell_384,EMT
cell_385,EMT
cell_386,EMT
cell_387,EMT
cell_388,EMT
cell_389,EMT
cell_390,EMT
cell_391,EMT
cell_392,EMT
cell_393,EMT
cell_394,EMT
cell_395,EMT
cell_396,EMT
cell_397,EMT
cell_398,EMT
cell_399,EMT
cell_400,EMT
cell_401,EMT
cell_402,EMT
cell_403,EMT
cell_404,EMT
cell_405,EMT
cell_406,CAF
cell_407,EMT
cell_408,EMT
cell_409,EMT
cell_410,EMT
cell_411,EMT
cell_412,EMT
cell_413,EMT
cell_414,EMT
cell_415,EMT
cell_416,EMT
cell_417,EMT
cell_418,EMT
cell_419,EMT
cell_420,EMT
cell_421,EMT
cell_422,EMT
cell_423,CAF
cell_424,EMT
cell_425,EMT
cell_426,EMT
cell_427,EMT
cell_428,EMT
cell_429,CAF
cell_430,EMT
cell_431,EMT
cell_432,EMT
cell_433,EMT
cell_434,EMT
cell_435,EMT
cell_436,CAF
cell_437,EMT
cell_438,EMT
cell_439,CAF
cell_440,EMT
cell_441,EMT
cell_442,EMT
cell_443,EMT
cell_444,EMT
cell_445,EMT
cell_446,EMT
cell_447,EMT
cell_448,EMT
cell_449,EMT
cell_450,EMT
cell_451,EMT
cell_452,EMT
cell_453,EMT
cell_454,EMT
cell_455,EMT
cell_456,EMT
cell_457,EMT
cell_458,EMT
cell_459,EMT
cell_460,EMT
cell_461,EMT
cell_462,EMT
cell_463,EMT
cell_464,EMT
cell_465,EMT
cell_466,EMT
cell_467,CAF
cell_468,Endo
cell_469,EMT
cell_470,EMT
cell_471,EMT
cell_472,EMT
cell_473,EMT
cell_474,EMT
cell_475,CAF
cell_476,EMT
cell_477,Endo
cell_478,Endo
cell_479,EMT
cell_480,EMT
cell_481,EMT
cell_482,TAM
cell_483,Endo
cell_484,EMT
cell_485,EMT
cell_486,EMT
cell_487,EMT
cell_488,EMT
cell_489,EMT
cell_490,Endo
cell_491,EMT
cell_492,EMT
cell_493,EMT
cell_494,EMT
cell_495,EMT
cell_496,EMT
cell_497,EMT
cell_498,EMT
cell_499,EMT
cell_500,EMT
cell_501,TAM
cell_502,EMT
cell_503,EMT
cell_504,EMT
cell_505,EMT
cell_506,EMT
cell_507,TAM
cell_508,EMT
cell_509,CAF
cell_510,EMT
cell_511,Endo
cell_512,CAF
cell_513,EMT
cell_514,EMT
cell_515,Endo
cell_516,Endo
cell_517,EMT
cell_518,CAF
cell_519,EMT
cell_520,EMT
cell_521,EMT
cell_522,EMT
cell_523,EMT
cell_524,EMT
cell_525,EMT
cell_526,EMT
cell_527,EMT
cell_528,CAF
cell_529,EMT
cell_530,EMT
cell_531,Endo
cell_532,CAF
cell_533,EMT
cell_534,EMT
cell_535,EMT
cell_536,EMT
cell_537,EMT
cell_538,Endo
cell_539,CAF
cell_540,EMT
cell_541,EMT
cell_542,EMT
cell_543,EMT
cell_544,EMT
cell_545,EMT
cell_546,EMT
cell_547,EMT
cell_548,EMT
cell_549,EMT
cell_550,EMT
cell_551,EMT
cell_552,EMT
cell_553,EMT
cell_554,EMT
cell_555,EMT
cell_556,EMT
cell_557,EMT
cell_558,EMT
cell_559,EMT
cell_560,EMT
cell_561,EMT
cell_562,EMT
cell_563,CAF
cell_564,EMT
cell_565,EMT
cell_566,EMT
cell_567,EMT
cell_568,TAM
cell_569,EMT
cell_570,EMT
cell_571,EMT
cell_572,EMT
cell_573,EMT
cell_574,EMT
cell_575,EMT
cell_576,EMT
cell_577,EMT
cell_578,EMT
cell_579,EMT
cell_580,EMT
cell_581,EMT
cell_582,EMT
cell_583,EMT
cell_584,EMT
cell_585,EMT
cell_586,EMT
cell_587,EMT
cell_588,TAM
cell_589,EMT
cell_590,EMT
cell_591,EMT
cell_592,EMT
cell_593,EMT
cell_594,EMT
cell_595,Endo
cell_596,EMT
cell_597,EMT
cell_598,EMT
cell_599,EMT
cell_600,Endo
cell_601,TAM
cell_602,EMT
cell_603,EMT
cell_604,EMT
cell_605,EMT
cell_606,EMT
cell_607,CAF
cell_608,EMT
cell_609,EMT
cell_610,EMT
cell_611,EMT
cell_612,CAF
cell_613,CAF
cell_614,EMT
cell_615,EMT
cell_616,EMT
cell_617,EMT
cell_618,EMT
cell_619,EMT
cell_620,EMT
cell_621,EMT
cell_622,EMT
cell_623,EMT
cell_624,EMT
cell_625,CAF
cell_626,EMT
cell_627,EMT
cell_628,EMT
cell_629,CAF
cell_630,EMT
cell_631,EMT
cell_632,EMT
cell_633,EMT
cell_634,Endo
cell_635,EMT
cell_636,CAF
cell_637,Endo
cell_638,EMT
cell_639,EMT
cell_640,EMT
cell_641,EMT
cell_642,EMT
cell_643,EMT
cell_644,EMT
cell_645,CAF
cell_646,EMT
cell_647,EMT
cell_648,EMT
cell_649,EMT
cell_650,EMT
cell_651,EMT
cell_652,EMT
cell_653,EMT
cell_654,EMT
cell_655,EMT
cell_656,EMT
cell_657,EMT
cell_658,EMT
cell_659,EMT
cell_660,EMT
cell_661,EMT
cell_662,EMT
cell_663,CAF
cell_664,EMT
cell_665,EMT
cell_666,ETC
cell_667,EMT
cell_668,EMT
cell_669,EMT
cell_670,ETC
cell_671,EMT
cell_672,EMT
cell_673,EMT
cell_674,CAF
cell_675,EMT
cell_676,EMT
cell_677,EMT
cell_678,EMT
cell_679,EMT
cell_680,EMT
cell_681,EMT
cell_682,EMT
cell_683,EMT
cell_684,EMT
cell_685,EMT
cell_686,EMT
cell_687,EMT
cell_688,EMT
cell_689,EMT
cell_690,EMT
cell_691,EMT
cell_692,EMT
cell_693,TAM
cell_694,EMT
cell_695,CAF
cell_696,EMT
cell_697,EMT
cell_698,EMT
cell_699,EMT
cell_700,CAF
cell_701,EMT
cell_702,EMT
cell_703,EMT
cell_704,EMT
cell_705,EMT
cell_706,TAM
cell_707,EMT
cell_708,CAF
cell_709,EMT
cell_710,EMT
cell_711,EMT
cell_712,EMT
cell_713,EMT
cell_714,CAF
cell_715,EMT
cell_716,EMT
cell_717,CAF
cell_718,EMT
cell_719,EMT
cell_720,EMT
cell_721,CAF
cell_722,EMT
cell_723,CAF
cell_724,CAF
cell_725,ETC
cell_726,EMT
cell_727,EMT
cell_728,EMT
cell_729,EMT
cell_730,EMT
cell_731,EMT
cell_732,CAF
cell_733,EMT
cell_734,CAF
cell_735,EMT
cell_736,EMT
cell_737,EMT
cell_738,EMT
cell_739,CAF
cell_740,EMT
cell_741,Endo
cell_742,EMT
cell_743,EMT
cell_744,EMT
cell_745,TAM
cell_746,EMT
cell_747,CAF
cell_748,EMT
cell_749,EMT
cell_750,EMT
cell_751,EMT
cell_752,EMT
cell_753,EMT
cell_754,EMT
cell_755,EMT
cell_756,EMT
cell_757,ETC
cell_758,EMT
cell_759,EMT
cell_760,EMT
cell_761,CAF
cell_762,EMT
cell_763,EMT
cell_764,EMT
cell_765,EMT
cell_766,EMT
cell_767,EMT
cell_768,EMT
cell_769,EMT
cell_770,Endo
cell_771,EMT
cell_772,EMT
cell_773,EMT
cell_774,EMT
cell_775,EMT
cell_776,EMT
cell_777,EMT
cell_778,EMT
cell_779,EMT
cell_780,EMT
cell_781,EMT
cell_782,EMT
cell_783,EMT
cell_784,EMT
cell_785,EMT
cell_786,EMT
cell_787,EMT
cell_788,ETC
cell_789,EMT
cell_790,EMT
cell_791,EMT
cell_792,ETC
cell_793,EMT
cell_794,CAF
cell_795,EMT
cell_796,EMT
cell_797,EMT
cell_798,CAF
cell_799,EMT
cell_800,EMT
cell_801,EMT
cell_802,CAF
cell_803,EMT
cell_804,EMT
cell_805,CAF
cell_806,EMT
cell_807,EMT
cell_808,EMT
cell_809,EMT
cell_810,EMT
cell_811,Endo
cell_812,EMT
cell_813,CAF
cell_814,EMT
cell_815,EMT
cell_816,Endo
cell_817,CAF
cell_818,CAF
cell_819,EMT
cell_820,EMT
cell_821,EMT
cell_822,EMT
cell_823,EMT
cell_824,EMT
cell_825,EMT
cell_826,CAF
cell_827,EMT
cell_828,EMT
cell_829,CAF
cell_830,CAF
cell_831,CAF
cell_832,ETC
cell_833,CAF
cell_834,ETC
cell_835,ETC
cell_836,ETC
cell_837,ETC
cell_838,ETC
cell_839,ETC
cell_840,CAF
cell_841,CAF
cell_842,ETC
cell_843,ETC
cell_844,ETC
cell_845,ETC
cell_846,ETC
cell_847,ETC
cell_848,CAF
cell_849,EMT
cell_850,ETC
cell_851,ETC
cell_852,ETC
cell_853,ETC
cell_854,ETC
cell_855,ETC
cell_856,ETC
cell_857,ETC
cell_858,CAF
cell_859,ETC
cell_860,ETC
cell_861,ETC
cell_862,ETC
cell_863,ETC
cell_864,ETC
cell_865,CAF
cell_866,ETC
cell_867,ETC
cell_868,CAF
cell_869,ETC
cell_870,ETC
cell_871,CAF
cell_872,EMT
cell_873,ETC
cell_874,ETC
cell_875,ETC
cell_876,ETC
cell_877,ETC
cell_878,ETC
cell_879,CAF
cell_880,ETC
cell_881,ETC
cell_882,ETC
cell_883,ETC
cell_884,ETC
cell_885,ETC
cell_886,ETC
cell_887,ETC
cell_888,ETC
cell_889,CAF
cell_890,ETC
cell_891,CAF
cell_892,ETC
cell_893,ETC
cell_894,ETC
cell_895,ETC
cell_896,CAF
cell_897,ETC
cell_898,ETC
cell_899,CAF
cell_900,ETC
cell_901,ETC
cell_902,ETC
cell_903,ETC
cell_904,ETC
cell_905,ETC
cell_906,ETC
cell_907,ETC
cell_908,ETC
cell_909,ETC
cell_910,ETC
cell_911,ETC
cell_912,ETC
cell_913,CAF
cell_914,CAF
cell_915,ETC
cell_916,ETC
cell_917,ETC
cell_918,CAF
cell_919,ETC
cell_920,ETC
cell_921,CAF
cell_922,CAF
cell_923,ETC
cell_924,CAF
cell_925,ETC
cell_926,CAF
cell_927,CAF
cell_928,CAF
cell_929,ETC
cell_930,ETC
cell_931,CAF
cell_932,ETC
cell_933,ETC
cell_934,ETC
cell_935,ETC
cell_936,CAF
cell_937,CAF
cell_938,ETC
cell_939,ETC
cell_940,ETC
cell_941,CAF
cell_942,ETC
cell_943,CAF
cell_944,ETC
cell_945,ETC
cell_946,ETC
cell_947,CAF
cell_948,CAF
cell_949,ETC
cell_950,ETC
cell_951,ETC
cell_952,ETC
cell_953,CAF
cell_954,ETC
cell_955,ETC
cell_956,ETC
cell_957,ETC
cell_958,ETC
cell_959,CAF
cell_960,ETC
cell_961,EMT
cell_962,EMT
cell_963,ETC
cell_964,ETC
cell_965,ETC
cell_966,ETC
cell_967,ETC
cell_968,EMT
cell_969,ETC
cell_970,ETC
cell_971,ETC
cell_972,ETC
cell_973,ETC
cell_974,ETC
cell_975,ETC
cell_976,ETC
cell_977,ETC
cell_978,ETC
cell_979,ETC
cell_980,ETC
cell_981,ETC
cell_982,ETC
cell_983,ETC
cell_984,ETC
cell_985,ETC
cell_986,CAF
cell_987,CAF
cell_988,ETC
cell_989,ETC
cell_990,ETC
cell_991,ETC
cell_992,CAF
cell_993,ETC
cell_994,CAF
cell_995,ETC
cell_996,ETC
cell_997,ETC
cell_998,CAF
cell_999,CAF
cell_1000,CAF
cell_1001,CAF
cell_1002,ETC
cell_1003,CAF
cell_1004,CAF
cell_1005,ETC
cell_1006,ETC
cell_1007,ETC
cell_1008,ETC
cell_1009,ETC
cell_1010,ETC
cell_1011,ETC
cell_1012,CAF
cell_1013,ETC
cell_1014,ETC
cell_1015,ETC
cell_1016,ETC
cell_1017,CAF
cell_1018,ETC
cell_1019,ETC
cell_1020,ETC
cell_1021,ETC
cell_1022,ETC
cell_1023,ETC
cell_1024,ETC
cell_1025,ETC
cell_1026,ETC
cell_1027,ETC
cell_1028,ETC
cell_1029,ETC
cell_1030,ETC
cell_1031,ETC
cell_1032,ETC
cell_1033,CAF
cell_1034,CAF
cell_1035,CAF
cell_1036,ETC
cell_1037,ETC
cell_1038,ETC
cell_1039,ETC
cell_1040,EMT
cell_1041,ETC
cell_1042,CAF
cell_1043,EMT
cell_1044,ETC
cell_1045,ETC
cell_1046,CAF
cell_1047,ETC
cell_1048,CAF
cell_1049,ETC
cell_1050,ETC
cell_1051,CAF
cell_1052,CAF
cell_1053,ETC
cell_1054,ETC
cell_1055,ETC
cell_1056,ETC
cell_1057,ETC
cell_1058,CAF
cell_1059,ETC
cell_1060,ETC
cell_1061,ETC
cell_1062,ETC
cell_1063,ETC
cell_1064,ETC
cell_1065,ETC
cell_1066,CAF
cell_1067,ETC
cell_1068,ETC
cell_1069,ETC
cell_1070,ETC
cell_1071,ETC
cell_1072,EMT
cell_1073,ETC
cell_1074,ETC
cell_1075,ETC
cell_1076,CAF
cell_1077,ETC
cell_1078,ETC
cell_1079,CAF
cell_1080,CAF
cell_1081,ETC
cell_1082,ETC
cell_1083,CAF
cell_1084,CAF
cell_1085,ETC
cell_1086,ETC
cell_1087,ETC
cell_1088,ETC
cell_1089,CAF
cell_1090,ETC
cell_1091,CAF
cell_1092,CAF
cell_1093,ETC
cell_1094,CAF
cell_1095,ETC
cell_1096,ETC
cell_1097,CAF
cell_1098,ETC
cell_1099,ETC
cell_1100,ETC
cell_1101,ETC
cell_1102,ETC
cell_1103,CAF
cell_1104,CAF
cell_1105,ETC
cell_1106,CAF
cell_1107,ETC
cell_1108,ETC
cell_1109,CAF
cell_1110,ETC
cell_1111,ETC
cell_1112,ETC
cell_1113,ETC
cell_1114,CAF
cell_1115,ETC
cell_1116,ETC
cell_1117,CAF
cell_1118,ETC
cell_1119,CAF
cell_2768,TAM
cell_2769,CAF
cell_2770,TAM
cell_2771,TAM
cell_2772,TAM
cell_2773,TAM
cell_2774,TIL
cell_2775,TAM
cell_2776,TAM
cell_2777,ETC
cell_2778,ETC
cell_2779,TIL
cell_2780,TAM
cell_2781,ETC
cell_2782,TIL
cell_2783,TAM
cell_2784,TAM
cell_2785,CAF
cell_2786,ETC
cell_2787,TAM
cell_2788,CAF
cell_2789,TIL
cell_2790,TIL
cell_2791,TAM
cell_2792,DC
cell_2793,TAM
cell_2794,TAM
cell_2795,CAF
cell_2796,CAF
cell_2797,ETC
cell_2798,TAM
cell_2799,TAM
cell_2800,CAF
cell_2801,TAM
cell_2802,CAF
cell_2803,CAF
cell_2804,TAM
cell_2805,ETC
cell_2806,CAF
cell_2807,TAM
cell_2808,TAM
cell_2809,ETC
