cell,cluster
cell_831,CAF
cell_832,ETC
cell_833,CAF
cell_834,ETC
cell_835,ETC
cell_836,ETC
cell_837,ETC
cell_838,ETC
cell_839,ETC
cell_840,CAF
cell_841,CAF
cell_842,ETC
cell_843,ETC
cell_844,ETC
cell_845,ETC
cell_846,ETC
cell_847,ETC
cell_848,CAF
cell_849,EMT
cell_850,ETC
cell_851,ETC
cell_852,ETC
cell_853,ETC
cell_854,ETC
cell_855,ETC
cell_856,ETC
cell_857,ETC
cell_858,CAF
cell_859,ETC
cell_860,ETC
cell_861,ETC
cell_862,ETC
cell_863,ETC
cell_864,ETC
cell_865,CAF
cell_866,ETC
cell_867,ETC
cell_868,CAF
cell_869,ETC
cell_870,ETC
cell_871,CAF
cell_872,EMT
cell_873,ETC
cell_874,ETC
cell_875,ETC
cell_876,ETC
cell_877,ETC
cell_878,ETC
cell_879,CAF
cell_880,ETC
cell_881,ETC
cell_882,ETC
cell_883,ETC
cell_884,ETC
cell_885,ETC
cell_886,ETC
cell_887,ETC
cell_888,ETC
cell_889,CAF
cell_890,ETC
cell_891,CAF
cell_892,ETC
cell_893,ETC
cell_894,ETC
cell_895,ETC
cell_896,CAF
cell_897,ETC
cell_898,ETC
cell_899,CAF
cell_900,ETC
cell_901,ETC
cell_902,ETC
cell_903,ETC
cell_904,ETC
cell_905,ETC
cell_906,ETC
cell_907,ETC
cell_908,ETC
cell_909,ETC
cell_910,ETC
cell_911,ETC
cell_912,ETC
cell_913,CAF
cell_914,CAF
cell_915,ETC
cell_916,ETC
cell_917,ETC
cell_918,CAF
cell_919,ETC
cell_920,ETC
cell_921,CAF
cell_922,CAF
cell_923,ETC
cell_924,CAF
cell_925,ETC
cell_926,CAF
cell_927,CAF
cell_928,CAF
cell_929,ETC
cell_930,ETC
cell_931,CAF
cell_932,ETC
cell_933,ETC
cell_934,ETC
cell_935,ETC
cell_936,CAF
cell_937,CAF
cell_938,ETC
cell_939,ETC
cell_940,ETC
cell_941,CAF
cell_942,ETC
cell_943,CAF
cell_944,ETC
cell_945,ETC
cell_946,ETC
cell_947,CAF
cell_948,CAF
cell_949,ETC
cell_950,ETC
cell_951,ETC
cell_952,ETC
cell_953,CAF
cell_954,ETC
cell_955,ETC
cell_956,ETC
cell_957,ETC
cell_958,ETC
cell_959,CAF
cell_960,ETC
cell_961,EMT
cell_962,EMT
cell_963,ETC
cell_964,ETC
cell_965,ETC
cell_966,ETC
cell_967,ETC
cell_968,EMT
cell_969,ETC
cell_970,ETC
cell_971,ETC
cell_972,ETC
cell_973,ETC
cell_974,ETC
cell_975,ETC
cell_976,ETC
cell_977,ETC
cell_978,ETC
cell_979,ETC
cell_980,ETC
cell_981,ETC
cell_982,ETC
cell_983,ETC
cell_984,ETC
cell_985,ETC
cell_986,CAF
cell_987,CAF
cell_988,ETC
cell_989,ETC
cell_990,ETC
cell_991,ETC
cell_992,CAF
cell_993,ETC
cell_994,CAF
cell_995,ETC
cell_996,ETC
cell_997,ETC
cell_998,CAF
cell_999,CAF
cell_1000,CAF
cell_1001,CAF
cell_1002,ETC
cell_1003,CAF
cell_1004,CAF
cell_1005,ETC
cell_1006,ETC
cell_1007,ETC
cell_1008,ETC
cell_1009,ETC
cell_1010,ETC
cell_1011,ETC
cell_1012,CAF
cell_1013,ETC
cell_1014,ETC
cell_1015,ETC
cell_1016,ETC
cell_1017,CAF
cell_1018,ETC
cell_1019,ETC
cell_1020,ETC
cell_1021,ETC
cell_1022,ETC
cell_1023,ETC
cell_1024,ETC
cell_1025,ETC
cell_1026,ETC
cell_1027,ETC
cell_1028,ETC
cell_1029,ETC
cell_1030,ETC
cell_1031,ETC
cell_1032,ETC
cell_1033,CAF
cell_1034,CAF
cell_1035,CAF
cell_1036,ETC
cell_1037,ETC
cell_1038,ETC
cell_1039,ETC
cell_1040,EMT
cell_1041,ETC
cell_1042,CAF
cell_1043,EMT
cell_1044,ETC
cell_1045,ETC
cell_1046,CAF
cell_1047,ETC
cell_1048,CAF
cell_1049,ETC
cell_1050,ETC
cell_1051,CAF
cell_1052,CAF
cell_1053,ETC
cell_1054,ETC
cell_1055,ETC
cell_1056,ETC
cell_1057,ETC
cell_1058,CAF
cell_1059,ETC
cell_1060,ETC
cell_1061,ETC
cell_1062,ETC
cell_1063,ETC
cell_1064,ETC
cell_1065,ETC
cell_1066,CAF
cell_1067,ETC
cell_1068,ETC
cell_1069,ETC
cell_1070,ETC
cell_1071,ETC
cell_1072,EMT
cell_1073,ETC
cell_1074,ETC
cell_1075,ETC
cell_1076,CAF
cell_1077,ETC
cell_1078,ETC
cell_1079,CAF
cell_1080,CAF
cell_1081,ETC
cell_1082,ETC
cell_1083,CAF
cell_1084,CAF
cell_1085,ETC
cell_1086,ETC
cell_1087,ETC
cell_1088,ETC
cell_1089,CAF
cell_1090,ETC
cell_1091,CAF
cell_1092,CAF
cell_1093,ETC
cell_1094,CAF
cell_1095,ETC
cell_1096,ETC
cell_1097,CAF
cell_1098,ETC
cell_1099,ETC
cell_1100,ETC
cell_1101,ETC
cell_1102,ETC
cell_1103,CAF
cell_1104,CAF
cell_1105,ETC
cell_1106,CAF
cell_1107,ETC
cell_1108,ETC
cell_1109,CAF
cell_1110,ETC
cell_1111,ETC
cell_1112,ETC
cell_1113,ETC
cell_1114,CAF
cell_1115,ETC
cell_1116,ETC
cell_1117,CAF
cell_1118,ETC
cell_1119,CAF
