Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Ligand-expressing cells,Ligand detection rate,Ligand average expression value,Ligand total expression value,Ligand derived specificity of average expression value,Ligand derived specificity of total expression value,Receptor-expressing cells,Receptor detection rate,Receptor average expression value,Receptor total expression value,Receptor derived specificity of average expression value,Receptor derived specificity of total expression value,Edge average expression weight,Edge average expression derived specificity,Edge total expression weight,Edge total expression derived specificity
CAF,A2M,LRP1,CAF,34,0.4788732394366197,1.17067594534405,83.1179921194275,0.908797560241504,0.7711141591451174,30,0.4225352112676056,0.990988996056666,70.36021872002328,0.8540921923779249,0.6643268871505206,1.160126979784188,0.7761969006543754,5848.200105092091,0.5122718689825669
CAF,A2M,LRP1,ETC,34,0.4788732394366197,1.17067594534405,83.1179921194275,0.908797560241504,0.7711141591451174,19,0.09047619047619047,0.1692944076559933,35.55182560775859,0.1459078076220752,0.3356731128494794,0.1981888907241408,0.1326006595871286,2954.996360696939,0.2588422901625504
ETC,A2M,LRP1,CAF,10,0.04761904761904762,0.1174832625580423,24.67148513718889,0.09120243975849589,0.2288858408548826,30,0.4225352112676056,0.990988996056666,70.36021872002328,0.8540921923779249,0.6643268871505206,0.1164246204158561,0.07789529172354938,1735.891090400414,0.1520550181679536
ETC,A2M,LRP1,ETC,10,0.04761904761904762,0.1174832625580423,24.67148513718889,0.09120243975849589,0.2288858408548826,19,0.09047619047619047,0.1692944076559933,35.55182560775859,0.1459078076220752,0.3356731128494794,0.01988925934425731,0.01330714803494652,877.1163370817474,0.07683082268692899
ETC,ACE,BDKRB2,CAF,6,0.02857142857142857,0.05763347355618515,12.10302944679888,1.0,1.0,1,0.01408450704225352,0.0324092467874662,2.3010565219101,0.4025152162385562,0.185514501398626,0.001867857467701312,0.4025152162385562,27.84975484342656,0.185514501398626
ETC,ACE,BDKRB2,ETC,6,0.02857142857142857,0.05763347355618515,12.10302944679888,1.0,1.0,5,0.02380952380952381,0.04810757712375312,10.10259119598816,0.5974847837614438,0.814485498601374,0.002772606774013964,0.5974847837614438,122.2719587340158,0.814485498601374
CAF,ADAM10,EPHA3,CAF,7,0.09859154929577464,0.2403020362477784,17.06144457359227,0.4188295478739391,0.1959175802033934,7,0.09859154929577464,0.232436812412042,16.50301368125498,0.9723951048571076,0.9225380259746001,0.05585503932155659,0.4072678021221339,281.5652532199668,0.180741417694559
CAF,ADAM10,EPHA3,ETC,7,0.09859154929577464,0.2403020362477784,17.06144457359227,0.4188295478739391,0.1959175802033934,1,0.004761904761904762,0.006598546004533285,1.38569466095199,0.02760489514289249,0.07746197402539984,0.001585644041163991,0.01156174575180516,23.64195265375511,0.01517616250883445
ETC,ADAM10,EPHA3,CAF,35,0.1666666666666667,0.3334445808846533,70.0233619857772,0.5811704521260609,0.8040824197966066,7,0.09859154929577464,0.232436812412042,16.50301368125498,0.9723951048571076,0.9225380259746001,0.07750479549689812,0.5651273027349736,1155.596500858751,0.7417966082800411
ETC,ADAM10,EPHA3,ETC,35,0.1666666666666667,0.3334445808846533,70.0233619857772,0.5811704521260609,0.8040824197966066,1,0.004761904761904762,0.006598546004533285,1.38569466095199,0.02760489514289249,0.07746197402539984,0.002200249406929705,0.01604314939108733,97.03099884559998,0.06228581151656538
CAF,ADAM12,ITGB1,CAF,9,0.1267605633802817,0.2704623686254024,19.20282817240357,0.8617163778965863,0.6781300989935203,56,0.7887323943661971,1.939425719186747,137.6992260622591,0.38820331290499,0.2955722723346716,0.5245416737842723,0.3345211526839431,2644.214577546516,0.2004364542980506
CAF,ADAM12,ITGB1,EMT,9,0.1267605633802817,0.2704623686254024,19.20282817240357,0.8617163778965863,0.6781300989935203,5,0.625,1.552900813982965,12.42320651186372,0.3108349212022567,0.02666649249527531,0.4200012323901481,0.2678515424221795,238.5606999976042,0.01808335119563101
CAF,ADAM12,ITGB1,ETC,9,0.1267605633802817,0.2704623686254024,19.20282817240357,0.8617163778965863,0.6781300989935203,132,0.6285714285714286,1.503575497324829,315.7508544382141,0.3009617658927533,0.677761235170053,0.4066605904135906,0.2593436827904637,6063.309403066637,0.4596102934998387
ETC,ADAM12,ITGB1,CAF,4,0.01904761904761905,0.0434023501647751,9.114493534602769,0.1382836221034136,0.3218699010064797,56,0.7887323943661971,1.939425719186747,137.6992260622591,0.38820331290499,0.2955722723346716,0.08417563418271398,0.05368216022104688,1255.058705664265,0.095135818036621
ETC,ADAM12,ITGB1,EMT,4,0.01904761904761905,0.0434023501647751,9.114493534602769,0.1382836221034136,0.3218699010064797,5,0.625,1.552900813982965,12.42320651186372,0.3108349212022567,0.02666649249527531,0.06739954489965291,0.04298337878007722,113.2312354314169,0.008583141299644296
ETC,ADAM12,ITGB1,ETC,4,0.01904761904761905,0.0434023501647751,9.114493534602769,0.1382836221034136,0.3218699010064797,132,0.6285714285714286,1.503575497324829,315.7508544382141,0.3009617658927533,0.677761235170053,0.06525871023406808,0.04161808310228953,2877.909121322402,0.2181509416702143
