LR,adjPval,meanHR
SEMA4B->DCBLD2,7.409840599291804e-5,2.4443227789606468
IL20->IL20RB,3.004315326823921e-4,2.2960225371402068
IL26->IL20RB,3.004315326823921e-4,2.2960225371402068
IL24->IL20RB,3.004315326823921e-4,2.111443134964963
WNT9B->FZD8,4.718109934908045e-4,0.5065267975038533
APOE->LRP1,7.326969060031033e-4,0.5461335836163531
RSPO4->LGR5,8.095771784206242e-4,0.4715156603915531
GDF3->TDGF1,0.0013172423460004266,0.5026090894653558
WNT3A->FZD8,0.0013172423460004266,0.5223499321527568
DKK1->KREMEN1,0.0013172423460004266,2.162442595815048
NGF->SORT1,0.0017745313851543125,0.5733281004016608
IL19->IL20RB,0.0018333795668875308,2.0669075344812278
DSC3->DSG4,0.001959848139836987,2.15599435180174
WNT3->FZD8,0.0019994205681181897,0.5418367218425226
WNT8A->FZD8,0.0019994205681181897,0.5466808613410724
ICOSLG->CD28,0.002226908838712128,0.511237362668352
NTN1->NEO1,0.002226908838712128,0.5188897065564584
FGF9->FGFR4,0.002226908838712128,0.4917437079170634
DSC3->DSG1,0.002226908838712128,2.0392496143697527
DSG1->DSC3,0.002226908838712128,2.0392496143697527
WNT1->FZD8,0.002226908838712128,0.5541716591548688
AREG->EGFR,0.002226908838712128,1.765063769727472
BDNF->SORT1,0.002226908838712128,0.581976427260575
RSPO3->FZD8,0.0027184834090064553,0.5995842345411111
FGA->ITGA2B,0.0027184834090064553,2.347522271075921
IHH->BOC,0.0027184834090064553,0.5342654734112924
SHH->BOC,0.002990844313866812,0.5543878119345063
SEMA6A->PLXNA4,0.0030956025450218313,0.5660421544608244
SHH->SMO,0.003790785045769184,0.4761210792439882
NRTN->GFRA1,0.00387342472587238,0.6059377145920795
NTS->SORT1,0.004323021569722261,0.5667560652786187
SHH->PTCH1,0.004323021569722261,0.5427328121051358
ICOSLG->CTLA4,0.004378880297591773,0.49864779139373144
SHH->PTCH2,0.004378880297591773,0.5359283344729389
RELN->ITGA3,0.004378880297591773,2.440064810783484
FGF1->FGFR4,0.004378880297591773,0.5253091274280178
TGM2->ITGB3,0.005531933406362242,1.9327300902834257
RSPO2->LGR5,0.005531933406362242,0.5223305575055128
CXCL14->CXCR4,0.006458971988307019,0.5212740362829302
RSPO1->LGR5,0.006602591057996043,0.5261997383250334
ZG16B->CXCR4,0.00690807741108296,0.5690043633608837
IHH->PTCH1,0.006973136232022458,0.582865009955277
ANGPT1->TEK,0.006973136232022458,0.5588169534751818
DHH->PTCH1,0.007496792550781332,0.586144929805378
SHH->LRP2,0.007496792550781332,0.5463323315106667
FGF18->FGFR4,0.007496792550781332,0.5324111188618765
SLIT3->ROBO2,0.007496792550781332,0.5923802573917737
RGMB->NEO1,0.007496792550781332,0.5969927931875392
ANGPT4->TEK,0.009044645418922848,0.5922192135222561
NTNG2->LRRC4,0.009191126344147564,0.6079424649458902
ANXA1->EGFR,0.009986590281794376,1.668297786357285
LRPAP1->SORT1,0.01120628288574792,0.6101307505067888
NLGN1->NRXN3,0.01129840665765422,0.5898682190920808
CORT->SSTR1,0.011690747631136655,0.5320320413769721
FGF16->FGFR4,0.012195069268862352,0.5614395377250473
FGF17->FGFR4,0.012195069268862352,0.5614395377250473
FGF20->FGFR4,0.012195069268862352,0.5601052575875703
