LR,adjPval,meanHR
NECTIN2->TIGIT,0.07980198637244239,0.7087269996689027
TIGIT->NECTIN2,0.07980198637244239,0.7087269996689027
SERPINE2->LRP1,0.07993350855697993,0.6767867592553989
TGM2->ITGB1,0.08001138127109853,1.6327687907218198
FGF19->FGFR4,0.08001138127109853,0.6159848271237826
PDGFB->LRP1,0.08001138127109853,0.6699754668598753
NXPH3->NRXN3,0.08026476841110577,0.7118368894497489
AGT->AGTR1,0.08144592210675741,0.6742244800026743
PODXL->SELL,0.08144592210675741,1.5487660085949961
WNT3A->FZD6,0.08201684835751165,1.6147262817689492
PSPN->GFRA1,0.08476584921608861,0.6553237391343322
WNT2->FZD8,0.0851779467022212,0.607387051169451
DKK1->KREMEN2,0.08614038343987436,1.9384572488559275
FGG->ITGA5,0.08640708491267886,1.433661163292493
WNT1->ROR2,0.0883461906187316,0.6988663437107315
SEMA3C->NRP1,0.09031287030408178,1.7094144101264352
ARTN->RET,0.09031287030408178,0.6466980563096667
SLAMF1->SLAMF1,0.09031287030408178,0.7016859200023636
DSC1->DSG3,0.09031287030408178,1.480526655316172
L1CAM->EGFR,0.09031287030408178,1.5539206724646142
CNTN1->NOTCH1,0.09031287030408178,0.6874405766109641
ACE->BDKRB2,0.09031287030408178,0.6571734814696735
NTN3->NEO1,0.09031287030408178,0.6765795163699936
TGFA->EGFR,0.09031287030408178,1.4849746058270392
CHAD->ITGA2,0.09031287030408178,1.8545806563385876
COL2A1->ITGA2,0.09031287030408178,1.8545806563385876
GZMB->CHRM3,0.09117422707836992,0.5800392167755296
THBS1->ITGB1,0.09208699177100454,1.6620189434073451
NODAL->TDGF1,0.0927381839553119,0.6050027840379036
CCL16->CCR5,0.09589601853653928,0.5504192509673544
CCL4L1->CCR5,0.09589601853653928,0.5626789420063534
FGB->ITGB1,0.09589601853653928,1.5386994521256738
IHH->HHIP,0.09589601853653928,0.590158124685513
ZG16B->TLR4,0.09589601853653928,0.6605502668287548
GDF5->ROR2,0.09589601853653928,0.6996778490534469
LPL->LRP1,0.09589601853653928,0.695515866122748
ANGPT1->TIE1,0.09594455603257562,0.6410308243140537
ANGPTL1->TEK,0.09594455603257562,0.5545694605749577
CCL3L1->CCR5,0.09594455603257562,0.5831405236422896
CCL11->CCR5,0.09594455603257562,0.6709085643119651
JAM2->JAM3,0.09594455603257562,0.730695294930873
JAM3->JAM2,0.09594455603257562,0.730695294930873
CCN2->FGFR2,0.09594455603257562,0.6758232078673518
RELN->ITGB1,0.09601513919816795,1.4790118727961687
RTN4->S1PR2,0.09686599720490835,1.4111758321612768
LAMC2->ITGB1,0.09686599720490835,1.5337876544852656
THPO->MPL,0.09691024159562123,0.6676667884712754
CALR->ITGA3,0.09691024159562123,1.5503102291047333
DHH->PTCH2,0.0994255362218039,0.6629216055725125
CCL2->ACKR1,0.0994255362218039,0.7189614261872178
