LR,adj_Pval,HR
LRPAP1->SORT1,0.01120628288574792,HR>1
SPP1->ITGB5,0.07980198637244239,HR<1
ADM->CALCR,0.06663559218139851,HR<1
ADM->MRGPRX2,0.06834488962064729,HR<1
WNT7B->FZD10,0.01804778104824721,HR<1
WNT7A->FZD9,0.038493445550853066,HR<1
NTN3->NEO1,0.09031287030408178,HR>1
WNT7B->FZD8,0.06793569449961749,HR<1
JAM2->JAM3,0.09594455603257562,HR>1
JAM3->JAM2,0.09594455603257562,HR>1
FGA->ITGB3,0.055805720946480626,HR<1
LRPAP1->LRP2,0.03488918717625206,HR>1
ARF1->CHRM3,0.06463008194044975,HR>1
TGM2->SDC4,0.022042074964597556,HR<1
HAS2->HMMR,0.013851349083014927,HR<1
LAMC2->ITGA3,0.03663140451941859,HR<1
GPC3->CD81,0.048159398527548115,HR>1
A2M->LRP1,0.03292923922690479,HR>1
CALR->ITGA3,0.09691024159562123,HR<1
IL31->IL31RA,0.023575531958427036,HR<1
ARF1->PLD2,0.044912672268788624,HR>1
NRTN->RET,0.03832757253089536,HR>1
NTF4->NTRK1,0.032187967199041545,HR<1
AGRP->MC3R,0.06764871830447082,HR>1
LAMA2->DAG1,0.038493445550853066,HR>1
CCL2->ACKR1,0.0994255362218039,HR>1
NECTIN2->TIGIT,0.07980198637244239,HR>1
TIGIT->NECTIN2,0.07980198637244239,HR>1
RGMA->NEO1,0.03832757253089536,HR>1
RTN4->S1PR2,0.09686599720490835,HR<1
SLAMF6->SLAMF6,0.06511483991499166,HR>1
ECM1->ITGB4,0.06663559218139851,HR<1
FGG->ITGA5,0.08640708491267886,HR<1
WNT1->ROR2,0.0883461906187316,HR>1
IHH->HHIP,0.09589601853653928,HR>1
LRPAP1->LRP1,0.03663140451941859,HR>1
TGFA->EGFR,0.09031287030408178,HR<1
ZG16B->TLR4,0.09589601853653928,HR>1
PODXL->SELL,0.08144592210675741,HR<1
VEGFA->GPC1,0.043598948927771206,HR<1
CCN2->FGFR2,0.09594455603257562,HR>1
SEMA3A->NRP1,0.043598948927771206,HR<1
MDK->LRP1,0.04428748296825123,HR>1
RELN->ITGB1,0.09601513919816795,HR<1
GZMB->CHRM3,0.09117422707836992,HR>1
C4BPA->LRP1,0.04428748296825123,HR>1
FGB->ITGA5,0.07812762380223558,HR<1
TGM2->ITGB1,0.08001138127109853,HR<1
NXPH3->NRXN3,0.08026476841110577,HR>1
LAMC2->ITGB1,0.09686599720490835,HR<1
GDF5->ROR2,0.09589601853653928,HR>1
FGF19->FGFR4,0.08001138127109853,HR>1
C1QB->LRP1,0.06534029119227446,HR>1
VEGFA->NRP1,0.07812762380223558,HR<1
WNT2->FZD8,0.0851779467022212,HR>1
SERPINE2->LRP1,0.07993350855697993,HR>1
PDGFB->LRP1,0.08001138127109853,HR>1
THBS1->ITGB1,0.09208699177100454,HR<1
DKK1->KREMEN2,0.08614038343987436,HR<1
LPL->LRP1,0.09589601853653928,HR>1
CHAD->ITGA2,0.09031287030408178,HR<1
COL2A1->ITGA2,0.09031287030408178,HR<1
