cell,cluster
cell_1120,CAF
cell_1121,CAF
cell_1122,CAF
cell_1123,CAF
cell_1124,CAF
cell_1125,Endo
cell_1126,ETC
cell_1127,ETC
cell_1128,CAF
cell_1129,CAF
cell_1130,ETC
cell_1131,ETC
cell_1132,CAF
cell_1133,TAM
cell_1134,CAF
cell_1135,CAF
cell_1136,CAF
cell_1137,TAM
cell_1138,CAF
cell_1139,ETC
cell_1140,Endo
cell_1141,CAF
cell_1142,CAF
cell_1143,CAF
cell_1144,TAM
cell_1145,CAF
cell_1146,CAF
cell_1147,CAF
cell_1148,CAF
cell_1149,CAF
cell_1150,ETC
cell_1151,CAF
cell_1152,ETC
cell_1153,ETC
cell_1154,CAF
cell_1155,CAF
cell_1156,CAF
cell_1157,CAF
cell_1158,CAF
cell_1159,TAM
cell_1160,CAF
cell_1161,CAF
cell_1162,ETC
cell_1163,CAF
cell_1164,TAM
cell_1165,ETC
cell_1166,CAF
cell_1167,CAF
cell_1168,ETC
cell_1169,CAF
cell_1170,ETC
cell_1171,CAF
cell_1172,TAM
cell_1173,CAF
cell_1174,CAF
cell_1175,TAM
cell_1176,ETC
cell_1177,TAM
cell_1178,CAF
cell_1179,CAF
cell_1180,CAF
cell_1181,CAF
cell_1182,CAF
cell_1183,CAF
cell_1184,CAF
cell_1185,TAM
cell_1186,CAF
cell_1187,CAF
cell_1188,CAF
cell_1189,CAF
cell_1190,CAF
cell_1191,CAF
cell_1192,ETC
cell_1193,CAF
cell_1194,DC
cell_1195,CAF
cell_1196,TAM
cell_1197,CAF
cell_1198,CAF
cell_1199,CAF
cell_1200,CAF
cell_1201,CAF
cell_1202,CAF
cell_1203,ETC
cell_1204,TAM
cell_1205,TAM
cell_1206,ETC
cell_1207,CAF
cell_1208,ETC
cell_1209,CAF
cell_1210,CAF
cell_1211,CAF
cell_1212,CAF
cell_1213,CAF
cell_1214,CAF
cell_1215,TAM
cell_1216,TAM
cell_1217,CAF
cell_1218,DC
cell_1219,CAF
cell_1220,CAF
cell_1221,TAM
cell_1222,CAF
cell_1223,CAF
cell_1224,CAF
cell_1225,CAF
cell_1226,CAF
cell_1227,TAM
cell_1228,CAF
cell_1229,CAF
cell_1230,CAF
cell_1231,TIL
cell_1232,CAF
cell_1233,CAF
cell_1234,CAF
cell_1235,CAF
cell_1236,Endo
cell_1237,TIL
cell_1238,CAF
cell_1239,Endo
cell_1240,CAF
cell_1241,DC
cell_1242,CAF
cell_1243,CAF
cell_1244,TAM
cell_1245,CAF
cell_1246,CAF
cell_1247,CAF
cell_1248,TAM
cell_1249,TIL
cell_1250,CAF
cell_1251,CAF
cell_1252,CAF
cell_1253,CAF
cell_1254,ETC
cell_1255,CAF
cell_1256,ETC
cell_1257,CAF
cell_1258,CAF
cell_1259,CAF
cell_1260,DC
cell_1261,CAF
cell_1262,CAF
cell_1263,CAF
cell_1264,CAF
cell_1265,CAF
cell_1266,CAF
cell_1267,ETC
cell_1268,CAF
cell_1269,CAF
cell_1270,ETC
cell_1271,ETC
cell_1272,ETC
cell_1273,CAF
cell_1274,CAF
cell_1275,CAF
cell_1276,CAF
cell_1277,ETC
cell_1278,CAF
cell_1279,CAF
cell_1280,ETC
cell_1281,CAF
cell_1282,CAF
cell_1283,CAF
cell_1284,ETC
cell_1285,CAF
cell_1286,ETC
cell_1287,CAF
cell_1288,ETC
cell_1289,CAF
cell_1290,ETC
cell_1291,CAF
cell_1292,CAF
cell_1293,CAF
cell_1294,ETC
cell_1295,CAF
cell_1296,CAF
cell_1297,CAF
cell_1298,CAF
cell_1299,CAF
cell_1300,CAF
cell_1301,CAF
cell_1302,ETC
cell_1303,CAF
cell_1304,CAF
cell_1305,CAF
cell_1306,CAF
cell_1307,CAF
cell_1308,CAF
cell_1309,CAF
cell_1310,TAM
cell_1311,CAF
cell_1312,CAF
cell_1313,TAM
cell_1314,CAF
cell_1315,CAF
cell_1316,CAF
cell_1317,CAF
cell_1318,CAF
cell_1319,CAF
cell_1320,CAF
cell_1321,CAF
cell_1322,TAM
cell_1323,CAF
cell_1324,CAF
cell_1325,CAF
cell_1326,CAF
cell_1327,ETC
cell_1328,CAF
cell_1329,Endo
cell_1330,ETC
cell_1331,CAF
cell_1332,CAF
cell_1333,CAF
cell_1334,CAF
cell_1335,CAF
cell_1336,CAF
cell_1337,CAF
cell_1338,CAF
cell_1339,CAF
