barcode	annotation
"cell_1"	"EMT"
"cell_2"	"EMT"
"cell_3"	"EMT"
"cell_4"	"CAF"
"cell_5"	"EMT"
"cell_6"	"CAF"
"cell_7"	"EMT"
"cell_8"	"EMT"
"cell_9"	"EMT"
"cell_10"	"EMT"
"cell_11"	"EMT"
"cell_12"	"EMT"
"cell_13"	"EMT"
"cell_14"	"EMT"
"cell_15"	"EMT"
"cell_16"	"EMT"
"cell_17"	"EMT"
"cell_18"	"EMT"
"cell_19"	"EMT"
"cell_20"	"EMT"
"cell_21"	"EMT"
"cell_22"	"EMT"
"cell_23"	"EMT"
"cell_24"	"EMT"
"cell_25"	"EMT"
"cell_26"	"Endo"
"cell_27"	"EMT"
"cell_28"	"EMT"
"cell_29"	"EMT"
"cell_30"	"EMT"
"cell_31"	"EMT"
"cell_32"	"CAF"
"cell_33"	"EMT"
"cell_34"	"EMT"
"cell_35"	"EMT"
"cell_36"	"EMT"
"cell_37"	"EMT"
"cell_38"	"EMT"
"cell_39"	"EMT"
"cell_40"	"EMT"
"cell_41"	"EMT"
"cell_42"	"CAF"
"cell_43"	"EMT"
"cell_44"	"CAF"
"cell_45"	"EMT"
"cell_46"	"EMT"
"cell_47"	"EMT"
"cell_48"	"EMT"
"cell_49"	"EMT"
"cell_50"	"CAF"
"cell_51"	"EMT"
"cell_52"	"EMT"
"cell_53"	"EMT"
"cell_54"	"CAF"
"cell_55"	"EMT"
"cell_56"	"CAF"
"cell_57"	"EMT"
"cell_58"	"EMT"
"cell_59"	"CAF"
"cell_60"	"EMT"
"cell_61"	"EMT"
"cell_62"	"EMT"
"cell_63"	"Endo"
"cell_64"	"EMT"
"cell_65"	"TAM"
"cell_66"	"EMT"
"cell_67"	"Endo"
"cell_68"	"CAF"
"cell_69"	"EMT"
"cell_70"	"EMT"
"cell_71"	"Endo"
"cell_72"	"EMT"
"cell_73"	"EMT"
"cell_74"	"Endo"
"cell_75"	"EMT"
"cell_76"	"EMT"
"cell_77"	"EMT"
"cell_78"	"CAF"
"cell_79"	"CAF"
"cell_80"	"EMT"
"cell_81"	"EMT"
"cell_82"	"EMT"
"cell_83"	"EMT"
"cell_84"	"EMT"
"cell_85"	"EMT"
"cell_86"	"ETC"
"cell_87"	"EMT"
"cell_88"	"EMT"
"cell_89"	"CAF"
"cell_90"	"ETC"
"cell_91"	"EMT"
"cell_92"	"EMT"
"cell_93"	"EMT"
"cell_94"	"EMT"
"cell_95"	"EMT"
"cell_96"	"TIL"
"cell_97"	"EMT"
"cell_98"	"CAF"
"cell_99"	"EMT"
"cell_100"	"EMT"
"cell_101"	"EMT"
"cell_102"	"EMT"
"cell_103"	"EMT"
"cell_104"	"EMT"
"cell_105"	"EMT"
"cell_106"	"EMT"
"cell_107"	"CAF"
"cell_108"	"EMT"
"cell_109"	"ETC"
"cell_110"	"EMT"
"cell_111"	"EMT"
"cell_112"	"EMT"
"cell_113"	"EMT"
"cell_114"	"EMT"
"cell_115"	"EMT"
"cell_116"	"EMT"
"cell_117"	"CAF"
"cell_118"	"EMT"
"cell_119"	"EMT"
"cell_120"	"EMT"
"cell_121"	"EMT"
"cell_122"	"EMT"
"cell_123"	"EMT"
"cell_124"	"EMT"
"cell_125"	"EMT"
"cell_126"	"EMT"
"cell_127"	"EMT"
"cell_128"	"EMT"
"cell_129"	"EMT"
"cell_130"	"CAF"
"cell_131"	"EMT"
"cell_132"	"EMT"
"cell_133"	"EMT"
"cell_134"	"CAF"
"cell_135"	"EMT"
"cell_136"	"EMT"
"cell_137"	"CAF"
"cell_138"	"EMT"
"cell_139"	"EMT"
"cell_140"	"EMT"
"cell_141"	"EMT"
"cell_142"	"EMT"
"cell_143"	"EMT"
"cell_144"	"EMT"
"cell_145"	"EMT"
"cell_146"	"CAF"
"cell_147"	"EMT"
"cell_148"	"EMT"
"cell_149"	"EMT"
"cell_150"	"EMT"
"cell_151"	"ETC"
"cell_152"	"EMT"
"cell_153"	"EMT"
"cell_154"	"ETC"
"cell_155"	"EMT"
"cell_156"	"EMT"
"cell_157"	"CAF"
"cell_158"	"EMT"
"cell_159"	"EMT"
"cell_160"	"EMT"
"cell_161"	"EMT"
"cell_162"	"CAF"
"cell_163"	"EMT"
"cell_164"	"EMT"
"cell_165"	"Endo"
"cell_166"	"EMT"
"cell_167"	"EMT"
"cell_168"	"EMT"
"cell_169"	"ETC"
"cell_170"	"EMT"
"cell_171"	"Endo"
"cell_172"	"Endo"
"cell_173"	"EMT"
"cell_174"	"EMT"
"cell_175"	"EMT"
"cell_176"	"EMT"
"cell_177"	"EMT"
"cell_178"	"EMT"
"cell_179"	"EMT"
"cell_180"	"EMT"
"cell_181"	"EMT"
"cell_182"	"EMT"
"cell_183"	"EMT"
"cell_184"	"EMT"
"cell_185"	"EMT"
"cell_186"	"EMT"
"cell_187"	"ETC"
"cell_188"	"EMT"
