PAAD-US,CCI,pval,hr,median_day_low,median_day_high,diff_day
PACA-AU,Endo->Endo,0.6532101970132205,0.9275011384004624,460,400,-60
PACA-AU,DC->ETC,0.6755230837652865,0.7914572060856864,453,388,-65
PACA-AU,CAF->DC,0.6849106020267486,0.8427229119437186,460,400,-60
PACA-AU,CAF->EMT,0.6950503795043604,0.883710460136838,460,388,-72
PACA-AU,TAM->EMT,0.6950503795043604,0.883710460136838,460,388,-72
PACA-AU,EMT->CAF,0.6950503795043604,0.883710460136838,460,388,-72
PACA-AU,EMT->TAM,0.6950503795043604,0.883710460136838,460,388,-72
PACA-AU,EMT->EMT,0.6950503795043604,0.883710460136838,460,388,-72
PACA-AU,ETC->EMT,0.6950503795043604,0.883710460136838,460,388,-72
PACA-AU,EMT->ETC,0.6950503795043604,0.883710460136838,460,388,-72
PACA-AU,DC->TAM,0.6975423252709135,0.9447285397816799,434.5,400,-34.5
PACA-AU,ETC->ETC,0.7201298606017039,0.8616577397295453,470.5,359,-111.5
PACA-AU,TAM->TAM,0.7325645732049544,0.9842618558981185,460,388,-72
PACA-AU,EMT->DC,0.7493562773234372,1.0745806332965682,434.5,400,-34.5
PACA-AU,DC->DC,0.7493562773234372,1.0745806332965682,434.5,400,-34.5
PACA-AU,ETC->CAF,0.7573978896305094,0.8496634433317887,460,361,-99
PACA-AU,TAM->DC,0.8087759666038822,0.9000371602941003,460,388,-72
PACA-AU,ETC->DC,0.8375415078653605,0.9558683691897609,439,400,-39
PACA-AU,TIL->EMT,0.8525866358594664,0.9599178066555571,434.5,400,-34.5
PACA-AU,Endo->EMT,0.8757185136806234,1.053132287406914,434.5,400,-34.5
PACA-AU,DC->EMT,0.9597432782713758,0.9799566325471016,434.5,412,-22.5
PACA-CA,CCI,pval,hr,median_day_high,median_day_low,diff_day
PACA-CA,TIL->TIL,0.010670594621179919,0.6094123824137466,446,627,-181
PACA-CA,Endo->ETC,0.010844789267388633,1.5672035495694079,592,456,136
PACA-CA,TIL->DC,0.01138080038519751,0.599705649941826,446,633,-187
PACA-CA,DC->TIL,0.012543961458129083,0.6091713006614637,455,625,-170
PACA-CA,TAM->TAM,0.013107047577940456,0.6367190679199032,446,631,-185
PACA-CA,TIL->CAF,0.013573558217642834,0.6086837520928025,444,633,-189
PACA-CA,TIL->Endo,0.01410996587155744,0.6097831660966766,446,653,-207
PACA-CA,TAM->EMT,0.016639927391839948,0.613470276256595,455,625,-170
PACA-CA,DC->EMT,0.016639927391839948,0.613470276256595,455,625,-170
PACA-CA,TIL->EMT,0.016639927391839948,0.613470276256595,455,625,-170
PACA-CA,Endo->CAF,0.020823259768163016,1.543725849299932,590,459.5,130.5
PACA-CA,Endo->TIL,0.021322702165742724,0.6403022458472295,455,592,-137
