LR,pval,hr,median_day_low,median_day_high,diff_day
ZP3->EGFR,0.010478173433792315,0.48470522460662735,183.5,183,-0.5
FGF18->FGFR4,0.011005699982087669,2.361463792221811,181,216,35
PSAP->CD1B,0.011361871944893354,1.851445792791554,154,219,65
PSAP->GPR37L1,0.011361871944893354,1.851445792791554,154,219,65
EDN1->EDNRB,0.011472114067412664,1.7751136649591284,181,194,13
CD34->SELE,0.011745677503233853,1.9779664984994487,195.5,179,-16.5
NLGN1->NRXN1,0.01262657062254724,2.129504950743939,191,179,-12
MFNG->NOTCH1,0.012652536271478443,2.1601222900214783,181,194,13
IL10->IL10RA,0.012695952524089726,1.964829739357267,192.5,181,-11.5
IL22->IL10RA,0.012695952524089726,1.964829739357267,192.5,181,-11.5
FGF5->FGFR4,0.012787256563848493,2.3195928373487757,181,216,35
FGF9->FGFR4,0.012787256563848493,2.3195928373487757,181,216,35
NRTN->GFRA1,0.013276224591164731,1.851729123213406,181,194,13
DLL1->NOTCH1,0.013577341731754622,2.5972842744148776,184.5,183,-1.5
WNT3->FZD8,0.013865624131243814,2.077917168041755,174,188,14
CCL19->CCR7,0.014026589420673807,1.926323184530739,195.5,179,-16.5
TFF2->CXCR4,0.014193950638784258,2.138203369995318,194,181,-13
BMP8A->ACVR2A,0.014214775203468921,1.709336901473778,158,233,75
DSC3->DSG1,0.014697813458813047,0.48542308685626845,249,160,-89
DSG1->DSC3,0.014697813458813047,0.48542308685626845,249,160,-89
CCL3L3->CCR5,0.014934673764928963,1.9595329246585662,199.5,179,-20.5
WNT3A->FZD5,0.01518366059919296,2.256435355614045,171.5,197,25.5
PTGS2->CAV1,0.015372192113071614,0.5674372310989613,218.5,181,-37.5
CNTF->IL6R,0.015557951370791079,1.8830063905830352,173,216,43
CRH->CRHR1,0.015586279656621849,1.7901937974131388,173,188,15
CTF1->LIFR,0.01568945647160702,2.0880309407900257,195.5,164,-31.5
MSMP->CCR2,0.016517216526253375,1.8489122827037516,185.5,181,-4.5
SLIT3->ROBO2,0.016548542127117982,2.0734771579876705,191,179,-12
IL24->IL20RA,0.016580630740112734,0.4974838313437778,219,157,-62
CD5L->CD5,0.0167627912885967,1.739567190051588,185.5,181,-4.5
DLK2->NOTCH1,0.017099591562230176,2.5701435714857115,192.5,181,-11.5
BMP4->BMPR1A,0.017248464803850228,0.5936602264175489,188.5,181,-7.5
TNFSF13->SDC2,0.01752775867764733,2.1976491920556214,181,219,38
NGF->SORT1,0.017591907664327278,1.7134691821374513,172.5,202,29.5
DKK1->KREMEN1,0.017739409314524224,0.4694912368335965,195.5,181,-14.5
EFNA5->EPHB6,0.017802036046527414,0.5815340894972353,164,194,30
IL19->IL20RA,0.017961061823756008,0.5006620567451161,224,164,-60
IL20->IL20RA,0.017961061823756008,0.5006620567451161,224,164,-60
IL26->IL20RA,0.017961061823756008,0.5006620567451161,224,164,-60
EREG->ERBB4,0.018032353179601168,0.4730181486735352,171.5,188,16.5
WNT2->FZD5,0.01831243551540951,2.1916936480402907,171.5,197,25.5
CCL8->CCR5,0.018386864648182843,1.7536950211497118,199.5,179,-20.5
SEMA6A->PLXNA4,0.018521951922189972,1.9812854923251841,194,181,-13
CCL17->ACKR2,0.018527976056639694,1.7273264736385843,236,160,-76
NTF3->NTRK3,0.018906261468248475,1.7043331488029254,174,188,14
BMP4->BMPR1B,0.019954270556392095,0.6065685066289161,195.5,181,-14.5
IL33->IL1RL1,0.02043389285895214,2.097170711407685,218,164,-54
HBEGF->CD44,0.02050171755317065,0.5535175787467328,231,179,-52
BMP8A->BMPR1A,0.020859236415052163,1.9400105036304596,164,216,52
LRFN5->LRFN5,0.020892882373885757,1.8694677609887433,199.5,179,-20.5
PTN->PTPRS,0.020977104607980857,1.9667652469828032,191,179,-12
SFRP1->FZD2,0.020994006030461754,1.8139924083657417,174,194,20
WNT9A->FZD4,0.02134026935124489,1.7670346363069305,195.5,179,-16.5
EBI3->IL27RA,0.021388977655234065,1.9665834954143415,164,194,30
HSPG2->PTPRS,0.021955352613205137,1.8725807568727197,154,216,62
SELPLG->SELE,0.022008967611374608,1.9048906431355552,181,194,13
PSPN->RET,0.022117082037736657,1.9996741986742321,191,179,-12
CCL7->CCR2,0.02235378775362995,1.755895332200914,195.5,179,-16.5
RSPO3->FZD8,0.022505374406003753,1.9838430026259817,199.5,179,-20.5
GDNF->RET,0.022808500372359042,1.9945129469751803,191,179,-12
ARTN->RET,0.023091420966652176,1.9177321572332748,191,181,-10
TNFSF8->TNFRSF8,0.023270552118651477,1.5891841201236978,182,194,12
ADAM12->SDC4,0.023410945519325987,0.5635079312589031,165.5,194,28.5
F2->ITGA2B,0.023501791648229298,1.9088957546555116,174.5,183,8.5
HSPG2->ITGA2,0.02361428593210113,1.6964389513013718,164,219,55
CD34->SELL,0.023615382787360084,1.6853023341321478,195.5,179,-16.5
NLGN3->NRXN3,0.024129201228198616,1.8581920561594933,199.5,181,-18.5
BMP4->RGMB,0.024181022191840373,0.6299905984051101,199.5,167,-32.5
SLAMF1->SLAMF1,0.024600131472780284,1.708940291592937,185.5,181,-4.5
FGA->ITGA2B,0.025122764327161984,0.4362005607260591,226,179,-47
CCL24->CCR3,0.0251390704838359,2.089078804167278,162.5,239,76.5
WNT5A->FZD6,0.025197582734811985,0.55996329171828,186.5,183,-3.5
IL10->IL10RB,0.025380648585415777,1.8504290553193845,160.5,202,41.5
UCN2->IL10RB,0.025380648585415777,1.8504290553193845,160.5,202,41.5
LAMA3->SDC2,0.025420240773622482,0.6613571658341456,165.5,194,28.5
SCT->VIPR2,0.025704852349025198,1.9582150324050405,194,164,-30
FGF2->CD44,0.02579726638674762,0.5348500348228895,192.5,181,-11.5
ICAM3->ITGB2,0.025862848960522045,1.8470087288741233,165.5,197,31.5
LRPAP1->VLDLR,0.026112118162172848,1.9816504417579164,182,188,6
GH1->GHR,0.0261191441739953,1.7608214874571226,194,179,-15
MADCAM1->CD44,0.026159475944720234,0.5467765628402923,208,181,-27
