CCI,pval,hr,median_day_low,median_day_high,diff_day
CAF->ETC,0.013207601325887608,0.4538881146875596,180,188,8
CAF->CAF,0.03419397161785809,0.49793886365035517,173,194,21
ETC->CAF,0.06586062276542826,1.523195167940314,181,194,13
ETC->ETC,0.1825656113626889,1.3243269577338186,173,194,21
DC->Endo,0.19919123693696927,0.6451263120890369,220.5,181,-39.5
CAF->Endo,0.25540376570019974,0.8263487799649623,180,188,8
TAM->CAF,0.32696982557669907,1.149921599603235,165.5,194,28.5
CAF->TAM,0.34822804515275396,0.7421273388149455,187.5,183,-4.5
TIL->TAM,0.3558883027207602,0.7044225744414274,180,188,8
DC->ETC,0.3856529143524887,1.1170193082499982,199.5,181,-18.5
DC->CAF,0.3856529143524887,1.1170193082499982,199.5,181,-18.5
Endo->CAF,0.38918357095286504,1.1553920813809886,173,194,21
TIL->Endo,0.3979421268774358,0.7178936997379266,173,194,21
TAM->ETC,0.4033245696261264,0.7069710702147192,199.5,181,-18.5
Endo->ETC,0.4509333523004412,1.0946029760218234,165.5,194,28.5
TIL->ETC,0.47074854897320206,0.7551925152316346,189,183,-6
EMT->Endo,0.47722796264652045,0.7635191534948621,180,188,8
EMT->ETC,0.48764896825167625,0.7663718303063758,180,188,8
EMT->TAM,0.4940776545549117,0.76829777185438,180,188,8
EMT->CAF,0.49874655977290405,0.7484972747020819,171.5,194,22.5
TAM->Endo,0.5102852470710505,0.7673681660200302,218,181,-37
EMT->TIL,0.5127726275753575,0.77333104915383,180,188,8
EMT->DC,0.5176157324712642,0.7534355087568952,167,194,27
TIL->DC,0.5199957174114006,0.7750222279277942,173,194,21
Endo->TAM,0.5230243365991853,0.8106408638683072,195.5,181,-14.5
DC->TAM,0.5685227805587372,0.8251045491610676,187.5,183,-4.5
ETC->TAM,0.7003654928526901,0.8461456202196561,180,188,8
ETC->Endo,0.716828218547773,0.972885600989147,171.5,194,22.5
TIL->CAF,0.7535337775966403,0.834403783023368,180,188,8
TAM->TIL,0.7961434821434545,0.8249873169036535,167,194,27
CAF->TIL,0.7961434821434545,0.8249873169036535,167,194,27
ETC->TIL,0.7961434821434545,0.8249873169036535,167,194,27
Endo->DC,0.8242672846225564,0.8332670640289985,171.5,194,22.5
DC->DC,0.845837504382429,0.8523468426063289,189,183,-6
ETC->DC,0.8463463491659543,0.988234693778881,180,188,8
CAF->EMT,0.8680770863243215,0.9232530326580649,180,188,8
TAM->EMT,0.8680770863243215,0.9232530326580649,180,188,8
EMT->EMT,0.8680770863243215,0.9232530326580649,180,188,8
ETC->EMT,0.8680770863243215,0.9232530326580649,180,188,8
Endo->EMT,0.8710749910009526,0.9224666637762788,180,188,8
DC->EMT,0.8710749910009526,0.9224666637762788,180,188,8
TIL->EMT,0.8710749910009526,0.9224666637762788,180,188,8
Endo->TIL,0.8925822724082417,0.9193507400337869,167,194,27
TAM->DC,0.8925987691527645,0.8644788750699058,180,188,8
DC->TIL,0.906309648752805,0.8825255950926612,189,183,-6
Endo->Endo,0.9093807564341193,1.1387881235842183,164,194,30
TIL->TIL,0.9310654367839519,0.9067650040780926,167,194,27
TAM->TAM,0.9455901940946778,0.9380163209105851,195.5,181,-14.5
CAF->DC,0.9662326502035429,0.9077297854087306,189,183,-6
