"","sampleid","types"
"cell_223","P03","EMT"
"cell_224","P03","EMT"
"cell_225","P03","EMT"
"cell_226","P03","CAF"
"cell_227","P03","EMT"
"cell_228","P03","EMT"
"cell_229","P03","EMT"
"cell_230","P03","CAF"
"cell_231","P03","EMT"
"cell_232","P03","EMT"
"cell_233","P03","EMT"
"cell_234","P03","EMT"
"cell_235","P03","EMT"
"cell_236","P03","EMT"
"cell_237","P03","EMT"
"cell_238","P03","EMT"
"cell_239","P03","EMT"
"cell_240","P03","CAF"
"cell_241","P03","CAF"
"cell_242","P03","EMT"
"cell_243","P03","EMT"
"cell_244","P03","EMT"
"cell_245","P03","EMT"
"cell_246","P03","EMT"
"cell_247","P03","EMT"
"cell_248","P03","EMT"
"cell_249","P03","EMT"
"cell_250","P03","EMT"
"cell_251","P03","EMT"
"cell_252","P03","EMT"
"cell_253","P03","EMT"
"cell_254","P03","EMT"
"cell_255","P03","CAF"
"cell_256","P03","EMT"
"cell_257","P03","EMT"
"cell_258","P03","EMT"
"cell_259","P03","EMT"
"cell_260","P03","TAM"
"cell_261","P03","TAM"
"cell_262","P03","EMT"
"cell_263","P03","EMT"
"cell_264","P03","EMT"
"cell_265","P03","EMT"
"cell_266","P03","EMT"
"cell_267","P03","EMT"
"cell_268","P03","Endo"
"cell_269","P03","EMT"
"cell_270","P03","EMT"
"cell_271","P03","EMT"
"cell_272","P03","EMT"
"cell_273","P03","EMT"
"cell_274","P03","EMT"
"cell_275","P03","EMT"
"cell_276","P03","EMT"
"cell_277","P03","EMT"
"cell_278","P03","CAF"
"cell_279","P03","EMT"
"cell_280","P03","EMT"
"cell_281","P03","EMT"
"cell_282","P03","EMT"
"cell_283","P03","CAF"
"cell_284","P03","EMT"
"cell_285","P03","EMT"
"cell_286","P03","EMT"
"cell_287","P03","EMT"
"cell_288","P03","EMT"
"cell_289","P03","CAF"
"cell_290","P03","EMT"
"cell_291","P03","EMT"
"cell_292","P03","EMT"
"cell_293","P03","EMT"
"cell_294","P03","EMT"
"cell_295","P03","EMT"
"cell_296","P03","EMT"
"cell_297","P03","EMT"
"cell_298","P03","CAF"
"cell_299","P03","EMT"
"cell_300","P03","CAF"
"cell_301","P03","EMT"
"cell_302","P03","EMT"
"cell_303","P03","EMT"
"cell_304","P03","EMT"
"cell_305","P03","EMT"
"cell_306","P03","EMT"
"cell_307","P03","EMT"
"cell_308","P03","EMT"
"cell_309","P03","EMT"
"cell_310","P03","EMT"
"cell_311","P03","EMT"
"cell_312","P03","EMT"
"cell_313","P03","EMT"
"cell_314","P03","EMT"
"cell_315","P03","CAF"
"cell_316","P03","EMT"
"cell_317","P03","EMT"
"cell_318","P03","EMT"
"cell_319","P03","EMT"
"cell_320","P03","EMT"
"cell_321","P03","EMT"
"cell_322","P03","EMT"
"cell_323","P03","CAF"
"cell_324","P03","EMT"
"cell_325","P03","EMT"
"cell_326","P03","EMT"
"cell_327","P03","EMT"
"cell_328","P03","EMT"
"cell_329","P03","EMT"
"cell_330","P03","EMT"
"cell_331","P03","EMT"
"cell_332","P03","EMT"
"cell_333","P03","EMT"
"cell_334","P03","CAF"
"cell_335","P03","EMT"
"cell_336","P03","EMT"
"cell_337","P03","EMT"
"cell_338","P03","EMT"
"cell_339","P03","CAF"
"cell_340","P03","EMT"
"cell_341","P03","CAF"
"cell_342","P03","EMT"
"cell_343","P03","EMT"
"cell_344","P03","EMT"
"cell_345","P03","EMT"
"cell_346","P03","EMT"
"cell_347","P03","EMT"
"cell_348","P03","EMT"
"cell_349","P03","EMT"
"cell_350","P03","EMT"
"cell_351","P03","EMT"
"cell_352","P03","EMT"
"cell_353","P03","EMT"
"cell_354","P03","EMT"
"cell_355","P03","Endo"
"cell_356","P03","EMT"
"cell_357","P03","ETC"
"cell_358","P03","EMT"
"cell_359","P03","EMT"
"cell_360","P03","EMT"
"cell_361","P03","CAF"
"cell_362","P03","EMT"
"cell_363","P03","CAF"
"cell_364","P03","DC"
"cell_365","P03","EMT"
"cell_366","P03","EMT"
"cell_367","P03","EMT"
"cell_368","P03","EMT"
"cell_369","P03","EMT"
"cell_370","P03","CAF"
"cell_371","P03","EMT"
"cell_372","P03","EMT"
"cell_373","P03","Endo"
"cell_374","P03","EMT"
"cell_375","P03","EMT"
"cell_376","P03","EMT"
"cell_377","P03","EMT"
"cell_378","P03","Endo"
"cell_379","P03","EMT"
"cell_380","P03","EMT"
"cell_381","P03","EMT"
"cell_382","P03","EMT"
"cell_383","P03","EMT"
"cell_384","P03","EMT"
"cell_385","P03","EMT"
"cell_386","P03","EMT"
"cell_387","P03","EMT"
