"","sampleid","types"
"cell_2055","P06","ETC"
"cell_2056","P06","ETC"
"cell_2057","P06","ETC"
"cell_2058","P06","Endo"
"cell_2059","P06","ETC"
"cell_2060","P06","CAF"
"cell_2061","P06","ETC"
"cell_2062","P06","ETC"
"cell_2063","P06","ETC"
"cell_2064","P06","DC"
"cell_2065","P06","ETC"
"cell_2066","P06","CAF"
"cell_2067","P06","Endo"
"cell_2068","P06","CAF"
"cell_2069","P06","ETC"
"cell_2070","P06","CAF"
"cell_2071","P06","ETC"
"cell_2072","P06","ETC"
"cell_2073","P06","CAF"
"cell_2074","P06","ETC"
"cell_2075","P06","ETC"
"cell_2076","P06","CAF"
"cell_2077","P06","ETC"
"cell_2078","P06","ETC"
"cell_2079","P06","ETC"
"cell_2080","P06","ETC"
"cell_2081","P06","ETC"
"cell_2082","P06","CAF"
"cell_2083","P06","ETC"
"cell_2084","P06","DC"
"cell_2085","P06","CAF"
"cell_2086","P06","CAF"
"cell_2087","P06","ETC"
"cell_2088","P06","DC"
"cell_2089","P06","CAF"
"cell_2090","P06","ETC"
"cell_2091","P06","ETC"
"cell_2092","P06","CAF"
"cell_2093","P06","ETC"
"cell_2094","P06","DC"
"cell_2095","P06","ETC"
"cell_2096","P06","CAF"
"cell_2097","P06","ETC"
"cell_2098","P06","ETC"
"cell_2099","P06","CAF"
"cell_2100","P06","CAF"
"cell_2101","P06","ETC"
"cell_2102","P06","CAF"
"cell_2103","P06","Endo"
"cell_2104","P06","CAF"
"cell_2105","P06","ETC"
"cell_2106","P06","CAF"
"cell_2107","P06","ETC"
"cell_2108","P06","ETC"
"cell_2109","P06","CAF"
"cell_2110","P06","ETC"
"cell_2111","P06","CAF"
"cell_2112","P06","ETC"
"cell_2113","P06","CAF"
"cell_2114","P06","ETC"
"cell_2115","P06","CAF"
"cell_2116","P06","ETC"
"cell_2117","P06","ETC"
"cell_2118","P06","CAF"
"cell_2119","P06","CAF"
"cell_2120","P06","DC"
"cell_2121","P06","DC"
"cell_2122","P06","ETC"
"cell_2123","P06","ETC"
"cell_2124","P06","ETC"
"cell_2125","P06","ETC"
"cell_2126","P06","CAF"
"cell_2127","P06","ETC"
"cell_2128","P06","ETC"
"cell_2129","P06","ETC"
"cell_2130","P06","ETC"
"cell_2131","P06","ETC"
"cell_2132","P06","ETC"
"cell_2133","P06","ETC"
"cell_2134","P06","TAM"
"cell_2135","P06","CAF"
"cell_2136","P06","DC"
"cell_2137","P06","CAF"
"cell_2138","P06","CAF"
"cell_2139","P06","CAF"
"cell_2140","P06","CAF"
"cell_2141","P06","ETC"
"cell_2142","P06","CAF"
"cell_2143","P06","DC"
"cell_2144","P06","ETC"
"cell_2145","P06","ETC"
"cell_2146","P06","ETC"
"cell_2147","P06","ETC"
"cell_2148","P06","ETC"
"cell_2149","P06","ETC"
"cell_2150","P06","CAF"
"cell_2151","P06","ETC"
"cell_2152","P06","CAF"
"cell_2153","P06","CAF"
"cell_2154","P06","ETC"
"cell_2155","P06","CAF"
"cell_2156","P06","CAF"
"cell_2157","P06","ETC"
"cell_2158","P06","ETC"
"cell_2159","P06","CAF"
"cell_2160","P06","ETC"
"cell_2161","P06","TIL"
"cell_2162","P06","CAF"
"cell_2163","P06","ETC"
"cell_2164","P06","TAM"
"cell_2165","P06","ETC"
"cell_2166","P06","CAF"
"cell_2167","P06","CAF"
"cell_2168","P06","CAF"
"cell_2169","P06","ETC"
"cell_2170","P06","ETC"
"cell_2171","P06","CAF"
"cell_2172","P06","CAF"
"cell_2173","P06","ETC"
"cell_2174","P06","ETC"
"cell_2175","P06","CAF"
"cell_2176","P06","CAF"
"cell_2177","P06","CAF"
"cell_2178","P06","ETC"
"cell_2179","P06","CAF"
"cell_2180","P06","ETC"
"cell_2181","P06","ETC"
"cell_2182","P06","CAF"
"cell_2183","P06","ETC"
"cell_2184","P06","CAF"
"cell_2185","P06","ETC"
"cell_2186","P06","DC"
"cell_2187","P06","ETC"
"cell_2188","P06","CAF"
"cell_2189","P06","ETC"
"cell_2190","P06","CAF"
"cell_2191","P06","CAF"
"cell_2192","P06","CAF"
"cell_2193","P06","ETC"
"cell_2194","P06","TAM"
"cell_2195","P06","ETC"
"cell_2196","P06","CAF"
"cell_2197","P06","ETC"
"cell_2198","P06","ETC"
"cell_2199","P06","CAF"
"cell_2200","P06","ETC"
"cell_2201","P06","ETC"
"cell_2202","P06","CAF"
"cell_2203","P06","ETC"
"cell_2204","P06","CAF"
"cell_2205","P06","Endo"
"cell_2206","P06","CAF"
"cell_2207","P06","CAF"
"cell_2208","P06","Endo"
"cell_2209","P06","ETC"
"cell_2210","P06","ETC"
"cell_2211","P06","CAF"
"cell_2212","P06","DC"
"cell_2213","P06","ETC"
"cell_2214","P06","CAF"
"cell_2215","P06","ETC"
"cell_2216","P06","CAF"
"cell_2217","P06","CAF"
"cell_2218","P06","CAF"
"cell_2219","P06","CAF"
"cell_2220","P06","ETC"
"cell_2221","P06","TAM"
"cell_2222","P06","CAF"
"cell_2223","P06","ETC"
"cell_2224","P06","ETC"
"cell_2225","P06","ETC"
"cell_2226","P06","ETC"
"cell_2227","P06","CAF"
"cell_2228","P06","ETC"
"cell_2229","P06","CAF"
"cell_2230","P06","ETC"
"cell_2231","P06","ETC"
"cell_2232","P06","CAF"
"cell_2233","P06","ETC"
"cell_2234","P06","CAF"
"cell_2235","P06","ETC"
"cell_2236","P06","ETC"
"cell_2237","P06","ETC"
"cell_2238","P06","ETC"
"cell_2239","P06","CAF"
"cell_2240","P06","CAF"
"cell_2241","P06","ETC"
"cell_2242","P06","DC"
"cell_2243","P06","ETC"
"cell_2244","P06","ETC"
"cell_2245","P06","ETC"
"cell_2246","P06","ETC"
"cell_2247","P06","ETC"
"cell_2248","P06","CAF"
"cell_2249","P06","ETC"
"cell_2250","P06","ETC"
"cell_2251","P06","ETC"
"cell_2252","P06","ETC"
"cell_2253","P06","ETC"
"cell_2254","P06","DC"
"cell_2255","P06","TAM"
"cell_2256","P06","ETC"
"cell_2257","P06","CAF"
"cell_2258","P06","CAF"
"cell_2259","P06","CAF"
"cell_2260","P06","TAM"
"cell_2261","P06","ETC"
"cell_2262","P06","ETC"
"cell_2263","P06","ETC"
"cell_2264","P06","ETC"
"cell_2265","P06","TAM"
"cell_2266","P06","CAF"
"cell_2267","P06","CAF"
"cell_2268","P06","ETC"
"cell_2269","P06","Endo"
"cell_2270","P06","CAF"
"cell_2271","P06","CAF"
"cell_2272","P06","TAM"
"cell_2273","P06","CAF"
"cell_2274","P06","DC"
"cell_2275","P06","TAM"
"cell_2276","P06","ETC"
"cell_2277","P06","ETC"
"cell_2278","P06","ETC"
"cell_2279","P06","ETC"
"cell_2280","P06","ETC"
"cell_2281","P06","CAF"
"cell_2282","P06","ETC"
"cell_2283","P06","ETC"
"cell_2284","P06","ETC"
"cell_2285","P06","TAM"
"cell_2286","P06","Endo"
"cell_2287","P06","CAF"
"cell_2288","P06","ETC"
"cell_2289","P06","CAF"
"cell_2290","P06","ETC"
"cell_2291","P06","CAF"
"cell_2292","P06","TAM"
"cell_2293","P06","ETC"
"cell_2294","P06","ETC"
"cell_2295","P06","CAF"
"cell_2296","P06","ETC"
"cell_2297","P06","ETC"
"cell_2298","P06","CAF"
"cell_2299","P06","ETC"
"cell_2300","P06","ETC"
"cell_2301","P06","CAF"
"cell_2302","P06","Endo"
"cell_2303","P06","ETC"
"cell_2304","P06","CAF"
"cell_2305","P06","CAF"
"cell_2306","P06","CAF"
"cell_2307","P06","TIL"
"cell_2308","P06","CAF"
"cell_2309","P06","ETC"
"cell_2310","P06","CAF"
"cell_2311","P06","CAF"
"cell_2312","P06","ETC"
"cell_2313","P06","ETC"
"cell_2314","P06","CAF"
"cell_2315","P06","TAM"
"cell_2316","P06","ETC"
"cell_2317","P06","CAF"
"cell_2318","P06","ETC"
"cell_2319","P06","CAF"
"cell_2320","P06","ETC"
"cell_2321","P06","ETC"
"cell_2322","P06","ETC"
"cell_2323","P06","CAF"
"cell_2324","P06","ETC"
"cell_2325","P06","ETC"
"cell_2326","P06","ETC"
"cell_2327","P06","ETC"
"cell_2328","P06","CAF"
"cell_2329","P06","ETC"
"cell_2330","P06","TAM"
"cell_2331","P06","CAF"
"cell_2332","P06","ETC"
"cell_2333","P06","CAF"
"cell_2334","P06","CAF"
"cell_2335","P06","CAF"
"cell_2336","P06","CAF"
"cell_2337","P06","ETC"
"cell_2338","P06","ETC"
"cell_2339","P06","CAF"
"cell_2340","P06","CAF"
"cell_2341","P06","ETC"
"cell_2342","P06","ETC"
"cell_2343","P06","CAF"
"cell_2344","P06","ETC"
"cell_2345","P06","CAF"
"cell_2346","P06","CAF"
"cell_2347","P06","ETC"
"cell_2348","P06","ETC"
"cell_2349","P06","TAM"
"cell_2350","P06","CAF"
"cell_2351","P06","ETC"
"cell_2352","P06","ETC"
"cell_2353","P06","CAF"
"cell_2354","P06","ETC"
"cell_2355","P06","CAF"
"cell_2356","P06","ETC"
"cell_2357","P06","ETC"
"cell_2358","P06","CAF"
"cell_2359","P06","CAF"
"cell_2360","P06","CAF"
"cell_2361","P06","ETC"
"cell_2362","P06","DC"
"cell_2363","P06","CAF"
"cell_2364","P06","ETC"
"cell_2365","P06","CAF"
"cell_2366","P06","ETC"
"cell_2367","P06","TAM"
"cell_2368","P06","ETC"
"cell_2369","P06","ETC"
"cell_2370","P06","ETC"
"cell_2371","P06","TAM"
"cell_2372","P06","CAF"
"cell_2373","P06","ETC"
"cell_2374","P06","CAF"
"cell_2375","P06","CAF"
"cell_2376","P06","CAF"
"cell_2377","P06","ETC"
"cell_2378","P06","ETC"
"cell_2379","P06","ETC"
"cell_2380","P06","ETC"
"cell_2381","P06","Endo"
"cell_2382","P06","ETC"
"cell_2383","P06","CAF"
"cell_2384","P06","ETC"
"cell_2385","P06","Endo"
"cell_2386","P06","DC"
"cell_2387","P06","ETC"
"cell_2388","P06","Endo"
"cell_2389","P06","ETC"
"cell_2390","P06","ETC"
"cell_2391","P06","ETC"
"cell_2392","P06","CAF"
"cell_2393","P06","ETC"
"cell_2394","P06","ETC"
"cell_2395","P06","ETC"
"cell_2396","P06","CAF"
"cell_2397","P06","ETC"
"cell_2398","P06","ETC"
"cell_2399","P06","ETC"
"cell_2400","P06","ETC"
"cell_2401","P06","ETC"
"cell_2402","P06","ETC"
"cell_2403","P06","DC"
"cell_2404","P06","CAF"
"cell_2405","P06","CAF"
"cell_2406","P06","Endo"
"cell_2407","P06","CAF"
"cell_2408","P06","ETC"
"cell_2409","P06","ETC"
"cell_2410","P06","ETC"
"cell_2411","P06","ETC"
"cell_2412","P06","ETC"
"cell_2413","P06","ETC"
"cell_2414","P06","CAF"
"cell_2415","P06","ETC"
"cell_2416","P06","DC"
"cell_2417","P06","CAF"
"cell_2418","P06","CAF"
"cell_2419","P06","DC"
"cell_2420","P06","ETC"
"cell_2421","P06","ETC"
"cell_2422","P06","ETC"
"cell_2423","P06","CAF"
"cell_2424","P06","CAF"
"cell_2425","P06","TAM"
"cell_2426","P06","CAF"
"cell_2427","P06","ETC"
"cell_2428","P06","CAF"
"cell_2429","P06","CAF"
"cell_2430","P06","CAF"
"cell_2431","P06","ETC"
"cell_2432","P06","ETC"
"cell_2433","P06","ETC"
"cell_2434","P06","CAF"
"cell_2435","P06","CAF"
"cell_2436","P06","ETC"
"cell_2437","P06","ETC"
"cell_2438","P06","ETC"
"cell_2439","P06","ETC"
"cell_2440","P06","ETC"
"cell_2441","P06","CAF"
"cell_2442","P06","ETC"
"cell_2443","P06","CAF"
"cell_2444","P06","ETC"
"cell_2445","P06","ETC"
"cell_2446","P06","CAF"
"cell_2447","P06","CAF"
"cell_2448","P06","ETC"
"cell_2449","P06","CAF"
"cell_2450","P06","CAF"
"cell_2451","P06","ETC"
"cell_2452","P06","ETC"
"cell_2453","P06","ETC"
"cell_2454","P06","CAF"
"cell_2455","P06","ETC"
"cell_2456","P06","ETC"
"cell_2457","P06","ETC"
"cell_2458","P06","ETC"
"cell_2459","P06","CAF"
"cell_2460","P06","ETC"
"cell_2461","P06","CAF"
"cell_2462","P06","DC"
"cell_2463","P06","ETC"
"cell_2464","P06","ETC"
"cell_2465","P06","CAF"
"cell_2466","P06","CAF"
"cell_2467","P06","CAF"
"cell_2468","P06","ETC"
"cell_2469","P06","ETC"
"cell_2470","P06","ETC"
"cell_2471","P06","ETC"
"cell_2472","P06","CAF"
"cell_2473","P06","ETC"
"cell_2474","P06","CAF"
"cell_2475","P06","ETC"
"cell_2476","P06","ETC"
"cell_2477","P06","ETC"
"cell_2478","P06","ETC"
"cell_2479","P06","ETC"
"cell_2480","P06","ETC"
"cell_2481","P06","CAF"
"cell_2482","P06","ETC"
"cell_2483","P06","ETC"
"cell_2484","P06","ETC"
"cell_2485","P06","ETC"
"cell_2486","P06","ETC"
"cell_2487","P06","ETC"
"cell_2488","P06","ETC"
"cell_2489","P06","ETC"
"cell_2490","P06","CAF"
"cell_2491","P06","DC"
"cell_2492","P06","CAF"
"cell_2493","P06","ETC"
"cell_2494","P06","ETC"
"cell_2495","P06","ETC"
"cell_2496","P06","CAF"
"cell_2497","P06","ETC"
"cell_2498","P06","Endo"
"cell_2499","P06","ETC"
"cell_2500","P06","ETC"
"cell_2501","P06","ETC"
"cell_2502","P06","ETC"
"cell_2503","P06","CAF"
"cell_2504","P06","ETC"
"cell_2505","P06","ETC"
"cell_2506","P06","CAF"
"cell_2507","P06","ETC"
"cell_2508","P06","CAF"
"cell_2509","P06","ETC"
"cell_2510","P06","ETC"
"cell_2511","P06","TAM"
"cell_2512","P06","ETC"
"cell_2513","P06","ETC"
"cell_2514","P06","ETC"
"cell_2515","P06","CAF"
"cell_2516","P06","CAF"
"cell_2517","P06","ETC"
"cell_2518","P06","CAF"
"cell_2519","P06","TAM"
"cell_2520","P06","ETC"
"cell_2521","P06","CAF"
"cell_2522","P06","DC"
"cell_2523","P06","ETC"
"cell_2524","P06","CAF"
"cell_2525","P06","Endo"
"cell_2526","P06","ETC"
"cell_2527","P06","ETC"
"cell_2528","P06","ETC"
"cell_2529","P06","ETC"
"cell_2530","P06","ETC"
"cell_2531","P06","Endo"
"cell_2532","P06","ETC"
"cell_2533","P06","ETC"
"cell_2534","P06","ETC"
"cell_2535","P06","Endo"
"cell_2536","P06","ETC"
"cell_2537","P06","ETC"
"cell_2538","P06","ETC"
"cell_2539","P06","TAM"
"cell_2540","P06","CAF"
"cell_2541","P06","CAF"
"cell_2542","P06","CAF"
"cell_2543","P06","CAF"
"cell_2544","P06","ETC"
"cell_2545","P06","CAF"
"cell_2546","P06","ETC"
"cell_2547","P06","CAF"
"cell_2548","P06","ETC"
"cell_2549","P06","CAF"
"cell_2550","P06","ETC"
"cell_2551","P06","ETC"
"cell_2552","P06","ETC"
"cell_2553","P06","TAM"
"cell_2554","P06","ETC"
"cell_2555","P06","ETC"
"cell_2556","P06","ETC"
"cell_2557","P06","CAF"
"cell_2558","P06","CAF"
"cell_2559","P06","ETC"
"cell_2560","P06","Endo"
"cell_2561","P06","ETC"
"cell_2562","P06","CAF"
"cell_2563","P06","ETC"
"cell_2564","P06","ETC"
"cell_2565","P06","CAF"
"cell_2566","P06","CAF"
"cell_2567","P06","ETC"
"cell_2568","P06","CAF"
"cell_2569","P06","Endo"
"cell_2570","P06","CAF"
"cell_2571","P06","CAF"
"cell_2572","P06","ETC"
"cell_2573","P06","CAF"
"cell_2574","P06","CAF"
"cell_2575","P06","ETC"
"cell_2576","P06","ETC"
"cell_2577","P06","CAF"
"cell_2578","P06","ETC"
"cell_2579","P06","ETC"
"cell_2580","P06","CAF"
"cell_2581","P06","ETC"
"cell_2582","P06","CAF"
"cell_2583","P06","ETC"
"cell_2584","P06","ETC"
"cell_2585","P06","CAF"
"cell_2586","P06","ETC"
"cell_2587","P06","ETC"
"cell_2588","P06","ETC"
"cell_2589","P06","ETC"
"cell_2590","P06","ETC"
"cell_2591","P06","ETC"
"cell_2592","P06","CAF"
"cell_2593","P06","CAF"
"cell_2594","P06","CAF"
"cell_2595","P06","ETC"
"cell_2596","P06","ETC"
"cell_2597","P06","CAF"
"cell_2598","P06","DC"
"cell_2599","P06","ETC"
"cell_2600","P06","ETC"
"cell_2601","P06","ETC"
"cell_2602","P06","CAF"
"cell_2603","P06","CAF"
"cell_2604","P06","ETC"
"cell_2605","P06","CAF"
"cell_2606","P06","ETC"
"cell_2607","P06","CAF"
"cell_2608","P06","CAF"
"cell_2609","P06","TIL"
"cell_2610","P06","ETC"
"cell_2611","P06","ETC"
"cell_2612","P06","TAM"
"cell_2613","P06","DC"
"cell_2614","P06","ETC"
"cell_2615","P06","ETC"
"cell_2616","P06","CAF"
"cell_2617","P06","ETC"
"cell_2618","P06","ETC"
"cell_2619","P06","ETC"
"cell_2620","P06","CAF"
"cell_2621","P06","ETC"
"cell_2622","P06","ETC"
"cell_2623","P06","Endo"
"cell_2624","P06","TAM"
"cell_2625","P06","CAF"
"cell_2626","P06","CAF"
"cell_2627","P06","ETC"
"cell_2628","P06","ETC"
"cell_2629","P06","CAF"
"cell_2630","P06","CAF"
"cell_2631","P06","CAF"
"cell_2632","P06","ETC"
"cell_2633","P06","CAF"
"cell_2634","P06","ETC"
"cell_2635","P06","ETC"
"cell_2636","P06","ETC"
"cell_2637","P06","ETC"
"cell_2638","P06","ETC"
"cell_2639","P06","ETC"
"cell_2640","P06","ETC"
"cell_2641","P06","CAF"
"cell_2642","P06","CAF"
"cell_2643","P06","CAF"
"cell_2644","P06","CAF"
"cell_2645","P06","CAF"
"cell_2646","P06","ETC"
"cell_2647","P06","ETC"
"cell_2648","P06","ETC"
"cell_2649","P06","CAF"
"cell_2650","P06","CAF"
"cell_2651","P06","ETC"
"cell_2652","P06","CAF"
"cell_2653","P06","CAF"
"cell_2654","P06","ETC"
"cell_2655","P06","CAF"
"cell_2656","P06","ETC"
"cell_2657","P06","ETC"
"cell_2658","P06","ETC"
"cell_2659","P06","CAF"
"cell_2660","P06","ETC"
"cell_2661","P06","CAF"
"cell_2662","P06","ETC"
"cell_2663","P06","Endo"
"cell_2664","P06","CAF"
"cell_2665","P06","CAF"
"cell_2666","P06","CAF"
"cell_2667","P06","CAF"
"cell_2668","P06","CAF"
"cell_2669","P06","ETC"
"cell_2670","P06","CAF"
"cell_2671","P06","TAM"
"cell_2672","P06","CAF"
"cell_2673","P06","CAF"
"cell_2674","P06","CAF"
"cell_2675","P06","ETC"
"cell_2676","P06","ETC"
"cell_2677","P06","ETC"
"cell_2678","P06","ETC"
"cell_2679","P06","ETC"
"cell_2680","P06","CAF"
"cell_2681","P06","ETC"
"cell_2682","P06","ETC"
"cell_2683","P06","CAF"
"cell_2684","P06","ETC"
"cell_2685","P06","CAF"
"cell_2686","P06","CAF"
"cell_2687","P06","ETC"
"cell_2688","P06","ETC"
"cell_2689","P06","CAF"
"cell_2690","P06","ETC"
"cell_2691","P06","ETC"
"cell_2692","P06","ETC"
"cell_2693","P06","DC"
"cell_2694","P06","CAF"
"cell_2695","P06","ETC"
"cell_2696","P06","DC"
"cell_2697","P06","ETC"
"cell_2698","P06","CAF"
"cell_2699","P06","ETC"
"cell_2700","P06","CAF"
"cell_2701","P06","ETC"
"cell_2702","P06","ETC"
"cell_2703","P06","CAF"
"cell_2704","P06","ETC"
"cell_2705","P06","ETC"
"cell_2706","P06","ETC"
"cell_2707","P06","TAM"
"cell_2708","P06","ETC"
"cell_2709","P06","ETC"
"cell_2710","P06","ETC"
"cell_2711","P06","ETC"
"cell_2712","P06","CAF"
"cell_2713","P06","ETC"
"cell_2714","P06","ETC"
"cell_2715","P06","ETC"
"cell_2716","P06","ETC"
"cell_2717","P06","ETC"
"cell_2718","P06","ETC"
"cell_2719","P06","ETC"
"cell_2720","P06","TAM"
"cell_2721","P06","ETC"
"cell_2722","P06","ETC"
"cell_2723","P06","CAF"
"cell_2724","P06","ETC"
"cell_2725","P06","ETC"
"cell_2726","P06","ETC"
"cell_2727","P06","ETC"
"cell_2728","P06","CAF"
"cell_2729","P06","ETC"
"cell_2730","P06","ETC"
"cell_2731","P06","CAF"
"cell_2732","P06","CAF"
"cell_2733","P06","ETC"
"cell_2734","P06","ETC"
"cell_2735","P06","ETC"
"cell_2736","P06","CAF"
"cell_2737","P06","ETC"
"cell_2738","P06","Endo"
"cell_2739","P06","ETC"
"cell_2740","P06","ETC"
"cell_2741","P06","ETC"
"cell_2742","P06","ETC"
"cell_2743","P06","CAF"
"cell_2744","P06","ETC"
"cell_2745","P06","ETC"
"cell_2746","P06","DC"
"cell_2747","P06","CAF"
"cell_2748","P06","TAM"
"cell_2749","P06","ETC"
"cell_2750","P06","ETC"
"cell_2751","P06","ETC"
"cell_2752","P06","ETC"
"cell_2753","P06","ETC"
"cell_2754","P06","DC"
"cell_2755","P06","CAF"
"cell_2756","P06","ETC"
"cell_2757","P06","ETC"
"cell_2758","P06","CAF"
"cell_2759","P06","DC"
"cell_2760","P06","ETC"
"cell_2761","P06","CAF"
"cell_2762","P06","CAF"
"cell_2763","P06","ETC"
"cell_2764","P06","CAF"
"cell_2765","P06","ETC"
"cell_2766","P06","ETC"
"cell_2767","P06","CAF"
"cell_2768","P07","TAM"
"cell_2769","P07","CAF"
"cell_2770","P07","TAM"
"cell_2771","P07","TAM"
"cell_2772","P07","TAM"
"cell_2773","P07","TAM"
"cell_2774","P07","TIL"
"cell_2775","P07","TAM"
"cell_2776","P07","TAM"
"cell_2777","P07","ETC"
"cell_2778","P07","ETC"
"cell_2779","P07","TIL"
"cell_2780","P07","TAM"
"cell_2781","P07","ETC"
"cell_2782","P07","TIL"
"cell_2783","P07","TAM"
"cell_2784","P07","TAM"
"cell_2785","P07","CAF"
"cell_2786","P07","ETC"
"cell_2787","P07","TAM"
"cell_2788","P07","CAF"
"cell_2789","P07","TIL"
"cell_2790","P07","TIL"
"cell_2791","P07","TAM"
"cell_2792","P07","DC"
"cell_2793","P07","TAM"
"cell_2794","P07","TAM"
"cell_2795","P07","CAF"
"cell_2796","P07","CAF"
"cell_2797","P07","ETC"
"cell_2798","P07","TAM"
"cell_2799","P07","TAM"
"cell_2800","P07","CAF"
"cell_2801","P07","TAM"
"cell_2802","P07","CAF"
"cell_2803","P07","CAF"
"cell_2804","P07","TAM"
"cell_2805","P07","ETC"
"cell_2806","P07","CAF"
"cell_2807","P07","TAM"
"cell_2808","P07","TAM"
"cell_2809","P07","ETC"
"cell_2810","P07","ETC"
"cell_2811","P07","TAM"
"cell_2812","P07","ETC"
"cell_2813","P07","TAM"
"cell_2814","P07","TAM"
"cell_2815","P07","TAM"
"cell_2816","P07","TAM"
"cell_2817","P07","CAF"
"cell_2818","P07","TAM"
"cell_2819","P07","ETC"
"cell_2820","P07","TAM"
"cell_2821","P07","TAM"
"cell_2822","P07","TAM"
"cell_2823","P07","CAF"
"cell_2824","P07","CAF"
"cell_2825","P07","Endo"
"cell_2826","P07","TAM"
"cell_2827","P07","TAM"
"cell_2828","P07","TAM"
"cell_2829","P07","TAM"
"cell_2830","P07","TAM"
"cell_2831","P07","TAM"
"cell_2832","P07","ETC"
"cell_2833","P07","TAM"
"cell_2834","P07","TAM"
"cell_2835","P07","TAM"
"cell_2836","P07","TAM"
"cell_2837","P07","CAF"
"cell_2838","P07","ETC"
"cell_2839","P07","CAF"
"cell_2840","P07","TAM"
"cell_2841","P07","CAF"
"cell_2842","P07","TAM"
"cell_2843","P07","TAM"
"cell_2844","P07","ETC"
"cell_2845","P07","DC"
"cell_2846","P07","TAM"
"cell_2847","P07","TAM"
"cell_2848","P07","CAF"
"cell_2849","P07","TAM"
"cell_2850","P07","CAF"
"cell_2851","P07","CAF"
"cell_2852","P07","ETC"
"cell_2853","P07","DC"
"cell_2854","P07","TAM"
"cell_2855","P07","TAM"
"cell_2856","P07","ETC"
"cell_2857","P07","ETC"
"cell_2858","P07","TAM"
"cell_2859","P07","TAM"
"cell_2860","P07","CAF"
"cell_2861","P07","TAM"
"cell_2862","P07","TAM"
"cell_2863","P07","TAM"
"cell_2864","P07","Endo"
"cell_2865","P07","TIL"
"cell_2866","P07","TAM"
"cell_2867","P07","TAM"
"cell_2868","P07","TAM"
"cell_2869","P07","DC"
"cell_2870","P07","TAM"
"cell_2871","P07","TIL"
"cell_2872","P07","TAM"
"cell_2873","P07","TIL"
"cell_2874","P07","DC"
"cell_2875","P07","TAM"
"cell_2876","P07","ETC"
"cell_2877","P07","TAM"
"cell_2878","P07","TIL"
"cell_2879","P07","TAM"
"cell_2880","P07","TAM"
"cell_2881","P07","DC"
"cell_2882","P07","TAM"
"cell_2883","P07","TAM"
"cell_2884","P07","ETC"
"cell_2885","P07","TAM"
"cell_2886","P07","CAF"
"cell_2887","P07","ETC"
"cell_2888","P07","TAM"
"cell_2889","P07","TAM"
"cell_2890","P07","TAM"
"cell_2891","P07","TAM"
"cell_2892","P07","TAM"
"cell_2893","P07","TAM"
"cell_2894","P07","TAM"
"cell_2895","P07","TAM"
"cell_2896","P07","TIL"
"cell_2897","P07","CAF"
"cell_2898","P07","CAF"
"cell_2899","P07","TAM"
"cell_2900","P07","Endo"
"cell_2901","P07","TIL"
"cell_2902","P07","ETC"
"cell_2903","P07","TAM"
"cell_2904","P07","TAM"
"cell_2905","P07","TIL"
"cell_2906","P07","CAF"
"cell_2907","P07","CAF"
"cell_2908","P07","ETC"
"cell_2909","P07","TAM"
"cell_2910","P07","TAM"
"cell_2911","P07","TAM"
"cell_2912","P07","ETC"
"cell_2913","P07","CAF"
"cell_2914","P07","CAF"
"cell_2915","P07","TAM"
"cell_2916","P07","TAM"
"cell_2917","P07","CAF"
"cell_2918","P07","TAM"
"cell_2919","P07","CAF"
"cell_2920","P07","CAF"
"cell_2921","P07","ETC"
"cell_2922","P07","TAM"
"cell_2923","P07","TAM"
"cell_2924","P07","TAM"
"cell_2925","P07","CAF"
"cell_2926","P07","TAM"
"cell_2927","P07","ETC"
"cell_2928","P07","ETC"
"cell_2929","P07","TIL"
"cell_2930","P07","TAM"
"cell_2931","P07","TAM"
"cell_2932","P07","TAM"
"cell_2933","P07","TAM"
"cell_2934","P07","ETC"
"cell_2935","P07","CAF"
"cell_2936","P07","TIL"
"cell_2937","P07","TAM"
"cell_2938","P07","CAF"
"cell_2939","P07","CAF"
"cell_2940","P07","TAM"
"cell_2941","P07","TAM"
"cell_2942","P07","TAM"
"cell_2943","P07","ETC"
"cell_2944","P07","TAM"
"cell_2945","P07","CAF"
"cell_2946","P07","TAM"
"cell_2947","P07","TAM"
"cell_2948","P07","CAF"
"cell_2949","P07","DC"
"cell_2950","P07","ETC"
"cell_2951","P07","TAM"
"cell_2952","P07","ETC"
"cell_2953","P07","TAM"
"cell_2954","P07","TAM"
"cell_2955","P07","ETC"
"cell_2956","P07","TIL"
"cell_2957","P07","CAF"
"cell_2958","P07","TIL"
"cell_2959","P07","TAM"
"cell_2960","P07","ETC"
"cell_2961","P07","TAM"
"cell_2962","P07","TAM"
"cell_2963","P07","Endo"
"cell_2964","P07","ETC"
"cell_2965","P07","TAM"
"cell_2966","P07","TAM"
"cell_2967","P07","TAM"
"cell_2968","P07","CAF"
"cell_2969","P07","TAM"
"cell_2970","P07","TIL"
"cell_2971","P07","ETC"
"cell_2972","P07","DC"
"cell_2973","P07","ETC"
"cell_2974","P07","TAM"
"cell_2975","P07","TAM"
"cell_2976","P07","DC"
"cell_2977","P07","TAM"
"cell_2978","P07","TAM"
"cell_2979","P07","CAF"
"cell_2980","P07","DC"
"cell_2981","P07","TIL"
"cell_2982","P07","CAF"
"cell_2983","P07","TAM"
"cell_2984","P07","ETC"
"cell_2985","P07","TAM"
"cell_2986","P07","ETC"
"cell_2987","P07","ETC"
"cell_2988","P07","TAM"
"cell_2989","P07","CAF"
