LR,cell_type_pair,Ligand-expressing cells,Ligand detection rate,Ligand average expression value,Ligand total expression value,Ligand derived specificity of average expression value,Ligand derived specificity of total expression value,Receptor-expressing cells,Receptor detection rate,Receptor average expression value,Receptor total expression value,Receptor derived specificity of average expression value,Receptor derived specificity of total expression value,Edge average expression weight,Edge average expression derived specificity,Edge total expression weight,Edge total expression derived specificity,Patient
IL20->IL20RB,EMT->EMT,1,0.003344481605351171,0.004241311255970201,1.26815206553509,1,1,15,0.05016722408026756,0.07664848049219826,22.91789566716728,1,1,3.250900630645729e-4,1,29.06337672803588,1,P01
IL26->IL20RB,CAF->EMT,1,0.02857142857142857,0.051834013555572,1.81419047444502,0.1340294050172986,0.2342290706452531,15,0.05016722408026756,0.07664848049219826,22.91789566716728,1,1,0.0039729983768466,0.1340294050172986,41.57742801369967,0.2342290706452531,P01
IL26->IL20RB,EMT->EMT,3,0.01003344481605351,0.01447846080122064,4.32905977956497,0.03743756953478822,0.5589223751411427,15,0.05016722408026756,0.07664848049219826,22.91789566716728,1,1,0.001109752020279417,0.03743756953478822,99.21294036500016,0.5589223751411427,P01
IL26->IL20RB,TIL->EMT,1,0.2,0.320423656784594,1.60211828392297,0.8285330254479133,0.2068485542136042,15,0.05016722408026756,0.07664848049219826,22.91789566716728,1,1,0.02455998640629278,0.8285330254479133,36.71717967740771,0.2068485542136042,P01
IL19->IL20RB,CAF->EMT,1,0.02857142857142857,0.04537218614644601,1.58802651512561,1,1,15,0.05016722408026756,0.07664848049219826,22.91789566716728,1,1,0.003477709124734255,1,36.39422599034398,1,P01
IL24->IL20RB,CAF->EMT,2,0.05714285714285714,0.1134524886658643,3.97083710330525,0.8938925254178168,0.4965094434038628,15,0.05016722408026756,0.07664848049219826,22.91789566716728,1,1,0.008695960864296842,0.8938925254178168,91.00323044486645,0.4965094434038628,P01
IL24->IL20RB,EMT->EMT,3,0.01003344481605351,0.01346711904965515,4.02666859584689,0.1061074745821833,0.5034905565961372,15,0.05016722408026756,0.07664848049219826,22.91789566716728,1,1,0.001032234211763604,0.1061074745821833,92.282770765878,0.5034905565961372,P01
DSC3->DSG3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SEMA4B->DCBLD2,CAF->CAF,2,0.05714285714285714,0.08897507979242684,3.11412779273494,0.09111611951112301,0.02731982568288219,3,0.08571428571428572,0.1585340269039654,5.548690941638789,0.0817947348932334,0.02110747182027363,0.01410557769359507,0.007452818839912478,17.27933267465396,5.766524507362236e-4,P01
SEMA4B->DCBLD2,CAF->EMT,2,0.05714285714285714,0.08897507979242684,3.11412779273494,0.09111611951112301,0.02731982568288219,160,0.5351170568561873,0.8082518777023223,241.6673114329942,0.4170129867682427,0.9193134055591597,0.07191427531094295,0.03799660514006557,752.5828911290176,0.02511548198781303,P01
SEMA4B->DCBLD2,CAF->ETC,2,0.05714285714285714,0.08897507979242684,3.11412779273494,0.09111611951112301,0.02731982568288219,6,0.1578947368421053,0.2554066489153453,9.70545265878312,0.1317756165410144,0.03691998178542638,0.02272482696675919,0.01200688282540299,30.22401986578973,0.001008647466593034,P01
SEMA4B->DCBLD2,CAF->Endo,2,0.05714285714285714,0.08897507979242684,3.11412779273494,0.09111611951112301,0.02731982568288219,2,0.1538461538461539,0.2970732149525269,3.86195179438285,0.1532732457218286,0.01469103965756573,0.02643211300459385,0.01396566337504786,12.0266114170902,4.01356642545005e-4,P01
SEMA4B->DCBLD2,CAF->TIL,2,0.05714285714285714,0.08897507979242684,3.11412779273494,0.09111611951112301,0.02731982568288219,1,0.2,0.418927773089362,2.09463886544681,0.216143416075681,0.007968101177574403,0.03727413203788967,0.01969414933069414,6.522973106630693,2.17687135194901e-4,P01
SEMA4B->DCBLD2,EMT->CAF,58,0.1939799331103679,0.2955849876098403,88.37991129534223,0.3026977567155202,0.7753451146386059,3,0.08571428571428572,0.1585340269039654,5.548690941638789,0.0817947348932334,0.02110747182027363,0.0468602783781467,0.02475908276332244,490.3928132273051,0.0163655751582212,P01
SEMA4B->DCBLD2,EMT->EMT,58,0.1939799331103679,0.2955849876098403,88.37991129534223,0.3026977567155202,0.7753451146386059,160,0.5351170568561873,0.8082518777023223,241.6673114329942,0.4170129867682427,0.9193134055591597,0.2389071212562711,0.126228895615986,21358.53554743187,0.7127851578220739,P01
SEMA4B->DCBLD2,EMT->ETC,58,0.1939799331103679,0.2955849876098403,88.37991129534223,0.3026977567155202,0.7753451146386059,6,0.1578947368421053,0.2554066489153453,9.70545265878312,0.1317756165410144,0.03691998178542638,0.07549437115511316,0.03988818351676966,857.7670450643955,0.02862572750987666,P01
SEMA4B->DCBLD2,EMT->Endo,58,0.1939799331103679,0.2955849876098403,88.37991129534223,0.3026977567155202,0.7753451146386059,2,0.1538461538461539,0.2970732149525269,3.86195179438285,0.1532732457218286,0.01469103965756573,0.08781038256095809,0.04639546764450424,341.318957014444,0.0113906258274556,P01
SEMA4B->DCBLD2,EMT->TIL,58,0.1939799331103679,0.2955849876098403,88.37991129534223,0.3026977567155202,0.7753451146386059,1,0.2,0.418927773089362,2.09463886544681,0.216143416075681,0.007968101177574403,0.1238287606180371,0.06542612717493795,185.1239971239654,0.006178028320978436,P01
SEMA4B->DCBLD2,ETC->CAF,14,0.3684210526315789,0.5919420078596759,22.49379629866768,0.6061861237733567,0.1973350596785119,3,0.08571428571428572,0.1585340269039654,5.548690941638789,0.0817947348932334,0.02110747182027363,0.09384295019961315,0.04958283328999848,124.8111237654855,0.004165244211316203,P01
SEMA4B->DCBLD2,ETC->EMT,14,0.3684210526315789,0.5919420078596759,22.49379629866768,0.6061861237733567,0.1973350596785119,160,0.5351170568561873,0.8082518777023223,241.6673114329942,0.4170129867682427,0.9193134055591597,0.4784382393434659,0.2527874860121911,5436.015275420456,0.1814127657492728,P01
SEMA4B->DCBLD2,ETC->ETC,14,0.3684210526315789,0.5919420078596759,22.49379629866768,0.6061861237733567,0.1973350596785119,6,0.1578947368421053,0.2554066489153453,9.70545265878312,0.1317756165410144,0.03691998178542638,0.1511859245796608,0.07988055019884173,218.3124750930301,0.007285606808956686,P01
SEMA4B->DCBLD2,ETC->Endo,14,0.3684210526315789,0.5919420078596759,22.49379629866768,0.6061861237733567,0.1973350596785119,2,0.1538461538461539,0.2970732149525269,3.86195179438285,0.1532732457218286,0.01469103965756573,0.1758501153403279,0.09291211470227652,86.86995697812196,0.002899057187565117,P01
SEMA4B->DCBLD2,ETC->TIL,14,0.3684210526315789,0.5919420078596759,22.49379629866768,0.6061861237733567,0.1973350596785119,1,0.2,0.418927773089362,2.09463886544681,0.216143416075681,0.007968101177574403,0.2479809471506997,0.1310231395700489,47.11637995863293,0.001572385721401066,P01
SEMA3C->NRP1,EMT->CAF,130,0.4347826086956522,0.6782122967891296,202.7854767399496,0.2782646693413425,0.9299699058379735,12,0.3428571428571429,0.6460060662644375,22.61021231925531,0.4268995357760368,0.2532156959342252,0.4381292579409148,0.1187910581646915,4585.022684351671,0.2354829769046483,P01
SEMA3C->NRP1,EMT->EMT,130,0.4347826086956522,0.6782122967891296,202.7854767399496,0.2782646693413425,0.9299699058379735,36,0.1204013377926421,0.1836768075752013,54.91936546498516,0.1213789590864008,0.6150515152234667,0.1245718695324723,0.03377547591517366,11136.84970807254,0.5719793996978703,P01
SEMA3C->NRP1,EMT->ETC,130,0.4347826086956522,0.6782122967891296,202.7854767399496,0.2782646693413425,0.9299699058379735,3,0.07894736842105263,0.1150536327383989,4.37203804405916,0.07603077582442354,0.04896321362867288,0.07803078851344254,0.02115667869454895,886.5858190897337,0.0455343151677815,P01
SEMA3C->NRP1,EMT->Endo,130,0.4347826086956522,0.6782122967891296,202.7854767399496,0.2782646693413425,0.9299699058379735,4,0.3076923076923077,0.5685142986497055,7.390685882446171,0.3756907293131388,0.08276957521363507,0.385573388244678,0.1045414565669284,1498.723760107062,0.07697321406767327,P01
SEMA3C->NRP1,ETC->CAF,5,0.131578947368421,0.1972445772501105,7.4952939355042,0.08092775275193832,0.0343732594044077,12,0.3428571428571429,0.6460060662644375,22.61021231925531,0.4268995357760368,0.2532156959342252,0.1274211934413358,0.03454802008120036,169.4701872769767,0.008703848801614749,P01
SEMA3C->NRP1,ETC->EMT,5,0.131578947368421,0.1972445772501105,7.4952939355042,0.08092775275193832,0.0343732594044077,36,0.1204013377926421,0.1836768075752013,54.91936546498516,0.1213789590864008,0.6150515152234667,0.03622925426082047,0.00982292639023188,411.6367869114421,0.02114132527985024,P01
SEMA3C->NRP1,ETC->ETC,5,0.131578947368421,0.1972445772501105,7.4952939355042,0.08092775275193832,0.0343732594044077,3,0.07894736842105263,0.1150536327383989,4.37203804405916,0.07603077582442354,0.04896321362867288,0.02269370515057497,0.006152999827456998,32.76971023743026,0.001683025243331803,P01
