LR,cell_type_pair,Edge_average_expression_weight,Patient
TGM2->SDC4,TIL->ETC,0.6785388238625945,P01
ANXA1->DYSF,CAF->EMT,0.02218950187658598,P01
ANXA1->DYSF,CAF->Endo,1.00727131257886,P01
ANXA1->DYSF,DC->EMT,0.03295328336081535,P01
ANXA1->DYSF,DC->Endo,1.495882925594478,P01
ANXA1->DYSF,EMT->EMT,0.02701829616482789,P01
ANXA1->DYSF,EMT->Endo,1.226469832128461,P01
ANXA1->DYSF,ETC->EMT,0.02598898777846782,P01
ANXA1->DYSF,ETC->Endo,1.179745357863838,P01
ANXA1->DYSF,Endo->EMT,0.02226409439232766,P01
ANXA1->DYSF,Endo->Endo,1.010657368816515,P01
ANXA1->DYSF,TAM->EMT,0.03563977030219932,P01
ANXA1->DYSF,TAM->Endo,1.617833442677926,P01
ANXA1->DYSF,TIL->EMT,0.0191785736291472,P01
ANXA1->DYSF,TIL->Endo,0.8705930912854559,P01
IL31->IL31RA,NA,NA,NA
ANXA1->FPR1,CAF->EMT,0.2079579563632522,P01
ANXA1->FPR1,CAF->TAM,2.952472266792093,P01
ANXA1->FPR1,DC->EMT,0.3088351194762689,P01
ANXA1->FPR1,DC->TAM,4.384670542118453,P01
ANXA1->FPR1,EMT->EMT,0.2532129691826673,P01
ANXA1->FPR1,EMT->TAM,3.594977956977143,P01
ANXA1->FPR1,ETC->EMT,0.2435663863217486,P01
ANXA1->FPR1,ETC->TAM,3.458021098657067,P01
ANXA1->FPR1,Endo->EMT,0.2086570305119153,P01
ANXA1->FPR1,Endo->TAM,2.96239733564954,P01
ANXA1->FPR1,TAM->EMT,0.3340126262645705,P01
ANXA1->FPR1,TAM->TAM,4.742126884926435,P01
ANXA1->FPR1,TIL->EMT,0.1797398157048331,P01
ANXA1->FPR1,TIL->TAM,2.55184668279716,P01
DKK1->LRP4,CAF->Endo,0.01232448845316056,P01
DKK1->LRP4,EMT->Endo,0.1677040899068388,P01
DKK1->LRP4,ETC->Endo,0.1199496908247359,P01
ANXA1->FPR3,NA,NA,NA
TGM2->ADGRG1,NA,NA,NA
ANXA1->FPR2,CAF->TAM,1.408243462742755,P01
ANXA1->FPR2,DC->TAM,2.091360415699326,P01
ANXA1->FPR2,EMT->TAM,1.714700003640665,P01
ANXA1->FPR2,ETC->TAM,1.649375562636996,P01
ANXA1->FPR2,Endo->TAM,1.412977432132739,P01
ANXA1->FPR2,TAM->TAM,2.2618567023663,P01
ANXA1->FPR2,TIL->TAM,1.217156702669188,P01
NTF4->NTRK1,NA,NA,NA
LAMC2->ITGA3,CAF->CAF,0.02240221301534082,P01
LAMC2->ITGA3,CAF->EMT,0.05303978793114249,P01
LAMC2->ITGA3,CAF->ETC,0.1153379041500995,P01
LAMC2->ITGA3,EMT->CAF,0.1149859069625014,P01
LAMC2->ITGA3,EMT->EMT,0.2722422162571501,P01
LAMC2->ITGA3,EMT->ETC,0.5920055088651911,P01
LAMC2->ITGA3,ETC->CAF,0.1012582618598727,P01
LAMC2->ITGA3,ETC->EMT,0.2397404547330181,P01
LAMC2->ITGA3,ETC->ETC,0.521328660378422,P01
LAMC2->ITGA3,Endo->CAF,0.02055428910590737,P01
LAMC2->ITGA3,Endo->EMT,0.04866461784405692,P01
LAMC2->ITGA3,Endo->ETC,0.1058238587923056,P01
LAMC2->ITGA3,TIL->CAF,0.0626754478293019,P01
LAMC2->ITGA3,TIL->EMT,0.148391253090894,P01
LAMC2->ITGA3,TIL->ETC,0.3226848521327038,P01
WNT7A->FZD9,NA,NA,NA
EREG->ERBB4,NA,NA,NA
NAMPT->INSR,CAF->EMT,0.01075814742044792,P01
NAMPT->INSR,CAF->ETC,0.09383861320549278,P01
NAMPT->INSR,CAF->Endo,0.2283032751577104,P01
NAMPT->INSR,DC->EMT,0.0134774806929432,P01
NAMPT->INSR,DC->ETC,0.1175581676196194,P01
NAMPT->INSR,DC->Endo,0.2860114165404911,P01
NAMPT->INSR,EMT->EMT,0.02311928977107237,P01
NAMPT->INSR,EMT->ETC,0.2016594498686501,P01
NAMPT->INSR,EMT->Endo,0.4906243954255287,P01
NAMPT->INSR,ETC->EMT,0.01069961862821056,P01
NAMPT->INSR,ETC->ETC,0.09332809215744435,P01
NAMPT->INSR,ETC->Endo,0.2270612104753268,P01
NAMPT->INSR,Endo->EMT,0.02041316011467114,P01
NAMPT->INSR,Endo->ETC,0.178055064821064,P01
NAMPT->INSR,Endo->Endo,0.4331964536608037,P01
NAMPT->INSR,TIL->EMT,0.02900349966963999,P01
NAMPT->INSR,TIL->ETC,0.2529848384427202,P01
NAMPT->INSR,TIL->Endo,0.6154957453946739,P01
VEGFA->GPC1,CAF->CAF,0.05516358843055906,P01
VEGFA->GPC1,CAF->DC,0.01991062453871572,P01
VEGFA->GPC1,CAF->EMT,0.1251450520597787,P01
VEGFA->GPC1,CAF->ETC,0.02676819320557109,P01
VEGFA->GPC1,DC->CAF,0.1084186973793546,P01
VEGFA->GPC1,DC->DC,0.03913240668188876,P01
VEGFA->GPC1,DC->EMT,0.2459604952073133,P01
VEGFA->GPC1,DC->ETC,0.05261029460039959,P01
VEGFA->GPC1,EMT->CAF,0.1300805679366715,P01
VEGFA->GPC1,EMT->DC,0.04695099469880008,P01
VEGFA->GPC1,EMT->EMT,0.2951029820493379,P01
VEGFA->GPC1,EMT->ETC,0.0631217416032039,P01
VEGFA->GPC1,ETC->CAF,0.1378700685415094,P01
VEGFA->GPC1,ETC->DC,0.04976251995122744,P01
VEGFA->GPC1,ETC->EMT,0.3127743751991733,P01
VEGFA->GPC1,ETC->ETC,0.06690160551520613,P01
SEMA3A->NRP1,CAF->CAF,0.02898345722454607,P01
SEMA3A->NRP1,CAF->EMT,0.008240772298441322,P01
SEMA3A->NRP1,CAF->ETC,0.00516195159324867,P01
SEMA3A->NRP1,CAF->Endo,0.02550674168083061,P01
SEMA3A->NRP1,EMT->CAF,0.09695873544619227,P01
SEMA3A->NRP1,EMT->EMT,0.02756796247482157,P01
SEMA3A->NRP1,EMT->ETC,0.01726834362920579,P01
SEMA3A->NRP1,EMT->Endo,0.08532803383550644,P01
SEMA3A->NRP1,ETC->CAF,0.025210658934408912,P01
SEMA3A->NRP1,ETC->EMT,0.007168064808920772,P01
SEMA3A->NRP1,ETC->ETC,0.004490016496137964,P01
SEMA3A->NRP1,ETC->Endo,0.02218651005163389,P01
PTGS2->CAV1,CAF->CAF,0.2721279822802244,P01
PTGS2->CAV1,CAF->DC,0.1366062688274902,P01
PTGS2->CAV1,CAF->EMT,0.3358974937161215,P01
PTGS2->CAV1,CAF->ETC,0.2473802222048282,P01
PTGS2->CAV1,CAF->Endo,0.3481675512175354,P01
PTGS2->CAV1,CAF->TAM,0.2347444351884418,P01
PTGS2->CAV1,CAF->TIL,0.3275052920011445,P01
PTGS2->CAV1,DC->CAF,0.5826251743847521,P01
PTGS2->CAV1,DC->DC,0.2924736020557731,P01
PTGS2->CAV1,DC->EMT,0.7191555025393588,P01
PTGS2->CAV1,DC->ETC,0.5296402960611696,P01
PTGS2->CAV1,DC->Endo,0.7454256579697939,P01
PTGS2->CAV1,DC->TAM,0.5025871148622963,P01
PTGS2->CAV1,DC->TIL,0.7011878244391864,P01
PTGS2->CAV1,EMT->CAF,0.05792830521794416,P01
PTGS2->CAV1,EMT->DC,0.02907958810047904,P01
PTGS2->CAV1,EMT->EMT,0.07150301992057942,P01
PTGS2->CAV1,EMT->ETC,0.05266021118698281,P01
PTGS2->CAV1,EMT->Endo,0.07411496607190059,P01
PTGS2->CAV1,EMT->TAM,0.04997041162715505,P01
PTGS2->CAV1,EMT->TIL,0.06971655893879351,P01
PTGS2->CAV1,ETC->CAF,0.04925404848517488,P01
PTGS2->CAV1,ETC->DC,0.02472517427950294,P01
PTGS2->CAV1,ETC->EMT,0.06079606846349977,P01
PTGS2->CAV1,ETC->ETC,0.04477480543034693,P01
PTGS2->CAV1,ETC->Endo,0.06301689853774105,P01
PTGS2->CAV1,ETC->TAM,0.04248777981416992,P01
PTGS2->CAV1,ETC->TIL,0.05927711437908959,P01
PTGS2->CAV1,TAM->CAF,1.503843732496876,P01
PTGS2->CAV1,TAM->DC,0.7549186212848115,P01
PTGS2->CAV1,TAM->EMT,1.856249167960361,P01
PTGS2->CAV1,TAM->ETC,1.367081744365876,P01
PTGS2->CAV1,TAM->Endo,1.924056414081328,P01
PTGS2->CAV1,TAM->TAM,1.29725339025641,P01
PTGS2->CAV1,TAM->TIL,1.80987187208227,P01
FGA->ITGB3,EMT->CAF,8.316890802433579e-4,P01
FGA->ITGB3,EMT->DC,0.001599405905837866,P01
FGA->ITGB3,EMT->EMT,2.928905526693256e-4,P01
FGA->ITGB3,ETC->CAF,0.02103017141770732,P01
FGA->ITGB3,ETC->DC,0.04044273414822486,P01
FGA->ITGB3,ETC->EMT,0.007406059157901447,P01
ADAM17->ITGB1,CAF->CAF,0.05061117927452151,P01
ADAM17->ITGB1,CAF->DC,0.008220233459579371,P01
ADAM17->ITGB1,CAF->EMT,0.0387932924924922,P01
ADAM17->ITGB1,CAF->ETC,0.02786966273453693,P01
ADAM17->ITGB1,CAF->Endo,0.0165995397343315,P01
ADAM17->ITGB1,CAF->TIL,0.04988826209234422,P01
ADAM17->ITGB1,EMT->CAF,0.1590288317694082,P01
ADAM17->ITGB1,EMT->DC,0.02582935514815797,P01
ADAM17->ITGB1,EMT->EMT,0.1218950452054708,P01
ADAM17->ITGB1,EMT->ETC,0.08757116451368681,P01
ADAM17->ITGB1,EMT->Endo,0.05215854381779901,P01
ADAM17->ITGB1,EMT->TIL,0.1567573044784888,P01
ADAM17->ITGB1,ETC->CAF,0.04152592865600615,P01
ADAM17->ITGB1,ETC->DC,0.006744613207423329,P01
ADAM17->ITGB1,ETC->EMT,0.03182947956294267,P01
ADAM17->ITGB1,ETC->ETC,0.02286675874719134,P01
ADAM17->ITGB1,ETC->Endo,0.01361974395007626,P01
ADAM17->ITGB1,ETC->TIL,0.04093278287751195,P01
ADAM17->ITGB1,Endo->CAF,0.1447597014062346,P01
ADAM17->ITGB1,Endo->DC,0.02351177265883811,P01
ADAM17->ITGB1,Endo->EMT,0.1109578065217092,P01
ADAM17->ITGB1,Endo->ETC,0.0797136939619784,P01
ADAM17->ITGB1,Endo->Endo,0.0474785304327504,P01
ADAM17->ITGB1,Endo->TIL,0.1426919907357168,P01
ADAM17->ITGB1,TAM->CAF,0.8683911777394354,P01
ADAM17->ITGB1,TAM->DC,0.1410435069401914,P01
ADAM17->ITGB1,TAM->EMT,0.665618810682498,P01
ADAM17->ITGB1,TAM->ETC,0.4781901862822024,P01
ADAM17->ITGB1,TAM->Endo,0.2848163995871438,P01
ADAM17->ITGB1,TAM->TIL,0.855987299540236,P01
DSC3->DSG3,NA,NA,NA
ADAM9->ITGB1,CAF->CAF,0.2082188961151118,P01
ADAM9->ITGB1,CAF->DC,0.03381877208349845,P01
ADAM9->ITGB1,CAF->EMT,0.159599058058774,P01
ADAM9->ITGB1,CAF->ETC,0.1146582729916168,P01
ADAM9->ITGB1,CAF->Endo,0.06829198388667893,P01
ADAM9->ITGB1,CAF->TIL,0.2052447504853659,P01
ADAM9->ITGB1,EMT->CAF,0.4913472364546322,P01
ADAM9->ITGB1,EMT->DC,0.07980428536288856,P01
ADAM9->ITGB1,EMT->EMT,0.3766159439947663,P01
ADAM9->ITGB1,EMT->ETC,0.2705663444683059,P01
ADAM9->ITGB1,EMT->Endo,0.1611528933290155,P01
ADAM9->ITGB1,EMT->TIL,0.4843289577909063,P01
ADAM9->ITGB1,ETC->CAF,0.4869194362480141,P01
ADAM9->ITGB1,ETC->DC,0.07908512505221195,P01
ADAM9->ITGB1,ETC->EMT,0.3732220505709053,P01
ADAM9->ITGB1,ETC->ETC,0.2681281223169307,P01
ADAM9->ITGB1,ETC->Endo,0.1597006559672506,P01
ADAM9->ITGB1,ETC->TIL,0.4799644031536366,P01
ADAM9->ITGB1,Endo->CAF,0.1380312046127847,P01
ADAM9->ITGB1,Endo->DC,0.02241893476675538,P01
ADAM9->ITGB1,Endo->EMT,0.1058004371838542,P01
ADAM9->ITGB1,Endo->ETC,0.07600856519335743,P01
ADAM9->ITGB1,Endo->Endo,0.04527170673339786,P01
ADAM9->ITGB1,Endo->TIL,0.1360596020751326,P01
ADM->CALCR,NA,NA,NA
ECM1->ITGB4,CAF->CAF,0.134805929746959,P01
ECM1->ITGB4,CAF->EMT,0.8085370878209768,P01
ECM1->ITGB4,CAF->ETC,0.9380670844610983,P01
ECM1->ITGB4,CAF->Endo,0.390684653017169,P01
ECM1->ITGB4,CAF->TAM,1.032938368005608,P01
ECM1->ITGB4,DC->CAF,0.01605757608317094,P01
ECM1->ITGB4,DC->EMT,0.09630990141250574,P01
ECM1->ITGB4,DC->ETC,0.1117390281579377,P01
ECM1->ITGB4,DC->Endo,0.04653688863780822,P01
ECM1->ITGB4,DC->TAM,0.1230397391614046,P01
ECM1->ITGB4,EMT->CAF,0.0261589134421757,P01
