LR,cell_type_pair,number_of_patient
ADM->CALCR,CAF->TAM,3
ADM->CALCR,DC->CAF,1
ADM->CALCR,DC->DC,1
ADM->CALCR,DC->ETC,2
ADM->CALCR,DC->TAM,2
ADM->CALCR,Endo->DC,1
ADM->CALCR,Endo->ETC,1
ADM->CALCR,Endo->TAM,2
ADM->CALCR,ETC->CAF,1
ADM->CALCR,ETC->DC,1
ADM->CALCR,ETC->ETC,2
ADM->CALCR,ETC->TAM,3
ADM->CALCR,TAM->CAF,1
ADM->CALCR,TAM->DC,1
ADM->CALCR,TAM->ETC,2
ADM->CALCR,TAM->TAM,3
ADM->CALCR,TIL->TAM,1
ADM->RAMP2,CAF->CAF,9
ADM->RAMP2,CAF->DC,3
ADM->RAMP2,CAF->EMT,2
ADM->RAMP2,CAF->Endo,7
ADM->RAMP2,CAF->ETC,9
ADM->RAMP2,CAF->TAM,5
ADM->RAMP2,CAF->TIL,1
ADM->RAMP2,DC->CAF,6
ADM->RAMP2,DC->DC,3
ADM->RAMP2,DC->EMT,1
ADM->RAMP2,DC->Endo,5
ADM->RAMP2,DC->ETC,6
ADM->RAMP2,DC->TAM,4
ADM->RAMP2,DC->TIL,1
ADM->RAMP2,EMT->CAF,2
ADM->RAMP2,EMT->EMT,2
ADM->RAMP2,EMT->Endo,2
ADM->RAMP2,EMT->ETC,2
ADM->RAMP2,Endo->CAF,7
ADM->RAMP2,Endo->DC,3
ADM->RAMP2,Endo->EMT,2
ADM->RAMP2,Endo->Endo,7
ADM->RAMP2,Endo->ETC,7
ADM->RAMP2,Endo->TAM,5
ADM->RAMP2,Endo->TIL,1
ADM->RAMP2,ETC->CAF,10
ADM->RAMP2,ETC->DC,3
ADM->RAMP2,ETC->EMT,3
ADM->RAMP2,ETC->Endo,7
ADM->RAMP2,ETC->ETC,9
ADM->RAMP2,ETC->TAM,5
ADM->RAMP2,ETC->TIL,1
ADM->RAMP2,TAM->CAF,9
ADM->RAMP2,TAM->DC,3
ADM->RAMP2,TAM->EMT,3
ADM->RAMP2,TAM->Endo,7
ADM->RAMP2,TAM->ETC,8
ADM->RAMP2,TAM->TAM,5
ADM->RAMP2,TAM->TIL,1
ADM->RAMP2,TIL->CAF,2
ADM->RAMP2,TIL->DC,1
ADM->RAMP2,TIL->EMT,1
ADM->RAMP2,TIL->Endo,1
ADM->RAMP2,TIL->ETC,1
ADM->RAMP2,TIL->TAM,1
ADM->RAMP2,TIL->TIL,1
ANXA1->DYSF,CAF->CAF,7
ANXA1->DYSF,CAF->DC,2
ANXA1->DYSF,CAF->EMT,2
ANXA1->DYSF,CAF->Endo,7
ANXA1->DYSF,CAF->ETC,6
ANXA1->DYSF,CAF->TAM,4
ANXA1->DYSF,CAF->TIL,2
ANXA1->DYSF,DC->CAF,7
ANXA1->DYSF,DC->DC,2
ANXA1->DYSF,DC->EMT,2
ANXA1->DYSF,DC->Endo,7
ANXA1->DYSF,DC->ETC,5
ANXA1->DYSF,DC->TAM,4
ANXA1->DYSF,DC->TIL,2
ANXA1->DYSF,EMT->EMT,2
ANXA1->DYSF,EMT->Endo,2
ANXA1->DYSF,EMT->ETC,1
ANXA1->DYSF,EMT->TAM,1
ANXA1->DYSF,Endo->CAF,5
ANXA1->DYSF,Endo->DC,2
ANXA1->DYSF,Endo->EMT,2
