LR,cell_type_pair,Patient
ANXA1->FPR1,Endo->EMT,P01
ANXA1->FPR1,Endo->TAM,P01
ANXA1->FPR1,TAM->EMT,P01
ANXA1->FPR1,TAM->TAM,P01
ANXA1->FPR1,TIL->EMT,P01
ANXA1->FPR1,TIL->TAM,P01
DKK1->LRP4,CAF->Endo,P01
DKK1->LRP4,EMT->Endo,P01
DKK1->LRP4,ETC->Endo,P01
ANXA1->FPR3,NA,NA
TGM2->ADGRG1,NA,NA
ANXA1->FPR2,CAF->TAM,P01
ANXA1->FPR2,DC->TAM,P01
ANXA1->FPR2,EMT->TAM,P01
ANXA1->FPR2,ETC->TAM,P01
ANXA1->FPR2,Endo->TAM,P01
ANXA1->FPR2,TAM->TAM,P01
ANXA1->FPR2,TIL->TAM,P01
NTF4->NTRK1,NA,NA
LAMC2->ITGA3,CAF->CAF,P01
LAMC2->ITGA3,CAF->EMT,P01
LAMC2->ITGA3,CAF->ETC,P01
LAMC2->ITGA3,EMT->CAF,P01
LAMC2->ITGA3,EMT->EMT,P01
LAMC2->ITGA3,EMT->ETC,P01
LAMC2->ITGA3,ETC->CAF,P01
LAMC2->ITGA3,ETC->EMT,P01
LAMC2->ITGA3,ETC->ETC,P01
LAMC2->ITGA3,Endo->CAF,P01
LAMC2->ITGA3,Endo->EMT,P01
LAMC2->ITGA3,Endo->ETC,P01
LAMC2->ITGA3,TIL->CAF,P01
LAMC2->ITGA3,TIL->EMT,P01
LAMC2->ITGA3,TIL->ETC,P01
WNT7A->FZD9,NA,NA
EREG->ERBB4,NA,NA
NAMPT->INSR,CAF->EMT,P01
NAMPT->INSR,CAF->ETC,P01
NAMPT->INSR,CAF->Endo,P01
NAMPT->INSR,DC->EMT,P01
NAMPT->INSR,DC->ETC,P01
NAMPT->INSR,DC->Endo,P01
NAMPT->INSR,EMT->EMT,P01
NAMPT->INSR,EMT->ETC,P01
NAMPT->INSR,EMT->Endo,P01
NAMPT->INSR,ETC->EMT,P01
NAMPT->INSR,ETC->ETC,P01
NAMPT->INSR,ETC->Endo,P01
NAMPT->INSR,Endo->EMT,P01
NAMPT->INSR,Endo->ETC,P01
NAMPT->INSR,Endo->Endo,P01
NAMPT->INSR,TIL->EMT,P01
NAMPT->INSR,TIL->ETC,P01
NAMPT->INSR,TIL->Endo,P01
VEGFA->GPC1,CAF->CAF,P01
VEGFA->GPC1,CAF->DC,P01
VEGFA->GPC1,CAF->EMT,P01
VEGFA->GPC1,CAF->ETC,P01
VEGFA->GPC1,DC->CAF,P01
VEGFA->GPC1,DC->DC,P01
VEGFA->GPC1,DC->EMT,P01
VEGFA->GPC1,DC->ETC,P01
VEGFA->GPC1,EMT->CAF,P01
VEGFA->GPC1,EMT->DC,P01
VEGFA->GPC1,EMT->EMT,P01
VEGFA->GPC1,EMT->ETC,P01
VEGFA->GPC1,ETC->CAF,P01
VEGFA->GPC1,ETC->DC,P01
VEGFA->GPC1,ETC->EMT,P01
VEGFA->GPC1,ETC->ETC,P01
SEMA3A->NRP1,CAF->CAF,P01
SEMA3A->NRP1,CAF->EMT,P01
SEMA3A->NRP1,CAF->ETC,P01
SEMA3A->NRP1,CAF->Endo,P01
SEMA3A->NRP1,EMT->CAF,P01
SEMA3A->NRP1,EMT->EMT,P01
SEMA3A->NRP1,EMT->ETC,P01
SEMA3A->NRP1,EMT->Endo,P01
SEMA3A->NRP1,ETC->CAF,P01
SEMA3A->NRP1,ETC->EMT,P01
SEMA3A->NRP1,ETC->ETC,P01
SEMA3A->NRP1,ETC->Endo,P01
PTGS2->CAV1,CAF->CAF,P01
PTGS2->CAV1,CAF->DC,P01
PTGS2->CAV1,CAF->EMT,P01
PTGS2->CAV1,CAF->ETC,P01
PTGS2->CAV1,CAF->Endo,P01
PTGS2->CAV1,CAF->TAM,P01
PTGS2->CAV1,CAF->TIL,P01
PTGS2->CAV1,DC->CAF,P01
PTGS2->CAV1,DC->DC,P01
PTGS2->CAV1,DC->EMT,P01
PTGS2->CAV1,DC->ETC,P01
PTGS2->CAV1,DC->Endo,P01
PTGS2->CAV1,DC->TAM,P01
PTGS2->CAV1,DC->TIL,P01
PTGS2->CAV1,EMT->CAF,P01
PTGS2->CAV1,EMT->DC,P01
PTGS2->CAV1,EMT->EMT,P01
PTGS2->CAV1,EMT->ETC,P01
PTGS2->CAV1,EMT->Endo,P01
PTGS2->CAV1,EMT->TAM,P01
PTGS2->CAV1,EMT->TIL,P01
PTGS2->CAV1,ETC->CAF,P01
PTGS2->CAV1,ETC->DC,P01
PTGS2->CAV1,ETC->EMT,P01
PTGS2->CAV1,ETC->ETC,P01
PTGS2->CAV1,ETC->Endo,P01
PTGS2->CAV1,ETC->TAM,P01
PTGS2->CAV1,ETC->TIL,P01
PTGS2->CAV1,TAM->CAF,P01
PTGS2->CAV1,TAM->DC,P01
PTGS2->CAV1,TAM->EMT,P01
PTGS2->CAV1,TAM->ETC,P01
PTGS2->CAV1,TAM->Endo,P01
PTGS2->CAV1,TAM->TAM,P01
PTGS2->CAV1,TAM->TIL,P01
FGA->ITGB3,EMT->CAF,P01
FGA->ITGB3,EMT->DC,P01
FGA->ITGB3,EMT->EMT,P01
FGA->ITGB3,ETC->CAF,P01
FGA->ITGB3,ETC->DC,P01
FGA->ITGB3,ETC->EMT,P01
ADAM17->ITGB1,CAF->CAF,P01
ADAM17->ITGB1,CAF->DC,P01
ADAM17->ITGB1,CAF->EMT,P01
ADAM17->ITGB1,CAF->ETC,P01
ADAM17->ITGB1,CAF->Endo,P01
ADAM17->ITGB1,CAF->TIL,P01
ADAM17->ITGB1,EMT->CAF,P01
ADAM17->ITGB1,EMT->DC,P01
ADAM17->ITGB1,EMT->EMT,P01
ADAM17->ITGB1,EMT->ETC,P01
ADAM17->ITGB1,EMT->Endo,P01
ADAM17->ITGB1,EMT->TIL,P01
ADAM17->ITGB1,ETC->CAF,P01
ADAM17->ITGB1,ETC->DC,P01
ADAM17->ITGB1,ETC->EMT,P01
ADAM17->ITGB1,ETC->ETC,P01
ADAM17->ITGB1,ETC->Endo,P01
ADAM17->ITGB1,ETC->TIL,P01
ADAM17->ITGB1,Endo->CAF,P01
ADAM17->ITGB1,Endo->DC,P01
ADAM17->ITGB1,Endo->EMT,P01
ADAM17->ITGB1,Endo->ETC,P01
ADAM17->ITGB1,Endo->Endo,P01
ADAM17->ITGB1,Endo->TIL,P01
ADAM17->ITGB1,TAM->CAF,P01
ADAM17->ITGB1,TAM->DC,P01
ADAM17->ITGB1,TAM->EMT,P01
ADAM17->ITGB1,TAM->ETC,P01
ADAM17->ITGB1,TAM->Endo,P01
ADAM17->ITGB1,TAM->TIL,P01
DSC3->DSG3,NA,NA
ADAM9->ITGB1,CAF->CAF,P01
ADAM9->ITGB1,CAF->DC,P01
ADAM9->ITGB1,CAF->EMT,P01
ADAM9->ITGB1,CAF->ETC,P01
ADAM9->ITGB1,CAF->Endo,P01
ADAM9->ITGB1,CAF->TIL,P01
ADAM9->ITGB1,EMT->CAF,P01
ADAM9->ITGB1,EMT->DC,P01
ADAM9->ITGB1,EMT->EMT,P01
ADAM9->ITGB1,EMT->ETC,P01
ADAM9->ITGB1,EMT->Endo,P01
ADAM9->ITGB1,EMT->TIL,P01
ADAM9->ITGB1,ETC->CAF,P01
ADAM9->ITGB1,ETC->DC,P01
ADAM9->ITGB1,ETC->EMT,P01
ADAM9->ITGB1,ETC->ETC,P01
ADAM9->ITGB1,ETC->Endo,P01
ADAM9->ITGB1,ETC->TIL,P01
ADAM9->ITGB1,Endo->CAF,P01
ADAM9->ITGB1,Endo->DC,P01
ADAM9->ITGB1,Endo->EMT,P01
ADAM9->ITGB1,Endo->ETC,P01
ADAM9->ITGB1,Endo->Endo,P01
ADAM9->ITGB1,Endo->TIL,P01
ADM->CALCR,NA,NA
ECM1->ITGB4,CAF->CAF,P01
ECM1->ITGB4,CAF->EMT,P01
ECM1->ITGB4,CAF->ETC,P01
ECM1->ITGB4,CAF->Endo,P01
ECM1->ITGB4,CAF->TAM,P01
ECM1->ITGB4,DC->CAF,P01
ECM1->ITGB4,DC->EMT,P01
ECM1->ITGB4,DC->ETC,P01
ECM1->ITGB4,DC->Endo,P01
ECM1->ITGB4,DC->TAM,P01
ECM1->ITGB4,EMT->CAF,P01
ECM1->ITGB4,EMT->EMT,P01
ECM1->ITGB4,EMT->ETC,P01
ECM1->ITGB4,EMT->Endo,P01
ECM1->ITGB4,EMT->TAM,P01
ECM1->ITGB4,ETC->CAF,P01
ECM1->ITGB4,ETC->EMT,P01
ECM1->ITGB4,ETC->ETC,P01
ECM1->ITGB4,ETC->Endo,P01
ECM1->ITGB4,ETC->TAM,P01
ADAM9->ITGA3,CAF->CAF,P01
ADAM9->ITGA3,CAF->EMT,P01
ADAM9->ITGA3,CAF->ETC,P01
ADAM9->ITGA3,EMT->CAF,P01
ADAM9->ITGA3,EMT->EMT,P01
ADAM9->ITGA3,EMT->ETC,P01
