category,celltype_pair,lr_pair,delta_edge_specificity_weight,pval,sig
UP-regulated_mean,DC->CAF,ADCYAP1->ADCYAP1R1,0.6537054288417331,0.5111140086559172,FALSE
DOWN-regulated_mean,ETC->TAM,EDN2->KEL,0.6508383543219634,0.6075043925711598,FALSE
UP-regulated_mean,CAF->TAM,CALCA->CALCR,0.9575800879772187,0.6466104364139948,FALSE
DOWN-regulated_mean,EMT->TAM,TNFSF12->CD163,0.47736835524441507,0.6583288180577251,FALSE
All_edges_mean,ETC->ETC,INSL5->RXFP4,1,0.6686136205063857,FALSE
Disappeared_mean,ETC->ETC,INSL5->RXFP4,1,0.6686136205063857,FALSE
DOWN-regulated_mean,CAF->ETC,RSPO1->LGR4,0.48363032605726686,0.7308632658439673,FALSE
UP-regulated_mean,CAF->Endo,CALCA->RAMP2,0.7861433965828418,0.7581421290858954,FALSE
Appeared_mean,TIL->ETC,IL22->IL22RA1,0.9119467155427472,0.7616658737206312,FALSE
All_edges_mean,CAF->Endo,AVP->AVPR1A,0.8912035556205068,0.7657392788094246,FALSE
Disappeared_mean,CAF->Endo,AVP->AVPR1A,0.8912035556205068,0.7657392788094246,FALSE
All_edges_mean,ETC->ETC,IL20->IL22RA1,0.9318647884010252,0.7712765400297774,FALSE
Appeared_mean,EMT->ETC,IL20->IL22RA1,0.9119467155427472,0.7712765400297774,FALSE
Disappeared_mean,ETC->ETC,IL20->IL22RA1,0.9318647884010252,0.7712765400297774,FALSE
Appeared_mean,ETC->TIL,GAST->CCKBR,1,0.7788329787383558,FALSE
Appeared_mean,EMT->Endo,NPPB->NPR1,0.9832241995371436,0.801359105897034,FALSE
All_edges_mean,ETC->Endo,IL4->IL13RA2,0.8652963100338298,0.8153660277373138,FALSE
Disappeared_mean,ETC->Endo,IL4->IL13RA2,0.8652963100338298,0.8153660277373138,FALSE
All_edges_mean,CAF->ETC,AVP->AVPR1B,1,0.8351841137307143,FALSE
Disappeared_mean,CAF->ETC,AVP->AVPR1B,1,0.8351841137307143,FALSE
UP-regulated_mean,CAF->Endo,CALCA->CALCRL,0.7249470306876428,0.8508090916785416,FALSE
All_edges_mean,TIL->Endo,RLN1->RXFP1,0.9435472203975164,0.8828929402578809,FALSE
Disappeared_mean,TIL->Endo,RLN1->RXFP1,0.9435472203975164,0.8828929402578809,FALSE
Appeared_mean,CAF->TAM,CALCB->CALCR,1,0.8837687663869926,FALSE
All_edges_mean,ETC->TIL,RAET1L->KLRK1,0.8686014787750159,0.8956276850640006,FALSE
Disappeared_mean,ETC->TIL,RAET1L->KLRK1,0.8686014787750159,0.8956276850640006,FALSE
UP-regulated_mean,ETC->ETC,RAET1L->KLRK1,0.6498040736275315,0.8956276850640006,FALSE
DOWN-regulated_mean,TAM->TAM,HP->CD163,0.5997652283578095,0.9062914705342479,FALSE
All_edges_mean,ETC->Endo,CALCB->CALCRL,0.9321016125176256,0.9189781712327885,FALSE
Disappeared_mean,ETC->Endo,CALCB->CALCRL,0.9321016125176256,0.9189781712327885,FALSE
All_edges_mean,DC->DC,IL5->IL5RA,0.9018991814837218,0.9194568268031598,FALSE
Disappeared_mean,DC->DC,IL5->IL5RA,0.9018991814837218,0.9194568268031598,FALSE
UP-regulated_mean,ETC->TAM,IAPP->CALCR,0.50541464057183,0.9369346449544883,FALSE
DOWN-regulated_mean,ETC->ETC,PLG->F2RL1,0.597886835217248,0.942429728569217,FALSE
All_edges_mean,CAF->Endo,AVP->AVPR2,0.9753496484435964,0.9486498402183133,FALSE
Disappeared_mean,CAF->Endo,AVP->AVPR2,0.9753496484435964,0.9486498402183133,FALSE
Appeared_mean,EMT->ETC,DSC1->DSG4,1,0.95162253560246,FALSE
Appeared_mean,EMT->EMT,DSC1->DSG1,1,0.9801332983237192,FALSE
