pair,pval,median_day_high,median_day_low,diff_day
FGA->ITGB1,0.0017938425806687253,337,455.5,-118.5
NLGN1->NRXN3,0.001826076023634382,375,350,25
LAMA1->ITGB1,0.001843794391806708,347,425.5,-78.5
RELN->ITGA3,0.001878415020008184,361,365,-4
CLEC11A->ITGB1,0.001940044976516564,337,455,-118
ANXA1->FPR3,0.0019784556992824553,315,469,-154
F8->LRP1,0.0020548344956551334,480,260,220
SLIT1->ROBO2,0.002133516004157232,456,297.5,158.5
COL9A1->MAG,0.0021440181147981408,467,312,155
NPNT->ITGB1,0.002240521609834012,334,433,-99
A2M->LRP1,0.0022555824894254783,392,331,61
DHH->PTCH1,0.0022997578428821663,465,284.5,180.5
SFTPD->SIRPA,0.002327755939985132,349,385.5,-36.5
PODXL->SELL,0.0023333421325487658,277,478,-201
GDF11->ACVR1B,0.002346201875531584,347,373,-26
SLAMF1->SLAMF1,0.0024793832811896843,351,388.5,-37.5
LPL->LRP1,0.00248826835643301,476,272,204
FGG->ITGA2B,0.002561378399925096,294,470.5,-176.5
SPON2->ITGB1,0.002635491491599251,327,455.5,-128.5
LAMC2->ITGB1,0.002673046525517031,361,372,-11
RELN->ITGB1,0.0027779512146903773,348,413,-65
TAC1->TACR2,0.002805577256761116,369,361,8
IHH->PTCH2,0.002846794324693258,446,321.5,124.5
NRTN->RET,0.0028577176665439685,388,355,33
WNT2->FZD5,0.0029315430388813235,423,336.5,86.5
PODXL2->SELL,0.003002085918328956,362,361,1
NECTIN1->NECTIN1,0.003072900495323938,451,525.5,-74.5
THPO->MPL,0.003073769762236833,383,345.5,37.5
NMS->NMUR1,0.003119156966609027,319,429.5,-110.5
TNC->ITGB1,0.0031633950818511503,337,455,-118
RLN1->RXFP1,0.003198289726779935,343,429.5,-86.5
F9->LRP1,0.003215160632022651,476,260,216
FCN2->LRP1,0.003215160632022651,476,260,216
LIPC->LRP1,0.003215160632022651,476,260,216
SERPINC1->LRP1,0.003215160632022651,476,260,216
WNT3A->LRP1,0.003215160632022651,476,260,216
SLAMF6->SLAMF6,0.0032929465609902175,360,366.5,-6.5
ANXA1->DYSF,0.0033011698499237907,318,466,-148
EFNB3->EPHB6,0.003301280949354113,311,429.5,-118.5
AGRP->MC5R,0.0033546847659861045,460,321,139
ANXA1->EGFR,0.003473983480116738,351,387.5,-36.5
DKK1->KREMEN1,0.0037758205525086908,293,498.5,-205.5
PF4->FGFR2,0.0037874239328592463,465,306.5,158.5
CNTN1->NOTCH1,0.0038071631955205465,471,271,200
TGM2->SDC4,0.003880872645308453,325,459,-134
FGF9->FGFR2,0.004002856989613224,467,306.5,160.5
DAG1->LAMA4,0.004043814237221444,476,289.5,186.5
TAC4->TACR2,0.004098627360466844,467,316,151
THBS1->ITGA3,0.004434917703605157,337,459,-122
SERPINE2->LRP1,0.0046773638618640145,476,272,204
ZG16B->CXCR4,0.004721344692910856,311,407,-96
NLGN1->NRXN1,0.00485867884313107,361,360.5,0.5
FGF10->FGFR2,0.0049387719796039065,463,321.5,141.5
SERPING1->LRP1,0.0051312750456723455,467,330,137
TGM2->ADGRG1,0.005199264518760738,362,361,1
CLCF1->CNTFR,0.005258490876987709,263,469,-206
FGF16->FGFR2,0.005263488343695832,463,321.5,141.5
FGF17->FGFR2,0.005263488343695832,463,321.5,141.5
FGF23->FGFR2,0.005263488343695832,463,321.5,141.5
FGF4->FGFR2,0.005263488343695832,463,321.5,141.5
FGF6->FGFR2,0.005263488343695832,463,321.5,141.5
FGF8->FGFR2,0.005263488343695832,463,321.5,141.5
VIP->VIPR1,0.005313677858702737,397,356,41
SDC2->PTPRJ,0.005396046537809118,467,305,162
SLIT3->ROBO2,0.0056533555034501415,361,361.5,-0.5
GDF3->TDGF1,0.005667949090302993,371,361,10
WNT4->FZD6,0.005681309753355346,341,418.5,-77.5
CCL24->CCR3,0.0057073843759353204,476,328,148
SEMA7A->ITGB1,0.005708757809018139,345,421.5,-76.5
GHRH->VIPR1,0.0057501490832816415,430,346.5,83.5
PLA2G2A->ITGB1,0.005971034824858057,332,455.5,-123.5
WNT2->FZD8,0.006060269517338512,330,386,-56
WNT3A->FZD5,0.006145857371749441,430,329.5,100.5
WNT8A->FZD5,0.006145857371749441,430,329.5,100.5
NXPH1->NRXN3,0.00625373020007125,369,361,8
SEMA3A->NRP1,0.0063647682476936085,311,489,-178
WNT3A->FZD6,0.006471406632178489,361,370,-9
SHH->PTCH1,0.006616261882408603,465,274.5,190.5
VTN->ITGA8,0.006618791508784083,348,375,-27
FGF1->FGFR2,0.006633431527810596,437,344,93
CCL25->CCR9,0.006668751335182854,463,310.5,152.5
MMP9->LRP1,0.00668669264954691,476,271,205
FGF16->FGFR4,0.006716727167468184,463,334.5,128.5
FGF21->FGFR4,0.006716727167468184,463,334.5,128.5
FGF23->FGFR4,0.006716727167468184,463,334.5,128.5
FGF4->FGFR4,0.006716727167468184,463,334.5,128.5
FGF5->FGFR4,0.006716727167468184,463,334.5,128.5
FGF6->FGFR4,0.006716727167468184,463,334.5,128.5
FGF8->FGFR4,0.006716727167468184,463,334.5,128.5
HRAS->CAV1,0.007084424432379777,247,513.5,-266.5
FGF9->FGFR4,0.0070985443945835724,463,334.5,128.5
INHA->TGFBR3,0.007202748174360951,446,344,102
FAM3D->FPR2,0.00722001251629667,444,329.5,114.5
SLAMF7->SLAMF7,0.00724548350510279,327,406.5,-79.5
GHRL->GHSR,0.007274778683115324,400,342,58
TAC3->TACR2,0.007412591810165958,463,326,137
COL2A1->ITGA10,0.008098236779087387,455,318.5,136.5
LAMA2->ITGB1,0.0081792245975566,345,413,-68
FGF18->FGFR2,0.008189703478415411,463,321.5,141.5
PLAU->LRP2,0.008198696449441711,311,466,-155
TNFSF11->TNFRSF11A,0.008316113420190452,480,288.5,191.5
TGFB1->ITGB6,0.008897310617469345,361,382,-21
C1QB->LRP1,0.009332891207601057,467,292.5,174.5
FGF20->FGFR2,0.009463772741208132,446,327,119
LRPAP1->LRP8,0.009613310353507876,337,388.5,-51.5
DKK1->LRP6,0.009890075826513245,423,333.5,89.5
