category,celltype_pair,weight,lr_pair,pval
All_edges_mean,TAM->ETC,delta_edge_specificity_weight,GHRH->GHRHR,0.006899371484286321
Disappeared_mean,TAM->ETC,delta_edge_specificity_weight,GHRH->GHRHR,0.006899371484286321
DOWN-regulated_mean,EMT->ETC,delta_edge_specificity_weight,RSPO3->LGR4,0.00692294522829584
Disappeared_mean,EMT->Endo,delta_edge_expression_weight,BSG->SLC16A7,0.007693376151466591
Appeared_mean,Endo->EMT,delta_edge_specificity_weight,CORT->SSTR5,0.008053658745186154
UP-regulated_mean,CAF->ETC,delta_edge_specificity_weight,TAC1->TACR1,0.008799533633767509
All_edges_mean,CAF->Endo,delta_edge_specificity_weight,AVP->AVPR2,0.013481928707685609
Disappeared_mean,CAF->Endo,delta_edge_specificity_weight,AVP->AVPR2,0.013481928707685609
All_edges_mean,ETC->ETC,delta_edge_specificity_weight,LPA->LRP2,0.013799557279404184
Disappeared_mean,ETC->ETC,delta_edge_specificity_weight,LPA->LRP2,0.013799557279404184
Appeared_mean,CAF->EMT,delta_edge_expression_weight,TIMP1->CD63,0.014117680861929327
Appeared_mean,DC->EMT,delta_edge_expression_weight,TIMP1->CD63,0.014117680861929327
Appeared_mean,EMT->EMT,delta_edge_expression_weight,TIMP1->CD63,0.014117680861929327
Appeared_mean,Endo->EMT,delta_edge_expression_weight,TIMP1->CD63,0.014117680861929327
Appeared_mean,EMT->Endo,delta_edge_specificity_weight,NPPB->NPR1,0.017473250446678357
DOWN-regulated_mean,ETC->TAM,delta_edge_specificity_weight,EDN2->KEL,0.019277048103089056
All_edges_mean,EMT->EMT,delta_edge_expression_weight,GNAI2->CAV1,0.019567614115540866
DOWN-regulated_mean,EMT->EMT,delta_edge_expression_weight,GNAI2->CAV1,0.019567614115540866
Appeared_mean,TIL->DC,delta_edge_specificity_weight,XCL1->XCR1,0.019625064877563325
Disappeared_mean,ETC->ETC,delta_edge_specificity_weight,SHH->LRP2,0.019885653250299007
All_edges_mean,TAM->EMT,delta_edge_expression_weight,VEGFA->FLT1,0.02257699038518679
DOWN-regulated_mean,TAM->EMT,delta_edge_expression_weight,VEGFA->FLT1,0.02257699038518679
Appeared_mean,CAF->TAM,delta_edge_specificity_weight,WNT2->FZD9,0.0266011577596601
DOWN-regulated_mean,CAF->Endo,delta_edge_specificity_weight,OXT->AVPR2,0.03068425120848417
Appeared_mean,EMT->Endo,delta_edge_specificity_weight,NPPA->NPR1,0.03472491563032931
UP-regulated_mean,CAF->TAM,delta_edge_specificity_weight,CALCA->CALCR,0.036803633599542196
Disappeared_mean,Endo->TIL,delta_edge_expression_weight,PRND->RPSA,0.03886587538365294
Disappeared_mean,Endo->EMT,delta_edge_expression_weight,PRND->RPSA,0.03886587538365294
Disappeared_mean,Endo->DC,delta_edge_expression_weight,PRND->RPSA,0.03886587538365294
Disappeared_mean,Endo->TAM,delta_edge_expression_weight,PRND->RPSA,0.03886587538365294
Disappeared_mean,Endo->CAF,delta_edge_expression_weight,PRND->RPSA,0.03886587538365294
Disappeared_mean,Endo->Endo,delta_edge_expression_weight,PRND->RPSA,0.03886587538365294
Disappeared_mean,Endo->ETC,delta_edge_expression_weight,PRND->RPSA,0.03886587538365294
Appeared_mean,Endo->TIL,delta_edge_specificity_weight,CORT->SSTR3,0.04280310181826796
All_edges_mean,ETC->CAF,delta_edge_specificity_weight,RPH3A->NRXN1,0.043623207937583564
Disappeared_mean,ETC->CAF,delta_edge_specificity_weight,RPH3A->NRXN1,0.043623207937583564
DOWN-regulated_mean,ETC->CAF,delta_edge_specificity_weight,EDN3->EDNRA,0.04607406710367634
