Network,Annotation
MyList,R-HSA-420597|Nectin/Necl  trans heterodimerization|-12.4;R-HSA-418990|Adherens junctions interactions|-12.1;R-HSA-421270|Cell-cell junction organization|-10.6
MyList_MCODE_ALL,R-HSA-418990|Adherens junctions interactions|-14.8;R-HSA-420597|Nectin/Necl  trans heterodimerization|-14.2;R-HSA-421270|Cell-cell junction organization|-13.3
MyList_SUB1_MCODE_1,R-HSA-418990|Adherens junctions interactions|-14.8;R-HSA-420597|Nectin/Necl  trans heterodimerization|-14.2;R-HSA-421270|Cell-cell junction organization|-13.3
